total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-35.464,28.818,1.71,406.0,42.215,convexity_higher1^16^EMA|convexity_higher1^6^SMA&price_crossover_ema^20|roc_crossover0^40|rvi_crossover_signal^100^80&roc_crossunder0^59|trailing_stop^34^1.5
-35.211,30.75,1.551,400.0,43.896,convexity_higher1^16^EMA|convexity_higher1^6^SMA&price_crossover_ema^20|rvi_crossover_signal^90^63|price_crossover_sma_2^45&roc_crossunder0^59|trailing_stop^34^1.5
-34.679,35.676,1.216,370.0,38.874,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&price_crossover_ema^20|roc_crossover0^40|rvi_crossover_signal^90^63&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-32.885,29.877,1.648,405.0,39.716,kc_neutral^55.0^66.0^2.6999999999999997|convexity_higher1^16^EMA&price_crossover_ema^20|roc_crossover0^40|rvi_crossover_signal^100^80&roc_crossunder0^59|trailing_stop^34^1.5
-32.157,35.44,1.255,364.0,36.06,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&price_crossover_ema^20|roc_crossover0^40|rsi_fast_crossover_slow^30^48&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-32.041,30.479,1.607,397.0,38.274,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&price_crossover_ema^20|rvi_crossover_signal^90^63|roc_crossover0^30&roc_crossunder0^59|trailing_stop^34^1.5
-31.804,30.597,1.604,402.0,38.984,kc_neutral^55.0^66.0^2.6999999999999997|convexity_higher1^16^EMA&price_crossover_ema^20|roc_crossover0^40|rvi_crossover_signal^90^63&roc_crossunder0^59|trailing_stop^34^1.5
-31.176,30.0,1.667,400.0,37.527,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&price_crossover_ema^20|rvi_crossover_signal^100^80|roc_crossover0^30&roc_crossunder0^59|trailing_stop^34^1.5
-30.556,29.323,1.738,399.0,39.248,convexity_higher1^16^EMA|convexity_higher1^6^SMA&price_crossover_ema^20|rvi_crossover_signal^100^80|smacd_start_increase^120^312&roc_crossunder0^59|trailing_stop^34^1.5
-29.821,35.519,1.31,366.0,36.625,convexity_higher1^16^EMA|convexity_higher1^6^SMA&price_crossover_ema^20|roc_crossover0^40|rvi_crossover_signal^90^63&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-29.546,31.061,1.618,396.0,38.912,convexity_higher1^16^EMA|convexity_higher1^6^SMA&price_crossover_ema^20|rvi_crossover_signal^100^80|price_crossover_sma_2^45&roc_crossunder0^59|trailing_stop^34^1.5
-29.538,32.383,1.519,386.0,39.14,convexity_higher1^16^EMA|convexity_higher1^6^SMA&price_crossover_ema^20|price_crossover_sma_2^45|second_wave_trend_2^220&roc_crossunder0^59|trailing_stop^34^1.5
-29.305,29.219,1.752,397.0,38.222,kc_neutral^55.0^66.0^2.6999999999999997|convexity_higher1^16^EMA&price_crossover_ema^20|rvi_crossover_signal^100^80|smacd_start_increase^120^312&roc_crossunder0^59|trailing_stop^34^1.5
-28.527,31.139,1.611,395.0,33.375,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&price_crossover_ema^20|roc_crossover0^40|roc_crossover0^30&roc_crossunder0^59|trailing_stop^34^1.5
-28.42,37.047,1.225,359.0,33.457,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&mass_crossover1^90^27|price_crossover_ema^20|roc_crossover0^40&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-28.409,33.158,1.483,380.0,35.084,convexity_higher1^16^EMA|convexity_higher1^6^SMA&price_crossover_ema^20|kc_price_crossover_high^110.0^44.0^2.8999999999999995|emacd_histogram_start_increase^130^364^104&roc_crossunder0^59|trailing_stop^34^1.5
-28.37,37.815,1.167,357.0,32.745,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&price_crossover_ema^20|emacd_histogram_start_increase_2^140^364^98|roc_crossover0^40&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-27.9,29.457,1.755,387.0,33.285,bb_neutral^160.0^2.5|convexity_higher1^16^EMA&price_crossover_ema^20|rvi_crossover_signal^100^80|roc_crossover0^30&roc_crossunder0^89|trailing_stop^34^1.5
-27.561,28.866,1.805,388.0,36.374,kc_neutral^55.0^66.0^2.6999999999999997|convexity_higher1^16^EMA&price_crossover_ema^20|rsi_fast_crossover_slow^30^48|smacd_start_increase^120^312&roc_crossunder0^59|trailing_stop^34^1.5
-27.464,35.457,1.346,361.0,34.532,convexity_higher1^16^EMA|convexity_higher1^6^SMA&price_crossover_ema^20|roc_crossover0^40|rvi_crossover_signal^100^80&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-27.121,29.351,1.769,385.0,36.339,kc_neutral^55.0^66.0^2.6999999999999997|convexity_higher1^16^EMA&price_crossover_ema^20|rsi_fast_crossover_slow^25^60|smacd_start_increase^120^312&roc_crossunder0^59|trailing_stop^34^1.5
-27.111,32.718,1.514,379.0,34.451,kc_neutral^55.0^66.0^2.6999999999999997|convexity_higher1^16^EMA&price_crossover_ema^20|price_crossover_sma_2^45|second_wave_trend_2^220&roc_crossunder0^59|trailing_stop^34^1.5
-27.009,29.211,1.777,380.0,33.114,kc_neutral^55.0^66.0^2.6999999999999997|convexity_higher1^16^EMA&price_crossover_ema^20|roc_crossover0^40|rsi_fast_crossover_slow^25^60&roc_crossunder0^89|trailing_stop^34^1.5
-26.811,32.808,1.536,381.0,35.353,convexity_higher1^16^EMA|convexity_higher1^6^SMA&mass_crossover1^80^72|price_crossover_ema^20|emacd_histogram_start_increase^130^364^104&roc_crossunder0^59|trailing_stop^34^1.5
