开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-18,15.007,45.52,4.329,2.825,2.201,10.514,16.113,0.843,0.275,114.0,45.614,1.876,49.659,11.4,price_higher_sma^20|tsi_higher_signal^55^39^33^EMA&price_crossover_ema^20|ma_atr_long_signal^12.0^14.0^2.1999999999999997|emacd_crossover_signal^230^414^276&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.01,45.531,3.807,3.318,2.181,11.96,13.721,0.718,0.159,125.0,48.0,1.782,48.506,12.5,trix_higher0^6|tsi_higher_signal^55^39^33^EMA&price_crossover_ema^20|emacd_histogram_start_increase_2^180^432^126|smacd_start_increase^140^364&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.013,45.542,4.425,3.155,2.186,10.292,14.437,0.756,0.16,125.0,46.4,1.858,48.622,12.5,trix_higher0^6|tsi_overbought^16^5^0.0^SMA&price_crossover_ema^20|trix_crossover_signal^180^108|ma_atr_long_signal^12.0^14.0^2.1999999999999997&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.014,45.542,4.216,3.075,2.117,10.802,14.811,0.775,0.153,147.0,46.259,1.789,50.272,14.7,smacd_increase^8^11|tsi_overbought^16^5^0.0^SMA&adx_plus_crossover_minus^90|price_crossover_ema^20|emacd_histogram_start_increase_2^140^364^98&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.021,45.569,2.632,3.214,2.099,17.314,14.18,0.742,0.161,129.0,51.163,1.508,50.441,12.9,tsi_higher_signal^55^39^33^EMA|tsi_overbought^16^5^0.0^SMA&adx_plus_crossover_minus^90|price_crossover_ema^20|tsi_crossover0^230^207^EMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.025,45.583,3.421,2.887,1.862,13.325,15.789,0.826,0.268,95.0,47.368,1.973,50.03,9.5,smacd_higher_signal^14^31^20|tsi_higher_signal^55^39^33^EMA&price_crossover_ema^20|stoch_k_crossover_d^70^63^49|sma_fast_crossover_slow^110^264&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.026,45.583,3.825,3.063,2.188,11.918,14.883,0.779,0.153,157.0,47.771,1.604,49.428,15.7,price_higher_sma^20|tsi_higher_signal^55^39^33^EMA&price_crossover_ema^20|rsi_crossover50^250|kc_price_crossover_high^110.0^44.0^2.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.031,45.603,1.86,4.815,2.409,24.518,9.471,0.496,0.162,64.0,64.062,1.501,51.546,6.4,price_higher_sma^20|tsi_higher_signal^8^5^4^SMA&adx_plus_crossover_minus^90|smacd_start_increase^140^364|smi_k_crossover0^190^114^EMA&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.033,45.607,4.857,3.051,2.155,9.39,14.947,0.782,0.152,157.0,47.134,1.626,49.294,15.7,price_higher_sma^20|tsi_higher_signal^55^39^33^EMA&price_crossover_ema^20|kc_price_crossover_high^110.0^44.0^2.8999999999999995|trix_crossover_signal^180^108&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.035,45.616,2.763,3.214,2.283,16.51,14.191,0.743,0.182,130.0,50.769,1.538,49.097,13.0,tsi_higher_signal^55^39^33^EMA|tsi_overbought^16^5^0.0^SMA&price_crossover_ema^20|rsi_fast_crossover_slow^30^48|smacd_start_increase^140^364&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.049,45.664,3.373,3.503,2.216,13.536,13.036,0.682,0.152,102.0,48.039,1.958,49.458,10.2,smacd_higher_signal^14^31^20|tsi_higher_signal^55^39^33^EMA&adx_plus_crossover_minus^90|emacd_start_increase^55^99|smacd_start_increase^140^364&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.052,45.673,1.937,5.248,2.526,23.583,8.703,0.456,0.368,32.0,65.625,2.309,52.208,3.2,kc_neutral^55.0^66.0^2.6999999999999997|skew_negative^20^EMA&mass_crossover1^90^27|mass_crossunder1^120^84|stoch_k_crossover50^180^144&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.054,45.68,3.317,3.683,2.3,13.77,12.402,0.649,0.157,128.0,51.562,1.535,50.532,12.8,tsi_overbought^16^5^0.0^SMA|rvi_overbought^70^0.0^SMA&adx_plus_crossover_minus^90|price_crossover_ema^20|stoch_k_crossover_d^70^63^49&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.054,45.679,3.681,4.357,2.714,12.41,10.483,0.549,0.196,79.0,58.228,1.587,49.31,7.9,roc_higher0^18|tsi_higher_signal^55^39^33^EMA&kc_price_crossover_high^110.0^44.0^2.8999999999999995|trix_crossover_signal^180^108|smacd_start_increase^140^364&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.054,45.68,5.042,2.805,2.306,9.06,16.285,0.852,0.179,179.0,48.603,1.502,48.47,17.9,tsi_overbought^16^5^0.0^SMA|kc_neutral^55.0^66.0^2.6999999999999997&price_crossover_ema^20|aroon_diff_crossover0^90|smacd_start_increase^140^364&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.06,45.701,5.87,3.023,1.706,7.786,15.118,0.791,0.772,35.0,54.286,1.782,51.073,3.5,smi_d_neutral^11^8^8^10.0^-10.0^SMA|skew_negative^20^EMA&price_crossover_sma_2^50|smi_k_crossover0^190^114^EMA|kdj_k_crossover_d_2^160^144^144^15&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.06,45.7,2.172,4.745,2.946,21.042,9.631,0.504,0.26,57.0,61.404,1.83,48.919,5.7,trix_increase^80|stoch_k_higher_d^60^48^30&kc_price_crossover_high^110.0^44.0^2.8999999999999995|smacd_start_increase^140^364|smi_d_crossover0^160^80^48^EMA&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.063,45.709,3.344,3.997,2.408,13.668,11.437,0.599,0.173,107.0,54.206,1.524,49.876,10.7,tsi_overbought^16^5^0.0^SMA|rvi_overbought^70^0.0^SMA&price_crossover_ema^20|smacd_start_increase^140^364|kc_price_crossover_high_2^18.0^7.0^3.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.063,45.709,5.275,2.956,2.095,8.665,15.463,0.809,0.66,49.0,46.939,2.353,50.378,4.9,smi_overbought^23^7^0.0^EMA|tsi_neutral^30^27^5.0^-5.0^SMA&adx_plus_crossover_minus^90|price_crossover_ema^20|ma_atr_long_signal^18.0^22.0^2.8&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.064,45.714,2.822,4.093,2.709,16.201,11.169,0.585,0.211,92.0,56.522,1.554,49.448,9.2,aroon_diff_higher0^25|convexity_higher1^16^EMA&kc_price_crossover_high^110.0^44.0^2.8999999999999995|smacd_start_increase^140^364|kc_price_crossover_high_2^18.0^7.0^3.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.065,45.719,3.962,3.358,2.065,11.538,13.614,0.713,0.179,100.0,48.0,1.887,50.598,10.0,emacd_higher_signal^35^56^24|trix_higher0^6&price_crossover_ema^20|rsi_fast_crossover_slow^25^60|kdj_k_crossover50^240^96&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,15.07,45.735,2.357,4.912,2.462,19.404,9.31,0.487,0.31,40.0,50.0,3.182,51.601,4.0,tsi_overbought^16^5^0.0^SMA|tsi_neutral^30^27^5.0^-5.0^SMA&trix_start_increase^35|price_crossover_sma^60|stoch_k_crossover_d^70^63^49&trailing_stop^34^1.5|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.072,45.741,5.082,2.773,2.172,9.0,16.495,0.863,0.282,119.0,45.378,1.843,50.296,11.9,price_higher_sma^20|tsi_higher_signal^55^39^33^EMA&price_crossover_ema^20|trix_start_increase^230|rsi_fast_crossover_slow^25^60&trailing_stop^34^1.5|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,15.072,45.741,4.118,3.734,2.267,11.106,12.249,0.641,0.309,68.0,47.059,2.21,49.746,6.8,rvi_higher_signal^25^23|rvi_overbought^70^0.0^SMA&roc_crossover0^40|ma_atr_long_signal^12.0^14.0^2.1999999999999997|adx_crossover_threshold^45.0^35.0&trailing_stop^34^1.5|trailing_stop^34^2.0
