开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-01 23:00:00,2026-06-18,16.849,51.859,2.234,5.491,2.813,23.217,9.445,0.494,0.183,65.0,58.462,1.924,51.795,6.5,bb_neutral^8.0^1.5|convexity_higher1^6^SMA&mass_crossunder1^140^70|stoch_k_crossover_d^70^63^49|stoch_k_crossover_d_2^210^147^105^15&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,16.884,51.981,2.899,4.582,2.649,17.929,11.344,0.594,0.146,119.0,52.941,1.645,49.912,11.9,aroon_diff_higher0^25|trix_higher0^6&adx_plus_crossover_minus^90|price_crossover_ema^20|mass_crossunder1^140^70&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,16.912,52.08,3.165,4.649,2.53,16.457,11.202,0.586,0.153,104.0,54.808,1.599,51.39,10.4,trix_higher0^6|trix_higher0^12&adx_plus_crossover_minus^90|price_crossover_ema^20|smacd_crossover_signal^220^484^286&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,16.938,52.17,2.475,3.869,2.46,21.076,13.485,0.706,0.175,108.0,54.63,1.522,50.605,10.8,tsi_higher_signal^55^39^33^EMA|tsi_overbought^16^5^0.0^SMA&price_crossover_ema^20|emacd_crossover_signal^230^414^276|smi_k_crossover0^190^114^EMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,16.939,52.171,3.424,3.938,2.401,15.235,13.248,0.693,0.152,108.0,50.926,1.818,50.699,10.8,trix_higher0^6|tsi_higher_signal^55^39^33^EMA&adx_plus_crossover_minus^90|price_crossover_ema^20|sma_fast_crossover_slow_2^100^280&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,16.94,52.176,3.425,4.053,2.317,15.234,12.873,0.674,0.161,88.0,54.545,1.711,50.811,8.8,emacd_higher_signal^35^56^24|trix_higher0^6&price_crossover_ema^20|ma_atr_long_signal^18.0^22.0^2.8|adx_crossover_threshold^45.0^35.0&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,16.947,52.202,2.486,3.812,2.46,20.996,13.694,0.717,0.17,113.0,53.097,1.573,50.675,11.3,tsi_higher_signal^55^39^33^EMA|tsi_overbought^16^5^0.0^SMA&price_crossover_ema^20|ma_atr_long_signal^18.0^22.0^2.8|emacd_crossover_signal^210^420^294&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,16.974,52.296,1.992,4.406,1.813,26.255,11.868,0.621,0.426,18.0,77.778,2.157,50.797,1.8,skew_negative^20^EMA|convexity_higher1^16^EMA&trix_crossover_signal^150^180|smacd_crossover_signal^220^484^286|adx_crossover_threshold^45.0^35.0&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,16.975,52.299,2.953,3.552,2.53,17.712,14.725,0.771,0.177,135.0,51.111,1.597,48.943,13.5,tsi_higher_signal^55^39^33^EMA|tsi_overbought^16^5^0.0^SMA&price_crossover_ema^20|stoch_k_crossover_d^80^72^24|smacd_start_increase^140^364&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,16.988,52.343,2.432,4.299,2.718,21.524,12.175,0.637,0.163,123.0,53.659,1.518,50.343,12.3,tsi_overbought^16^5^0.0^SMA|rvi_overbought^70^0.0^SMA&adx_plus_crossover_minus^90|price_crossover_ema^20|sma_fast_crossover_slow_3^130^234&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,16.992,52.357,1.722,4.576,1.666,30.403,11.44,0.599,0.504,12.0,91.667,3.461,52.02,1.2,skew_negative^20^EMA|convexity_higher1^6^SMA&trix_crossover_signal^150^180|adx_crossunder_threshold^230.0^20.0|adx_crossover_threshold^45.0^35.0&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,17.032,52.498,3.036,4.649,2.532,17.29,11.292,0.591,0.152,106.0,54.717,1.596,51.561,10.6,trix_higher0^6|trix_higher0^12&adx_plus_crossover_minus^90|price_crossover_ema^20|smi_d_crossover0^170^68^119^EMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,17.034,52.503,3.051,3.702,2.305,17.206,14.184,0.742,0.158,111.0,53.153,1.605,50.436,11.1,sma_fast_higher_slow^12^22|skew_positive^12^EMA&adx_plus_crossover_minus^90|price_crossover_ema^20|tsi_crossover0^230^207^EMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,17.042,52.532,1.783,4.502,1.853,29.458,11.667,0.611,0.214,28.0,75.0,2.022,52.551,2.8,smacd_higher_signal^14^31^20|convexity_higher1^16^EMA&mass_crossunder1^140^70|ma_atr_long_signal^12.0^14.0^2.1999999999999997|adx_crossover_threshold^130.0^25.0&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,17.059,52.591,3.391,3.829,2.443,15.511,13.734,0.719,0.152,115.0,53.913,1.52,50.348,11.5,trix_higher0^6|kdj_k_overbought^26^10^50&price_crossover_ema^20|ma_atr_long_signal^12.0^14.0^2.1999999999999997|tsi_crossover0^230^207^EMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,17.075,52.646,3.326,3.653,2.318,15.83,14.411,0.754,0.146,119.0,50.42,1.745,49.735,11.9,tsi_overbought^16^5^0.0^SMA|skew_positive^12^EMA&adx_plus_crossover_minus^90|price_crossover_ema^20|ma_atr_long_signal^18.0^22.0^2.8&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,17.095,52.717,1.785,5.934,3.104,29.533,8.884,0.465,0.231,53.0,58.491,2.127,51.372,5.3,kc_neutral^55.0^66.0^2.6999999999999997|convexity_higher1^16^EMA&mass_crossover1^90^27|mass_crossunder1^140^70|emacd_crossover_signal^230^414^276&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,17.104,52.748,2.884,4.505,2.806,18.29,11.71,0.613,0.166,114.0,55.263,1.538,49.839,11.4,tsi_overbought^16^5^0.0^SMA|rvi_overbought^70^0.0^SMA&price_crossover_ema^20|ma_atr_long_signal^12.0^14.0^2.1999999999999997|smacd_start_increase^140^364&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,17.111,52.775,2.631,5.314,3.258,20.058,9.931,0.52,0.329,53.0,54.717,2.525,50.394,5.3,trix_higher_signal^45.0^45.0|tsi_overbought^16^5^0.0^SMA&emacd_histogram_start_increase^130^364^104|smacd_start_increase^140^364|ema_fast_crossover_slow^140^280&trailing_stop^34^1.5|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,17.112,52.776,3.053,4.243,2.713,17.285,12.439,0.651,0.21,79.0,51.899,2.037,51.058,7.9,rvi_signal_neutral^8^2^10.0^-10.0^EMA|skew_negative^20^EMA&emacd_start_increase^55^99|mass_crossunder1^120^84|kc_price_crossover_high^110.0^44.0^2.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,17.132,52.846,2.757,3.745,2.605,19.168,14.112,0.739,0.171,127.0,52.756,1.527,48.77,12.7,tsi_higher_signal^55^39^33^EMA|tsi_overbought^16^5^0.0^SMA&price_crossover_ema^20|emacd_crossover_signal_2^30^42^24|smacd_start_increase^140^364&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,17.16,52.946,2.128,5.302,2.828,24.878,9.987,0.523,0.161,69.0,60.87,1.784,51.24,6.9,price_higher_sma^20|smacd_increase^8^11&adx_plus_crossover_minus^90|ma_atr_long_signal^12.0^14.0^2.1999999999999997|smacd_start_increase^140^364&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,17.171,52.982,2.139,4.868,2.651,24.774,10.883,0.57,0.15,96.0,55.208,1.689,50.426,9.6,aroon_diff_higher0^25|trix_higher0^6&price_crossover_ema^20|ma_atr_long_signal^12.0^14.0^2.1999999999999997|rvi_signal_crossover0^220^154^EMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,17.214,53.133,3.636,3.837,2.45,14.611,13.848,0.725,0.16,107.0,50.467,1.84,49.016,10.7,tsi_overbought^16^5^0.0^SMA|skew_positive^12^EMA&price_crossover_ema^20|sma_fast_crossover_slow^100^280|smacd_start_increase^140^364&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,17.246,53.248,1.783,4.576,1.815,29.86,11.636,0.609,0.199,28.0,75.0,2.153,53.022,2.8,smacd_higher_signal^14^31^20|convexity_higher1^16^EMA&mass_crossunder1^140^70|ma_atr_long_signal^12.0^14.0^2.1999999999999997|adx_crossover_threshold^130.0^25.0&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,17.247,53.249,3.114,4.559,2.686,17.099,11.681,0.611,0.146,115.0,52.174,1.73,49.818,11.5,aroon_diff_higher0^25|trix_higher0^6&adx_plus_crossover_minus^90|price_crossover_ema^20|smacd_crossover_signal^220^484^286&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,17.263,53.308,3.249,4.401,2.764,16.409,12.114,0.634,0.16,122.0,53.279,1.577,50.43,12.2,tsi_overbought^16^5^0.0^SMA|rvi_overbought^70^0.0^SMA&adx_plus_crossover_minus^90|price_crossover_ema^20|kdj_k_crossover50^230^207&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,17.293,53.411,1.539,6.348,3.055,34.694,8.413,0.44,0.588,17.0,58.824,9.319,53.517,1.7,tsi_higher_signal^8^5^4^SMA|tsi_neutral^30^27^5.0^-5.0^SMA&stoch_k_crossover_d^80^72^24|smacd_start_increase^140^364|sma_fast_crossover_slow_2^100^280&roc_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,17.304,53.451,2.155,5.026,2.706,24.809,10.635,0.557,0.157,90.0,57.778,1.582,51.029,9.0,aroon_diff_higher0^25|trix_higher0^6&price_crossover_ema^20|tsi_crossover0^230^207^EMA|smi_k_crossover0^190^114^EMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,17.351,53.613,3.659,3.969,2.593,14.651,13.508,0.707,0.983,28.0,53.571,2.788,51.138,2.8,kdj_k_higher_d^60^48^42|smi_k_higher_d^23^7^7&rsi_fast_crossover_slow^30^48|smi_k_crossover_d_2^240^216^216^45|kdj_k_crossover_d_2^190^171^95^15&aroon_diff_crossunder0^109|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,17.405,53.803,2.528,3.668,2.446,21.285,14.67,0.768,0.159,133.0,52.632,1.512,50.252,13.3,tsi_higher_signal^55^39^33^EMA|tsi_overbought^16^5^0.0^SMA&price_crossover_ema^20|stoch_k_crossover_d^70^63^49|ma_atr_long_signal^12.0^14.0^2.1999999999999997&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
