开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-19 16:45:00,17.351,52.803,3.659,3.933,2.547,14.43,13.424,0.703,0.977,28.0,53.571,2.788,51.138,2.8,kdj_k_higher_d^60^48^42|smi_k_higher_d^23^7^7&rsi_fast_crossover_slow^30^48|smi_k_crossover_d_2^240^216^216^45|kdj_k_crossover_d_2^190^171^95^15&aroon_diff_crossunder0^109|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,17.445,53.13,2.979,4.021,1.943,17.834,13.212,0.692,0.731,24.0,54.167,3.109,52.6,2.4,emacd_higher_signal^35^56^24|skew_negative^20^EMA&adx_plus_crossover_minus^90|emacd_crossover_signal_2^30^42^24|stoch_k_crossover50^180^144&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,23.487,74.899,4.075,4.233,3.645,18.379,17.694,0.926,0.775,59.0,49.153,2.269,50.798,5.9,smacd_higher_signal^6^11^7|skew_negative^20^EMA&roc_crossover0^40|emacd_histogram_start_increase^150^360^90|sma_fast_crossover_slow^100^280&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,23.63,75.439,4.089,4.08,3.552,18.45,18.49,0.968,0.913,57.0,56.14,1.95,50.599,5.7,smacd_higher_signal^6^11^7|skew_negative^20^EMA&price_crossover_sma_2^45|roc_crossover0^30|stoch_k_crossover50^180^144&aroon_diff_crossunder0^89|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,24.11,77.248,4.089,4.188,3.637,18.893,18.446,0.965,0.921,56.0,58.929,1.782,50.618,5.6,smacd_higher_signal^6^11^7|skew_negative^20^EMA&price_crossover_sma_2^45|roc_crossover0^30|rvi_signal_crossover0^170^102^SMA&aroon_diff_crossunder0^89|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,22.85,72.521,4.075,4.674,3.384,17.795,15.516,0.812,0.703,47.0,53.191,2.321,51.057,4.7,smacd_higher_signal^6^11^7|skew_negative^20^EMA&roc_crossover0^40|stoch_d_crossover50^160^128^80|smi_k_crossover0^190^114^EMA&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,23.874,76.356,4.075,4.832,3.588,18.736,15.801,0.827,0.674,52.0,51.923,2.494,51.343,5.2,smacd_higher_signal^6^11^7|skew_negative^20^EMA&adx_plus_crossover_minus^100|roc_crossover0^40|smi_k_crossover0^190^114^EMA&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,16.505,49.901,2.155,4.705,2.518,23.161,10.606,0.555,0.153,92.0,56.522,1.58,50.807,9.2,aroon_diff_higher0^25|trix_higher0^6&price_crossover_ema^20|tsi_crossover0^230^207^EMA|smi_k_crossover0^190^114^EMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-19 16:45:00,16.371,49.446,2.139,4.556,2.467,23.121,10.852,0.568,0.147,98.0,54.082,1.683,50.211,9.8,aroon_diff_higher0^25|trix_higher0^6&price_crossover_ema^20|ma_atr_long_signal^12.0^14.0^2.1999999999999997|rvi_signal_crossover0^220^154^EMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-19 16:45:00,17.111,51.979,2.631,5.267,3.201,19.755,9.869,0.517,0.328,53.0,54.717,2.525,50.394,5.3,trix_higher_signal^45.0^45.0|tsi_overbought^16^5^0.0^SMA&emacd_histogram_start_increase^130^364^104|smacd_start_increase^140^364|ema_fast_crossover_slow^140^280&trailing_stop^34^1.5|trailing_stop^34^3.5
