total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-38.845,29.953,1.576,424.0,41.526,tsi_neutral^190^133^25.0^-25.0^SMA|convexity_higher1^12^EMA&price_crossover_ema^30|second_wave_trend_2^6|mass_crossover1^20^14&roc_crossunder0^59|trailing_stop^34^1.5
-36.786,29.762,1.622,420.0,39.557,rsi_neutral^23^75^25|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^30|second_wave_trend_2^6|mass_crossover1^20^14&roc_crossunder0^59|trailing_stop^34^1.5
-36.131,29.929,1.621,421.0,38.931,rvi_neutral^29^35.0^-35.0^EMA|convexity_higher1^12^EMA&price_crossover_ema^30|second_wave_trend_2^6|mass_crossover1^20^14&roc_crossunder0^59|trailing_stop^34^1.5
-34.393,31.051,1.564,409.0,37.611,rsi_neutral^23^75^25|convexity_higher1^12^EMA&price_crossover_ema^30|mass_crossover1^20^14|rvi_crossover0^26^SMA&roc_crossunder0^59|trailing_stop^34^1.5
-34.159,32.653,1.455,392.0,37.639,tsi_neutral^190^133^25.0^-25.0^SMA|convexity_higher1^12^EMA&price_crossover_ema^30|second_wave_trend_2^6|mass_crossover1^20^14&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
-34.135,30.198,1.601,404.0,36.976,tsi_neutral^190^133^25.0^-25.0^SMA|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^30|mass_crossover1^20^14|emacd_start_increase^120^288&roc_crossunder0^59|trailing_stop^34^1.5
-34.116,29.88,1.643,415.0,36.9,bb_neutral^80.0^2.8999999999999995|convexity_higher1^12^EMA&price_crossover_ema^30|second_wave_trend_2^6|mass_crossover1^20^14&roc_crossunder0^59|trailing_stop^34^1.5
-33.997,29.952,1.639,414.0,36.786,bb_neutral^80.0^2.8999999999999995|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^30|second_wave_trend_2^6|mass_crossover1^20^14&roc_crossunder0^59|trailing_stop^34^1.5
-33.278,36.65,1.227,412.0,36.448,tsi_neutral^190^133^25.0^-25.0^SMA|convexity_higher1^12^EMA&price_crossover_ema^30|second_wave_trend_2^6|mass_crossover1^20^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-32.858,31.951,1.493,410.0,35.937,rsi_neutral^23^75^25|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^30|second_wave_trend_2^40|second_wave_trend_2^6&roc_crossunder0^59|trailing_stop^34^1.5
-32.545,30.941,1.592,404.0,35.347,bb_neutral^80.0^2.8999999999999995|convexity_higher1^12^EMA&price_crossover_ema^30|mass_crossover1^20^14|rvi_crossover0^26^SMA&roc_crossunder0^59|trailing_stop^34^1.5
-32.281,32.029,1.496,409.0,35.387,tsi_neutral^190^133^25.0^-25.0^SMA|rsi_neutral^23^75^25&price_crossover_ema^30|second_wave_trend_2^40|second_wave_trend_2^6&roc_crossunder0^59|trailing_stop^34^1.5
-32.281,32.029,1.496,409.0,35.387,tsi_neutral^190^133^25.0^-25.0^SMA|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^30|second_wave_trend_2^40|second_wave_trend_2^6&roc_crossunder0^59|trailing_stop^34^1.5
-32.093,32.474,1.497,388.0,35.683,rsi_neutral^23^75^25|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^30|second_wave_trend_2^6|mass_crossover1^20^14&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
-31.935,30.73,1.593,397.0,34.901,bb_neutral^80.0^2.8999999999999995|convexity_higher1^12^EMA&price_crossover_ema^30|second_wave_trend_2^40|mass_crossover1^20^14&roc_crossunder0^59|trailing_stop^34^1.5
-31.861,31.91,1.518,398.0,34.956,rvi_neutral^29^35.0^-35.0^EMA|convexity_higher1^12^EMA&second_wave_trend_2^6|price_crossover_sma^30|mass_crossover1^20^14&roc_crossunder0^59|trailing_stop^34^1.5
-31.712,30.5,1.633,400.0,35.274,tsi_neutral^190^133^25.0^-25.0^SMA|convexity_higher1^12^EMA&price_crossover_ema^30|second_wave_trend_2^6|mass_crossover1^20^14&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-31.438,32.648,1.496,389.0,35.063,rvi_neutral^29^35.0^-35.0^EMA|convexity_higher1^12^EMA&price_crossover_ema^30|second_wave_trend_2^6|mass_crossover1^20^14&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
-31.391,29.337,1.7,392.0,34.97,rsi_neutral^23^75^25|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^30|second_wave_trend_2^6|emacd_histogram_start_increase^220^396^308&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-31.319,31.671,1.543,401.0,34.735,tsi_neutral^190^133^25.0^-25.0^SMA|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^30|second_wave_trend_2^6|rvi_crossover0^26^SMA&roc_crossunder0^59|trailing_stop^34^1.5
-31.319,31.671,1.543,401.0,34.735,tsi_neutral^190^133^25.0^-25.0^SMA|rsi_neutral^23^75^25&price_crossover_ema^30|second_wave_trend_2^6|rvi_crossover0^26^SMA&roc_crossunder0^59|trailing_stop^34^1.5
-31.253,29.412,1.697,391.0,34.839,rvi_neutral^29^35.0^-35.0^EMA|convexity_higher1^12^EMA&price_crossover_ema^30|second_wave_trend_2^6|emacd_histogram_start_increase^220^396^308&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-30.963,31.83,1.55,399.0,34.564,tsi_neutral^190^133^25.0^-25.0^SMA|convexity_higher1^12^EMA&price_crossover_ema^30|second_wave_trend_2^6|mass_crossover1^20^14&roc_crossunder0^89|trailing_stop^34^1.5
-30.876,31.795,1.546,390.0,34.482,tsi_neutral^190^133^25.0^-25.0^SMA|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^30|second_wave_trend_2^6|rvi_crossover0^23^SMA&roc_crossunder0^89|trailing_stop^34^1.5
-30.627,32.468,1.51,385.0,33.609,bb_neutral^80.0^2.8999999999999995|convexity_higher1^12^EMA&price_crossover_ema^30|second_wave_trend_2^6|mass_crossover1^20^14&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
-30.561,36.675,1.26,409.0,33.86,rvi_neutral^29^35.0^-35.0^EMA|convexity_higher1^12^EMA&price_crossover_ema^30|second_wave_trend_2^6|mass_crossover1^20^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-30.508,32.552,1.506,384.0,33.495,bb_neutral^80.0^2.8999999999999995|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^30|second_wave_trend_2^6|mass_crossover1^20^14&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
-30.39,37.343,1.208,399.0,33.697,tsi_neutral^190^133^25.0^-25.0^SMA|convexity_higher1^12^EMA&second_wave_trend_2^6|price_crossover_sma^30|mass_crossover1^20^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-29.728,32.051,1.529,390.0,32.839,bb_neutral^80.0^2.8999999999999995|convexity_higher1^12^EMA&second_wave_trend_2^6|price_crossover_sma^30|mass_crossover1^20^14&roc_crossunder0^59|trailing_stop^34^1.5
-29.653,30.303,1.683,396.0,33.322,rsi_neutral^23^75^25|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^30|second_wave_trend_2^6|mass_crossover1^20^14&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-29.634,32.225,1.534,391.0,33.72,tsi_neutral^190^133^25.0^-25.0^SMA|rsi_neutral^23^75^25&price_crossover_ema^30|second_wave_trend_2^6|rvi_crossover0^26^SMA&roc_crossunder0^89|trailing_stop^34^1.5
-29.634,32.225,1.534,391.0,33.72,tsi_neutral^190^133^25.0^-25.0^SMA|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^30|second_wave_trend_2^6|rvi_crossover0^26^SMA&roc_crossunder0^89|trailing_stop^34^1.5
-29.4,30.28,1.681,393.0,32.383,bb_neutral^80.0^2.8999999999999995|convexity_higher1^12^EMA&price_crossover_ema^30|second_wave_trend_2^6|mass_crossover1^20^14&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-29.372,36.725,1.263,403.0,32.021,bb_neutral^80.0^2.8999999999999995|convexity_higher1^12^EMA&price_crossover_ema^30|second_wave_trend_2^6|mass_crossover1^20^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-29.289,32.308,1.533,390.0,33.395,rsi_neutral^23^75^25|convexity_higher1^12^EMA&price_crossover_ema^30|second_wave_trend_2^6|rvi_crossover0^26^SMA&roc_crossunder0^89|trailing_stop^34^1.5
-29.289,32.308,1.533,390.0,33.395,tsi_neutral^190^133^25.0^-25.0^SMA|convexity_higher1^12^EMA&price_crossover_ema^30|second_wave_trend_2^6|rvi_crossover0^26^SMA&roc_crossunder0^89|trailing_stop^34^1.5
-29.281,30.357,1.677,392.0,32.268,bb_neutral^80.0^2.8999999999999995|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^30|second_wave_trend_2^6|mass_crossover1^20^14&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-29.253,36.816,1.26,402.0,31.906,bb_neutral^80.0^2.8999999999999995|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^30|second_wave_trend_2^6|mass_crossover1^20^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-29.168,31.392,1.61,395.0,32.862,rsi_neutral^23^75^25|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^30|second_wave_trend_2^6|mass_crossover1^20^14&roc_crossunder0^89|trailing_stop^34^1.5
-28.998,30.479,1.681,397.0,32.701,rvi_neutral^29^35.0^-35.0^EMA|convexity_higher1^12^EMA&price_crossover_ema^30|second_wave_trend_2^6|mass_crossover1^20^14&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-28.513,31.566,1.608,396.0,32.242,rvi_neutral^29^35.0^-35.0^EMA|convexity_higher1^12^EMA&price_crossover_ema^30|second_wave_trend_2^6|mass_crossover1^20^14&roc_crossunder0^89|trailing_stop^34^1.5
-28.47,32.134,1.55,389.0,32.201,tsi_neutral^190^133^25.0^-25.0^SMA|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^30|second_wave_trend_2^6|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-28.47,32.134,1.55,389.0,32.201,rsi_neutral^23^75^25|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^30|second_wave_trend_2^6|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-28.432,37.245,1.24,392.0,31.422,rsi_neutral^23^75^25|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^40|second_wave_trend_2^6|rvi_crossover_signal^90^72&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-28.432,37.245,1.24,392.0,31.422,tsi_neutral^190^133^25.0^-25.0^SMA|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^40|second_wave_trend_2^6|rvi_crossover_signal^90^72&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-28.351,31.282,1.621,390.0,31.378,bb_neutral^80.0^2.8999999999999995|rsi_neutral^23^75^25&price_crossover_ema^30|second_wave_trend_2^6|mass_crossover1^20^14&roc_crossunder0^89|trailing_stop^34^1.5
-28.301,37.31,1.246,394.0,31.991,tsi_neutral^190^133^25.0^-25.0^SMA|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^30|second_wave_trend_2^6|rvi_crossover0^23^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-28.301,37.31,1.246,394.0,31.991,rsi_neutral^23^75^25|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^30|second_wave_trend_2^6|rvi_crossover0^23^SMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-28.015,37.179,1.243,390.0,30.585,rsi_neutral^23^75^25|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^40|second_wave_trend_2^6|mass_crossover1^20^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-27.904,33.246,1.473,382.0,31.665,tsi_neutral^190^133^25.0^-25.0^SMA|rvi_neutral^29^35.0^-35.0^EMA&price_crossover_ema^30|second_wave_trend_2^6|roc_crossover0^40&roc_crossunder0^89|trailing_stop^34^1.5
-27.896,37.374,1.238,396.0,31.322,rvi_neutral^29^35.0^-35.0^EMA|convexity_higher1^12^EMA&second_wave_trend_2^6|price_crossover_sma^30|mass_crossover1^20^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-27.697,33.69,1.461,374.0,31.519,rvi_neutral^29^35.0^-35.0^EMA|convexity_higher1^12^EMA&second_wave_trend_2^6|price_crossover_sma^30|mass_crossover1^20^14&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
-27.65,37.34,1.241,391.0,30.234,rvi_neutral^29^35.0^-35.0^EMA|convexity_higher1^12^EMA&price_crossover_ema^40|second_wave_trend_2^6|mass_crossover1^20^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
