开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-18,15.001,45.501,4.368,3.21,1.951,10.416,14.173,0.742,0.71,32.0,56.25,1.911,48.925,3.2,kdj_d_neutral^11^4^8^70^30|convexity_higher1^12^EMA&stoch_d_crossover50^230^92^115|tsi_crossover_signal^230^138^207^SMA|emacd_crossover_signal^80^176^48&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.002,45.503,4.088,3.133,1.996,11.132,14.526,0.76,0.497,48.0,54.167,2.173,48.848,4.8,bb_neutral^8.0^1.9|kdj_d_neutral^11^4^8^70^30&stoch_k_crossover50^250^150|emacd_crossover_signal^80^176^48|smacd_histogram_start_increase^230^460^253&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.003,45.505,4.512,3.771,2.678,10.086,12.068,0.632,0.72,42.0,52.381,2.175,48.965,4.2,ma_atr_long_period^8.0^8.0^1.2|tsi_neutral^190^133^25.0^-25.0^SMA&stoch_k_crossover50^250^150|tsi_crossover_signal^230^138^207^SMA|emacd_crossover_signal^80^176^48&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.003,45.505,2.01,4.034,1.85,22.637,11.28,0.59,0.771,13.0,92.308,2.508,53.963,1.3,smacd_increase^45^63|tsi_neutral^12^4^15.0^-15.0^EMA&stoch_k_crossover50^250^150|kdj_k_crossover_d^80^72^72|emacd_crossover_signal^80^176^48&aroon_diff_crossunder0^59|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.004,45.51,3.949,3.659,2.697,11.524,12.439,0.651,0.638,49.0,51.02,2.14,48.559,4.9,ma_atr_long_period^8.0^8.0^1.2|adx_lower_threshold^45.0^25.0&smacd_histogram_start_increase_2^200^440^260|adx_crossunder_threshold^35.0^35.0|smi_k_crossover_d_2^80^56^24^25&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.007,45.52,4.76,2.775,2.538,9.564,16.401,0.858,0.547,100.0,50.0,1.506,49.386,10.0,tsi_neutral^190^133^25.0^-25.0^SMA|rvi_neutral^29^35.0^-35.0^EMA&second_wave_trend_2^6|bb_price_crossover_low^20.0^3.8999999999999995|kdj_k_crossover_d_2^240^168^168^20&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.011,45.535,4.186,3.269,2.154,10.878,13.93,0.729,0.497,46.0,47.826,2.351,49.398,4.6,kc_neutral^80.0^32.0^3.6999999999999993|stoch_d_neutral^26^23^18^55^45&rsi_fast_crossover_slow^130^260|emacd_start_increase^120^288|smacd_crossover_signal_3^170^272^238&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.011,45.535,6.251,2.345,2.282,7.284,19.418,1.016,0.477,127.0,48.031,1.521,49.131,12.7,bb_neutral^80.0^2.8999999999999995|rsi_neutral^11^60^40&second_wave_trend_2^40|second_wave_trend_2^6|emacd_crossover_signal^80^176^48&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.013,45.541,5.162,2.976,2.458,8.822,15.305,0.801,0.534,83.0,46.988,1.853,49.5,8.3,tsi_neutral^12^4^15.0^-15.0^EMA|kdj_k_neutral^8^2^85^15&second_wave_trend_2^6|smacd_histogram_start_increase^230^460^253|smacd_crossover_signal_2^190^380^190&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.013,45.541,2.859,3.793,2.272,15.927,12.007,0.628,0.505,29.0,65.517,3.058,49.269,2.9,tsi_neutral^12^4^15.0^-15.0^EMA|kdj_d_neutral^11^4^8^70^30&kdj_k_crossover50^29^23|emacd_crossover_signal^80^176^48|bb_price_crossover_low_2^200.0^2.3&roc_crossunder0^59|trailing_stop^34^3.0
