开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-01 23:00:00,2026-06-18,26.63,88.41,3.592,5.1,4.467,24.613,17.337,0.907,0.533,87.0,55.172,1.909,49.408,8.7,kdj_d_neutral^11^4^8^70^30|smi_d_neutral^100^90^90^30.0^-30.0^EMA&second_wave_trend_2^6|emacd_crossover_signal^80^176^48|smacd_histogram_start_increase^230^460^253&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,26.636,88.433,3.161,5.355,4.45,27.976,16.515,0.864,0.638,60.0,55.0,2.133,49.242,6.0,tsi_neutral^12^4^15.0^-15.0^EMA|convexity_higher1^12^EMA&emacd_start_increase^140^252|emacd_crossover_signal^80^176^48|smacd_histogram_start_increase^230^460^253&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,26.645,88.473,2.819,5.545,4.446,31.39,15.955,0.835,0.584,58.0,50.0,3.403,50.023,5.8,bb_neutral^80.0^2.8999999999999995|stoch_d_neutral^26^23^18^55^45&sma_fast_crossover_slow_3^25^45|emacd_start_increase^120^288|smacd_histogram_start_increase^230^460^253&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,26.647,88.479,2.965,5.387,4.882,29.846,16.423,0.86,0.564,78.0,56.41,1.929,50.017,7.8,tsi_neutral^12^4^15.0^-15.0^EMA|smi_d_neutral^100^90^90^30.0^-30.0^EMA&second_wave_trend_2^6|stoch_k_crossover_d^80^48^72|stoch_k_crossover_d_2^250^200^225^15&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,26.653,88.501,4.154,4.539,4.362,21.304,19.497,1.021,0.699,81.0,51.852,1.918,49.474,8.1,tsi_neutral^12^4^15.0^-15.0^EMA|rvi_neutral^29^35.0^-35.0^EMA&sma_fast_crossover_slow_3^25^45|emacd_start_increase^120^288|stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,26.654,88.505,2.933,5.939,4.701,30.175,14.902,0.78,0.761,42.0,59.524,2.814,50.717,4.2,kc_neutral^80.0^32.0^3.6999999999999993|convexity_higher1^6^EMA&stoch_k_crossover50^220^154|tsi_crossover_signal^150^105^45^EMA|kdj_k_crossover_d_2^250^175^125^15&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,26.665,88.551,2.368,6.172,4.764,37.39,14.348,0.751,0.787,34.0,64.706,3.174,49.115,3.4,tsi_neutral^190^133^25.0^-25.0^SMA|tsi_neutral^12^4^15.0^-15.0^EMA&trix_start_increase^90|tsi_crossover_signal^230^138^207^SMA|smacd_histogram_start_increase^230^460^253&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,26.676,88.596,4.274,5.145,4.394,20.731,17.219,0.901,0.752,59.0,50.847,2.911,49.553,5.9,stoch_k_higher_d^40^24^28|rvi_neutral^29^35.0^-35.0^EMA&kdj_k_crossover_d^80^72^72|smacd_histogram_start_increase^230^460^253|smacd_crossover_signal_3^160^256^208&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,26.687,88.638,2.976,5.085,4.598,29.784,17.431,0.912,0.591,77.0,54.545,1.965,50.268,7.7,tsi_neutral^12^4^15.0^-15.0^EMA|smi_d_neutral^30^24^27^25.0^-25.0^SMA&second_wave_trend_2^6|stoch_k_crossover_d^80^48^72|emacd_crossover_signal^80^176^48&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,26.698,88.683,3.78,5.507,4.748,23.463,16.104,0.843,0.585,60.0,50.0,2.652,50.457,6.0,tsi_neutral^12^4^15.0^-15.0^EMA|rvi_neutral^29^35.0^-35.0^EMA&emacd_start_increase^120^288|smacd_histogram_start_increase_2^210^462^294|emacd_crossover_signal^80^176^48&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,26.702,88.698,2.835,5.505,4.412,31.286,16.112,0.843,0.545,65.0,52.308,2.354,49.547,6.5,tsi_neutral^190^133^25.0^-25.0^SMA|tsi_neutral^12^4^15.0^-15.0^EMA&emacd_start_increase^140^252|emacd_crossover_signal^80^176^48|smacd_histogram_start_increase^230^460^253&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,26.711,88.734,4.764,5.703,4.831,18.624,15.559,0.814,0.678,54.0,53.704,2.918,49.624,5.4,price_higher_sma^55|kdj_d_neutral^11^4^8^70^30&emacd_start_increase^120^288|smacd_crossover_signal_2^190^380^190|bb_price_crossover_low^20.0^3.8999999999999995&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,26.712,88.74,2.687,5.688,4.851,33.031,15.601,0.817,0.852,41.0,56.098,3.024,49.891,4.1,stoch_d_overbought^8^3^4^50|convexity_higher1^12^EMA&stoch_k_crossover_d^80^48^72|smi_k_crossover0^160^128^EMA|adx_crossunder_threshold^45.0^30.0&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,26.713,88.743,3.619,5.265,4.614,24.522,16.855,0.882,0.731,59.0,54.237,2.315,49.575,5.9,rsi_neutral^11^60^40|kdj_d_neutral^11^4^8^70^30&emacd_start_increase^120^288|smacd_crossover_signal^230^644^299|smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,26.714,88.747,3.738,5.155,4.616,23.745,17.216,0.901,0.605,73.0,57.534,1.942,50.104,7.3,tsi_neutral^12^4^15.0^-15.0^EMA|convexity_higher1^6^EMA&second_wave_trend_2^6|stoch_k_crossover50^250^150|tsi_crossover_signal^150^105^45^EMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,26.717,88.76,2.231,5.962,4.972,39.778,14.887,0.779,1.013,31.0,70.968,2.489,49.222,3.1,mass_higher1^150^60|convexity_higher1^12^EMA&tsi_crossover_signal^230^138^207^SMA|emacd_crossover_signal^80^176^48|smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,26.736,88.835,3.17,5.737,4.975,28.028,15.485,0.811,0.556,86.0,54.651,1.862,50.846,8.6,smi_d_overbought^8^2^4^0.0^SMA|tsi_neutral^12^4^15.0^-15.0^EMA&second_wave_trend_2^6|rvi_crossover0^26^SMA|emacd_crossover_signal_2^55^99^66&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,26.738,88.841,2.447,6.257,4.709,36.299,14.198,0.743,0.759,34.0,67.647,3.077,50.355,3.4,kc_neutral^80.0^32.0^3.6999999999999993|tsi_neutral^12^4^15.0^-15.0^EMA&stoch_k_crossover50^220^154|emacd_crossover_signal^80^176^48|smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,26.744,88.867,4.457,5.207,4.479,19.94,17.065,0.893,0.668,66.0,51.515,2.495,49.758,6.6,bb_neutral^80.0^2.8999999999999995|kc_neutral^80.0^32.0^3.6999999999999993&stoch_k_crossover50^250^150|emacd_crossover_signal^80^176^48|smacd_histogram_start_increase^230^460^253&aroon_diff_crossunder0^109|trailing_stop^34^3.0
