开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-19 16:45:00,25.708,83.362,2.552,6.008,4.448,32.668,13.875,0.726,0.595,43.0,58.14,3.299,49.851,4.3,tsi_neutral^190^133^25.0^-25.0^SMA|tsi_neutral^12^4^15.0^-15.0^EMA&emacd_crossover_signal^80^176^48|smacd_histogram_start_increase^230^460^253|smacd_crossover_signal_3^160^256^208&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,30.791,103.667,3.84,6.245,5.29,27.0,16.599,0.869,0.765,54.0,55.556,2.648,49.834,5.4,kc_neutral^60.0^24.0^1.9|rvi_neutral^29^35.0^-35.0^EMA&emacd_crossover_signal^70^182^42|emacd_crossover_signal^80^176^48|smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,25.806,83.739,2.368,5.859,4.527,35.358,14.292,0.748,0.75,36.0,61.111,3.205,48.818,3.6,tsi_neutral^190^133^25.0^-25.0^SMA|tsi_neutral^12^4^15.0^-15.0^EMA&trix_start_increase^90|tsi_crossover_signal^230^138^207^SMA|smacd_histogram_start_increase^230^460^253&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,30.422,102.15,3.219,6.417,6.034,31.735,15.92,0.833,0.722,72.0,51.389,2.506,50.073,7.2,tsi_neutral^12^4^15.0^-15.0^EMA|smi_d_neutral^30^24^27^25.0^-25.0^SMA&second_wave_trend_2^6|kdj_k_crossover50^29^23|smacd_histogram_start_increase^230^460^253&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,25.914,84.156,2.533,5.83,4.575,33.219,14.434,0.756,0.742,38.0,63.158,2.791,48.761,3.8,tsi_neutral^190^133^25.0^-25.0^SMA|tsi_neutral^12^4^15.0^-15.0^EMA&emacd_crossover_signal_3^30^78^36|emacd_crossover_signal^80^176^48|smacd_histogram_start_increase^230^460^253&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,25.48,82.48,2.447,5.826,4.407,33.7,14.158,0.741,0.729,36.0,63.889,2.896,49.942,3.6,kc_neutral^80.0^32.0^3.6999999999999993|tsi_neutral^12^4^15.0^-15.0^EMA&stoch_k_crossover50^220^154|emacd_crossover_signal^80^176^48|smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,33.31,114.227,3.492,5.989,6.095,32.712,19.071,0.998,0.664,89.0,49.438,2.492,50.334,8.9,tsi_neutral^12^4^15.0^-15.0^EMA|kdj_k_neutral^8^2^85^15&second_wave_trend_2^6|emacd_start_increase^120^288|emacd_crossover_signal^80^176^48&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,26.023,84.582,2.557,5.907,4.531,33.078,14.318,0.749,0.734,38.0,65.789,2.779,49.401,3.8,bb_neutral^80.0^2.8999999999999995|tsi_neutral^12^4^15.0^-15.0^EMA&emacd_crossover_signal^80^176^48|smacd_crossover_signal_2^220^396^132|smacd_histogram_start_increase^230^460^253&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,33.708,115.929,3.487,6.044,6.152,33.25,19.182,1.004,0.721,81.0,51.852,2.315,50.208,8.1,tsi_neutral^190^133^25.0^-25.0^SMA|tsi_neutral^12^4^15.0^-15.0^EMA&second_wave_trend_2^6|stoch_k_crossover_d^80^48^72|kdj_k_crossover50^29^23&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,25.713,83.378,2.124,5.775,4.574,39.251,14.437,0.756,0.73,40.0,65.0,2.593,48.986,4.0,tsi_neutral^12^4^15.0^-15.0^EMA|rsi_neutral^23^75^25&kdj_k_crossover_d^80^72^72|emacd_crossover_signal^80^176^48|smacd_histogram_start_increase^230^460^253&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,25.689,83.288,2.349,5.689,4.509,35.464,14.641,0.766,0.854,35.0,62.857,3.111,49.314,3.5,bb_neutral^80.0^2.8999999999999995|tsi_neutral^12^4^15.0^-15.0^EMA&emacd_crossover_signal^80^176^48|smacd_crossover_signal_2^220^396^132|smacd_histogram_start_increase^230^460^253&aroon_diff_crossunder0^109|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-19 16:45:00,34.514,119.393,3.563,6.333,6.305,33.506,18.853,0.987,0.693,81.0,50.617,2.644,50.108,8.1,tsi_neutral^12^4^15.0^-15.0^EMA|kdj_k_neutral^8^2^85^15&second_wave_trend_2^6|kdj_k_crossover50^29^23|smacd_histogram_start_increase^230^460^253&aroon_diff_crossunder0^89|trailing_stop^34^3.0
