total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-39.29,36.89,1.32,328.0,43.798,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^230^92|rsi_crossover50^40|roc_crossover0^170&roc_crossunder0^59|trailing_stop^34^1.5
-37.073,35.821,1.403,335.0,46.37,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^160^128|price_crossover_ema^80|smacd_histogram_start_increase^150^420^120&roc_crossunder0^59|trailing_stop^34^1.5
-31.998,34.472,1.52,322.0,42.209,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^160^128|price_crossover_ema^70|smacd_histogram_start_increase_2^170^442^119&roc_crossunder0^59|trailing_stop^34^1.5
-31.702,35.276,1.464,326.0,41.181,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^160^128|price_crossover_ema^70|rvi_crossover0^190^EMA&roc_crossunder0^59|trailing_stop^34^1.5
-31.197,37.117,1.374,326.0,38.126,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^230^92|price_crossover_ema^80|smacd_histogram_start_increase^110^220^99&roc_crossunder0^59|trailing_stop^34^1.5
-29.587,35.494,1.474,324.0,38.977,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^160^128|rsi_crossover50^40|rsi_fast_crossover_slow^210^420&roc_crossunder0^59|trailing_stop^34^1.5
-29.238,36.585,1.409,328.0,38.935,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^230^92|rvi_crossover0^190^EMA|rsi_crossover50^40&roc_crossunder0^59|trailing_stop^34^1.5
-28.5,34.295,1.579,312.0,37.317,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^230^92|price_crossover_ema^70|kc_price_crossover_high_2^200.0^80.0^2.3&roc_crossunder0^89|trailing_stop^34^1.5
-27.979,33.871,1.609,310.0,35.173,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^230^92|rsi_crossover50^40|rsi_fast_crossover_slow^210^420&roc_crossunder0^89|trailing_stop^34^1.5
-27.635,36.196,1.448,326.0,37.641,bb_neutral^30.0^3.6999999999999993|convexity_higher1^14^SMA&rvi_crossover_signal^230^92|price_crossover_ema^70|rvi_crossover0^190^EMA&roc_crossunder0^59|trailing_stop^34^1.5
