开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-01 23:00:00,2026-06-18,63.881,276.342,5.938,9.361,6.73,46.54,29.521,1.545,0.599,50.0,58.0,3.068,52.449,5.0,supertrend_long_period^14.0^1.9|convexity_higher1^14^SMA&smi_k_crossover_d_2^210^189^189^45|smacd_histogram_start_increase^110^220^99|smacd_crossover_signal^230^644^299&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,63.885,276.368,7.613,7.848,6.571,36.303,35.215,1.843,0.554,78.0,50.0,2.462,51.343,7.8,convexity_higher1^14^SMA|convexity_higher1^6^SMA&smi_k_crossover_d_2^250^150^225^30|smacd_histogram_start_increase^110^220^99|stoch_k_crossover50^210^168&trailing_stop^34^2.5|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,63.89,276.397,5.6,9.56,6.603,49.358,28.912,1.513,0.657,42.0,59.524,2.985,52.41,4.2,emacd_histogram_increase^90^198^81|rvi_higher_signal^55^50&smacd_histogram_start_increase^110^220^99|sma_fast_crossover_slow_2^200^560|kdj_k_crossover_d_2^80^72^56^15&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,63.907,276.502,7.613,8.282,6.74,36.321,33.385,1.747,0.517,78.0,51.282,2.558,51.25,7.8,convexity_higher1^14^SMA|convexity_higher1^6^SMA&smacd_histogram_start_increase^110^220^99|ma_atr_long_signal^180.0^216.0^2.8|smi_d_crossover0^210^63^63^EMA&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,63.93,276.643,7.613,8.374,6.716,36.34,33.035,1.729,0.512,77.0,50.649,2.694,51.24,7.7,convexity_higher1^14^SMA|convexity_higher1^6^SMA&smacd_histogram_start_increase^110^220^99|sma_fast_crossover_slow_2^200^560|smi_k_crossover0^190^95^SMA&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,63.958,276.813,8.675,7.555,6.452,31.91,36.64,1.918,0.552,74.0,51.351,2.687,51.42,7.4,convexity_higher1^14^SMA|convexity_higher1^6^SMA&smacd_histogram_start_increase^110^220^99|tsi_crossover_signal^230^161^115^SMA|bb_price_crossover_high^25.0^3.8999999999999995&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,63.963,276.845,8.373,8.228,6.543,33.064,33.647,1.761,0.549,73.0,50.685,2.645,51.849,7.3,convexity_higher1^14^SMA|convexity_higher1^6^SMA&smacd_histogram_start_increase^110^220^99|ema_fast_crossover_slow^190^494|smacd_crossover_signal_2^220^308^154&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,63.974,276.914,6.368,8.111,6.234,43.486,34.142,1.787,0.606,55.0,56.364,2.995,52.132,5.5,mass_higher1^8^7|convexity_higher1^6^SMA&smacd_histogram_start_increase^110^220^99|smacd_crossover_signal^230^644^299|tsi_crossover_signal^220^154^132^SMA&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,63.998,277.059,8.373,8.168,6.519,33.089,33.918,1.775,0.539,75.0,54.667,2.241,51.813,7.5,bb_neutral^30.0^3.6999999999999993|convexity_higher1^6^SMA&smacd_histogram_start_increase^110^220^99|ema_fast_crossover_slow^190^494|kdj_d_crossover50^240^96^72&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,64.0,277.075,7.613,8.053,6.607,36.396,34.407,1.801,0.562,76.0,51.316,2.392,51.144,7.6,convexity_higher1^14^SMA|convexity_higher1^6^SMA&smacd_histogram_start_increase^110^220^99|emacd_crossover_signal^230^598^207|smi_k_crossover0^210^105^EMA&trailing_stop^34^2.5|trailing_stop^34^3.0
