total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-29.768,36.05,1.077,319.0,33.06,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rvi_crossover_signal^210^84|emacd_histogram_start_increase^35^98^35|second_wave_trend_2^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-29.399,35.938,1.092,320.0,32.668,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rvi_crossover_signal^190^76|emacd_histogram_start_increase^35^98^35|second_wave_trend_2^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-27.754,31.962,1.341,316.0,30.767,convexity_higher1^14^EMA|convexity_higher1^8^EMA&price_crossover_ema^60|emacd_histogram_start_increase^35^98^35|second_wave_trend_2^14&roc_crossunder0^59|trailing_stop^34^1.5
-27.463,35.577,1.14,312.0,30.448,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|emacd_histogram_start_increase_2^220^396^264|second_wave_trend_2^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-27.433,30.744,1.418,309.0,31.491,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rvi_crossover_signal^190^76|emacd_histogram_start_increase^35^98^35|second_wave_trend_2^14&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-27.01,33.974,1.223,312.0,28.416,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|rsi_fast_crossover_slow^25^50|second_wave_trend_2^55&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-26.794,35.873,1.139,315.0,29.528,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_start_increase^60^96|emacd_histogram_start_increase^35^98^35|second_wave_trend_2^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-26.27,35.312,1.178,320.0,29.275,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|rsi_fast_crossover_slow^30^42|second_wave_trend_2^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-26.009,33.55,1.261,307.0,28.744,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|rsi_fast_crossover_slow^30^42|smacd_histogram_start_increase^160^256^192&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-25.876,36.624,1.132,314.0,28.693,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|second_wave_trend_2^14|second_wave_trend_2^55&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-25.731,34.405,1.227,311.0,27.223,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|rsi_fast_crossover_slow^30^42|second_wave_trend_2^55&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-25.712,32.051,1.377,312.0,29.609,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_start_increase^60^96|emacd_histogram_start_increase^35^98^35|second_wave_trend_2^14&roc_crossunder0^59|trailing_stop^34^1.5
-25.611,36.656,1.115,311.0,28.161,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|roc_crossover0^150|second_wave_trend_2^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-25.556,33.333,1.252,309.0,27.27,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|rsi_fast_crossover_slow^25^50|smacd_histogram_start_increase_2^150^390^90&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-25.49,32.154,1.374,311.0,29.554,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|emacd_start_increase^55^110|second_wave_trend_2^14&roc_crossunder0^59|trailing_stop^34^1.5
-25.438,34.516,1.211,310.0,27.752,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|rsi_fast_crossover_slow^30^42|emacd_histogram_start_increase_2^220^396^264&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-25.375,36.601,1.112,306.0,28.933,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rvi_crossover_signal^210^84|emacd_histogram_start_increase^40^64^48|second_wave_trend_2^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-25.356,35.161,1.21,310.0,28.426,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|second_wave_trend_2^14|smacd_histogram_start_increase^160^256^192&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-25.068,35.691,1.195,311.0,27.992,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|second_wave_trend_2^14|price_crossover_sma_2^160&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-25.052,34.098,1.25,305.0,27.19,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|rsi_fast_crossover_slow^25^50|price_crossover_sma_2^160&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-24.924,32.803,1.342,314.0,29.695,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|rsi_fast_crossover_slow^25^50|second_wave_trend_2^14&roc_crossunder0^59|trailing_stop^34^1.5
-24.848,32.588,1.355,313.0,29.359,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|rsi_fast_crossover_slow^30^42|second_wave_trend_2^14&roc_crossunder0^59|trailing_stop^34^1.5
-24.824,37.919,1.048,298.0,28.315,adx_lower_threshold^160.0^15.0|convexity_higher1^14^EMA&rvi_crossover_signal^210^84|emacd_histogram_start_increase^35^98^35|second_wave_trend_2^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-24.802,32.903,1.362,310.0,27.909,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|second_wave_trend_2^14|second_wave_trend_2^55&roc_crossunder0^59|trailing_stop^34^1.5
-24.776,37.793,1.058,299.0,28.229,adx_lower_threshold^160.0^15.0|convexity_higher1^14^EMA&rvi_crossover_signal^190^76|emacd_histogram_start_increase^35^98^35|second_wave_trend_2^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-24.757,36.721,1.113,305.0,27.871,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|trix_start_increase^130|second_wave_trend_2^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-24.432,36.129,1.18,310.0,27.104,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|second_wave_trend_2^14|price_crossover_sma_2^150&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-24.278,33.766,1.257,308.0,26.084,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|rsi_fast_crossover_slow^30^42|smacd_histogram_start_increase_2^150^390^90&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-24.217,36.877,1.122,301.0,27.578,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|second_wave_trend_2^14|mass_crossover1^200^140&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-24.165,30.795,1.487,302.0,28.676,convexity_higher1^14^EMA|convexity_higher1^8^EMA&price_crossover_ema^60|emacd_histogram_start_increase^35^98^35|second_wave_trend_2^14&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-23.982,34.323,1.25,303.0,25.352,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^40^64^48|rsi_fast_crossover_slow^30^42|second_wave_trend_2^55&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-23.94,28.041,1.686,296.0,26.088,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rvi_crossover_signal^190^76|emacd_histogram_start_increase^35^98^35|second_wave_trend_2^55&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-23.79,39.927,0.991,273.0,27.248,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_start_increase^60^96|emacd_histogram_start_increase^35^98^35|second_wave_trend_2^14&bb_price_crossunder_high^34^2|trailing_stop^34^2.0
-23.773,34.539,1.253,304.0,26.009,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|rsi_fast_crossover_slow^30^42|price_crossover_sma_2^160&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-23.638,33.77,1.289,305.0,25.777,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|rsi_fast_crossover_slow^25^50|smacd_histogram_start_increase_2^160^416^96&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-23.328,33.117,1.338,308.0,27.097,convexity_higher1^14^EMA|convexity_higher1^8^EMA&price_crossover_ema^60|emacd_histogram_start_increase^35^98^35|rsi_fast_crossover_slow^25^50&roc_crossunder0^59|trailing_stop^34^1.5
-23.145,35.082,1.234,305.0,25.062,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|rsi_fast_crossover_slow^25^50|price_crossover_sma_2^150&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-23.112,36.184,1.16,304.0,24.745,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|rsi_fast_crossover_slow^30^42|roc_crossover0^150&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-23.056,39.493,1.025,276.0,26.763,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|rsi_fast_crossover_slow^30^42|second_wave_trend_2^14&bb_price_crossunder_high^34^2|trailing_stop^34^2.0
-22.976,28.912,1.62,294.0,25.916,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rvi_crossover_signal^190^76|emacd_histogram_start_increase^40^64^48|second_wave_trend_2^55&roc_crossunder0^89|trailing_stop^34^1.5
-22.928,28.328,1.687,293.0,25.166,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rvi_crossover_signal^190^76|emacd_histogram_start_increase^40^64^48|second_wave_trend_2^55&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-22.763,39.7,1.03,267.0,25.927,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|second_wave_trend_2^14|price_crossover_sma_2^150&bb_price_crossunder_high^34^2|trailing_stop^34^2.0
-22.699,27.972,1.713,286.0,25.011,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rvi_crossover_signal^210^84|emacd_histogram_start_increase^40^64^48|second_wave_trend_2^55&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-22.486,35.714,1.214,308.0,26.075,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^40^64^48|rsi_fast_crossover_slow^30^42|second_wave_trend_2^14&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-22.409,30.592,1.527,304.0,26.215,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|rsi_fast_crossover_slow^25^50|second_wave_trend_2^55&roc_crossunder0^89|trailing_stop^34^1.5
-22.36,34.211,1.293,304.0,24.598,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|rsi_fast_crossover_slow^30^42|smacd_histogram_start_increase_2^160^416^96&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-22.126,27.402,1.748,281.0,24.391,convexity_higher1^14^EMA|convexity_higher1^8^EMA&rvi_crossover_signal^210^84|emacd_histogram_start_increase^40^64^48|smacd_histogram_start_increase_2^160^416^96&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-22.113,34.343,1.281,297.0,24.285,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^40^64^48|rsi_fast_crossover_slow^30^42|price_crossover_sma_2^160&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-22.07,31.333,1.487,300.0,25.355,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^35^98^35|rsi_fast_crossover_slow^30^42|smacd_histogram_start_increase^160^256^192&roc_crossunder0^59|trailing_stop^34^1.5
-21.958,36.842,1.179,304.0,25.534,convexity_higher1^14^EMA|convexity_higher1^8^EMA&emacd_histogram_start_increase^40^64^48|second_wave_trend_2^14|second_wave_trend_2^55&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
