开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-02 01:00:00,2026-06-18,15.001,45.534,1.701,5.432,3.138,26.774,8.383,0.439,0.77,36.0,52.778,3.58,42.972,3.6,stoch_d_overbought^250^150^225^50|convexity_higher1^14^EMA&smacd_start_increase^90^252|mass_crossover1^200^140|adx_crossover_threshold^40.0^40.0&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.001,45.534,1.467,5.522,3.123,31.039,8.246,0.432,0.375,56.0,66.071,1.6,43.57,5.6,smacd_higher_signal^110^154^66|stoch_d_overbought^250^150^225^50&emacd_histogram_start_increase^35^98^35|price_crossover_sma_2^160|smacd_crossover_signal_2^130^182^91&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.002,45.536,3.013,4.02,3.099,15.112,11.328,0.593,0.924,48.0,45.833,2.556,41.356,4.8,smi_d_overbought^230^161^207^0.0^SMA|convexity_higher1^14^EMA&emacd_start_increase^60^96|smacd_histogram_start_increase_2^160^416^96|smacd_start_increase^90^252&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.007,45.554,3.47,4.081,3.274,13.128,11.164,0.584,0.627,69.0,47.826,2.346,41.558,6.9,stoch_d_overbought^250^150^225^50|adx_lower_threshold^160.0^15.0&emacd_histogram_start_increase^40^64^48|roc_crossover0^150|smacd_histogram_start_increase_2^150^390^90&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.009,45.559,3.251,3.942,3.03,14.012,11.556,0.605,1.098,40.0,57.5,2.148,40.101,4.0,smacd_higher_signal^110^154^66|convexity_higher1^14^EMA&trix_start_increase^130|price_crossover_sma^130|smacd_histogram_start_increase^230^506^299&aroon_diff_crossunder0^109|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.012,45.572,1.237,5.94,4.319,36.852,7.672,0.402,0.447,41.0,70.732,1.945,43.612,4.1,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&price_crossover_sma_2^160|smacd_start_increase^100^260|second_wave_trend_1^10&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.014,45.577,3.4,4.807,3.767,13.405,9.481,0.496,0.43,73.0,58.904,1.679,41.479,7.3,stoch_d_overbought^250^150^225^50|smi_d_overbought^230^161^207^0.0^SMA&emacd_histogram_start_increase^40^64^48|stoch_k_crossover50^190^114|second_wave_trend_1^10&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.014,45.577,2.535,4.686,2.843,17.977,9.726,0.509,1.049,26.0,50.0,3.0,42.456,2.6,smi_d_overbought^230^161^207^0.0^SMA|stoch_d_neutral^230^207^115^75^25&emacd_start_increase^60^96|price_crossover_sma_2^150|smacd_crossover_signal_2^130^182^91&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.014,45.577,2.068,5.237,2.834,22.038,8.702,0.455,1.17,18.0,66.667,2.856,43.103,1.8,trix_increase^90|smi_d_overbought^230^161^207^0.0^SMA&emacd_histogram_start_increase^40^64^48|sma_fast_crossover_slow_2^140^252|smi_d_crossover0^250^225^225^SMA&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.016,45.583,1.225,6.322,3.142,37.221,7.21,0.377,1.248,13.0,76.923,3.074,45.149,1.3,tsi_higher_signal^80^72^24^SMA|smi_neutral^240^120^10.0^-10.0^SMA&emacd_start_increase^60^96|roc_crossover0^140|smacd_start_increase^100^260&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.018,45.593,1.575,5.854,3.491,28.953,7.788,0.408,0.417,44.0,61.364,2.977,42.354,4.4,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&smacd_start_increase^90^252|smacd_histogram_start_increase_2^150^390^90|second_wave_trend_1^8&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18,15.019,45.596,4.169,3.666,3.11,10.937,12.438,0.651,0.988,51.0,45.098,2.481,40.489,5.1,smi_d_overbought^230^161^207^0.0^SMA|adx_lower_threshold^160.0^15.0&emacd_histogram_start_increase^35^98^35|trix_start_increase^130|bb_price_crossover_low_2^35.0^1.9&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.021,45.603,2.195,5.301,3.891,20.771,8.602,0.45,0.321,70.0,58.571,1.946,41.166,7.0,smi_d_overbought^230^161^207^0.0^SMA|bb_neutral^10.0^1.5&emacd_start_increase^60^96|smacd_start_increase^100^260|second_wave_trend_1^10&bb_price_crossunder_high^34^2|trailing_stop^34^2.0
2026-02-02 01:00:00,2026-06-18,15.021,45.6,1.855,5.47,3.061,24.584,8.336,0.436,1.034,22.0,68.182,2.523,42.059,2.2,smi_d_overbought^230^161^207^0.0^SMA|kdj_d_neutral^120^72^84^70^30&price_crossover_ema^90|second_wave_trend_1^8|smacd_crossover_signal_3^170^374^238&trailing_stop^34^3.0|trailing_stop^34^3.5
