开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-02 01:00:00,2026-06-18,17.458,54.033,2.229,5.553,3.573,24.241,9.731,0.509,1.117,27.0,62.963,2.434,41.901,2.7,tsi_higher_signal^80^72^24^SMA|smi_d_overbought^230^161^207^0.0^SMA&emacd_histogram_start_increase^40^64^48|second_wave_trend_1^8|smi_k_crossover_d^250^225^125&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,17.47,54.075,1.609,5.8,3.728,33.616,9.323,0.488,0.723,37.0,51.351,3.858,42.642,3.7,smacd_increase^80^224|smi_d_overbought^230^161^207^0.0^SMA&emacd_start_increase^60^96|emacd_histogram_start_increase^40^64^48|rsi_fast_crossover_slow^30^42&roc_crossunder0^59|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,17.473,54.083,2.255,5.403,3.8,23.981,10.011,0.524,0.844,42.0,54.762,2.879,41.548,4.2,smi_d_overbought^230^161^207^0.0^SMA|adx_lower_threshold^160.0^15.0&price_crossover_ema^90|smacd_histogram_start_increase_2^150^390^90|mass_crossover1^200^140&trailing_stop^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,17.479,54.107,1.847,5.915,3.677,29.296,9.148,0.479,1.127,26.0,65.385,2.808,41.942,2.6,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&emacd_start_increase^60^96|roc_crossover0^150|smacd_histogram_start_increase_2^150^390^90&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,17.484,54.123,1.872,5.73,3.69,28.914,9.445,0.494,1.114,27.0,55.556,3.452,41.784,2.7,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&emacd_start_increase^60^96|smacd_start_increase^90^252|smacd_start_increase^100^260&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,17.486,54.132,1.938,5.729,3.761,27.93,9.45,0.495,0.755,38.0,55.263,3.247,42.405,3.8,smacd_increase^80^224|smi_d_overbought^230^161^207^0.0^SMA&emacd_histogram_start_increase^40^64^48|rsi_fast_crossover_slow^30^42|smacd_start_increase^90^252&roc_crossunder0^59|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,17.487,54.132,1.203,6.339,4.29,45.005,8.54,0.447,1.089,25.0,80.0,3.412,41.957,2.5,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&smacd_start_increase^90^252|price_crossover_sma_2^150|smacd_histogram_start_increase_2^150^390^90&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,17.489,54.141,1.26,7.144,4.295,42.971,7.578,0.397,0.822,29.0,65.517,5.584,43.776,2.9,stoch_d_overbought^250^150^225^50|adx_lower_threshold^160.0^15.0&roc_crossover0^150|mass_crossover1^200^140|smacd_histogram_start_increase^230^506^299&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,17.516,54.236,2.252,5.645,3.585,24.084,9.608,0.503,1.092,27.0,59.259,3.376,42.026,2.7,smacd_increase^80^224|smi_d_overbought^230^161^207^0.0^SMA&emacd_start_increase^60^96|emacd_histogram_start_increase^40^64^48|mass_crossover1^200^140&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,17.522,54.256,1.8,5.849,3.406,30.138,9.276,0.486,0.64,41.0,53.659,2.947,42.967,4.1,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&emacd_start_increase^60^96|roc_crossover0^140|smacd_start_increase^100^260&roc_crossunder0^59|trailing_stop^34^2.5
