开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-02 01:00:00,2026-06-18 18:15:00,18.229,56.37,1.486,7.093,5.228,37.94,7.948,0.416,0.544,38.0,76.316,2.566,43.052,3.8,smacd_increase^80^224|smi_d_overbought^230^161^207^0.0^SMA&smacd_start_increase^90^252|stoch_d_crossover50^120^96^60|second_wave_trend_1^10&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,19.756,61.82,1.844,6.816,4.729,33.524,9.069,0.475,0.922,31.0,54.839,4.94,41.713,3.1,smacd_increase^80^224|smi_d_overbought^230^161^207^0.0^SMA&smacd_start_increase^90^252|smacd_histogram_start_increase_2^150^390^90|second_wave_trend_1^8&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,21.567,68.435,2.107,6.514,4.749,32.483,10.506,0.55,1.153,28.0,64.286,3.637,42.128,2.8,smacd_higher_signal^70^112^56|smi_d_overbought^230^161^207^0.0^SMA&emacd_histogram_start_increase^35^98^35|emacd_histogram_start_increase^40^64^48|smi_k_crossover_d^250^225^125&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,19.001,59.109,1.426,6.42,4.171,41.441,9.207,0.482,0.43,63.0,53.968,3.137,42.328,6.3,smi_d_overbought^230^161^207^0.0^SMA|bb_neutral^10.0^1.5&emacd_start_increase^60^96|roc_crossover0^140|roc_crossover0^150&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,20.46,64.372,1.923,6.603,4.323,33.469,9.749,0.51,1.163,27.0,70.37,2.675,41.907,2.7,tsi_higher_signal^80^72^24^SMA|smi_d_overbought^230^161^207^0.0^SMA&emacd_histogram_start_increase^40^64^48|roc_crossover0^150|smacd_start_increase^100^260&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,19.08,59.391,1.293,6.344,4.48,45.922,9.362,0.49,0.459,65.0,53.846,3.024,41.347,6.5,smi_d_overbought^230^161^207^0.0^SMA|bb_neutral^10.0^1.5&emacd_start_increase^60^96|roc_crossover0^150|smacd_start_increase^100^260&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,18.69,58.002,1.482,6.277,3.951,39.13,9.241,0.484,1.105,27.0,66.667,2.869,42.02,2.7,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&emacd_start_increase^60^96|price_crossover_sma_2^150|tsi_crossover0^220^88^EMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,21.862,69.527,1.922,6.705,5.243,36.178,10.369,0.543,0.814,46.0,54.348,3.403,41.34,4.6,smi_d_overbought^230^161^207^0.0^SMA|bb_neutral^10.0^1.5&emacd_start_increase^60^96|roc_crossover0^150|smacd_start_increase^90^252&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,17.487,53.762,1.203,6.313,4.251,44.697,8.516,0.446,1.084,25.0,80.0,3.412,41.957,2.5,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&smacd_start_increase^90^252|price_crossover_sma_2^150|smacd_histogram_start_increase_2^150^390^90&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,19.583,61.198,1.494,5.899,3.992,40.953,10.375,0.543,1.102,33.0,60.606,3.158,42.242,3.3,smi_d_overbought^230^161^207^0.0^SMA|adx_lower_threshold^160.0^15.0&price_crossover_ema^90|second_wave_trend_1^10|sma_fast_crossover_slow_3^230^414&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,19.321,60.254,1.464,6.542,4.447,41.157,9.211,0.482,0.457,61.0,57.377,2.932,42.363,6.1,smi_d_overbought^230^161^207^0.0^SMA|bb_neutral^10.0^1.5&emacd_start_increase^60^96|roc_crossover0^150|second_wave_trend_1^8&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,22.362,71.394,2.094,6.77,4.944,34.088,10.546,0.552,1.129,29.0,62.069,3.952,42.244,2.9,smacd_higher_signal^70^112^56|smi_d_overbought^230^161^207^0.0^SMA&emacd_histogram_start_increase^35^98^35|smacd_start_increase^100^260|smi_k_crossover_d_2^250^225^125^40&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,20.001,62.704,1.842,6.916,4.747,34.046,9.066,0.475,0.988,28.0,57.143,4.926,41.975,2.8,smacd_increase^80^224|smi_d_overbought^230^161^207^0.0^SMA&smacd_start_increase^90^252|second_wave_trend_1^8|second_wave_trend_1^10&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,20.937,66.116,1.97,6.338,4.563,33.561,10.432,0.546,1.15,27.0,66.667,3.345,42.238,2.7,smacd_higher_signal^70^112^56|smi_d_overbought^230^161^207^0.0^SMA&emacd_histogram_start_increase^40^64^48|aroon_diff_crossover0^150|smi_k_crossover_d^250^225^125&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,18.903,58.759,1.483,6.352,4.02,39.635,9.25,0.484,1.091,28.0,67.857,2.744,41.88,2.8,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&emacd_start_increase^60^96|price_crossover_sma_2^160|price_crossover_sma_2^150&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,19.655,61.455,1.608,6.472,4.446,38.218,9.495,0.497,0.763,39.0,51.282,4.32,42.134,3.9,tsi_higher_signal^80^72^24^SMA|smi_d_overbought^230^161^207^0.0^SMA&emacd_histogram_start_increase^40^64^48|smacd_histogram_start_increase_2^150^390^90|smacd_start_increase^100^260&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,18.692,58.01,1.473,6.697,4.289,39.371,8.663,0.453,0.649,38.0,65.789,2.76,43.043,3.8,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&emacd_start_increase^60^96|price_crossover_sma_2^150|smacd_crossover_signal_2^130^182^91&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,19.144,59.622,1.488,6.363,4.096,40.07,9.37,0.49,1.053,29.0,75.862,2.128,42.434,2.9,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&rsi_fast_crossover_slow^25^50|smacd_histogram_start_increase_2^150^390^90|mass_crossover1^200^140&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,19.255,60.019,1.67,6.87,4.53,35.935,8.736,0.457,0.727,35.0,60.0,3.898,43.489,3.5,smacd_higher_signal^110^154^66|smi_d_overbought^230^161^207^0.0^SMA&emacd_start_increase^60^96|smacd_histogram_start_increase_2^160^416^96|smacd_crossover_signal_2^130^182^91&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,17.489,53.771,1.26,7.115,4.256,42.677,7.557,0.396,0.818,29.0,65.517,5.584,43.776,2.9,stoch_d_overbought^250^150^225^50|adx_lower_threshold^160.0^15.0&roc_crossover0^150|mass_crossover1^200^140|smacd_histogram_start_increase^230^506^299&roc_crossunder0^89|trailing_stop^34^3.0
