开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-02 01:00:00,2026-06-18,30.335,103.657,2.267,7.175,5.635,45.72,14.446,0.756,0.46,71.0,60.563,2.01,49.846,7.1,rsi_neutral^90^65^35|adx_higher_threshold^210.0^5.0&smacd_histogram_start_increase_2^180^504^126|kc_price_crossover_low^20.0^20.0^2.8999999999999995|smacd_crossover_signal_3^210^546^273&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.0
2026-02-02 01:00:00,2026-06-18,30.346,103.701,1.894,7.313,6.051,54.747,14.18,0.742,0.441,77.0,62.338,2.156,51.099,7.7,sma_fast_higher_slow^60^96|adx_higher_threshold^210.0^5.0&price_crossover_ema^120|bb_price_crossover_high_2^230.0^2.0999999999999996|kc_price_crossover_low^20.0^20.0^2.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,30.352,103.726,1.855,8.594,6.084,55.932,12.069,0.632,0.611,36.0,77.778,2.231,52.154,3.6,smi_neutral^240^192^30.0^-30.0^EMA|adx_higher_threshold^210.0^5.0&smi_k_crossover_d_2^210^189^147^45|bb_price_crossover_high^230.0^2.0999999999999996|bb_price_crossover_low^35.0^3.4999999999999996&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,30.362,103.769,3.287,6.772,5.665,31.565,15.324,0.802,0.764,54.0,59.259,2.3,50.0,5.4,kc_neutral^8.0^8.0^1.7|adx_higher_threshold^210.0^5.0&kc_price_crossover_low^20.0^20.0^2.8999999999999995|bb_price_crossover_low^35.0^3.4999999999999996|smacd_histogram_start_increase^230^322^299&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,30.366,103.785,4.123,5.995,5.645,25.175,17.312,0.906,0.875,65.0,58.462,2.129,49.752,6.5,sma_fast_higher_slow^60^96|smi_overbought^60^30^0.0^EMA&second_wave_trend_2^16|price_crossover_sma_2^230|bb_price_crossover_low^35.0^3.4999999999999996&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,30.367,103.793,2.214,7.52,6.301,46.872,13.802,0.722,0.532,54.0,66.667,1.87,49.825,5.4,smacd_histogram_increase^140^308^84|adx_higher_threshold^210.0^5.0&rvi_crossover_signal^110^77|aroon_diff_crossover0^200|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,30.37,103.805,3.946,7.466,6.284,26.306,13.903,0.728,0.733,53.0,66.038,2.253,50.622,5.3,rsi_neutral^90^65^35|rvi_neutral^17^20.0^-20.0^SMA&smacd_histogram_start_increase_2^180^504^126|kc_price_crossover_low^14.0^17.0^2.5|bb_price_crossover_low^35.0^3.4999999999999996&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,30.374,103.821,2.713,7.064,5.605,38.261,14.698,0.769,0.768,58.0,62.069,2.029,50.928,5.8,tsi_neutral^160^48^20.0^-20.0^EMA|adx_higher_threshold^210.0^5.0&mass_crossover1^230^161|price_crossover_sma_2^200|kc_price_crossover_low^20.0^20.0^2.8999999999999995&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,30.383,103.858,3.492,7.627,5.72,29.738,13.617,0.713,0.366,86.0,59.302,1.9,51.088,8.6,sma_fast_higher_slow^60^96|adx_higher_threshold^210.0^5.0&second_wave_trend_2^16|kc_price_crossover_low^14.0^17.0^2.5|smacd_histogram_start_increase^230^322^299&bb_price_crossunder_high^34^2|trailing_stop^34^2.0
2026-02-02 01:00:00,2026-06-18,30.391,103.891,2.54,6.996,5.732,40.896,14.851,0.777,0.489,69.0,63.768,2.244,50.239,6.9,bb_neutral^12.0^2.0999999999999996|adx_higher_threshold^210.0^5.0&bb_price_crossover_high^230.0^2.0999999999999996|smacd_histogram_start_increase_2^180^504^126|bb_price_crossover_low^35.0^3.4999999999999996&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,30.392,103.896,3.528,7.002,5.704,29.453,14.839,0.777,0.55,68.0,58.824,2.071,50.727,6.8,sma_fast_higher_slow^60^96|adx_higher_threshold^210.0^5.0&second_wave_trend_2^12|kc_price_crossover_low^14.0^17.0^2.5|kc_price_crossover_low^20.0^20.0^2.8999999999999995&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
