开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-02 01:00:00,2026-06-18 18:15:00,39.269,142.129,3.132,8.789,8.35,45.38,16.171,0.846,0.693,65.0,67.692,2.031,49.131,6.5,tsi_neutral^160^48^20.0^-20.0^EMA|adx_higher_threshold^210.0^5.0&smacd_histogram_start_increase_2^180^504^126|bb_price_crossover_low^35.0^3.4999999999999996|smacd_histogram_start_increase^230^322^299&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,33.957,118.254,2.986,8.74,7.156,39.598,13.53,0.708,0.683,47.0,68.085,2.752,51.343,4.7,rvi_neutral^17^20.0^-20.0^SMA|adx_higher_threshold^210.0^5.0&smacd_histogram_start_increase_2^180^504^126|kc_price_crossover_low^20.0^20.0^2.8999999999999995|smacd_crossover_signal_3^210^546^273&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,31.572,108.034,1.859,9.508,7.327,58.128,11.363,0.595,0.681,31.0,83.871,1.973,51.806,3.1,sma_fast_higher_slow^60^96|adx_higher_threshold^210.0^5.0&sma_fast_crossover_slow_2^100^160|bb_price_crossover_low^35.0^3.4999999999999996|smacd_histogram_start_increase^230^322^299&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,31.614,108.211,2.288,9.366,6.538,47.305,11.554,0.605,0.613,33.0,72.727,3.037,52.877,3.3,sma_fast_higher_slow^60^96|adx_higher_threshold^210.0^5.0&kc_price_crossover_low^14.0^17.0^2.5|bb_price_crossover_low^35.0^3.4999999999999996|smacd_histogram_start_increase^230^322^299&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,30.414,103.181,1.518,8.717,6.231,67.985,11.837,0.62,0.542,39.0,79.487,2.309,52.467,3.9,sma_fast_higher_slow^60^96|adx_higher_threshold^210.0^5.0&kc_price_crossover_low^14.0^17.0^2.5|smacd_histogram_start_increase^230^322^299|smacd_crossover_signal_2^190^380^152&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,33.247,115.181,2.218,9.131,7.358,51.921,12.614,0.66,0.558,48.0,75.0,1.941,51.086,4.8,aroon_diff_higher0^80|adx_higher_threshold^210.0^5.0&price_crossover_ema^120|bb_price_crossover_low^35.0^3.4999999999999996|smacd_histogram_start_increase^230^322^299&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,31.132,106.183,2.025,7.628,5.704,52.446,13.921,0.729,1.251,25.0,88.0,3.323,50.866,2.5,smi_d_neutral^180^162^126^25.0^-25.0^EMA|adx_higher_threshold^210.0^5.0&bb_price_crossover_high_2^230.0^2.0999999999999996|stoch_k_crossover_d^230^184^207|bb_price_crossover_low^35.0^3.4999999999999996&aroon_diff_crossunder0^89|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,30.806,104.817,1.853,8.319,6.476,56.58,12.599,0.659,0.634,41.0,73.171,2.68,51.042,4.1,smi_neutral^240^192^30.0^-30.0^EMA|adx_higher_threshold^210.0^5.0&stoch_d_crossover50^100^90^90|bb_price_crossover_high_2^160.0^1.9|bb_price_crossover_low^35.0^3.4999999999999996&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,32.144,110.454,1.847,8.188,6.937,59.805,13.491,0.706,0.664,48.0,68.75,2.236,50.378,4.8,kdj_k_overbought^80^56^50|adx_higher_threshold^210.0^5.0&price_crossover_ema^120|kc_price_crossover_low^14.0^17.0^2.5|smacd_crossover_signal_3^210^546^273&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,37.215,132.716,2.417,8.855,8.013,54.917,14.987,0.784,0.48,77.0,66.234,1.884,51.14,7.7,rvi_signal_overbought^60^42^0.0^SMA|adx_higher_threshold^210.0^5.0&rvi_crossover_signal^100^80|smacd_histogram_start_increase_2^180^504^126|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,33.076,114.441,2.623,7.817,6.102,43.63,14.641,0.766,1.18,30.0,83.333,3.451,50.652,3.0,smi_d_neutral^180^162^126^25.0^-25.0^EMA|adx_higher_threshold^210.0^5.0&smacd_histogram_start_increase_2^180^504^126|stoch_k_crossover_d^230^184^207|bb_price_crossover_low^35.0^3.4999999999999996&aroon_diff_crossunder0^89|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,36.871,131.161,2.123,8.443,7.326,61.767,15.536,0.813,0.606,69.0,65.217,1.879,50.456,6.9,sma_fast_higher_slow^60^96|adx_higher_threshold^210.0^5.0&second_wave_trend_2^12|kc_price_crossover_low^14.0^17.0^2.5|smacd_histogram_start_increase^230^322^299&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,37.939,136.006,2.478,9.039,8.367,54.885,15.046,0.788,0.478,78.0,67.949,1.893,50.565,7.8,rvi_signal_overbought^60^42^0.0^SMA|adx_higher_threshold^210.0^5.0&emacd_start_increase^200^320|rvi_crossover_signal^100^80|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,36.57,129.803,2.247,8.86,7.618,57.778,14.65,0.767,0.564,70.0,65.714,1.925,50.915,7.0,sma_fast_higher_slow^60^96|adx_higher_threshold^210.0^5.0&price_crossover_ema^120|bb_price_crossover_high^230.0^2.0999999999999996|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,31.392,107.273,2.122,8.176,6.316,50.558,13.121,0.687,0.753,33.0,78.788,4.625,51.251,3.3,tsi_neutral^160^48^20.0^-20.0^EMA|smi_neutral^240^192^30.0^-30.0^EMA&aroon_diff_crossover0^210|bb_price_crossover_low^35.0^3.4999999999999996|smacd_crossover_signal_3^210^546^273&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,31.513,107.783,1.853,7.955,6.561,58.181,13.549,0.709,0.667,46.0,71.739,2.825,50.719,4.6,tsi_neutral^160^48^20.0^-20.0^EMA|smi_neutral^240^192^30.0^-30.0^EMA&stoch_d_crossover50^100^90^90|bb_price_crossover_high_2^160.0^1.9|bb_price_crossover_low^35.0^3.4999999999999996&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,34.285,119.685,2.328,9.097,6.012,51.422,13.157,0.689,0.707,39.0,76.923,1.979,52.364,3.9,sma_fast_higher_slow^60^96|tsi_neutral^160^48^20.0^-20.0^EMA&sma_fast_crossover_slow^220^616|kc_price_crossover_low^14.0^17.0^2.5|smacd_histogram_start_increase^230^322^299&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,32.292,111.085,2.37,8.12,6.184,46.879,13.68,0.716,0.64,44.0,75.0,1.769,50.321,4.4,smi_neutral^240^192^30.0^-30.0^EMA|adx_higher_threshold^210.0^5.0&sma_fast_crossover_slow_3^190^456|smacd_histogram_start_increase^210^378^273|bb_price_crossover_low^35.0^3.4999999999999996&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,31.018,105.703,1.688,9.233,6.686,62.624,11.448,0.599,0.762,27.0,74.074,3.973,52.729,2.7,sma_fast_higher_slow^60^96|adx_higher_threshold^210.0^5.0&aroon_diff_crossover0^200|kc_price_crossover_low^14.0^17.0^2.5|smacd_crossover_signal_3^210^546^273&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,32.43,111.675,2.102,9.183,6.602,53.133,12.16,0.637,0.692,44.0,77.273,2.075,51.483,4.4,smi_neutral^240^192^30.0^-30.0^EMA|adx_higher_threshold^210.0^5.0&mass_crossover1^230^161|smacd_histogram_start_increase_2^180^504^126|bb_price_crossover_low^35.0^3.4999999999999996&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
