total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-41.55,33.081,1.183,396.0,41.565,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|second_wave_trend_2^10|price_crossover_sma_2^220&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-39.285,33.418,1.188,392.0,39.407,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|price_crossover_sma_2^220|emacd_start_increase^25^55&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-39.173,33.163,1.209,392.0,39.56,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|second_wave_trend_2^18|price_crossover_sma_2^220&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-38.34,33.419,1.196,389.0,38.471,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|price_crossover_sma_2^220|emacd_histogram_start_increase^230^644^230&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-37.825,34.783,1.136,391.0,37.863,convexity_higher1^12^SMA|convexity_higher1^8^SMA&price_crossover_sma^6|second_wave_trend_2^10|rvi_crossover_signal^45^41&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-37.588,33.933,1.186,389.0,37.604,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|second_wave_trend_2^10|kc_price_crossover_high^30.0^12.0^3.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-37.588,33.933,1.186,389.0,37.604,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|second_wave_trend_2^10|kc_price_crossover_high_2^30.0^12.0^3.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-37.201,34.264,1.179,394.0,37.217,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|price_crossover_sma_2^220|rvi_crossover_signal^45^41&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-37.197,33.85,1.204,387.0,37.598,convexity_higher1^12^SMA|convexity_higher1^8^SMA&price_crossover_sma^6|price_crossover_sma_2^220|smacd_histogram_start_increase_2^110^154^99&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-37.016,34.351,1.177,393.0,37.141,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|price_crossover_sma_2^220|rvi_crossover_signal^55^33&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-36.753,34.359,1.172,390.0,36.768,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^8^SMA&price_crossover_sma^6|price_crossover_sma_2^220|rvi_crossover_signal^45^41&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-36.619,34.615,1.168,390.0,36.978,convexity_higher1^12^SMA|convexity_higher1^8^SMA&price_crossover_sma^6|second_wave_trend_2^18|rvi_crossover_signal^45^41&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-36.518,34.872,1.151,390.0,36.534,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|second_wave_trend_2^10|rvi_crossover_signal^45^41&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-36.433,34.704,1.166,389.0,37.112,convexity_higher1^12^SMA|convexity_higher1^8^SMA&price_crossover_sma^6|second_wave_trend_2^18|rvi_crossover_signal^55^33&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-36.417,33.075,1.25,387.0,36.544,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|price_crossover_sma_2^220|emacd_histogram_start_increase_2^200^400^160&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-36.388,34.447,1.179,389.0,36.403,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|second_wave_trend_2^10|roc_crossover0^230&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-36.25,34.109,1.191,387.0,36.441,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|rsi_fast_crossover_slow^16^32|kc_price_crossover_high^30.0^12.0^3.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-36.154,33.763,1.228,388.0,36.281,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|price_crossover_sma_2^220|smacd_histogram_start_increase_2^110^154^99&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-36.151,33.938,1.2,386.0,36.409,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|price_crossover_sma_2^220|kc_price_crossover_low^10.0^6.0^2.0999999999999996&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-35.774,34.197,1.194,386.0,35.902,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|emacd_start_increase^25^55|kc_price_crossover_high^30.0^12.0^3.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-35.774,34.197,1.194,386.0,35.902,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|emacd_start_increase^25^55|kc_price_crossover_high_2^30.0^12.0^3.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-35.689,34.026,1.205,385.0,36.096,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|second_wave_trend_2^18|kc_price_crossover_high^30.0^12.0^3.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-35.679,33.943,1.215,383.0,35.807,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^8^SMA&price_crossover_sma^6|price_crossover_sma_2^220|smacd_histogram_start_increase_2^110^154^99&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-35.562,34.115,1.205,384.0,35.69,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|rsi_fast_crossover_slow^16^32|smacd_histogram_start_increase_2^110^154^99&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-35.536,33.508,1.235,382.0,35.944,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|second_wave_trend_2^18|emacd_histogram_start_increase_2^200^400^160&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-35.481,34.794,1.172,388.0,35.563,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|second_wave_trend_2^18|rvi_crossover_signal^45^41&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-35.405,34.456,1.191,386.0,36.095,convexity_higher1^12^SMA|convexity_higher1^8^SMA&price_crossover_sma^6|second_wave_trend_2^18|roc_crossover0^230&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-35.391,34.115,1.204,384.0,35.52,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|price_crossover_sma_2^210|kc_price_crossover_high^30.0^12.0^3.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-35.391,34.115,1.204,384.0,35.52,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|price_crossover_sma_2^210|kc_price_crossover_high_2^30.0^12.0^3.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-35.295,34.884,1.17,387.0,35.705,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|second_wave_trend_2^18|rvi_crossover_signal^55^33&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-35.057,33.77,1.222,382.0,35.186,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|emacd_start_increase^25^55|emacd_histogram_start_increase_2^200^400^160&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-35.051,35.052,1.163,388.0,35.136,convexity_higher1^12^SMA|convexity_higher1^8^SMA&price_crossover_sma^6|rvi_crossover_signal^45^41|kc_price_crossover_high_2^30.0^12.0^3.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-35.051,35.052,1.163,388.0,35.136,convexity_higher1^12^SMA|convexity_higher1^8^SMA&price_crossover_sma^6|rvi_crossover_signal^45^41|kc_price_crossover_high^30.0^12.0^3.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-34.896,35.142,1.16,387.0,35.31,convexity_higher1^12^SMA|convexity_higher1^8^SMA&price_crossover_sma^6|rvi_crossover_signal^55^33|kc_price_crossover_high_2^30.0^12.0^3.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-34.379,34.715,1.19,386.0,34.51,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|emacd_start_increase^25^55|roc_crossover0^230&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-34.325,34.545,1.201,385.0,34.741,kc_neutral^16.0^19.0^3.8999999999999995|convexity_higher1^12^SMA&price_crossover_sma^6|second_wave_trend_2^18|roc_crossover0^230&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
