开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-02 01:00:00,2026-06-18,15.014,45.578,1.913,5.832,3.634,23.828,7.815,0.409,0.379,57.0,54.386,2.406,45.607,5.7,tsi_neutral^190^171^10.0^-10.0^SMA|smi_d_neutral^170^119^85^30.0^-30.0^SMA&smacd_histogram_start_increase^180^288^144|ema_fast_crossover_slow^180^468|smacd_histogram_start_increase^230^506^299&roc_crossunder0^59|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18,15.017,45.586,3.922,4.52,2.477,11.622,10.085,0.528,1.334,19.0,52.632,4.543,48.089,1.9,ma_atr_long_period^14.0^17.0^1.5999999999999999|tsi_neutral^190^171^10.0^-10.0^SMA&mass_crossover1^140^42|stoch_k_crossover_d_2^240^120^72^25|bb_price_crossover_high^190.0^3.0999999999999996&roc_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.023,45.609,1.662,5.944,3.177,27.439,7.673,0.402,0.698,27.0,59.259,4.57,49.036,2.7,ma_atr_long_period^14.0^17.0^1.5999999999999999|kdj_k_higher_d^80^56^56&emacd_histogram_start_increase^220^572^264|smacd_start_increase^230^552|trix_crossover_signal^160^96&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.024,45.612,3.211,4.008,2.532,14.206,11.379,0.596,0.321,86.0,45.349,2.486,46.311,8.6,smacd_increase^20^52|ma_atr_long_period^160.0^160.0^2.8&price_crossover_sma^6|rvi_crossover_signal^45^41|kc_price_crossover_low^10.0^6.0^2.0999999999999996&roc_crossunder0^59|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18,15.026,45.618,2.66,5.599,2.974,17.151,8.147,0.426,0.357,61.0,54.098,2.545,45.926,6.1,tsi_neutral^190^171^10.0^-10.0^SMA|rsi_neutral^150^60^40&kc_price_crossover_low^10.0^6.0^2.0999999999999996|smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299&roc_crossunder0^59|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18,15.027,45.621,1.896,5.943,3.064,24.067,7.677,0.402,1.198,14.0,57.143,6.398,48.736,1.4,tsi_neutral^190^171^10.0^-10.0^SMA|convexity_higher1^8^SMA&emacd_crossover_signal_2^190^266^209|smi_k_crossover_d_2^230^184^207^45|bb_price_crossover_low_2^55.0^2.3&roc_crossunder0^59|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,15.031,45.636,2.63,5.02,3.558,17.349,9.09,0.476,0.573,46.0,45.652,3.584,45.601,4.6,rsi_neutral^150^60^40|mass_lower1^230^207&smacd_histogram_start_increase^180^288^144|smi_k_crossover0^250^150^EMA|smacd_histogram_start_increase^230^506^299&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.032,45.64,2.866,4.547,3.017,15.926,10.038,0.525,1.203,26.0,50.0,3.644,46.129,2.6,trix_higher0^16|adx_plus_higher_minus^30&sma_fast_crossover_slow_3^150^390|smacd_histogram_start_increase^180^288^144|emacd_crossover_signal^140^392^140&roc_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.034,45.646,3.775,3.529,3.013,12.091,12.935,0.677,0.858,64.0,46.875,2.186,44.489,6.4,rsi_neutral^150^60^40|smi_d_neutral^170^119^85^30.0^-30.0^SMA&emacd_histogram_start_increase^220^572^264|smacd_histogram_start_increase^180^288^144|smacd_histogram_start_increase^230^506^299&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,15.036,45.653,1.915,5.466,3.478,23.84,8.352,0.437,0.415,51.0,45.098,4.094,45.611,5.1,smacd_histogram_increase^110^198^110|kc_neutral^16.0^19.0^3.8999999999999995&smacd_start_increase^230^552|smacd_histogram_start_increase_2^90^198^54|smacd_histogram_start_increase^230^506^299&trailing_stop^34^1.5|trailing_stop^34^2.5
