开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-02 01:00:00,2026-06-18,16.645,51.187,1.67,6.787,4.141,30.654,7.542,0.395,0.458,44.0,59.091,3.212,47.347,4.4,tsi_neutral^190^171^10.0^-10.0^SMA|rsi_neutral^150^60^40&smacd_start_increase^230^552|stoch_k_crossover_d_2^240^120^72^25|smacd_histogram_start_increase^230^506^299&trailing_stop^34^1.5|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,16.657,51.226,1.533,5.752,3.354,33.409,8.905,0.466,1.304,19.0,63.158,4.919,47.883,1.9,rsi_neutral^180^60^40|convexity_higher1^8^SMA&emacd_crossover_signal^180^360^108|smacd_crossover_signal^220^484^242|smacd_crossover_signal_2^170^476^238&roc_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,16.658,51.23,1.351,7.247,4.192,37.906,7.069,0.37,0.415,42.0,61.905,3.562,47.625,4.2,rsi_neutral^150^60^40|smi_d_neutral^170^119^85^30.0^-30.0^SMA&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299|emacd_crossover_signal_2^190^266^209&roc_crossunder0^59|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18,16.664,51.254,1.218,6.294,3.395,42.07,8.143,0.426,1.394,13.0,61.538,11.005,49.889,1.3,stoch_k_higher_d^100^80^30|tsi_neutral^190^171^10.0^-10.0^SMA&stoch_k_crossover_d_2^240^120^72^25|emacd_crossover_signal^140^392^140|bb_price_crossover_high_2^160.0^3.8999999999999995&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.687,51.333,1.855,5.989,3.605,27.668,8.571,0.449,0.907,19.0,57.895,6.333,48.829,1.9,tsi_higher_signal^190^114^57^EMA|convexity_higher1^12^SMA&sma_fast_crossover_slow_3^140^392|stoch_k_crossover_d_2^240^120^72^25|adx_crossover_threshold^30.0^45.0&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.692,51.348,1.129,7.376,3.51,45.483,6.962,0.364,0.935,12.0,66.667,13.86,52.518,1.2,smacd_histogram_increase^110^198^110|tsi_neutral^190^171^10.0^-10.0^SMA&stoch_k_crossover_d_2^240^120^72^25|kdj_k_crossover_d_2^250^175^225^30|emacd_crossover_signal_2^200^480^120&roc_crossunder0^89|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,16.703,51.389,1.314,6.868,3.499,39.103,7.483,0.392,1.507,10.0,70.0,20.216,50.201,1.0,smacd_histogram_increase^110^198^110|tsi_neutral^190^171^10.0^-10.0^SMA&kdj_k_crossover_d^250^225^175|stoch_k_crossover_d_2^240^120^72^25|adx_crossover_threshold^45.0^35.0&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,16.704,51.39,1.34,7.266,3.994,38.363,7.073,0.37,0.399,41.0,63.415,3.303,47.719,4.1,tsi_neutral^190^171^10.0^-10.0^SMA|convexity_higher1^12^SMA&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299|adx_crossover_threshold^45.0^35.0&roc_crossunder0^59|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18,16.706,51.4,1.454,6.233,3.635,35.359,8.246,0.432,1.174,16.0,50.0,11.396,48.12,1.6,kc_neutral^16.0^19.0^3.8999999999999995|mass_lower1^230^207&stoch_k_crossover_d_2^240^120^72^25|smacd_crossover_signal^220^484^242|bb_price_crossover_high_2^190.0^3.0999999999999996&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.713,51.423,1.677,6.527,3.634,30.672,7.879,0.412,0.962,20.0,55.0,9.405,48.323,2.0,tsi_neutral^190^171^10.0^-10.0^SMA|mass_lower1^230^207&smacd_histogram_start_increase^230^506^299|smacd_crossover_signal^220^484^242|emacd_crossover_signal_2^190^266^209&roc_crossunder0^59|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.714,51.427,1.674,6.749,3.931,30.719,7.62,0.399,0.441,44.0,59.091,3.066,47.401,4.4,rsi_neutral^180^60^40|smi_d_neutral^170^119^85^30.0^-30.0^SMA&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299|smi_k_crossover_d_2^230^184^207^45&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.737,51.506,1.866,5.846,3.545,27.598,8.811,0.461,0.877,22.0,54.545,4.721,48.222,2.2,tsi_higher_signal^190^114^57^EMA|tsi_neutral^190^171^10.0^-10.0^SMA&sma_fast_crossover_slow_3^140^392|stoch_k_crossover_d_2^240^120^72^25|smacd_histogram_start_increase^230^506^299&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.75,51.552,1.335,6.119,3.104,38.616,8.425,0.441,1.34,15.0,60.0,10.613,49.699,1.5,smacd_histogram_increase^110^198^110|adx_plus_higher_minus^12&kdj_k_crossover_d^250^225^175|smacd_histogram_start_increase^230^506^299|emacd_crossover_signal_2^190^266^209&roc_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,16.765,51.606,1.352,7.358,4.246,38.159,7.013,0.367,0.408,42.0,61.905,3.676,47.585,4.2,tsi_neutral^190^171^10.0^-10.0^SMA|rsi_neutral^150^60^40&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299|emacd_crossover_signal_2^190^266^209&roc_crossunder0^59|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18,16.782,51.663,1.367,6.347,3.536,37.801,8.14,0.426,0.886,20.0,60.0,5.539,49.203,2.0,emacd_histogram_increase^110^198^154|tsi_neutral^190^171^10.0^-10.0^SMA&smacd_histogram_start_increase^230^506^299|smacd_crossover_signal^220^484^242|emacd_crossover_signal_2^190^266^209&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.789,51.689,1.699,6.554,3.911,30.431,7.887,0.413,0.897,20.0,60.0,4.911,48.144,2.0,tsi_neutral^190^171^10.0^-10.0^SMA|mass_lower1^230^207&smacd_histogram_start_increase^230^506^299|smacd_crossover_signal^220^484^242|emacd_crossover_signal_2^190^266^209&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.828,51.825,1.855,6.215,3.742,27.934,8.338,0.436,0.982,17.0,58.824,6.493,48.972,1.7,tsi_higher_signal^190^114^57^EMA|tsi_neutral^190^171^10.0^-10.0^SMA&sma_fast_crossover_slow_3^140^392|stoch_k_crossover_d_2^240^120^72^25|smacd_crossover_signal_3^180^468^234&trailing_stop^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,16.888,52.032,1.879,5.987,3.817,27.687,8.691,0.455,1.084,20.0,50.0,6.967,46.648,2.0,kc_neutral^16.0^19.0^3.8999999999999995|mass_lower1^230^207&smacd_histogram_start_increase^230^506^299|smacd_crossover_signal^220^484^242|bb_price_crossover_high_2^190.0^3.0999999999999996&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
