coin_name,inv0,cl_name,cl_canshu,is_run,cl_id,cl_index
ZMmain,15min,smacd_histogram_increase^110^198^110|tsi_neutral^190^171^10.0^-10.0^SMA&emacd_histogram_start_increase_2^190^456^247|smacd_crossover_signal^220^484^242|trix_crossover_signal^160^96&roc_crossunder0^59|trailing_stop^34^3.5,0,1,smacd_histogram_increase^110^198^110|tsi_neutral^190^171^10.0^-10.0^SMA&emacd_histogram_start_increase_2^190^456^247|smacd_crossover_signal^220^484^242|trix_crossover_signal^160^96&roc_crossunder0^59|trailing_stop^34^3.5,smacd_histogram_increase^110^198^110|tsi_neutral^190^171^10.0^-10.0^SMA&emacd_histogram_start_increase_2^190^456^247|smacd_crossover_signal^220^484^242|trix_crossover_signal^160^96&roc_crossunder0^59|trailing_stop^34^3.5
ZMmain,15min,kc_neutral^16.0^19.0^3.8999999999999995|smi_d_neutral^170^119^85^30.0^-30.0^SMA&sma_fast_crossover_slow_3^150^390|smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299&roc_crossunder0^59|trailing_stop^34^1.5,0,1,kc_neutral^16.0^19.0^3.8999999999999995|smi_d_neutral^170^119^85^30.0^-30.0^SMA&sma_fast_crossover_slow_3^150^390|smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299&roc_crossunder0^59|trailing_stop^34^1.5,kc_neutral^16.0^19.0^3.8999999999999995|smi_d_neutral^170^119^85^30.0^-30.0^SMA&sma_fast_crossover_slow_3^150^390|smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299&roc_crossunder0^59|trailing_stop^34^1.5
ZMmain,15min,kc_neutral^16.0^19.0^3.8999999999999995|tsi_neutral^190^171^10.0^-10.0^SMA&stoch_k_crossover_d_2^240^120^72^25|smacd_histogram_start_increase^230^506^299|smacd_crossover_signal^220^484^242&roc_crossunder0^89|trailing_stop^34^3.5,0,1,kc_neutral^16.0^19.0^3.8999999999999995|tsi_neutral^190^171^10.0^-10.0^SMA&stoch_k_crossover_d_2^240^120^72^25|smacd_histogram_start_increase^230^506^299|smacd_crossover_signal^220^484^242&roc_crossunder0^89|trailing_stop^34^3.5,kc_neutral^16.0^19.0^3.8999999999999995|tsi_neutral^190^171^10.0^-10.0^SMA&stoch_k_crossover_d_2^240^120^72^25|smacd_histogram_start_increase^230^506^299|smacd_crossover_signal^220^484^242&roc_crossunder0^89|trailing_stop^34^3.5
ZMmain,15min,kc_neutral^16.0^19.0^3.8999999999999995|tsi_neutral^190^171^10.0^-10.0^SMA&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299|trix_crossover_signal^160^96&roc_crossunder0^59|trailing_stop^34^1.5,0,1,kc_neutral^16.0^19.0^3.8999999999999995|tsi_neutral^190^171^10.0^-10.0^SMA&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299|trix_crossover_signal^160^96&roc_crossunder0^59|trailing_stop^34^1.5,kc_neutral^16.0^19.0^3.8999999999999995|tsi_neutral^190^171^10.0^-10.0^SMA&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299|trix_crossover_signal^160^96&roc_crossunder0^59|trailing_stop^34^1.5
ZMmain,15min,tsi_neutral^190^171^10.0^-10.0^SMA|skew_positive^150^EMA&sma_fast_crossover_slow_3^150^390|emacd_crossover_signal^140^392^140|bb_price_crossover_high_2^160.0^3.8999999999999995&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.5,0,1,tsi_neutral^190^171^10.0^-10.0^SMA|skew_positive^150^EMA&sma_fast_crossover_slow_3^150^390|emacd_crossover_signal^140^392^140|bb_price_crossover_high_2^160.0^3.8999999999999995&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.5,tsi_neutral^190^171^10.0^-10.0^SMA|skew_positive^150^EMA&sma_fast_crossover_slow_3^150^390|emacd_crossover_signal^140^392^140|bb_price_crossover_high_2^160.0^3.8999999999999995&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.5
ZMmain,15min,kc_neutral^16.0^19.0^3.8999999999999995|mass_lower1^230^207&stoch_k_crossover_d_2^240^120^72^25|smacd_crossover_signal^220^484^242|smacd_crossover_signal_3^180^468^234&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0,0,1,kc_neutral^16.0^19.0^3.8999999999999995|mass_lower1^230^207&stoch_k_crossover_d_2^240^120^72^25|smacd_crossover_signal^220^484^242|smacd_crossover_signal_3^180^468^234&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0,kc_neutral^16.0^19.0^3.8999999999999995|mass_lower1^230^207&stoch_k_crossover_d_2^240^120^72^25|smacd_crossover_signal^220^484^242|smacd_crossover_signal_3^180^468^234&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
ZMmain,15min,smi_d_neutral^170^119^85^30.0^-30.0^SMA|mass_lower1^230^207&price_crossover_sma_2^210|emacd_histogram_start_increase_2^190^456^247|smacd_histogram_start_increase^230^506^299&trailing_stop^34^3.0|trailing_stop^34^3.5,0,1,smi_d_neutral^170^119^85^30.0^-30.0^SMA|mass_lower1^230^207&price_crossover_sma_2^210|emacd_histogram_start_increase_2^190^456^247|smacd_histogram_start_increase^230^506^299&trailing_stop^34^3.0|trailing_stop^34^3.5,smi_d_neutral^170^119^85^30.0^-30.0^SMA|mass_lower1^230^207&price_crossover_sma_2^210|emacd_histogram_start_increase_2^190^456^247|smacd_histogram_start_increase^230^506^299&trailing_stop^34^3.0|trailing_stop^34^3.5
ZMmain,15min,tsi_neutral^190^171^10.0^-10.0^SMA|rsi_neutral^180^60^40&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299|trix_crossover_signal^130^182&roc_crossunder0^59|trailing_stop^34^1.5,0,1,tsi_neutral^190^171^10.0^-10.0^SMA|rsi_neutral^180^60^40&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299|trix_crossover_signal^130^182&roc_crossunder0^59|trailing_stop^34^1.5,tsi_neutral^190^171^10.0^-10.0^SMA|rsi_neutral^180^60^40&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299|trix_crossover_signal^130^182&roc_crossunder0^59|trailing_stop^34^1.5
ZMmain,15min,tsi_neutral^190^171^10.0^-10.0^SMA|rsi_neutral^150^60^40&stoch_k_crossover_d_2^240^120^72^25|kc_price_crossover_low_2^25.0^30.0^1.5|adx_crossover_threshold^45.0^35.0&trailing_stop^34^3.0|trailing_stop^34^3.5,0,1,tsi_neutral^190^171^10.0^-10.0^SMA|rsi_neutral^150^60^40&stoch_k_crossover_d_2^240^120^72^25|kc_price_crossover_low_2^25.0^30.0^1.5|adx_crossover_threshold^45.0^35.0&trailing_stop^34^3.0|trailing_stop^34^3.5,tsi_neutral^190^171^10.0^-10.0^SMA|rsi_neutral^150^60^40&stoch_k_crossover_d_2^240^120^72^25|kc_price_crossover_low_2^25.0^30.0^1.5|adx_crossover_threshold^45.0^35.0&trailing_stop^34^3.0|trailing_stop^34^3.5
ZMmain,15min,kc_neutral^16.0^19.0^3.8999999999999995|tsi_neutral^190^171^10.0^-10.0^SMA&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299|trix_crossover_signal^130^182&roc_crossunder0^59|trailing_stop^34^1.5,0,1,kc_neutral^16.0^19.0^3.8999999999999995|tsi_neutral^190^171^10.0^-10.0^SMA&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299|trix_crossover_signal^130^182&roc_crossunder0^59|trailing_stop^34^1.5,kc_neutral^16.0^19.0^3.8999999999999995|tsi_neutral^190^171^10.0^-10.0^SMA&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299|trix_crossover_signal^130^182&roc_crossunder0^59|trailing_stop^34^1.5
