开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-02 01:00:00,2026-06-18 18:15:00,17.901,55.214,1.516,6.409,3.273,36.424,8.615,0.451,1.189,16.0,50.0,13.396,50.37,1.6,smacd_histogram_increase^110^198^110|tsi_neutral^190^171^10.0^-10.0^SMA&emacd_histogram_start_increase_2^190^456^247|smacd_crossover_signal^220^484^242|trix_crossover_signal^160^96&roc_crossunder0^59|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,16.682,50.967,1.285,6.75,4.021,39.675,7.551,0.395,0.387,51.0,52.941,3.651,46.287,5.1,kc_neutral^16.0^19.0^3.8999999999999995|smi_d_neutral^170^119^85^30.0^-30.0^SMA&sma_fast_crossover_slow_3^150^390|smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299&roc_crossunder0^59|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18 18:15:00,21.958,69.887,2.039,7.136,4.466,34.284,9.793,0.513,1.056,25.0,56.0,6.209,47.869,2.5,kc_neutral^16.0^19.0^3.8999999999999995|tsi_neutral^190^171^10.0^-10.0^SMA&stoch_k_crossover_d_2^240^120^72^25|smacd_histogram_start_increase^230^506^299|smacd_crossover_signal^220^484^242&roc_crossunder0^89|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,17.142,52.56,1.473,7.497,4.248,35.689,7.011,0.367,0.395,42.0,64.286,3.025,47.942,4.2,kc_neutral^16.0^19.0^3.8999999999999995|tsi_neutral^190^171^10.0^-10.0^SMA&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299|trix_crossover_signal^160^96&roc_crossunder0^59|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18 18:15:00,18.857,58.597,1.705,5.887,3.453,34.375,9.954,0.521,1.695,15.0,80.0,6.458,48.183,1.5,tsi_neutral^190^171^10.0^-10.0^SMA|skew_positive^150^EMA&sma_fast_crossover_slow_3^150^390|emacd_crossover_signal^140^392^140|bb_price_crossover_high_2^160.0^3.8999999999999995&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,17.289,53.071,1.448,6.76,4.003,36.66,7.851,0.411,1.242,14.0,57.143,13.402,48.383,1.4,kc_neutral^16.0^19.0^3.8999999999999995|mass_lower1^230^207&stoch_k_crossover_d_2^240^120^72^25|smacd_crossover_signal^220^484^242|smacd_crossover_signal_3^180^468^234&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,20.95,66.164,1.676,6.361,4.61,39.478,10.401,0.544,0.92,34.0,55.882,4.273,46.149,3.4,smi_d_neutral^170^119^85^30.0^-30.0^SMA|mass_lower1^230^207&price_crossover_sma_2^210|emacd_histogram_start_increase_2^190^456^247|smacd_histogram_start_increase^230^506^299&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,16.98,51.997,1.356,7.373,4.253,38.349,7.052,0.369,0.394,43.0,62.791,3.117,47.867,4.3,tsi_neutral^190^171^10.0^-10.0^SMA|rsi_neutral^180^60^40&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299|trix_crossover_signal^130^182&roc_crossunder0^59|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18 18:15:00,17.962,55.428,1.656,6.493,3.279,33.468,8.536,0.447,1.414,12.0,83.333,34.939,48.757,1.2,tsi_neutral^190^171^10.0^-10.0^SMA|rsi_neutral^150^60^40&stoch_k_crossover_d_2^240^120^72^25|kc_price_crossover_low_2^25.0^30.0^1.5|adx_crossover_threshold^45.0^35.0&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,17.173,52.67,1.356,7.481,4.286,38.846,7.041,0.369,0.401,42.0,64.286,3.071,48.033,4.2,kc_neutral^16.0^19.0^3.8999999999999995|tsi_neutral^190^171^10.0^-10.0^SMA&smacd_start_increase^230^552|smacd_histogram_start_increase^230^506^299|trix_crossover_signal^130^182&roc_crossunder0^59|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18 18:15:00,16.664,50.906,1.218,6.269,3.364,41.785,8.121,0.425,1.387,13.0,61.538,11.005,49.889,1.3,stoch_k_higher_d^100^80^30|tsi_neutral^190^171^10.0^-10.0^SMA&stoch_k_crossover_d_2^240^120^72^25|emacd_crossover_signal^140^392^140|bb_price_crossover_high_2^160.0^3.8999999999999995&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
