total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-29.927,30.492,1.197,305.0,33.218,rvi_neutral^40^15.0^-15.0^EMA|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16|price_crossover_ema^130&roc_crossunder0^59|trailing_stop^34^1.5
-28.19,35.463,1.037,313.0,30.954,rvi_higher_signal^8^2|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16|rvi_crossover_signal^230^161&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-27.24,30.363,1.294,303.0,30.59,rsi_neutral^14^65^35|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16|price_crossover_ema^130&roc_crossunder0^59|trailing_stop^34^1.5
-27.122,28.223,1.409,287.0,30.843,rvi_neutral^40^15.0^-15.0^EMA|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|mass_crossunder1^18^5|price_crossover_ema^130&roc_crossunder0^59|trailing_stop^34^1.5
-25.815,36.334,1.048,311.0,29.365,rvi_neutral^40^15.0^-15.0^EMA|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16|price_crossover_ema^130&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-25.562,31.544,1.262,298.0,28.798,rsi_neutral^14^65^35|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16|rsi_crossover50^60&roc_crossunder0^59|trailing_stop^34^1.5
-24.854,36.57,1.057,309.0,28.642,rvi_neutral^40^15.0^-15.0^EMA|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16|rsi_crossover50^60&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-24.831,36.452,1.065,310.0,28.819,rvi_neutral^40^15.0^-15.0^EMA|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16|price_crossover_ema^120&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-24.587,36.943,1.034,314.0,27.217,rvi_higher_signal^8^2|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16|kc_price_crossover_high_2^40.0^16.0^3.0999999999999996&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-24.538,30.928,1.346,291.0,28.512,rsi_neutral^14^65^35|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16|price_crossover_ema^130&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-24.501,28.315,1.467,279.0,28.714,kc_neutral^35.0^14.0^2.5|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|mass_crossunder1^18^5|price_crossover_ema^130&roc_crossunder0^59|trailing_stop^34^1.5
-24.18,35.806,1.111,310.0,27.915,rvi_higher_signal^8^2|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16|price_crossover_ema^130&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-23.896,37.5,1.029,312.0,26.72,rvi_neutral^40^15.0^-15.0^EMA|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^18|mass_crossunder1^18^5&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-23.876,28.114,1.509,281.0,27.986,rsi_neutral^14^65^35|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|mass_crossunder1^18^5|price_crossover_ema^130&roc_crossunder0^59|trailing_stop^34^1.5
-23.111,35.922,1.132,309.0,27.29,rvi_higher_signal^8^2|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16|price_crossover_ema^120&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-23.067,36.364,1.115,308.0,27.376,kc_neutral^35.0^14.0^2.5|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16|price_crossover_ema^120&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-22.998,36.275,1.103,306.0,26.199,convexity_higher1^16^EMA|convexity_higher1^6^SMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16|rsi_crossover50^60&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-22.864,29.242,1.459,277.0,27.138,rsi_neutral^14^65^35|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|mass_crossunder1^18^5|rsi_crossover50^60&roc_crossunder0^59|trailing_stop^34^1.5
-22.711,36.246,1.125,309.0,26.694,rvi_higher_signal^8^2|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16|rsi_crossover50^60&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-22.667,36.688,1.109,308.0,26.786,kc_neutral^35.0^14.0^2.5|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16|rsi_crossover50^60&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-22.642,36.928,1.056,306.0,25.576,convexity_higher1^16^EMA|convexity_higher1^6^SMA&rsi_fast_crossover_slow^18^29|mass_crossunder1^18^5|kc_price_crossover_high_2^40.0^16.0^3.0999999999999996&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-22.507,29.893,1.411,281.0,26.557,convexity_higher1^16^EMA|convexity_higher1^6^SMA&rsi_fast_crossover_slow^18^29|mass_crossunder1^18^5|price_crossover_ema^130&roc_crossunder0^59|trailing_stop^34^1.5
-22.361,29.348,1.463,276.0,26.781,rsi_neutral^14^65^35|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|mass_crossunder1^18^5|price_crossover_ema^120&roc_crossunder0^59|trailing_stop^34^1.5
-22.325,31.034,1.365,290.0,25.618,rsi_neutral^14^65^35|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|mass_crossunder1^18^5|second_wave_trend_2^16&roc_crossunder0^59|trailing_stop^34^1.5
-22.188,38.782,1.011,312.0,25.887,rvi_neutral^40^15.0^-15.0^EMA|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|mass_crossunder1^18^5|second_wave_trend_2^16&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-22.171,33.108,1.322,296.0,24.521,kc_neutral^35.0^14.0^2.5|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16|price_crossover_ema^130&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
-22.091,31.579,1.354,285.0,27.197,rsi_neutral^14^65^35|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16|roc_crossover0^180&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-22.014,35.831,1.142,307.0,26.335,convexity_higher1^16^EMA|convexity_higher1^6^SMA&rsi_fast_crossover_slow^18^29|mass_crossunder1^18^5|price_crossover_ema^120&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-21.94,29.231,1.505,260.0,26.824,rsi_neutral^14^65^35|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|mass_crossunder1^18^5|price_crossover_ema^130&aroon_diff_crossunder0^109|trailing_stop^34^1.5
-21.882,34.354,1.236,294.0,25.98,rvi_neutral^40^15.0^-15.0^EMA|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16|roc_crossover0^80&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
-21.798,30.657,1.423,274.0,25.332,rsi_neutral^14^65^35|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^18|mass_crossunder1^18^5&aroon_diff_crossunder0^109|trailing_stop^34^1.5
-21.765,36.156,1.135,307.0,25.951,convexity_higher1^16^EMA|convexity_higher1^6^SMA&rsi_fast_crossover_slow^18^29|mass_crossunder1^18^5|rsi_crossover50^60&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-21.738,33.67,1.288,297.0,24.491,rvi_neutral^40^15.0^-15.0^EMA|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|mass_crossunder1^18^5|second_wave_trend_2^16&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
-21.685,32.997,1.345,297.0,24.233,kc_neutral^35.0^14.0^2.5|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16|rsi_crossover50^60&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
-21.498,33.673,1.305,294.0,24.075,rsi_neutral^14^65^35|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16|price_crossover_ema^130&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
-21.452,30.337,1.413,267.0,26.091,rsi_neutral^14^65^35|convexity_higher1^6^SMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16|rvi_crossover0^180^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-21.051,30.072,1.449,276.0,26.272,rsi_neutral^14^65^35|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|mass_crossunder1^18^5|roc_crossover0^80&roc_crossunder0^59|trailing_stop^34^1.5
-21.0,27.935,1.618,247.0,26.133,rsi_neutral^14^65^35|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|mass_crossunder1^18^5|price_crossover_ema^130&roc_crossunder0^59|trailing_stop^34^2.0
-20.975,36.842,1.107,304.0,25.094,convexity_higher1^16^EMA|convexity_higher1^6^SMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^18|roc_crossover0^80&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-20.66,27.273,1.585,253.0,23.248,rsi_neutral^14^65^35|convexity_higher1^16^EMA&emacd_histogram_start_increase^70^154^56|second_wave_trend_2^16|price_crossover_ema^130&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-20.469,33.677,1.329,291.0,23.221,kc_neutral^35.0^14.0^2.5|rsi_neutral^14^65^35&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16|rsi_crossover50^60&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
-20.459,33.788,1.325,293.0,23.212,rsi_neutral^14^65^35|convexity_higher1^16^EMA&rsi_fast_crossover_slow^18^29|second_wave_trend_2^16|rsi_crossover50^60&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
-20.435,28.195,1.53,266.0,23.331,kc_neutral^35.0^14.0^2.5|convexity_higher1^16^EMA&emacd_histogram_start_increase^70^154^56|second_wave_trend_2^16|price_crossover_ema^130&roc_crossunder0^59|trailing_stop^34^1.5
-20.41,27.237,1.619,257.0,24.011,kc_neutral^35.0^14.0^2.5|convexity_higher1^16^EMA&emacd_histogram_start_increase^70^154^56|second_wave_trend_2^16|price_crossover_ema^130&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
