total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-20.607,35.484,1.463,341.0,28.315,rvi_neutral^29^25.0^-25.0^EMA|convexity_higher1^10^EMA&second_wave_trend_2^25|roc_crossover0^120|rvi_crossover_signal^45^32&roc_crossunder0^59|trailing_stop^34^1.5
-20.18,35.673,1.457,342.0,27.801,kc_neutral^8.0^3.0^1.5|rvi_neutral^29^25.0^-25.0^EMA&second_wave_trend_2^25|roc_crossover0^120|rvi_crossover_signal^45^32&roc_crossunder0^59|trailing_stop^34^1.5
-20.162,35.588,1.462,340.0,28.193,rsi_neutral^90^70^30|convexity_higher1^10^EMA&second_wave_trend_2^25|roc_crossover0^120|rvi_crossover_signal^45^32&roc_crossunder0^59|trailing_stop^34^1.5
-17.648,36.31,1.453,336.0,26.439,bb_neutral^140.0^2.5|rsi_neutral^90^70^30&second_wave_trend_2^25|roc_crossover0^120|rvi_crossover_signal^45^32&roc_crossunder0^59|trailing_stop^34^1.5
-17.648,36.31,1.453,336.0,26.439,bb_neutral^140.0^2.5|rvi_neutral^29^25.0^-25.0^EMA&second_wave_trend_2^25|roc_crossover0^120|rvi_crossover_signal^45^32&roc_crossunder0^59|trailing_stop^34^1.5
-15.452,40.361,1.252,332.0,20.861,kc_neutral^8.0^3.0^1.5|rsi_neutral^90^70^30&price_crossover_ema^210|second_wave_trend_2^25|rvi_crossover_signal^45^32&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-14.995,40.419,1.258,334.0,20.995,kc_neutral^8.0^3.0^1.5|convexity_higher1^10^EMA&second_wave_trend_2^25|rvi_crossover_signal^45^32|emacd_histogram_start_increase^90^126^117&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-14.423,40.785,1.243,331.0,19.927,kc_neutral^8.0^3.0^1.5|adx_lower_threshold^55.0^35.0&price_crossover_ema^210|second_wave_trend_2^25|rvi_crossover_signal^45^32&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-13.982,40.184,1.277,326.0,20.097,kc_neutral^8.0^3.0^1.5|convexity_higher1^8^SMA&price_crossover_ema^220|second_wave_trend_2^25|rvi_crossover_signal^45^32&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-13.83,40.606,1.259,330.0,20.307,kc_neutral^8.0^3.0^1.5|adx_lower_threshold^55.0^35.0&price_crossover_ema^220|second_wave_trend_2^25|rvi_crossover_signal^45^32&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-12.886,41.088,1.251,331.0,20.374,adx_lower_threshold^55.0^35.0|convexity_higher1^10^EMA&second_wave_trend_2^25|rvi_crossover_signal^45^32|emacd_histogram_start_increase^90^126^117&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-12.734,40.798,1.259,326.0,19.839,kc_neutral^8.0^3.0^1.5|adx_lower_threshold^55.0^35.0&second_wave_trend_2^25|rvi_crossover_signal^45^32|bb_price_crossover_high^230.0^2.0999999999999996&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-12.705,41.39,1.237,331.0,20.094,kc_neutral^8.0^3.0^1.5|adx_lower_threshold^55.0^35.0&second_wave_trend_2^25|rvi_crossover_signal^45^32|emacd_histogram_start_increase^90^126^117&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-12.588,40.979,1.253,327.0,18.308,kc_neutral^8.0^3.0^1.5|convexity_higher1^10^EMA&second_wave_trend_2^25|adx_plus_crossover_minus^180|rvi_crossover_signal^45^32&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
