开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-02 01:00:00,2026-06-18,38.363,139.104,4.289,8.882,7.255,32.433,15.661,0.82,0.466,73.0,63.014,1.887,46.797,7.3,kdj_d_overbought^40^36^36^50|rvi_signal_neutral^110^99^15.0^-15.0^SMA&rsi_fast_crossover_slow^30^48|smacd_histogram_start_increase_2^150^210^120|kdj_d_crossover50^170^85^85&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,38.364,139.111,3.342,7.906,6.407,41.627,17.596,0.921,0.712,60.0,65.0,2.287,47.286,6.0,smacd_higher_signal^70^98^63|trix_higher_signal^60.0^24.0&rsi_fast_crossover_slow^30^48|adx_plus_crossover_minus^190|smi_d_crossover0^80^72^56^EMA&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,38.381,139.19,3.791,8.112,6.596,36.72,17.159,0.898,0.876,46.0,63.043,2.783,47.147,4.6,smi_k_higher_d^90^72^63|bb_neutral^30.0^1.9&rsi_fast_crossover_slow^25^60|smi_d_crossover0^80^72^56^EMA|smacd_crossover_signal_3^220^616^176&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,38.393,139.242,2.898,9.229,6.655,48.047,15.088,0.79,0.366,78.0,56.41,3.069,49.894,7.8,kdj_k_higher_d^210^84^63|kdj_k_neutral^17^8^85^15&rsi_fast_crossover_slow^30^48|smi_d_crossover0^80^72^56^EMA|smacd_crossover_signal_2^190^532^133&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,38.394,139.248,2.483,9.295,6.659,56.071,14.982,0.784,0.383,76.0,60.526,2.581,48.304,7.6,trix_higher_signal^60.0^24.0|ma_atr_long_period^50.0^60.0^2.3999999999999995&emacd_start_increase^50^80|rsi_fast_crossover_slow^30^48|rvi_signal_crossover0^200^100^SMA&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,38.402,139.288,2.343,10.33,7.725,59.449,13.484,0.706,0.525,48.0,81.25,2.029,48.199,4.8,kdj_k_neutral^17^8^85^15|rvi_signal_neutral^110^99^15.0^-15.0^SMA&smi_d_crossover0^80^72^56^EMA|smacd_histogram_start_increase_2^150^210^120|smacd_crossover_signal_3^220^616^176&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,38.404,139.294,3.636,8.856,6.663,38.315,15.729,0.823,0.727,45.0,64.444,4.055,48.274,4.5,trix_higher_signal^60.0^24.0|kdj_d_overbought^70^63^35^50&rsi_fast_crossover_slow^25^60|stoch_d_crossover50^130^52^117|smacd_histogram_start_increase_2^150^210^120&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,38.414,139.341,4.116,7.604,6.301,33.852,18.325,0.959,0.849,55.0,58.182,3.156,47.044,5.5,stoch_k_higher_d^130^65^91|bb_neutral^30.0^1.9&rsi_fast_crossover_slow^25^60|rsi_fast_crossover_slow^30^48|smi_d_crossover0^80^72^56^EMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,38.415,139.345,3.618,9.029,6.983,38.51,15.433,0.808,0.358,87.0,58.621,2.621,48.155,8.7,smi_k_higher_d^90^72^63|kdj_k_neutral^17^8^85^15&rsi_fast_crossover_slow^30^48|smi_d_crossover0^80^72^56^EMA|smi_k_crossover0^210^63^SMA&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,38.422,139.378,2.56,9.226,6.52,54.448,15.107,0.791,0.378,74.0,58.108,2.824,49.063,7.4,tsi_higher_signal^140^56^56^SMA|smi_k_higher_d^90^72^63&rsi_fast_crossover_slow^30^48|smi_d_crossover0^80^72^56^EMA|bb_price_crossover_high^220.0^2.3&trailing_stop^34^1.5|trailing_stop^34^3.0
