开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-02 01:00:00,2026-06-18 18:15:00,41.78,153.964,2.703,11.712,8.065,56.952,13.145,0.688,0.479,50.0,82.0,1.907,50.042,5.0,smacd_histogram_increase^170^340^102|stoch_k_higher_d^130^65^91&emacd_start_increase^45^90|price_crossover_sma_2^140|smi_d_crossover0^80^72^56^EMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,43.729,163.39,3.176,9.191,7.366,51.44,17.777,0.93,0.912,45.0,64.444,3.326,48.289,4.5,trix_higher_signal^60.0^24.0|smi_neutral^200^100^35.0^-35.0^SMA&rsi_fast_crossover_slow^30^48|smi_k_crossover_d^230^138^161|kdj_k_crossover50^240^192&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,40.559,148.164,2.131,10.065,7.809,69.536,14.721,0.771,0.414,72.0,70.833,2.005,48.148,7.2,smacd_higher_signal^70^98^63|stoch_k_higher_d^130^65^91&emacd_start_increase^45^90|smi_d_crossover0^80^72^56^EMA|smacd_histogram_start_increase_2^150^210^120&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,41.05,150.488,2.952,9.181,6.899,50.971,16.392,0.858,0.923,38.0,68.421,4.036,49.371,3.8,smacd_histogram_increase^170^340^102|stoch_k_higher_d^130^65^91&rsi_fast_crossover_slow^25^60|rvi_signal_crossover0^230^92^SMA|smi_d_crossover0^80^72^56^EMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,41.286,151.606,2.587,9.018,7.357,58.612,16.811,0.88,0.774,50.0,74.0,2.522,47.925,5.0,trix_higher_signal^60.0^24.0|smi_k_higher_d^90^72^63&rsi_fast_crossover_slow^25^60|adx_plus_crossover_minus^190|smi_d_crossover0^80^72^56^EMA&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,45.053,169.919,2.822,10.289,8.154,60.212,16.515,0.864,0.467,80.0,66.25,1.929,47.422,8.0,stoch_k_higher_d^130^65^91|rsi_neutral^8^75^25&rsi_fast_crossover_slow^30^48|smacd_histogram_start_increase_2^150^210^120|kdj_d_crossover50^170^85^85&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,41.479,152.523,2.749,9.054,7.119,55.493,16.845,0.882,0.918,42.0,73.81,2.862,47.659,4.2,aroon_diff_higher0^90|stoch_k_higher_d^130^65^91&rsi_fast_crossover_slow^30^48|adx_plus_crossover_minus^190|smi_d_crossover0^80^72^56^EMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,41.308,151.712,2.947,9.269,6.945,51.482,16.367,0.857,0.918,38.0,68.421,3.977,49.396,3.8,smacd_histogram_increase^170^340^102|stoch_k_higher_d^130^65^91&rsi_fast_crossover_slow^30^48|smi_d_crossover0^80^72^56^EMA|bb_price_crossover_low_2^35.0^2.3&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,45.162,170.46,2.822,10.357,8.229,60.404,16.458,0.861,0.471,79.0,67.089,1.907,47.329,7.9,stoch_k_higher_d^130^65^91|kc_neutral^16.0^10.0^1.9&rsi_fast_crossover_slow^30^48|smacd_histogram_start_increase_2^150^210^120|kdj_d_crossover50^170^85^85&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,39.512,143.26,2.238,8.879,6.793,64.023,16.135,0.845,0.868,40.0,72.5,3.855,49.364,4.0,smacd_histogram_increase^170^340^102|stoch_k_higher_d^130^65^91&emacd_start_increase^45^90|smacd_histogram_start_increase^180^432^162|kc_price_crossover_low_2^14.0^17.0^1.5&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,44.305,166.217,2.617,9.981,8.865,63.516,16.654,0.872,0.538,80.0,66.25,1.838,46.247,8.0,smacd_higher_signal^70^98^63|rvi_neutral^29^25.0^-25.0^EMA&emacd_histogram_start_increase^90^126^117|price_crossover_sma_2^140|smacd_histogram_start_increase_2^150^210^120&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,41.34,151.863,2.946,9.27,6.959,51.545,16.382,0.857,0.921,38.0,68.421,4.061,49.369,3.8,smacd_histogram_increase^170^340^102|stoch_k_higher_d^130^65^91&rsi_fast_crossover_slow^25^60|smi_d_crossover0^80^72^56^EMA|sma_fast_crossover_slow^190^494&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,40.396,147.399,2.407,9.021,6.794,61.236,16.34,0.855,0.954,37.0,64.865,3.668,47.754,3.7,ma_atr_long_period^50.0^60.0^2.3999999999999995|stoch_k_higher_d^130^65^91&rsi_fast_crossover_slow^30^48|kdj_k_crossover50^240^192|smi_d_crossover0^80^72^56^EMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,39.386,142.676,2.127,10.055,7.07,67.086,14.189,0.743,0.387,70.0,62.857,3.03,49.926,7.0,stoch_k_higher_d^130^65^91|kdj_k_higher_d^210^84^63&rsi_fast_crossover_slow^25^60|smacd_crossover_signal^210^504^210|stoch_d_crossover50^130^52^117&aroon_diff_crossunder0^109|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18 18:15:00,41.646,153.323,2.94,9.312,7.026,52.156,16.465,0.862,0.892,40.0,67.5,4.14,49.522,4.0,smacd_histogram_increase^170^340^102|stoch_k_higher_d^130^65^91&rsi_fast_crossover_slow^30^48|smi_d_crossover0^80^72^56^EMA|trix_crossover_signal^180^162&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,42.308,156.496,2.749,9.263,7.357,56.938,16.894,0.884,0.938,42.0,76.19,2.571,47.658,4.2,aroon_diff_higher0^90|stoch_k_higher_d^130^65^91&rsi_fast_crossover_slow^25^60|adx_plus_crossover_minus^190|smi_d_crossover0^80^72^56^EMA&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,39.315,142.345,2.139,9.795,6.704,66.537,14.532,0.761,0.387,67.0,62.687,3.307,50.271,6.7,stoch_k_higher_d^130^65^91|kdj_k_higher_d^210^84^63&rsi_fast_crossover_slow^30^48|smi_d_crossover0^80^72^56^EMA|trix_crossover_signal^180^162&trailing_stop^34^1.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,40.026,145.663,2.092,9.478,7.426,69.643,15.368,0.804,0.364,90.0,64.444,2.583,48.683,9.0,smi_k_higher_d^90^72^63|rvi_signal_neutral^110^99^15.0^-15.0^SMA&rsi_fast_crossover_slow^30^48|adx_plus_crossover_minus^190|trix_crossover_signal^180^162&aroon_diff_crossunder0^89|trailing_stop^34^1.5
2026-02-02 01:00:00,2026-06-18 18:15:00,39.933,145.225,2.328,9.146,6.833,62.389,15.879,0.831,0.793,41.0,68.293,5.176,49.691,4.1,smacd_histogram_increase^170^340^102|stoch_k_higher_d^130^65^91&emacd_start_increase^45^90|smi_d_crossover0^150^75^45^EMA|trix_crossover_signal^180^162&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,40.661,148.648,1.799,11.681,7.848,82.615,12.726,0.666,0.436,50.0,82.0,1.925,50.184,5.0,smacd_histogram_increase^170^340^102|stoch_k_higher_d^130^65^91&emacd_start_increase^45^90|stoch_d_crossover50^220^66^66|smi_d_crossover0^80^72^56^EMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
