开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-19 16:45:00,110.653,620.168,6.429,11.482,12.091,96.464,54.012,2.827,0.394,130.0,55.385,2.153,51.347,13.0,smi_d_neutral^160^112^144^25.0^-25.0^SMA|stoch_k_neutral^240^216^80^20&rvi_crossover0^130^SMA|roc_crossover0^55|supertrend_long_signal^70.0^3.6999999999999993|smi_k_crossover_d_2^120^48^36^15&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,116.819,677.379,7.248,11.973,11.954,93.462,56.574,2.961,0.588,91.0,53.846,2.882,52.327,9.1,smi_neutral^170^153^30.0^-30.0^SMA|rvi_signal_neutral^250^200^5.0^-5.0^SMA&smacd_crossover_signal_2^220^352^198|rvi_crossover0^130^SMA|smi_k_crossover0^250^125^SMA|smacd_histogram_start_increase_2^60^108^72&trailing_stop^34^3.0|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,102.539,548.968,4.491,11.623,10.678,122.235,47.23,2.472,0.427,78.0,64.103,2.196,53.075,7.8,smi_d_neutral^160^112^144^25.0^-25.0^SMA|ema_fast_higher_slow^45^81&price_crossover_sma^110|roc_crossover0^55|adx_plus_crossover_minus^80|smi_k_crossover_d_2^120^48^36^15&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,110.476,618.557,6.387,11.816,11.431,96.847,52.35,2.74,0.399,114.0,61.404,1.855,52.139,11.4,smi_d_neutral^160^112^144^25.0^-25.0^SMA|rvi_signal_neutral^250^200^5.0^-5.0^SMA&price_crossover_sma^110|supertrend_long_signal^70.0^3.6999999999999993|adx_plus_crossover_minus^80|smi_k_crossover_d_2^120^48^36^15&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,102.704,550.376,4.767,11.888,11.661,115.447,46.297,2.423,0.383,83.0,67.47,2.077,52.818,8.3,ma_atr_long_period^70.0^70.0^1.9999999999999998|stoch_k_neutral^240^216^80^20&price_crossover_sma^110|adx_plus_crossover_minus^80|smi_k_crossover_d_2^120^48^36^15|sma_fast_crossover_slow_2^200^560&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,112.652,638.416,6.865,11.65,11.076,92.991,54.799,2.868,0.601,76.0,52.632,3.348,52.31,7.6,kc_neutral^10.0^8.0^1.7|rvi_signal_neutral^250^200^5.0^-5.0^SMA&smacd_crossover_signal_2^220^352^198|smi_k_crossover0^250^125^SMA|smi_k_crossover_d_2^120^48^36^15|smacd_histogram_start_increase_2^60^108^72&trailing_stop^34^3.0|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,113.869,649.662,6.685,11.452,11.201,97.188,56.731,2.969,0.575,89.0,53.933,2.695,52.211,8.9,bb_neutral^18.0^1.9|rvi_signal_neutral^250^200^5.0^-5.0^SMA&smacd_crossover_signal_2^220^352^198|kc_price_crossover_low^18.0^7.0^3.6999999999999993|adx_plus_crossover_minus^80|smacd_histogram_start_increase_2^60^108^72&trailing_stop^34^3.0|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,101.315,538.628,3.393,11.432,10.833,158.727,47.117,2.466,0.385,85.0,60.0,2.887,51.809,8.5,smi_d_neutral^160^112^144^25.0^-25.0^SMA|aroon_diff_higher0^110&rvi_crossover0^130^SMA|roc_crossover0^55|supertrend_long_signal^70.0^3.6999999999999993|smi_k_crossover_d_2^120^48^36^15&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,102.113,545.365,3.502,11.736,10.703,155.737,46.468,2.432,0.411,74.0,67.568,2.081,53.117,7.4,smi_d_neutral^160^112^144^25.0^-25.0^SMA|ema_fast_higher_slow^45^81&smacd_crossover_signal_2^210^294^189|roc_crossover0^55|adx_plus_crossover_minus^80|smi_k_crossover_d_2^120^48^36^15&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,114.906,659.335,6.615,11.984,12.358,99.678,55.019,2.88,0.423,125.0,56.8,2.049,51.724,12.5,smi_d_neutral^160^112^144^25.0^-25.0^SMA|kc_neutral^10.0^8.0^1.7&price_crossover_sma^110|roc_crossover0^55|supertrend_long_signal^70.0^3.6999999999999993|smi_k_crossover_d_2^120^48^36^15&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,111.547,628.294,6.357,11.385,11.239,98.836,55.187,2.889,0.348,155.0,50.323,3.046,52.127,15.5,smi_d_neutral^160^112^144^25.0^-25.0^SMA|bb_neutral^18.0^1.9&rvi_crossover0^130^SMA|second_wave_trend_2^6|adx_plus_crossover_minus^140|smacd_histogram_start_increase_2^60^108^72&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,102.273,546.713,4.175,12.046,11.623,130.948,45.384,2.376,0.416,74.0,64.865,2.378,52.988,7.4,ema_fast_higher_slow^45^81|stoch_k_neutral^240^216^80^20&price_crossover_sma^110|adx_plus_crossover_minus^80|smi_k_crossover_d_2^120^48^36^15|kdj_d_crossover50^70^28^21&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,104.374,564.673,4.542,11.493,11.169,124.328,49.131,2.572,0.372,104.0,64.423,1.887,52.764,10.4,smi_d_neutral^160^112^144^25.0^-25.0^SMA|ma_atr_long_period^70.0^70.0^1.9999999999999998&roc_crossover0^55|adx_plus_crossover_minus^80|smi_k_crossover_d_2^120^48^36^15|smacd_histogram_start_increase_2^60^108^72&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,104.514,565.88,4.836,11.554,11.131,117.006,48.976,2.564,0.451,90.0,63.333,1.941,52.582,9.0,smi_d_neutral^160^112^144^25.0^-25.0^SMA|rvi_signal_neutral^250^200^5.0^-5.0^SMA&price_crossover_sma_2^110|smi_d_crossover0^220^132^66^EMA|smi_k_crossover_d_2^120^48^36^15|trix_crossover_signal^150^150&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,103.659,558.523,4.158,11.231,10.974,134.317,49.732,2.603,0.417,100.0,59.0,2.197,52.475,10.0,smi_d_neutral^160^112^144^25.0^-25.0^SMA|rvi_signal_neutral^250^200^5.0^-5.0^SMA&price_crossover_sma_2^110|smacd_crossover_signal_3^210^294^189|supertrend_long_signal^70.0^3.6999999999999993|smi_k_crossover_d_2^120^48^36^15&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,104.501,565.767,4.374,11.694,11.054,129.349,48.381,2.532,0.375,100.0,66.0,1.861,52.894,10.0,smi_d_neutral^160^112^144^25.0^-25.0^SMA|ma_atr_long_period^70.0^70.0^1.9999999999999998&price_crossover_sma^110|stoch_k_crossover_d^120^96^36|adx_plus_crossover_minus^80|smacd_histogram_start_increase_2^60^108^72&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,105.342,573.045,4.326,10.939,12.279,132.467,52.386,2.742,0.35,137.0,57.664,1.862,51.662,13.7,rvi_higher_signal^8^2|rvi_signal_neutral^250^200^5.0^-5.0^SMA&smacd_crossover_signal_2^220^352^198|second_wave_trend_2^6|emacd_start_increase^160^384|smacd_histogram_start_increase_2^60^108^72&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,103.668,558.602,4.374,11.591,11.307,127.7,48.194,2.523,0.354,99.0,62.626,2.103,52.62,9.9,bb_neutral^18.0^1.9|smi_neutral^170^153^30.0^-30.0^SMA&adx_plus_crossover_minus^80|tsi_crossover_signal^220^198^176^SMA|emacd_start_increase^160^384|trix_crossover_signal^150^150&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.5
