开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-19 16:45:00,21.286,66.759,1.814,6.879,4.168,36.804,9.705,0.508,0.425,32.0,50.0,5.563,51.897,3.2,convexity_higher1^16^EMA|tsi_neutral^30^27^5.0^-5.0^SMA&tsi_crossover0^230^207^EMA|stoch_d_crossover50^170^153^51|smacd_start_increase^140^364|stoch_k_crossover_d^80^72^24&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,18.258,55.954,1.374,6.822,3.375,40.729,8.202,0.429,0.418,18.0,55.556,10.229,52.929,1.8,rvi_overbought^70^0.0^SMA|tsi_neutral^30^27^5.0^-5.0^SMA&adx_crossunder_threshold^230.0^20.0|sma_fast_crossover_slow^110^264|mass_crossunder1^140^70|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,19.212,59.308,1.555,6.297,3.161,38.146,9.418,0.493,0.471,24.0,54.167,7.489,54.435,2.4,rvi_overbought^70^0.0^SMA|tsi_neutral^30^27^5.0^-5.0^SMA&smacd_histogram_start_increase_2^230^598^230|sma_fast_crossover_slow^100^280|smacd_start_increase^140^364|stoch_k_crossover_d^80^72^24&roc_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,19.137,59.046,1.708,6.843,3.488,34.578,8.628,0.452,0.428,21.0,57.143,7.536,52.623,2.1,rvi_overbought^70^0.0^SMA|tsi_neutral^30^27^5.0^-5.0^SMA&ma_atr_long_signal^18.0^22.0^2.8|stoch_d_crossover50^170^153^51|mass_crossunder1^120^84|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,18.395,56.432,1.376,6.845,3.414,41.019,8.244,0.432,0.42,18.0,55.556,9.652,52.918,1.8,rvi_overbought^70^0.0^SMA|tsi_neutral^30^27^5.0^-5.0^SMA&sma_fast_crossover_slow^110^264|mass_crossunder1^120^84|emacd_crossover_signal_3^230^644^299|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,18.834,57.974,1.636,6.089,3.435,35.43,9.522,0.498,0.356,34.0,52.941,4.02,51.945,3.4,rvi_neutral^29^5.0^-5.0^EMA|tsi_neutral^30^27^5.0^-5.0^SMA&sma_fast_crossover_slow^100^280|stoch_d_crossover50^160^128^80|smacd_start_increase^140^364|emacd_histogram_start_increase^150^360^90&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,18.858,58.059,1.636,6.099,3.436,35.482,9.52,0.498,0.356,34.0,52.941,4.024,52.01,3.4,rvi_neutral^29^5.0^-5.0^EMA|tsi_neutral^30^27^5.0^-5.0^SMA&sma_fast_crossover_slow^100^280|kdj_d_crossover50^200^80^140|smacd_start_increase^140^364|emacd_histogram_start_increase^150^360^90&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,18.398,56.443,1.6,6.315,3.05,35.274,8.937,0.468,0.588,16.0,68.75,13.551,54.927,1.6,rvi_neutral^29^5.0^-5.0^EMA|tsi_neutral^30^27^5.0^-5.0^SMA&sma_fast_crossover_slow^110^264|kdj_d_crossover50^200^80^140|smacd_start_increase^140^364|stoch_k_crossover_d^80^72^24&roc_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,20.051,62.297,1.713,6.995,3.643,36.372,8.906,0.466,0.339,27.0,51.852,6.868,52.736,2.7,rvi_overbought^70^0.0^SMA|tsi_neutral^30^27^5.0^-5.0^SMA&smi_k_crossover_d^250^225^225|mass_crossunder1^140^70|smacd_start_increase^140^364|stoch_k_crossover_d^80^72^24&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,22.166,69.984,1.916,7.021,4.467,36.527,9.968,0.522,0.395,38.0,50.0,5.664,51.567,3.8,convexity_higher1^16^EMA|tsi_neutral^30^27^5.0^-5.0^SMA&mass_crossunder1^140^70|bb_price_crossover_low^170.0^3.3|smacd_start_increase^140^364|stoch_k_crossover_d^80^72^24&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,18.932,58.319,1.655,6.35,3.292,35.248,9.184,0.481,0.514,21.0,61.905,7.519,52.676,2.1,rvi_overbought^70^0.0^SMA|tsi_neutral^30^27^5.0^-5.0^SMA&ma_atr_long_signal^18.0^22.0^2.8|mass_crossunder1^140^70|smi_d_crossover0^170^68^119^EMA|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,20.451,63.735,1.81,6.473,3.649,35.207,9.846,0.515,0.456,29.0,65.517,3.833,51.55,2.9,rvi_overbought^70^0.0^SMA|smacd_higher_signal^6^11^7&sma_fast_crossover_slow^110^264|smi_d_crossover0^170^68^119^EMA|smacd_start_increase^140^364|trix_crossover_signal^150^180&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,18.935,58.331,1.593,6.314,3.314,36.622,9.238,0.484,0.428,25.0,60.0,8.6,54.184,2.5,rsi_neutral^17^55^45|rvi_signal_neutral^40^20^5.0^-5.0^SMA&sma_fast_crossover_slow^110^264|mass_crossunder1^120^84|smacd_start_increase^140^364|bb_price_crossover_low^18.0^3.8999999999999995&roc_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,18.231,55.86,1.374,6.918,3.377,40.66,8.074,0.423,0.414,17.0,58.824,9.114,52.916,1.7,rvi_overbought^70^0.0^SMA|tsi_neutral^30^27^5.0^-5.0^SMA&stoch_d_crossover50^170^153^51|mass_crossunder1^120^84|smacd_start_increase^140^364|emacd_crossover_signal^230^414^276&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,22.695,71.943,1.908,7.211,4.595,37.707,9.977,0.522,0.403,38.0,50.0,5.776,51.833,3.8,convexity_higher1^16^EMA|tsi_neutral^30^27^5.0^-5.0^SMA&sma_fast_crossover_slow^110^264|mass_crossunder1^140^70|smacd_start_increase^140^364|stoch_k_crossover_d^80^72^24&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,19.696,61.031,1.527,6.702,3.645,39.971,9.107,0.477,0.4,27.0,51.852,6.488,52.321,2.7,tsi_neutral^30^27^5.0^-5.0^SMA|trix_increase^70&mass_crossunder1^140^70|mass_crossunder1^120^84|smacd_start_increase^140^364|stoch_k_crossover_d^80^72^24&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,19.67,60.937,1.644,6.405,3.565,37.061,9.514,0.498,0.441,28.0,64.286,4.281,52.399,2.8,rvi_overbought^70^0.0^SMA|smacd_higher_signal^6^11^7&mass_crossunder1^140^70|mass_crossunder1^120^84|smacd_start_increase^140^364|trix_crossover_signal^150^180&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,19.32,59.693,1.415,6.328,3.446,42.172,9.434,0.494,0.447,26.0,65.385,4.09,52.288,2.6,rvi_overbought^70^0.0^SMA|smacd_higher_signal^6^11^7&mass_crossunder1^120^84|smacd_start_increase^140^364|ema_fast_crossover_slow^140^280|trix_crossover_signal^150^180&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,18.053,55.237,1.3,6.585,3.075,42.48,8.389,0.439,0.442,17.0,64.706,10.089,54.747,1.7,rvi_neutral^29^5.0^-5.0^EMA|tsi_neutral^30^27^5.0^-5.0^SMA&sma_fast_crossover_slow_2^100^280|kdj_d_crossover50^200^80^140|smacd_start_increase^140^364|stoch_k_crossover_d^80^72^24&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,22.746,72.133,2.088,5.816,3.203,34.553,12.402,0.649,1.12,15.0,66.667,8.597,52.441,1.5,emacd_higher_signal^35^56^24|rsi_neutral^17^55^45&emacd_crossover_signal_2^30^42^24|sma_fast_crossover_slow_2^110^220|smacd_crossover_signal^150^270^165|smacd_crossover_signal^220^484^286&trailing_stop^34^3.0|trailing_stop^34^3.5
