开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-19 16:45:00,79.529,371.451,6.085,11.23,8.732,61.046,33.078,1.731,0.562,67.0,56.716,2.886,52.782,6.7,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_k_crossover0^190^95^SMA|sma_fast_crossover_slow_3^170^272|kdj_d_crossover50^220^132^110|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,87.649,430.089,7.11,10.95,9.578,60.492,39.277,2.056,0.675,66.0,57.576,3.068,52.508,6.6,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_k_crossover_d^250^150^225|tsi_crossover_signal^220^154^132^SMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,81.187,383.082,5.987,10.175,8.6,63.987,37.649,1.971,0.653,66.0,57.576,2.602,52.786,6.6,convexity_higher1^6^SMA|skew_negative^25^EMA&tsi_crossover_signal^220^154^132^SMA|smi_d_crossover0^210^63^63^EMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,79.603,371.968,6.571,10.757,8.109,56.609,34.578,1.81,0.59,55.0,60.0,3.503,53.299,5.5,convexity_higher1^6^SMA|skew_negative^25^EMA&tsi_crossover_signal^220^154^132^SMA|smi_d_crossover0^210^63^63^EMA|smi_k_crossover0^210^105^EMA|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,79.611,372.022,6.571,10.774,8.144,56.617,34.53,1.807,0.59,55.0,60.0,3.503,53.159,5.5,convexity_higher1^6^SMA|skew_negative^25^EMA&tsi_crossover_signal^220^154^132^SMA|smi_d_crossover0^210^63^63^EMA|stoch_k_crossover50^220^176|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,87.686,430.362,7.11,11.115,9.63,60.53,38.719,2.027,0.697,64.0,59.375,2.913,52.743,6.4,convexity_higher1^6^SMA|skew_negative^25^EMA&tsi_crossover_signal^220^154^132^SMA|sma_fast_crossover_slow_3^170^272|smi_k_crossover0^210^105^EMA|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,79.813,373.433,6.571,10.808,8.167,56.832,34.55,1.808,0.58,56.0,60.714,3.407,53.277,5.6,convexity_higher1^6^SMA|skew_negative^25^EMA&tsi_crossover_signal^220^154^132^SMA|stoch_d_crossover50^210^84^105|smi_d_crossover0^210^63^63^EMA|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,79.204,369.193,6.085,11.186,8.663,60.675,33.005,1.728,0.576,65.0,58.462,2.818,52.76,6.5,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_k_crossover0^190^95^SMA|sma_fast_crossover_slow_3^170^272|stoch_k_crossover50^220^176|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,81.023,381.923,5.961,10.148,8.573,64.07,37.636,1.97,0.663,65.0,56.923,2.745,52.752,6.5,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_k_crossover0^190^95^SMA|tsi_crossover_signal^220^154^132^SMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,80.354,377.217,6.571,10.711,8.142,57.408,35.217,1.843,0.572,56.0,58.929,3.612,53.011,5.6,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_k_crossover_d^250^150^225|tsi_crossover_signal^220^154^132^SMA|stoch_d_crossover50^210^84^105|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,83.52,399.735,6.293,10.682,8.774,63.522,37.422,1.959,0.602,66.0,56.061,2.924,52.775,6.6,convexity_higher1^6^SMA|skew_negative^25^EMA&tsi_crossover_signal^220^154^132^SMA|smi_d_crossover0^180^90^54^EMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,79.858,373.743,6.085,11.296,8.755,61.422,33.087,1.732,0.587,64.0,57.812,2.86,52.772,6.4,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_d_crossover0^180^90^54^EMA|sma_fast_crossover_slow_3^170^272|smi_k_crossover0^210^105^EMA|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,79.889,373.964,6.085,11.33,8.796,61.459,33.006,1.728,0.579,65.0,58.462,2.786,52.787,6.5,convexity_higher1^6^SMA|skew_negative^25^EMA&smacd_crossover_signal_2^220^308^154|smi_d_crossover0^180^90^54^EMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,80.096,375.407,6.085,11.364,8.84,61.696,33.035,1.729,0.58,65.0,58.462,2.791,52.782,6.5,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_d_crossover0^180^90^54^EMA|smi_d_crossover0^210^63^63^EMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,83.172,397.232,6.049,10.323,8.844,65.666,38.479,2.014,0.657,68.0,57.353,2.628,52.687,6.8,convexity_higher1^6^SMA|skew_negative^25^EMA&smacd_crossover_signal^220^308^154|tsi_crossover_signal^220^154^132^SMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,80.587,378.853,6.085,11.43,8.917,62.262,33.146,1.735,0.567,67.0,56.716,2.914,52.802,6.7,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_d_crossover0^210^63^63^EMA|sma_fast_crossover_slow_3^170^272|kdj_d_crossover50^220^132^110|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,82.226,390.454,6.085,11.232,9.029,64.169,34.762,1.82,0.605,67.0,56.716,2.719,52.718,6.7,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_k_crossover_d^250^150^225|sma_fast_crossover_slow_3^170^272|stoch_k_crossover50^220^176|smacd_histogram_start_increase^110^220^99&trailing_stop^34^3.0|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,82.517,392.533,6.085,11.325,9.058,64.51,34.66,1.814,0.607,66.0,56.061,2.8,52.731,6.6,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_k_crossover_d^250^150^225|smi_k_crossover0^190^95^SMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&trailing_stop^34^3.0|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-19 16:45:00,81.901,388.143,5.972,10.285,8.721,64.992,37.738,1.975,0.659,66.0,57.576,2.663,52.865,6.6,convexity_higher1^6^SMA|skew_negative^25^EMA&tsi_crossover_signal^220^154^132^SMA|sma_fast_crossover_slow_3^170^272|stoch_d_crossover50^200^140^60|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,81.453,384.962,6.085,11.413,8.988,63.266,33.731,1.766,0.577,66.0,54.545,3.072,52.713,6.6,convexity_higher1^6^SMA|skew_negative^25^EMA&smi_k_crossover_d^250^150^225|sma_fast_crossover_slow_3^170^272|kdj_k_crossover50^240^216|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^109|trailing_stop^34^2.5
