total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-7.213,40.166,1.445,361.0,37.234,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&rvi_crossover0^130^SMA|roc_crossover0^55|emacd_histogram_start_increase^220^572^176|rvi_crossover_signal^20^12&roc_crossunder0^59|trailing_stop^34^2.5
-6.456,39.503,1.49,362.0,38.342,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&rvi_crossover0^130^SMA|roc_crossover0^55|adx_plus_crossover_minus^80|rvi_crossover_signal^20^12&roc_crossunder0^59|trailing_stop^34^2.5
-6.426,40.278,1.443,360.0,37.675,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&price_crossover_sma^110|rvi_crossover0^130^SMA|roc_crossover0^55|rvi_crossover_signal^20^12&roc_crossunder0^59|trailing_stop^34^2.5
-6.308,39.394,1.498,363.0,37.516,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&rvi_crossover0^130^SMA|roc_crossover0^55|emacd_start_increase^150^420|rvi_crossover_signal^20^12&roc_crossunder0^59|trailing_stop^34^2.5
-4.546,39.335,1.513,361.0,37.326,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&rvi_crossover0^130^SMA|roc_crossover0^55|rvi_crossover_signal^18^13|adx_plus_crossover_minus^80&roc_crossunder0^59|trailing_stop^34^2.5
-4.43,40.39,1.448,359.0,36.702,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&rvi_crossover0^130^SMA|roc_crossover0^55|mass_crossover1^130^78|rvi_crossover_signal^20^12&roc_crossunder0^59|trailing_stop^34^2.5
-2.674,39.889,1.49,361.0,35.174,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&roc_crossover0^55|emacd_start_increase^150^420|emacd_histogram_start_increase^220^572^176|rvi_crossover_signal^20^12&roc_crossunder0^59|trailing_stop^34^2.5
-1.851,39.227,1.537,362.0,35.819,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&roc_crossover0^55|emacd_start_increase^150^420|adx_plus_crossover_minus^80|rvi_crossover_signal^20^12&roc_crossunder0^59|trailing_stop^34^2.5
-1.222,40.503,1.461,358.0,34.652,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&price_crossover_sma^110|roc_crossover0^55|emacd_histogram_start_increase^220^572^176|rvi_crossover_signal^20^12&roc_crossunder0^59|trailing_stop^34^2.5
-1.023,40.0,1.493,360.0,35.267,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&price_crossover_sma^110|roc_crossover0^55|emacd_start_increase^150^420|rvi_crossover_signal^20^12&roc_crossunder0^59|trailing_stop^34^2.5
-0.76,40.223,1.481,358.0,35.206,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&price_crossover_sma^110|roc_crossover0^55|emacd_start_increase^160^384|rvi_crossover_signal^20^12&roc_crossunder0^59|trailing_stop^34^2.5
0.0,40.616,1.462,357.0,34.101,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&price_crossover_sma^110|roc_crossover0^55|rvi_crossover_signal^18^13|emacd_histogram_start_increase^220^572^176&roc_crossunder0^59|trailing_stop^34^2.5
0.462,40.336,1.482,357.0,34.66,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&price_crossover_sma^110|roc_crossover0^55|rvi_crossover_signal^18^13|emacd_start_increase^160^384&roc_crossunder0^59|trailing_stop^34^2.5
0.484,41.159,1.433,345.0,34.431,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&price_crossover_sma^110|mass_crossover1^140^42|emacd_start_increase^160^384|rvi_crossover_signal^20^12&roc_crossunder0^59|trailing_stop^34^2.5
0.988,40.922,1.45,347.0,33.693,bb_neutral^18.0^1.9|rvi_higher_signal^8^2&price_crossover_sma^110|rvi_crossover0^130^SMA|rvi_crossover_signal^18^13|emacd_histogram_start_increase^220^572^176&roc_crossunder0^59|trailing_stop^34^2.5
1.387,41.279,1.431,344.0,34.295,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&price_crossover_sma^110|rvi_crossover_signal^18^13|mass_crossover1^140^42|emacd_start_increase^160^384&roc_crossunder0^59|trailing_stop^34^2.5
1.625,40.449,1.483,356.0,34.173,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&price_crossover_sma^110|roc_crossover0^55|rvi_crossover_signal^18^13|smi_d_crossover0^250^125^75^EMA&roc_crossunder0^59|trailing_stop^34^2.5
1.944,40.563,1.478,355.0,34.188,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&price_crossover_sma^110|roc_crossover0^55|mass_crossover1^130^78|rvi_crossover_signal^18^13&roc_crossunder0^59|trailing_stop^34^2.5
2.369,100.0,100.0,2.0,0.385,skew_negative^170^EMA|skew_negative^18^EMA&smacd_crossover_signal_2^220^352^198|kdj_d_crossover50^250^200^225|smacd_crossover_signal_3^220^308^154|sma_fast_crossover_slow^200^440&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
3.042,43.279,1.329,305.0,38.65,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&price_crossover_sma^110|roc_crossover0^55|rvi_crossover_signal^18^13|smi_d_crossover0^220^132^66^EMA&roc_crossunder0^59|trailing_stop^34^3.5
3.712,40.517,1.492,348.0,32.145,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&price_crossover_sma^110|emacd_start_increase^150^420|emacd_histogram_start_increase^220^572^176|rvi_crossover_signal^20^12&roc_crossunder0^59|trailing_stop^34^2.5
4.15,43.421,1.329,304.0,38.237,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&price_crossover_sma^110|roc_crossover0^55|mass_crossover1^130^78|rvi_crossover_signal^18^13&roc_crossunder0^59|trailing_stop^34^3.5
4.934,40.634,1.493,347.0,31.958,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&price_crossover_sma^110|rvi_crossover_signal^18^13|emacd_start_increase^150^420|emacd_histogram_start_increase^220^572^176&roc_crossunder0^59|trailing_stop^34^2.5
5.99,41.108,1.471,343.0,32.406,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&price_crossover_sma^110|rvi_crossover_signal^18^13|emacd_histogram_start_increase^220^572^176|smi_d_crossover0^250^125^75^EMA&roc_crossunder0^59|trailing_stop^34^2.5
6.316,100.0,100.0,3.0,0.452,skew_negative^170^EMA|smi_overbought^230^115^0.0^SMA&smacd_crossover_signal_3^210^294^189|smacd_crossover_signal_3^220^308^154|ma_atr_long_signal^8.0^8.0^1.9999999999999998|trix_crossover0^160&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
8.08,41.04,1.488,346.0,30.52,bb_neutral^18.0^1.9|rvi_higher_signal^8^2&price_crossover_sma^110|rvi_crossover_signal^18^13|emacd_histogram_start_increase^220^572^176|smacd_histogram_start_increase_2^60^108^72&roc_crossunder0^59|trailing_stop^34^2.5
