开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-01 23:00:00,2026-06-18,101.292,553.377,8.342,10.41,9.479,66.335,53.157,2.782,0.328,138.0,52.899,2.563,51.773,13.8,smi_d_neutral^160^112^144^25.0^-25.0^SMA|rvi_signal_neutral^250^200^5.0^-5.0^SMA&smacd_crossover_signal_2^220^352^198|price_crossover_sma^110|smi_k_crossover0^250^125^SMA|smacd_histogram_start_increase_2^60^108^72&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,101.3,553.453,5.253,11.829,11.943,105.351,46.788,2.449,0.465,77.0,72.727,1.942,52.517,7.7,ema_fast_higher_slow^45^81|rvi_signal_neutral^250^200^5.0^-5.0^SMA&price_crossover_sma^110|stoch_k_crossover50^80^24|smacd_histogram_start_increase^70^112^70|smi_k_crossover0^220^132^SMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,101.303,553.477,8.739,10.373,9.859,63.331,53.359,2.793,0.625,81.0,55.556,3.185,51.463,8.1,smi_d_overbought^180^144^54^0.0^EMA|smi_d_neutral^160^112^144^25.0^-25.0^SMA&roc_crossover0^55|rvi_crossover_signal^18^13|mass_crossunder1^220^132|rvi_crossover_signal^20^12&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,101.304,553.487,5.592,10.199,10.306,98.984,54.271,2.841,0.427,125.0,54.4,2.022,51.558,12.5,smi_neutral^170^153^30.0^-30.0^SMA|aroon_diff_higher0^110&rvi_crossover_signal^18^13|mass_crossover1^140^42|emacd_start_increase^160^384|smi_k_crossover_d_2^120^48^36^15&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,101.315,553.579,3.393,11.677,11.163,163.133,47.409,2.482,0.387,85.0,60.0,2.887,51.809,8.5,smi_d_neutral^160^112^144^25.0^-25.0^SMA|aroon_diff_higher0^110&rvi_crossover0^130^SMA|roc_crossover0^55|supertrend_long_signal^70.0^3.6999999999999993|smi_k_crossover_d_2^120^48^36^15&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,101.342,553.818,5.169,11.319,11.149,107.134,48.927,2.561,0.409,97.0,64.948,1.866,52.54,9.7,ma_atr_long_period^70.0^70.0^1.9999999999999998|rvi_signal_neutral^250^200^5.0^-5.0^SMA&price_crossover_sma^110|rvi_crossover0^130^SMA|smi_k_crossover_d_2^120^48^36^15|smacd_histogram_start_increase_2^60^108^72&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,101.357,553.944,8.603,10.066,9.063,64.387,55.029,2.88,0.319,139.0,51.079,2.668,51.67,13.9,smi_d_neutral^160^112^144^25.0^-25.0^SMA|smi_neutral^170^153^30.0^-30.0^SMA&smacd_crossover_signal_2^220^352^198|price_crossover_sma^110|supertrend_long_signal^70.0^3.6999999999999993|adx_plus_crossover_minus^80&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,101.36,553.972,5.783,10.394,10.358,95.793,53.296,2.79,0.424,118.0,57.627,1.89,51.679,11.8,smi_d_neutral^160^112^144^25.0^-25.0^SMA|aroon_diff_higher0^110&rvi_crossover_signal^20^12|trix_crossover0^160|tsi_crossover0^220^198^SMA|smi_k_crossover_d_2^120^48^36^15&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,101.372,554.078,6.386,10.484,10.202,86.767,52.848,2.766,0.412,115.0,56.522,2.032,51.951,11.5,smi_d_neutral^160^112^144^25.0^-25.0^SMA|rsi_overbought^140^50&rvi_crossover_signal^18^13|smi_k_crossover_d_2^120^48^36^15|stoch_k_crossover_d_2^220^88^154^15|kdj_d_crossover50^70^28^21&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,101.395,554.279,7.884,10.157,9.96,70.302,54.572,2.856,0.611,87.0,50.575,3.396,51.808,8.7,smi_d_neutral^160^112^144^25.0^-25.0^SMA|rsi_overbought^140^50&kc_price_crossover_low_2^20.0^8.0^1.5|stoch_k_crossover50^80^24|adx_plus_crossover_minus^80|rvi_crossover_signal^20^12&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,101.398,554.302,5.794,10.245,10.252,95.675,54.103,2.832,0.423,123.0,57.724,1.864,51.715,12.3,smi_d_neutral^160^112^144^25.0^-25.0^SMA|aroon_diff_higher0^110&adx_plus_crossover_minus^80|emacd_start_increase^160^384|rvi_crossover_signal^20^12|smi_k_crossover_d_2^120^48^36^15&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,101.41,554.406,6.366,10.516,10.243,87.082,52.718,2.759,0.418,114.0,56.14,2.111,51.985,11.4,smi_d_neutral^160^112^144^25.0^-25.0^SMA|rsi_overbought^140^50&kdj_k_crossover50^80^40|rvi_crossover_signal^18^13|tsi_crossover0^220^198^SMA|smi_k_crossover_d_2^120^48^36^15&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,101.414,554.441,5.669,10.521,10.484,97.803,52.696,2.758,0.373,134.0,55.224,1.913,51.725,13.4,smi_d_neutral^160^112^144^25.0^-25.0^SMA|aroon_diff_higher0^110&price_crossover_sma^110|rvi_crossover_signal^18^13|smacd_crossover_signal_3^220^308^154|kdj_d_crossover50^70^28^21&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,101.42,554.496,7.323,10.029,9.404,75.719,55.291,2.894,0.317,152.0,51.974,2.448,51.773,15.2,smi_d_neutral^160^112^144^25.0^-25.0^SMA|kc_neutral^10.0^8.0^1.7&smacd_crossover_signal_2^220^352^198|price_crossover_sma^110|supertrend_long_signal^70.0^3.6999999999999993|smacd_histogram_start_increase_2^60^108^72&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,101.426,554.552,8.483,9.445,9.798,65.37,58.711,3.073,0.553,105.0,52.381,2.338,51.341,10.5,rvi_higher_signal^8^2|smi_neutral^170^153^30.0^-30.0^SMA&smacd_crossover_signal_2^220^352^198|second_wave_trend_2^6|adx_plus_crossover_minus^140|smacd_histogram_start_increase_2^60^108^72&trailing_stop^34^3.0|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,101.43,554.584,4.729,11.724,11.574,117.266,47.303,2.476,0.396,84.0,64.286,2.277,53.101,8.4,smi_d_neutral^160^112^144^25.0^-25.0^SMA|ma_atr_long_period^70.0^70.0^1.9999999999999998&roc_crossover0^55|smi_k_crossover0^250^125^SMA|adx_plus_crossover_minus^80|smi_k_crossover_d_2^120^48^36^15&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,101.433,554.609,7.673,10.0,10.078,72.285,55.46,2.903,0.621,90.0,51.111,3.37,52.063,9.0,smi_d_neutral^160^112^144^25.0^-25.0^SMA|ma_atr_long_period^70.0^70.0^1.9999999999999998&price_crossover_sma^110|rvi_crossover_signal^18^13|mass_crossover1^140^42|smi_k_crossover_d_2^120^48^36^15&aroon_diff_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,101.444,554.711,7.452,10.345,10.838,74.437,53.62,2.807,0.356,134.0,55.224,1.875,51.617,13.4,bb_neutral^18.0^1.9|kc_neutral^10.0^8.0^1.7&smacd_crossover_signal_2^220^352^198|price_crossover_sma^110|adx_plus_crossover_minus^80|smi_k_crossover_d_2^120^48^36^15&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,101.473,554.962,5.803,10.366,10.336,95.633,53.537,2.802,0.415,122.0,57.377,1.916,51.642,12.2,smi_d_neutral^160^112^144^25.0^-25.0^SMA|aroon_diff_higher0^110&bb_price_crossover_low_2^90.0^2.3|adx_plus_crossover_minus^80|rvi_crossover_signal^20^12|smi_k_crossover_d_2^120^48^36^15&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,101.489,555.102,6.326,10.55,10.185,87.754,52.616,2.754,0.404,116.0,58.621,1.883,52.036,11.6,smi_d_neutral^160^112^144^25.0^-25.0^SMA|rsi_overbought^140^50&ma_atr_long_signal^8.0^8.0^1.9999999999999998|rvi_crossover_signal^20^12|smi_k_crossover_d_2^120^48^36^15|sma_fast_crossover_slow_2^200^560&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,101.49,555.111,5.824,11.064,11.921,95.308,50.174,2.626,0.415,114.0,57.018,1.988,51.661,11.4,stoch_k_neutral^240^216^80^20|aroon_diff_higher0^110&kc_price_crossover_low_2^20.0^8.0^1.5|rvi_crossover_signal^18^13|tsi_crossover_signal^220^198^176^SMA|kdj_d_crossover50^70^28^21&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,101.511,555.288,7.076,10.868,9.74,78.474,51.095,2.674,0.525,78.0,61.538,2.904,53.244,7.8,kdj_k_overbought^120^60^50|smi_neutral^170^153^30.0^-30.0^SMA&emacd_start_increase^150^420|smi_d_crossover0^220^132^66^EMA|tsi_crossover_signal^220^198^176^SMA|smacd_histogram_start_increase_2^60^108^72&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,101.515,555.327,5.781,10.456,10.441,96.068,53.11,2.78,0.368,136.0,55.147,1.983,51.664,13.6,smi_d_neutral^160^112^144^25.0^-25.0^SMA|aroon_diff_higher0^110&smacd_crossover_signal_2^220^352^198|rvi_crossover_signal^18^13|adx_plus_crossover_minus^80|smi_k_crossover_d_2^120^48^36^15&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,101.518,555.349,7.195,9.578,9.269,77.189,57.98,3.035,0.398,145.0,50.345,2.497,51.772,14.5,smi_d_neutral^160^112^144^25.0^-25.0^SMA|kc_neutral^10.0^8.0^1.7&mass_crossover1^130^78|second_wave_trend_2^6|emacd_histogram_start_increase^220^572^176|adx_plus_crossover_minus^140&roc_crossunder0^59|trailing_stop^34^3.0
