total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-35.83,26.46,1.783,291.0,39.011,convexity_higher1^16^EMA|bb_neutral^160.0^2.5&sma_fast_crossover_slow_3^30^72|rsi_crossover50^240|rsi_fast_crossover_slow^25^60|smacd_start_increase^120^312&roc_crossunder0^59|trailing_stop^34^2.5
-34.333,24.739,1.967,287.0,39.55,convexity_higher1^16^EMA|bb_neutral^160.0^2.5&sma_fast_crossover_slow_3^30^72|rsi_fast_crossover_slow^30^48|smacd_start_increase^120^312|adx_plus_crossover_minus^90&roc_crossunder0^59|trailing_stop^34^2.5
-33.239,25.694,1.918,288.0,38.71,convexity_higher1^16^EMA|bb_neutral^160.0^2.5&sma_fast_crossover_slow_3^30^72|rsi_fast_crossover_slow^30^48|smacd_start_increase^120^312|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^2.5
-32.429,25.773,1.917,291.0,37.753,convexity_higher1^16^EMA|bb_neutral^160.0^2.5&sma_fast_crossover_slow_3^30^72|rsi_fast_crossover_slow^30^48|smacd_start_increase^120^312|emacd_histogram_start_increase^150^360^90&roc_crossunder0^59|trailing_stop^34^2.5
-32.289,26.389,1.87,288.0,37.854,convexity_higher1^16^EMA|bb_neutral^160.0^2.5&sma_fast_crossover_slow_3^30^72|rsi_fast_crossover_slow^25^60|smacd_start_increase^120^312|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^2.5
-32.259,25.862,1.914,290.0,37.588,convexity_higher1^16^EMA|bb_neutral^160.0^2.5&sma_fast_crossover_slow_3^30^72|rsi_fast_crossover_slow^30^48|smacd_start_increase^120^312|emacd_histogram_start_increase^130^364^104&roc_crossunder0^59|trailing_stop^34^2.5
-32.185,25.704,1.921,284.0,37.684,convexity_higher1^16^EMA|bb_neutral^160.0^2.5&sma_fast_crossover_slow_3^30^72|rsi_fast_crossover_slow^30^48|smacd_start_increase^120^312|mass_crossunder1^120^84&roc_crossunder0^59|trailing_stop^34^2.5
-31.81,27.719,1.752,285.0,35.428,convexity_higher1^16^EMA|bb_neutral^160.0^2.5&rsi_fast_crossover_slow^30^48|rsi_crossover50^240|smacd_start_increase^120^312|emacd_histogram_start_increase^150^360^90&roc_crossunder0^59|trailing_stop^34^2.5
-31.75,27.817,1.746,284.0,35.37,convexity_higher1^16^EMA|bb_neutral^160.0^2.5&rsi_fast_crossover_slow^30^48|rsi_crossover50^240|smacd_start_increase^120^312|emacd_histogram_start_increase^130^364^104&roc_crossunder0^59|trailing_stop^34^2.5
-31.302,26.552,1.866,290.0,36.897,convexity_higher1^16^EMA|bb_neutral^160.0^2.5&sma_fast_crossover_slow_3^30^72|rsi_fast_crossover_slow^25^60|smacd_start_increase^120^312|emacd_histogram_start_increase^150^360^90&roc_crossunder0^59|trailing_stop^34^2.5
-31.242,26.644,1.86,289.0,36.839,convexity_higher1^16^EMA|bb_neutral^160.0^2.5&sma_fast_crossover_slow_3^30^72|rsi_fast_crossover_slow^25^60|smacd_start_increase^120^312|emacd_histogram_start_increase^130^364^104&roc_crossunder0^59|trailing_stop^34^2.5
-31.007,26.667,1.854,285.0,34.087,convexity_higher1^16^EMA|bb_neutral^160.0^2.5&sma_fast_crossover_slow_3^30^72|rsi_fast_crossover_slow^30^48|rsi_crossover50^240|emacd_histogram_start_increase^150^360^90&roc_crossunder0^59|trailing_stop^34^2.5
-30.743,28.521,1.706,284.0,34.792,convexity_higher1^16^EMA|bb_neutral^160.0^2.5&rsi_crossover50^240|rsi_fast_crossover_slow^25^60|smacd_start_increase^120^312|emacd_histogram_start_increase^150^360^90&roc_crossunder0^59|trailing_stop^34^2.5
-30.683,28.622,1.7,283.0,34.734,convexity_higher1^16^EMA|bb_neutral^160.0^2.5&rsi_crossover50^240|rsi_fast_crossover_slow^25^60|smacd_start_increase^120^312|emacd_histogram_start_increase^130^364^104&roc_crossunder0^59|trailing_stop^34^2.5
-30.488,26.408,1.889,284.0,36.372,convexity_higher1^16^EMA|bb_neutral^160.0^2.5&sma_fast_crossover_slow_3^30^72|rsi_fast_crossover_slow^30^48|smacd_start_increase^120^312|sma_fast_crossover_slow_3^130^234&roc_crossunder0^59|trailing_stop^34^2.5
-30.32,27.562,1.793,283.0,33.98,convexity_higher1^16^EMA|bb_neutral^160.0^2.5&rsi_fast_crossover_slow^30^48|smacd_start_increase^120^312|emacd_histogram_start_increase^150^360^90|rsi_crossover50^250&roc_crossunder0^59|trailing_stop^34^2.5
-30.275,26.855,1.853,283.0,35.902,convexity_higher1^16^EMA|bb_neutral^160.0^2.5&sma_fast_crossover_slow_3^30^72|mass_crossunder1^140^70|rsi_fast_crossover_slow^25^60|smacd_start_increase^120^312&roc_crossunder0^59|trailing_stop^34^2.5
-30.182,26.502,1.903,283.0,36.924,convexity_higher1^16^EMA|bb_neutral^160.0^2.5&sma_fast_crossover_slow_3^30^72|rsi_fast_crossover_slow^25^60|smacd_start_increase^120^312|mass_crossover1^90^27&roc_crossunder0^59|trailing_stop^34^2.5
