开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-18,15.003,45.506,1.257,5.566,2.404,36.209,8.176,0.428,0.474,17.0,58.824,11.429,54.545,1.7,rvi_neutral^29^5.0^-5.0^EMA|tsi_neutral^30^27^5.0^-5.0^SMA&smacd_histogram_start_increase_2^230^598^230|smi_k_crossover0^190^114^EMA|smacd_start_increase^140^364|stoch_k_crossover_d^80^72^24&roc_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.005,45.513,4.004,3.211,2.363,11.368,14.175,0.742,0.794,43.0,48.837,2.322,50.76,4.3,trix_increase^70|skew_negative^20^EMA&emacd_start_increase^55^99|emacd_crossover_signal^230^414^276|smi_d_crossover0^160^80^48^EMA|rvi_signal_crossover0^170^102^SMA&aroon_diff_crossunder0^89|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.005,45.512,4.504,3.236,1.973,10.105,14.064,0.736,0.568,33.0,45.455,3.257,49.756,3.3,tsi_higher_signal^55^39^33^EMA|bb_neutral^8.0^1.5&sma_fast_crossover_slow^100^280|smi_k_crossover0^190^114^EMA|trix_start_increase^35|kdj_k_crossover_d_2^160^144^144^15&trailing_stop^34^3.5|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,15.006,45.518,5.012,3.502,2.656,9.081,12.997,0.68,0.33,90.0,45.556,2.139,49.794,9.0,convexity_higher1^16^EMA|kc_neutral^55.0^66.0^2.6999999999999997&sma_fast_crossover_slow_2^100^280|mass_crossunder1^140^70|smacd_start_increase^140^364|rsi_crossover50^250&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,15.006,45.518,1.849,4.777,2.571,24.617,9.529,0.499,0.434,30.0,50.0,5.078,50.587,3.0,tsi_neutral^30^27^5.0^-5.0^SMA|rsi_neutral^17^55^45&kdj_k_crossover50^240^96|tsi_crossover0^230^207^EMA|smacd_start_increase^140^364|emacd_histogram_start_increase^130^364^104&roc_crossunder0^59|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.006,45.515,2.821,3.85,2.464,16.132,11.822,0.619,0.771,31.0,54.839,2.649,51.629,3.1,rvi_neutral^50^5.0^-5.0^SMA|rvi_neutral^29^5.0^-5.0^EMA&smi_k_crossover0^170^85^SMA|mass_crossunder1^120^84|stoch_k_crossover_d^80^72^24|trix_crossover_signal^150^180&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,15.008,45.525,2.122,5.267,2.644,21.457,8.643,0.452,0.534,23.0,60.87,5.558,52.488,2.3,rvi_overbought^70^0.0^SMA|tsi_neutral^30^27^5.0^-5.0^SMA&mass_crossunder1^140^70|smi_k_crossover0^190^114^EMA|stoch_k_crossover_d^80^72^24|rsi_crossover50^250&roc_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.009,45.528,3.018,3.341,1.625,15.083,13.626,0.713,0.582,23.0,69.565,2.017,51.197,2.3,convexity_higher1^16^EMA|convexity_higher1^6^SMA&adx_crossover_threshold^45.0^35.0|sma_fast_crossover_slow^100^280|trix_crossover_signal^150^180|emacd_crossover_signal_3^220^396^308&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,15.009,45.528,5.063,3.061,2.501,8.993,14.872,0.778,0.746,57.0,45.614,2.158,49.389,5.7,rvi_neutral^29^5.0^-5.0^EMA|tsi_higher_signal^55^39^33^EMA&smacd_histogram_start_increase_2^230^598^230|smacd_start_increase^140^364|stoch_k_crossover_d^80^72^24|emacd_histogram_start_increase^130^364^104&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,15.012,45.536,1.756,5.973,2.441,25.931,7.623,0.399,0.781,9.0,88.889,4.4,55.87,0.9,convexity_higher1^6^SMA|tsi_neutral^30^27^5.0^-5.0^SMA&adx_crossover_threshold^45.0^35.0|smacd_histogram_start_increase_2^230^598^230|stoch_k_crossover_d_2^210^147^105^15|kdj_k_crossover_d_2^160^144^144^15&aroon_diff_crossunder0^89|trailing_stop^34^2.5
