开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-01 23:00:00,2026-06-18,17.879,55.475,1.664,6.929,3.165,33.333,8.006,0.419,0.346,22.0,54.545,7.796,53.213,2.2,rvi_overbought^70^0.0^SMA|tsi_neutral^30^27^5.0^-5.0^SMA&adx_crossover_threshold^45.0^35.0|mass_crossunder1^120^84|smacd_start_increase^140^364|stoch_k_crossover_d^80^72^24&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,17.885,55.497,2.07,4.984,3.28,26.817,11.136,0.583,0.42,48.0,56.25,2.943,51.136,4.8,convexity_higher1^16^EMA|rsi_neutral^17^55^45&mass_crossunder1^120^84|smacd_start_increase^140^364|rsi_crossover50^250|stoch_k_crossover50^180^144&roc_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,17.887,55.506,1.833,6.126,3.015,30.284,9.061,0.474,0.406,23.0,56.522,6.667,53.519,2.3,rvi_overbought^70^0.0^SMA|rsi_neutral^17^55^45&stoch_k_crossover_d_2^240^168^72^15|sma_fast_crossover_slow^110^264|mass_crossunder1^120^84|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,17.899,55.546,1.646,5.923,3.46,33.74,9.377,0.491,0.526,25.0,64.0,5.273,51.103,2.5,rvi_overbought^70^0.0^SMA|smacd_higher_signal^6^11^7&tsi_crossover0^220^198^EMA|tsi_crossover0^230^207^EMA|sma_fast_crossover_slow^110^264|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,17.9,55.55,2.651,5.145,3.3,20.952,10.796,0.565,0.34,53.0,54.717,2.658,50.974,5.3,convexity_higher1^16^EMA|rsi_neutral^17^55^45&sma_fast_crossover_slow^110^264|mass_crossunder1^140^70|smacd_start_increase^140^364|rsi_crossover50^250&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,17.904,55.564,1.836,6.443,3.354,30.264,8.623,0.451,0.5,20.0,55.0,6.801,53.435,2.0,stoch_k_neutral^50^15^60^40|tsi_neutral^30^27^5.0^-5.0^SMA&sma_fast_crossover_slow^100^280|smacd_start_increase^140^364|stoch_k_crossover_d^80^72^24|trix_crossover_signal^150^180&roc_crossunder0^59|trailing_stop^34^2.5
2026-02-01 23:00:00,2026-06-18,17.929,55.653,2.315,5.014,3.345,24.04,11.099,0.581,0.403,49.0,53.061,3.326,50.774,4.9,convexity_higher1^16^EMA|rsi_neutral^17^55^45&stoch_d_crossover50^170^153^51|mass_crossunder1^120^84|smacd_start_increase^140^364|rsi_crossover50^250&roc_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,17.934,55.671,2.158,5.381,3.355,25.8,10.345,0.541,0.481,39.0,53.846,3.387,50.854,3.9,tsi_higher_signal^55^39^33^EMA|tsi_neutral^30^27^5.0^-5.0^SMA&rsi_fast_crossover_slow^30^48|ma_atr_long_signal^18.0^22.0^2.8|rsi_fast_crossover_slow^25^60|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,17.965,55.78,2.149,5.308,3.292,25.954,10.509,0.55,0.427,40.0,52.5,4.055,51.521,4.0,rvi_neutral^29^5.0^-5.0^EMA|rsi_neutral^17^55^45&tsi_crossover0^230^207^EMA|mass_crossunder1^120^84|smacd_start_increase^140^364|stoch_k_crossover50^180^144&roc_crossunder0^59|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,17.972,55.804,1.353,5.997,3.452,41.232,9.305,0.487,0.457,29.0,65.517,3.532,51.382,2.9,rvi_overbought^70^0.0^SMA|smacd_higher_signal^6^11^7&sma_fast_crossover_slow^110^264|smacd_start_increase^140^364|trix_crossover_signal^180^108|smacd_crossover_signal^220^484^286&roc_crossunder0^59|trailing_stop^34^2.5
