total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-4.14,37.22,1.592,223.0,10.155,rvi_signal_neutral^250^200^10.0^-10.0^SMA|rvi_neutral^29^35.0^-35.0^EMA&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|mass_crossover1^160^48|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-3.754,37.5,1.581,224.0,10.139,rvi_signal_neutral^250^200^10.0^-10.0^SMA|tsi_neutral^190^133^25.0^-25.0^SMA&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|mass_crossover1^160^48|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-3.754,37.5,1.581,224.0,10.139,rvi_signal_neutral^250^200^10.0^-10.0^SMA|convexity_higher1^12^EMA&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|mass_crossover1^160^48|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-3.646,37.387,1.591,222.0,9.669,rvi_signal_neutral^250^200^10.0^-10.0^SMA|rsi_neutral^23^75^25&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|mass_crossover1^160^48|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-3.598,35.556,1.727,225.0,12.709,tsi_neutral^190^133^25.0^-25.0^SMA|convexity_higher1^12^EMA&emacd_histogram_start_increase^220^396^308|kc_price_crossover_high_2^110.0^132.0^2.6999999999999997|rvi_crossover0^23^SMA|smacd_start_increase^190^532&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-3.598,35.556,1.727,225.0,12.709,convexity_higher1^12^EMA|rsi_neutral^23^75^25&emacd_histogram_start_increase^220^396^308|kc_price_crossover_high_2^110.0^132.0^2.6999999999999997|rvi_crossover0^23^SMA|smacd_start_increase^190^532&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-3.141,37.555,1.595,229.0,16.142,bb_neutral^80.0^2.8999999999999995|rsi_neutral^23^75^25&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|price_crossover_sma_2^30|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-3.141,37.555,1.595,229.0,16.142,bb_neutral^80.0^2.8999999999999995|tsi_neutral^190^133^25.0^-25.0^SMA&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|price_crossover_sma_2^30|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-3.047,35.683,1.732,227.0,12.969,rvi_neutral^29^35.0^-35.0^EMA|rsi_neutral^23^75^25&emacd_histogram_start_increase^220^396^308|rvi_crossover0^23^SMA|smacd_start_increase^190^532|rvi_crossover0^26^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-3.047,35.683,1.732,227.0,12.969,tsi_neutral^190^133^25.0^-25.0^SMA|rvi_neutral^29^35.0^-35.0^EMA&emacd_histogram_start_increase^220^396^308|rvi_crossover0^23^SMA|smacd_start_increase^190^532|rvi_crossover0^26^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-2.855,38.009,1.566,221.0,9.655,bb_neutral^80.0^2.8999999999999995|rvi_signal_neutral^250^200^10.0^-10.0^SMA&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|mass_crossover1^160^48|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-2.811,37.118,1.633,229.0,12.09,convexity_higher1^12^EMA|rvi_neutral^29^35.0^-35.0^EMA&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|mass_crossover1^160^48|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-2.811,37.118,1.633,229.0,12.09,tsi_neutral^190^133^25.0^-25.0^SMA|rvi_neutral^29^35.0^-35.0^EMA&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|mass_crossover1^160^48|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-2.796,35.841,1.725,226.0,12.731,tsi_neutral^190^133^25.0^-25.0^SMA|convexity_higher1^12^EMA&emacd_histogram_start_increase^220^396^308|rvi_crossover0^23^SMA|smacd_start_increase^190^532|rvi_crossover0^26^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-2.796,35.841,1.725,226.0,12.731,convexity_higher1^12^EMA|rsi_neutral^23^75^25&emacd_histogram_start_increase^220^396^308|rvi_crossover0^23^SMA|smacd_start_increase^190^532|rvi_crossover0^26^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-2.685,33.803,1.884,213.0,9.807,bb_neutral^8.0^1.9|rvi_signal_neutral^250^200^10.0^-10.0^SMA&emacd_histogram_start_increase^220^396^308|rvi_crossover0^23^SMA|smacd_start_increase^190^532|rvi_crossover0^26^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-2.507,34.529,1.83,223.0,12.075,bb_neutral^8.0^1.9|rvi_signal_neutral^250^200^10.0^-10.0^SMA&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|rvi_crossover0^23^SMA|rvi_crossover0^26^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-2.46,36.771,1.665,223.0,9.963,tsi_neutral^190^133^25.0^-25.0^SMA|rvi_neutral^29^35.0^-35.0^EMA&emacd_histogram_start_increase^220^396^308|kc_price_crossover_high_2^110.0^132.0^2.6999999999999997|mass_crossover1^160^48|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-2.424,37.391,1.623,230.0,12.075,tsi_neutral^190^133^25.0^-25.0^SMA|convexity_higher1^12^EMA&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|mass_crossover1^160^48|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-2.316,37.281,1.632,228.0,11.622,convexity_higher1^12^EMA|rsi_neutral^23^75^25&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|mass_crossover1^160^48|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-2.316,37.281,1.632,228.0,11.622,tsi_neutral^190^133^25.0^-25.0^SMA|rsi_neutral^23^75^25&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|mass_crossover1^160^48|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-2.2,35.909,1.733,220.0,9.981,convexity_higher1^12^EMA|rvi_neutral^29^35.0^-35.0^EMA&emacd_histogram_start_increase^220^396^308|smacd_crossover_signal^190^380^171|mass_crossover1^160^48|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-2.103,40.271,1.443,221.0,12.308,bb_neutral^80.0^2.8999999999999995|tsi_neutral^190^133^25.0^-25.0^SMA&emacd_start_increase^120^288|mass_crossover1^160^48|price_crossover_sma_2^30|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-2.072,37.885,1.596,227.0,11.528,bb_neutral^80.0^2.8999999999999995|tsi_neutral^190^133^25.0^-25.0^SMA&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|mass_crossover1^160^48|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-2.068,36.444,1.697,225.0,9.898,convexity_higher1^12^EMA|rvi_neutral^29^35.0^-35.0^EMA&emacd_histogram_start_increase^220^396^308|mass_crossover1^160^48|rvi_crossover0^23^SMA|rvi_crossover0^26^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-2.022,36.889,1.662,225.0,11.541,rvi_signal_neutral^250^200^10.0^-10.0^SMA|rvi_neutral^29^35.0^-35.0^EMA&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|rvi_crossover0^23^SMA|rvi_crossover0^26^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-2.022,36.889,1.662,225.0,11.541,rvi_signal_neutral^250^200^10.0^-10.0^SMA|tsi_neutral^190^133^25.0^-25.0^SMA&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|rvi_crossover0^23^SMA|rvi_crossover0^26^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-1.82,39.91,1.471,223.0,12.852,tsi_neutral^190^133^25.0^-25.0^SMA|convexity_higher1^12^EMA&emacd_start_increase^120^288|mass_crossover1^160^48|price_crossover_sma_2^30|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-1.815,34.091,1.888,220.0,12.413,bb_neutral^8.0^1.9|rvi_neutral^29^35.0^-35.0^EMA&emacd_histogram_start_increase^220^396^308|rvi_crossover0^23^SMA|smacd_start_increase^190^532|rvi_crossover0^26^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-1.815,34.091,1.888,220.0,12.413,bb_neutral^8.0^1.9|tsi_neutral^190^133^25.0^-25.0^SMA&emacd_histogram_start_increase^220^396^308|rvi_crossover0^23^SMA|smacd_start_increase^190^532|rvi_crossover0^26^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-1.814,36.199,1.72,221.0,9.945,tsi_neutral^190^133^25.0^-25.0^SMA|convexity_higher1^12^EMA&emacd_histogram_start_increase^220^396^308|smacd_crossover_signal^190^380^171|mass_crossover1^160^48|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-1.745,34.842,1.827,221.0,11.856,bb_neutral^8.0^1.9|tsi_neutral^190^133^25.0^-25.0^SMA&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|mass_crossover1^160^48|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-1.745,34.842,1.827,221.0,11.856,bb_neutral^8.0^1.9|rvi_neutral^29^35.0^-35.0^EMA&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|mass_crossover1^160^48|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-1.712,39.819,1.478,221.0,12.399,convexity_higher1^12^EMA|rsi_neutral^23^75^25&emacd_start_increase^120^288|mass_crossover1^160^48|price_crossover_sma_2^30|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-1.712,39.819,1.478,221.0,12.399,tsi_neutral^190^133^25.0^-25.0^SMA|rsi_neutral^23^75^25&emacd_start_increase^120^288|mass_crossover1^160^48|price_crossover_sma_2^30|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-1.706,36.073,1.732,219.0,9.935,convexity_higher1^12^EMA|rsi_neutral^23^75^25&emacd_histogram_start_increase^220^396^308|smacd_crossover_signal^190^380^171|mass_crossover1^160^48|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-1.682,36.726,1.686,226.0,9.898,tsi_neutral^190^133^25.0^-25.0^SMA|convexity_higher1^12^EMA&emacd_histogram_start_increase^220^396^308|mass_crossover1^160^48|rvi_crossover0^23^SMA|rvi_crossover0^26^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-1.636,34.783,1.835,230.0,14.466,bb_neutral^8.0^1.9|rsi_neutral^23^75^25&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|rvi_crossover0^23^SMA|rvi_crossover0^26^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-1.636,34.783,1.835,230.0,14.466,bb_neutral^8.0^1.9|tsi_neutral^190^133^25.0^-25.0^SMA&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|rvi_crossover0^23^SMA|rvi_crossover0^26^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-1.574,36.607,1.696,224.0,9.429,convexity_higher1^12^EMA|rsi_neutral^23^75^25&emacd_histogram_start_increase^220^396^308|mass_crossover1^160^48|rvi_crossover0^23^SMA|rvi_crossover0^26^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-1.568,31.818,2.091,198.0,14.233,convexity_higher1^12^EMA|rvi_neutral^29^35.0^-35.0^EMA&emacd_histogram_start_increase^220^396^308|kc_price_crossover_high_2^110.0^132.0^2.6999999999999997|price_crossover_sma_2^30|adx_crossover_threshold^170.0^15.0&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-1.397,37.281,1.651,228.0,14.745,convexity_higher1^12^EMA|rsi_neutral^23^75^25&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|kc_price_crossover_high_2^110.0^132.0^2.6999999999999997|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-1.397,37.281,1.651,228.0,14.745,convexity_higher1^12^EMA|rvi_neutral^29^35.0^-35.0^EMA&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|kc_price_crossover_high_2^110.0^132.0^2.6999999999999997|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-1.285,37.719,1.623,228.0,14.639,rvi_neutral^29^35.0^-35.0^EMA|rsi_neutral^23^75^25&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|kc_price_crossover_high_2^110.0^132.0^2.6999999999999997|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-1.285,37.719,1.623,228.0,14.639,tsi_neutral^190^133^25.0^-25.0^SMA|rvi_neutral^29^35.0^-35.0^EMA&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|kc_price_crossover_high_2^110.0^132.0^2.6999999999999997|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
-1.251,35.0,1.826,220.0,11.387,bb_neutral^8.0^1.9|rsi_neutral^23^75^25&emacd_start_increase^120^288|emacd_histogram_start_increase^220^396^308|mass_crossover1^160^48|rvi_crossover0^23^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
