开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-01 23:00:00,2026-06-18,31.839,109.931,2.474,6.49,5.863,44.43,16.939,0.887,0.584,74.0,54.054,2.949,49.753,7.4,convexity_higher1^12^EMA|adx_higher_threshold^50.0^10.0&kdj_k_crossover_d^80^72^72|rvi_signal_crossover0^170^136^SMA|stoch_k_crossover_d^80^48^72|smacd_start_increase^190^532&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,31.841,109.941,3.123,6.944,6.237,35.208,15.833,0.829,0.831,47.0,65.957,2.281,50.196,4.7,mass_higher1^150^60|tsi_neutral^12^4^15.0^-15.0^EMA&emacd_crossover_signal^80^176^48|smacd_histogram_start_increase^230^460^253|mass_crossover1^160^48|rvi_crossover0^23^SMA&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,31.853,109.991,4.699,5.877,5.37,23.407,18.714,0.98,0.542,93.0,51.613,2.265,49.894,9.3,rvi_signal_overbought^26^13^0.0^EMA|kc_neutral^60.0^24.0^1.9&emacd_start_increase^120^288|kdj_k_crossover_d^80^72^72|smacd_histogram_start_increase^230^460^253|trix_crossover0^10&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,31.857,110.007,2.527,7.362,5.808,43.53,14.942,0.782,0.616,50.0,62.0,3.07,50.074,5.0,adx_higher_threshold^50.0^10.0|kdj_k_neutral^8^2^85^15&trix_crossover_signal^230^184|stoch_k_crossover_d^80^48^72|emacd_crossover_signal^70^182^42|emacd_crossover_signal_3^30^78^36&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,31.862,110.029,3.002,6.349,5.618,36.653,17.331,0.907,0.671,67.0,59.701,2.156,49.966,6.7,kc_neutral^80.0^32.0^3.6999999999999993|tsi_neutral^12^4^15.0^-15.0^EMA&rvi_signal_crossover0^30^24^EMA|emacd_histogram_start_increase^220^396^308|emacd_crossover_signal^80^176^48|smacd_histogram_start_increase^230^460^253&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,31.863,110.033,3.155,6.543,5.61,34.875,16.816,0.88,0.541,76.0,57.895,2.305,50.724,7.6,adx_higher_threshold^50.0^10.0|kdj_k_neutral^8^2^85^15&rvi_signal_crossover0^30^24^EMA|adx_crossover_threshold^170.0^15.0|stoch_k_crossover_d^80^48^72|smacd_start_increase^190^532&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,31.872,110.075,2.578,7.1,6.097,42.694,15.504,0.812,0.607,59.0,57.627,3.095,49.574,5.9,adx_higher_threshold^50.0^10.0|kdj_k_neutral^8^2^85^15&smacd_histogram_start_increase^230^460^253|adx_crossover_threshold^170.0^15.0|stoch_k_crossover_d^80^48^72|emacd_crossover_signal_3^30^78^36&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,31.877,110.095,3.301,5.863,5.472,33.35,18.78,0.983,0.707,75.0,50.667,2.71,50.346,7.5,rsi_neutral^11^60^40|rvi_overbought^40^0.0^EMA&emacd_start_increase^120^288|rvi_signal_crossover0^30^24^EMA|trix_crossover0^10|stoch_d_crossover50^250^125^75&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,31.883,110.12,3.634,6.235,5.862,30.305,17.66,0.924,0.499,97.0,50.515,2.454,50.063,9.7,kdj_k_neutral^8^2^85^15|rvi_signal_overbought^26^13^0.0^EMA&emacd_start_increase^120^288|rvi_signal_crossover0^30^24^EMA|smacd_crossover_signal_3^160^256^208|stoch_k_crossover_d^80^48^72&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,31.884,110.122,3.867,5.912,5.599,28.474,18.627,0.975,0.564,94.0,55.319,1.943,50.245,9.4,rsi_neutral^11^60^40|sma_fast_higher_slow^6^11&smacd_histogram_start_increase^230^460^253|stoch_k_crossover_d^80^48^72|kdj_k_crossover_d_2^240^168^168^20|rvi_crossover0^26^SMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
