开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-01 23:00:00,2026-06-19 16:45:00,33.63,115.596,2.458,7.223,6.066,47.037,16.004,0.838,0.585,63.0,66.667,2.195,50.886,6.3,adx_higher_threshold^50.0^10.0|kdj_k_neutral^8^2^85^15&rvi_signal_crossover0^30^24^EMA|emacd_crossover_signal_3^140^196^84|smacd_crossover_signal^190^380^171|stoch_k_crossover_d^80^48^72&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,33.741,116.068,2.487,7.327,6.04,46.663,15.842,0.829,0.579,61.0,65.574,2.381,50.839,6.1,adx_higher_threshold^50.0^10.0|kdj_k_neutral^8^2^85^15&rvi_signal_crossover0^30^24^EMA|stoch_d_crossover50^250^125^75|adx_crossover_threshold^170.0^15.0|stoch_k_crossover_d^80^48^72&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,32.7,111.64,2.608,7.324,5.917,42.811,15.243,0.798,0.63,51.0,66.667,2.491,49.551,5.1,adx_higher_threshold^50.0^10.0|kdj_k_neutral^8^2^85^15&emacd_crossover_signal^80^176^48|adx_crossover_threshold^170.0^15.0|stoch_k_crossover_d^80^48^72|emacd_crossover_signal_3^30^78^36&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,33.09,113.293,2.251,7.057,6.056,50.335,16.055,0.84,0.575,68.0,57.353,2.713,50.252,6.8,tsi_neutral^190^133^25.0^-25.0^SMA|adx_higher_threshold^50.0^10.0&adx_crossover_threshold^160.0^15.0|stoch_d_crossover50^250^125^75|stoch_k_crossover_d^80^48^72|smacd_start_increase^190^532&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,34.546,119.53,3.027,6.963,6.481,39.485,17.167,0.899,0.758,59.0,61.017,2.758,50.068,5.9,adx_higher_threshold^50.0^10.0|kdj_k_neutral^8^2^85^15&rvi_signal_crossover0^30^24^EMA|stoch_k_crossover_d^80^48^72|emacd_crossover_signal_3^30^78^36|smi_k_crossover_d_2^80^56^24^25&aroon_diff_crossunder0^89|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,32.596,111.201,2.594,7.158,5.893,42.863,15.534,0.813,0.631,53.0,62.264,2.522,49.773,5.3,adx_higher_threshold^50.0^10.0|kdj_k_neutral^8^2^85^15&mass_crossover1^160^48|stoch_k_crossover_d^80^48^72|emacd_crossover_signal_3^30^78^36|bb_price_crossover_low_2^210.0^2.0999999999999996&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,31.895,108.257,2.015,7.207,5.879,53.736,15.022,0.786,0.622,51.0,60.784,3.473,49.832,5.1,adx_higher_threshold^50.0^10.0|kdj_k_neutral^8^2^85^15&kdj_d_crossover50^140^126^126|stoch_k_crossover_d^80^48^72|emacd_crossover_signal_3^30^78^36|sma_fast_crossover_slow^130^364&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,32.703,111.655,2.628,7.191,6.001,42.488,15.528,0.813,0.657,51.0,60.784,3.394,49.637,5.1,adx_higher_threshold^50.0^10.0|kdj_k_neutral^8^2^85^15&kdj_k_crossover_d^80^72^72|smacd_crossover_signal_2^220^396^132|stoch_k_crossover_d^80^48^72|emacd_crossover_signal_3^30^78^36&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,32.853,112.287,2.623,7.273,6.054,42.811,15.44,0.808,0.651,51.0,58.824,3.67,49.542,5.1,adx_higher_threshold^50.0^10.0|kdj_k_neutral^8^2^85^15&kdj_k_crossover_d^80^72^72|stoch_d_crossover50^250^125^75|stoch_k_crossover_d^80^48^72|emacd_crossover_signal_3^30^78^36&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-19 16:45:00,35.099,121.932,2.724,7.554,6.483,44.769,16.142,0.845,0.593,64.0,64.062,2.532,50.561,6.4,adx_higher_threshold^50.0^10.0|kdj_k_neutral^8^2^85^15&rvi_signal_crossover0^30^24^EMA|smacd_crossover_signal_2^220^396^132|stoch_k_crossover_d^80^48^72|emacd_crossover_signal_3^30^78^36&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
