total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-22.587,42.512,1.154,207.0,31.54,convexity_higher1^14^SMA|bb_neutral^30.0^3.6999999999999993&price_crossover_sma^140|supertrend_long_signal^55.0^3.3|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^59|trailing_stop^34^3.0
-14.044,37.963,1.48,216.0,23.454,convexity_higher1^14^SMA|bb_neutral^30.0^3.6999999999999993&sma_fast_crossover_slow_3^160^288|price_crossover_sma^140|supertrend_long_signal^55.0^3.3|smacd_histogram_start_increase^110^220^99&roc_crossunder0^59|trailing_stop^34^2.5
-11.847,43.077,1.212,195.0,29.629,convexity_higher1^14^SMA|bb_neutral^30.0^3.6999999999999993&price_crossover_sma^140|sma_fast_crossover_slow_3^170^272|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^59|trailing_stop^34^3.0
-11.443,40.09,1.376,222.0,22.846,convexity_higher1^14^SMA|bb_neutral^30.0^3.6999999999999993&price_crossover_sma^140|supertrend_long_signal^55.0^3.3|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^59|trailing_stop^34^2.5
-9.836,40.094,1.393,212.0,23.716,convexity_higher1^14^SMA|bb_neutral^30.0^3.6999999999999993&sma_fast_crossover_slow_3^160^288|price_crossover_sma^140|supertrend_long_signal^55.0^3.3|smacd_histogram_start_increase^110^220^99&roc_crossunder0^89|trailing_stop^34^2.5
-8.341,41.038,1.351,212.0,24.359,convexity_higher1^14^SMA|bb_neutral^30.0^3.6999999999999993&price_crossover_sma^140|supertrend_long_signal^55.0^3.3|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^89|trailing_stop^34^2.5
-6.156,40.0,1.434,210.0,22.619,convexity_higher1^14^SMA|bb_neutral^30.0^3.6999999999999993&price_crossover_sma^140|sma_fast_crossover_slow_3^170^272|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^59|trailing_stop^34^2.5
-5.099,43.814,1.233,194.0,20.995,convexity_higher1^6^SMA|bb_neutral^30.0^3.6999999999999993&price_crossover_sma^140|supertrend_long_signal^55.0^3.3|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^59|trailing_stop^34^3.0
-3.347,41.872,1.353,203.0,21.382,convexity_higher1^14^SMA|bb_neutral^30.0^3.6999999999999993&price_crossover_sma^140|sma_fast_crossover_slow_3^170^272|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^89|trailing_stop^34^2.5
-2.643,39.614,1.494,207.0,20.081,rsi_neutral^250^55^45|bb_neutral^30.0^3.6999999999999993&sma_fast_crossover_slow_3^160^288|price_crossover_sma^140|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^59|trailing_stop^34^2.5
-2.202,39.32,1.517,206.0,20.005,convexity_higher1^14^SMA|rsi_neutral^250^55^45&sma_fast_crossover_slow_3^160^288|price_crossover_sma^140|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^59|trailing_stop^34^2.5
-2.176,39.806,1.488,206.0,20.788,convexity_higher1^14^SMA|bb_neutral^30.0^3.6999999999999993&price_crossover_sma^140|tsi_crossover_signal^220^154^132^SMA|supertrend_long_signal^55.0^3.3|smacd_histogram_start_increase^110^220^99&roc_crossunder0^59|trailing_stop^34^2.5
-0.783,41.919,1.377,198.0,17.132,convexity_higher1^6^SMA|convexity_higher1^14^SMA&price_crossover_sma^140|supertrend_long_signal^55.0^3.3|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^89|trailing_stop^34^2.5
0.742,39.72,1.526,214.0,20.356,convexity_higher1^14^SMA|bb_neutral^30.0^3.6999999999999993&sma_fast_crossover_slow_3^160^288|price_crossover_sma^140|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^59|trailing_stop^34^2.5
1.83,100.0,100.0,1.0,0.0,kdj_k_neutral^110^33^65^35|roc_higher0^20&smi_k_crossover0^190^95^SMA|tsi_crossover0^180^126^SMA|smi_d_crossover0^210^63^63^EMA|smi_k_crossover0^210^105^EMA&trailing_stop^34^3.0|roc_crossunder0^89
2.156,44.041,1.292,193.0,19.585,convexity_higher1^6^SMA|convexity_higher1^14^SMA&price_crossover_sma^140|supertrend_long_signal^55.0^3.3|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^59|trailing_stop^34^3.0
4.992,41.262,1.479,206.0,18.158,convexity_higher1^14^SMA|bb_neutral^30.0^3.6999999999999993&sma_fast_crossover_slow_3^160^288|price_crossover_sma^140|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^89|trailing_stop^34^2.5
7.516,37.989,1.748,179.0,13.601,kdj_k_higher_d^8^7^2|convexity_higher1^14^SMA&smacd_crossover_signal^220^308^154|price_crossover_sma^140|supertrend_long_signal^55.0^3.3|smacd_histogram_start_increase^110^220^99&roc_crossunder0^89|trailing_stop^34^2.5
7.562,100.0,100.0,4.0,1.63,kdj_k_neutral^110^33^65^35|roc_higher0^20&tsi_crossover_signal^220^154^132^SMA|tsi_crossover0^180^126^SMA|smi_d_crossover0^210^63^63^EMA|stoch_k_crossover50^220^176&roc_crossunder0^89|trailing_stop^34^2.5
8.35,38.764,1.705,178.0,13.601,kdj_k_higher_d^8^7^2|bb_neutral^30.0^3.6999999999999993&smacd_crossover_signal^220^308^154|price_crossover_sma^140|supertrend_long_signal^55.0^3.3|smacd_histogram_start_increase^110^220^99&roc_crossunder0^89|trailing_stop^34^2.5
8.59,34.014,2.168,147.0,12.532,kdj_k_higher_d^8^7^2|rsi_neutral^250^55^45&price_crossover_sma^140|stoch_d_crossover50^210^84^105|sma_fast_crossover_slow_3^170^272|smacd_start_increase^230^552&roc_crossunder0^89|trailing_stop^34^2.5
8.72,100.0,100.0,3.0,1.183,kdj_k_neutral^110^33^65^35|smi_overbought^190^95^0.0^SMA&smacd_crossover_signal_2^220^308^154|smi_k_crossover_d^250^150^225|smacd_crossover_signal^220^308^154|smi_d_crossover0^210^63^63^EMA&trailing_stop^34^3.0|roc_crossunder0^89
9.111,41.463,1.516,205.0,17.782,convexity_higher1^6^SMA|convexity_higher1^14^SMA&price_crossover_sma^140|supertrend_long_signal^55.0^3.3|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^59|trailing_stop^34^2.5
9.16,45.026,1.313,191.0,19.273,convexity_higher1^14^SMA|bb_neutral^30.0^3.6999999999999993&price_crossover_sma^140|tsi_crossover_signal^220^154^132^SMA|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^59|trailing_stop^34^3.0
11.29,34.783,2.193,138.0,9.548,kdj_k_higher_d^8^7^2|rsi_neutral^250^55^45&smacd_crossover_signal^220^308^154|price_crossover_sma^140|stoch_d_crossover50^210^84^105|sma_fast_crossover_slow_3^170^272&roc_crossunder0^89|trailing_stop^34^2.5
12.314,43.523,1.438,193.0,16.38,convexity_higher1^14^SMA|bb_neutral^30.0^3.6999999999999993&price_crossover_sma^140|stoch_k_crossover50^220^176|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^89|trailing_stop^34^2.5
12.572,42.784,1.484,194.0,16.817,convexity_higher1^14^SMA|bb_neutral^30.0^3.6999999999999993&price_crossover_sma^140|smi_d_crossover0^210^63^63^EMA|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^89|trailing_stop^34^2.5
13.185,35.507,2.17,138.0,9.601,kdj_k_higher_d^8^7^2|rsi_neutral^250^55^45&smi_k_crossover0^190^95^SMA|smacd_crossover_signal^220^308^154|price_crossover_sma^140|sma_fast_crossover_slow_3^170^272&roc_crossunder0^89|trailing_stop^34^2.5
13.764,44.505,1.397,182.0,14.559,convexity_higher1^14^SMA|bb_neutral^30.0^3.6999999999999993&price_crossover_sma^140|stoch_k_crossover50^220^176|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&trailing_stop^34^3.0|roc_crossunder0^89
14.419,42.487,1.523,193.0,16.256,convexity_higher1^14^SMA|bb_neutral^30.0^3.6999999999999993&price_crossover_sma^140|kdj_k_crossover50^240^216|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^89|trailing_stop^34^2.5
14.981,36.691,2.113,139.0,9.141,kdj_k_higher_d^8^7^2|rsi_neutral^250^55^45&smacd_crossover_signal^220^308^154|price_crossover_sma^140|sma_fast_crossover_slow_3^170^272|stoch_k_crossover50^220^176&roc_crossunder0^89|trailing_stop^34^2.5
16.223,35.294,2.082,170.0,17.966,rsi_neutral^250^55^45|bb_neutral^30.0^3.6999999999999993&sma_fast_crossover_slow_3^160^288|price_crossover_sma^140|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^2.5
17.812,35.503,2.089,169.0,17.755,convexity_higher1^14^SMA|rsi_neutral^250^55^45&sma_fast_crossover_slow_3^160^288|price_crossover_sma^140|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^2.5
18.505,100.0,100.0,7.0,1.633,kdj_k_neutral^110^33^65^35|skew_negative^25^EMA&smacd_crossover_signal_2^220^308^154|smi_k_crossover_d^250^150^225|smi_d_crossover0^180^90^54^EMA|smi_d_crossover0^210^63^63^EMA&roc_crossunder0^89|trailing_stop^34^2.5
18.583,42.051,1.612,195.0,15.861,convexity_higher1^6^SMA|bb_neutral^30.0^3.6999999999999993&sma_fast_crossover_slow_3^160^288|price_crossover_sma^140|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^89|trailing_stop^34^2.5
18.663,40.796,1.689,201.0,17.017,convexity_higher1^6^SMA|bb_neutral^30.0^3.6999999999999993&sma_fast_crossover_slow_3^160^288|price_crossover_sma^140|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^59|trailing_stop^34^2.5
18.682,32.609,2.49,138.0,13.176,kc_neutral^160.0^128.0^3.8999999999999995|convexity_higher1^6^SMA&price_crossover_sma^140|sma_fast_crossover_slow_3^170^272|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&aroon_diff_crossunder0^59|trailing_stop^34^2.5
19.014,43.069,1.539,202.0,17.279,convexity_higher1^14^SMA|bb_neutral^30.0^3.6999999999999993&price_crossover_sma^140|tsi_crossover_signal^220^154^132^SMA|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^59|trailing_stop^34^2.5
19.147,42.487,1.574,193.0,17.887,convexity_higher1^14^SMA|bb_neutral^30.0^3.6999999999999993&price_crossover_sma^140|tsi_crossover_signal^220^154^132^SMA|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^89|trailing_stop^34^2.5
19.574,40.0,2.079,115.0,6.406,price_higher_ema^18|bb_neutral^30.0^3.6999999999999993&smacd_crossover_signal^220^308^154|price_crossover_sma^140|sma_fast_crossover_slow_3^170^272|smi_k_crossover0^210^105^EMA&roc_crossunder0^89|trailing_stop^34^2.5
19.695,40.5,1.723,200.0,16.891,convexity_higher1^6^SMA|convexity_higher1^14^SMA&sma_fast_crossover_slow_3^160^288|price_crossover_sma^140|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^59|trailing_stop^34^2.5
19.998,42.268,1.616,194.0,15.694,convexity_higher1^6^SMA|convexity_higher1^14^SMA&sma_fast_crossover_slow_3^160^288|price_crossover_sma^140|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^89|trailing_stop^34^2.5
20.171,38.983,2.142,118.0,6.564,price_higher_ema^18|convexity_higher1^14^SMA&smacd_crossover_signal^220^308^154|price_crossover_sma^140|sma_fast_crossover_slow_3^170^272|kdj_k_crossover50^240^216&roc_crossunder0^89|trailing_stop^34^2.5
20.376,100.0,100.0,6.0,1.72,ma_atr_long_period^14.0^17.0^2.3999999999999995|smi_d_overbought^110^77^99^0.0^SMA&smacd_crossover_signal_2^220^308^154|smi_k_crossover_d^250^150^225|smacd_crossover_signal^220^308^154|smi_d_crossover0^210^63^63^EMA&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^2.5
21.188,38.65,1.996,163.0,9.966,kdj_k_higher_d^8^7^2|rsi_neutral^250^55^45&price_crossover_sma^140|sma_fast_crossover_slow_3^170^272|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^89|trailing_stop^34^2.5
21.196,36.364,2.053,176.0,18.778,convexity_higher1^14^SMA|bb_neutral^30.0^3.6999999999999993&sma_fast_crossover_slow_3^160^288|price_crossover_sma^140|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^2.5
21.629,39.634,1.915,164.0,10.679,kdj_k_higher_d^8^7^2|rsi_neutral^250^55^45&sma_fast_crossover_slow_3^160^288|price_crossover_sma^140|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^89|trailing_stop^34^2.5
21.645,60.0,28.181,10.0,2.047,smacd_higher_signal^18^29^13|ma_atr_long_period^14.0^17.0^2.3999999999999995&smacd_crossover_signal_2^220^308^154|smi_k_crossover_d^250^150^225|tsi_crossover_signal^220^154^132^SMA|stoch_k_crossover50^220^176&aroon_diff_crossunder0^59|trailing_stop^34^3.0
21.72,38.596,2.275,114.0,6.964,kdj_k_higher_d^8^7^2|price_higher_ema^18&smacd_crossover_signal^220^308^154|price_crossover_sma^140|stoch_d_crossover50^210^84^105|sma_fast_crossover_slow_3^170^272&roc_crossunder0^89|trailing_stop^34^2.5
22.265,39.823,2.198,113.0,6.49,price_higher_ema^18|rsi_neutral^250^55^45&smi_k_crossover0^190^95^SMA|smacd_crossover_signal^220^308^154|price_crossover_sma^140|sma_fast_crossover_slow_3^170^272&roc_crossunder0^89|trailing_stop^34^2.5
22.28,40.0,2.153,115.0,6.49,price_higher_ema^18|convexity_higher1^14^SMA&smi_k_crossover0^190^95^SMA|smacd_crossover_signal^220^308^154|price_crossover_sma^140|sma_fast_crossover_slow_3^170^272&roc_crossunder0^89|trailing_stop^34^2.5
22.672,39.645,1.926,169.0,11.559,kdj_k_higher_d^8^7^2|bb_neutral^30.0^3.6999999999999993&price_crossover_sma^140|sma_fast_crossover_slow_3^170^272|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^89|trailing_stop^34^2.5
22.91,39.053,1.981,169.0,11.668,kdj_k_higher_d^8^7^2|convexity_higher1^14^SMA&price_crossover_sma^140|sma_fast_crossover_slow_3^170^272|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^89|trailing_stop^34^2.5
23.053,38.889,2.022,162.0,12.465,kdj_k_higher_d^8^7^2|convexity_higher1^14^SMA&smacd_crossover_signal^220^308^154|price_crossover_sma^140|smacd_start_increase^230^552|smacd_histogram_start_increase^110^220^99&roc_crossunder0^89|trailing_stop^34^2.5
23.071,39.13,1.998,161.0,12.368,kdj_k_higher_d^8^7^2|convexity_higher1^14^SMA&price_crossover_sma^140|tsi_crossover_signal^220^154^132^SMA|sma_fast_crossover_slow_3^170^272|smacd_histogram_start_increase^110^220^99&roc_crossunder0^89|trailing_stop^34^2.5
