total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-21.184,35.047,1.211,214.0,27.388,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|rvi_crossover_signal^210^84|emacd_histogram_start_increase^35^98^35|price_crossover_ema^90&roc_crossunder0^59|trailing_stop^34^2.5
-20.926,34.101,1.261,217.0,27.943,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|rvi_crossover_signal^210^84|emacd_histogram_start_increase^35^98^35|emacd_start_increase^55^110&roc_crossunder0^59|trailing_stop^34^2.5
-20.773,33.945,1.275,218.0,27.541,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|emacd_start_increase^60^96|rvi_crossover_signal^210^84|emacd_histogram_start_increase^35^98^35&roc_crossunder0^59|trailing_stop^34^2.5
-20.748,34.259,1.259,216.0,27.133,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|rvi_crossover_signal^210^84|price_crossover_ema^90|emacd_histogram_start_increase^40^64^48&roc_crossunder0^59|trailing_stop^34^2.5
-20.6,34.45,1.23,209.0,26.445,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|rvi_crossover_signal^210^84|emacd_histogram_start_increase^35^98^35|roc_crossover0^150&roc_crossunder0^59|trailing_stop^34^2.5
-19.981,35.61,1.18,205.0,26.181,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&stoch_k_crossover_d_2^170^153^119^15|second_wave_trend_2^14|rvi_crossover_signal^210^84|emacd_histogram_start_increase^35^98^35&roc_crossunder0^59|trailing_stop^34^2.5
-19.791,32.877,1.372,219.0,26.738,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|emacd_start_increase^60^96|emacd_histogram_start_increase^35^98^35|price_crossover_sma^130&roc_crossunder0^59|trailing_stop^34^2.5
-19.783,33.796,1.302,216.0,26.587,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|emacd_start_increase^60^96|rvi_crossover_signal^210^84|emacd_histogram_start_increase^40^64^48&roc_crossunder0^59|trailing_stop^34^2.5
-19.776,33.953,1.291,215.0,26.846,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|rvi_crossover_signal^210^84|emacd_start_increase^55^110|emacd_histogram_start_increase^40^64^48&roc_crossunder0^59|trailing_stop^34^2.5
-19.758,35.577,1.196,208.0,25.989,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|rvi_crossover_signal^210^84|emacd_histogram_start_increase^35^98^35|smacd_start_increase^100^260&roc_crossunder0^59|trailing_stop^34^2.5
-19.39,35.096,1.227,208.0,25.758,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|rvi_crossover_signal^210^84|smacd_start_increase^100^260|emacd_histogram_start_increase^40^64^48&roc_crossunder0^59|trailing_stop^34^2.5
-19.132,34.783,1.26,207.0,25.199,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|rvi_crossover_signal^210^84|emacd_histogram_start_increase^35^98^35|smacd_histogram_start_increase^160^256^192&roc_crossunder0^59|trailing_stop^34^2.5
-19.121,33.486,1.356,218.0,26.856,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|emacd_histogram_start_increase^35^98^35|emacd_start_increase^55^110|price_crossover_ema^90&roc_crossunder0^59|trailing_stop^34^2.5
-18.982,35.294,1.215,204.0,25.364,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&stoch_k_crossover_d_2^170^153^119^15|second_wave_trend_2^14|rvi_crossover_signal^210^84|emacd_histogram_start_increase^40^64^48&roc_crossunder0^59|trailing_stop^34^2.5
-18.968,33.333,1.37,219.0,26.453,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|emacd_start_increase^60^96|emacd_histogram_start_increase^35^98^35|price_crossover_ema^90&roc_crossunder0^59|trailing_stop^34^2.5
-18.006,33.333,1.379,216.0,26.222,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|price_crossover_sma^130|emacd_start_increase^55^110|emacd_histogram_start_increase^40^64^48&roc_crossunder0^59|trailing_stop^34^2.5
-17.988,32.243,1.435,214.0,25.731,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|emacd_start_increase^60^96|rsi_crossover50^130|emacd_histogram_start_increase^40^64^48&roc_crossunder0^59|trailing_stop^34^2.5
-17.823,33.971,1.329,209.0,25.396,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&stoch_k_crossover_d_2^170^153^119^15|second_wave_trend_2^14|emacd_histogram_start_increase^35^98^35|emacd_start_increase^55^110&roc_crossunder0^59|trailing_stop^34^2.5
-17.597,34.123,1.332,211.0,25.432,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|emacd_histogram_start_increase^35^98^35|emacd_start_increase^55^110|smacd_start_increase^100^260&roc_crossunder0^59|trailing_stop^34^2.5
-17.573,33.645,1.375,214.0,25.009,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|emacd_histogram_start_increase^35^98^35|smacd_histogram_start_increase^160^256^192|emacd_start_increase^55^110&roc_crossunder0^59|trailing_stop^34^2.5
-17.549,33.962,1.345,212.0,25.12,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|emacd_start_increase^60^96|emacd_histogram_start_increase^35^98^35|smacd_start_increase^100^260&roc_crossunder0^59|trailing_stop^34^2.5
-17.524,33.488,1.387,215.0,24.693,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|emacd_start_increase^60^96|emacd_histogram_start_increase^35^98^35|smacd_histogram_start_increase^160^256^192&roc_crossunder0^59|trailing_stop^34^2.5
-17.41,35.122,1.283,205.0,24.025,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|rvi_crossover_signal^210^84|emacd_histogram_start_increase^35^98^35|smacd_histogram_start_increase_2^160^416^96&roc_crossunder0^59|trailing_stop^34^2.5
-17.319,31.22,1.536,205.0,24.665,bb_neutral^10.0^1.5|adx_lower_threshold^160.0^15.0&second_wave_trend_2^14|emacd_start_increase^60^96|emacd_histogram_start_increase^35^98^35|price_crossover_ema^90&roc_crossunder0^59|trailing_stop^34^2.5
-17.197,31.905,1.511,210.0,25.437,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|rvi_crossover_signal^210^84|price_crossover_sma^130|emacd_histogram_start_increase^40^64^48&roc_crossunder0^89|trailing_stop^34^2.5
-17.073,33.028,1.431,218.0,25.542,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|emacd_start_increase^60^96|price_crossover_ema^90|emacd_histogram_start_increase^40^64^48&roc_crossunder0^59|trailing_stop^34^2.5
-17.067,33.18,1.42,217.0,25.8,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|emacd_start_increase^55^110|price_crossover_ema^90|emacd_histogram_start_increase^40^64^48&roc_crossunder0^59|trailing_stop^34^2.5
-17.023,35.714,1.225,196.0,24.442,bb_neutral^10.0^1.5|adx_lower_threshold^160.0^15.0&second_wave_trend_2^14|rvi_crossover_signal^210^84|smacd_start_increase^100^260|emacd_histogram_start_increase^40^64^48&roc_crossunder0^59|trailing_stop^34^2.5
-16.484,33.019,1.458,212.0,25.341,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|emacd_start_increase^60^96|emacd_histogram_start_increase^35^98^35|price_crossover_ema^90&roc_crossunder0^89|trailing_stop^34^2.5
-16.247,32.547,1.495,212.0,26.072,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|emacd_start_increase^60^96|price_crossover_ema^90|emacd_histogram_start_increase^40^64^48&roc_crossunder0^89|trailing_stop^34^2.5
-16.161,31.373,1.569,204.0,24.627,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|emacd_start_increase^60^96|emacd_histogram_start_increase^35^98^35|smacd_start_increase^90^252&roc_crossunder0^89|trailing_stop^34^2.5
-15.948,30.882,1.61,204.0,25.432,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|emacd_start_increase^60^96|smacd_start_increase^90^252|emacd_histogram_start_increase^40^64^48&roc_crossunder0^89|trailing_stop^34^2.5
-15.898,32.075,1.535,212.0,25.645,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|emacd_start_increase^60^96|price_crossover_sma^130|emacd_histogram_start_increase^40^64^48&roc_crossunder0^89|trailing_stop^34^2.5
-15.796,32.227,1.524,211.0,25.894,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|price_crossover_sma^130|emacd_start_increase^55^110|emacd_histogram_start_increase^40^64^48&roc_crossunder0^89|trailing_stop^34^2.5
-15.775,31.553,1.567,206.0,25.797,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|price_crossover_sma^130|rvi_crossover0^90^SMA|emacd_histogram_start_increase^40^64^48&roc_crossunder0^89|trailing_stop^34^2.5
-15.77,31.373,1.581,204.0,25.468,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|smacd_start_increase^90^252|rvi_crossover0^90^SMA|emacd_histogram_start_increase^40^64^48&roc_crossunder0^89|trailing_stop^34^2.5
-15.742,31.034,1.602,203.0,25.588,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|emacd_start_increase^55^110|smacd_start_increase^90^252|emacd_histogram_start_increase^40^64^48&roc_crossunder0^89|trailing_stop^34^2.5
-15.705,34.951,1.33,206.0,22.902,adx_lower_threshold^160.0^15.0|kc_neutral^55.0^66.0^2.6999999999999997&second_wave_trend_2^14|emacd_histogram_start_increase^35^98^35|price_crossover_ema^90|roc_crossover0^150&roc_crossunder0^59|trailing_stop^34^2.5
