开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-02 01:00:00,2026-06-18,19.162,60.106,1.29,7.603,4.384,46.587,7.906,0.414,0.699,36.0,72.222,3.275,44.471,3.6,smi_d_overbought^230^161^207^0.0^SMA|smi_overbought^230^184^0.0^SMA&roc_crossover0^150|adx_crossover_threshold^50.0^35.0|trix_crossover_signal^60^84|smacd_start_increase^90^252&roc_crossunder0^89|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,19.163,60.11,2.06,6.303,4.154,29.185,9.537,0.499,0.897,34.0,70.588,1.994,42.328,3.4,smi_d_overbought^230^161^207^0.0^SMA|tsi_higher_signal^80^72^24^SMA&smacd_histogram_start_increase^160^256^192|emacd_start_increase^55^110|smacd_start_increase^100^260|roc_crossover0^150&trailing_stop^34^3.0|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,19.165,60.115,1.48,6.665,4.643,40.611,9.019,0.472,0.661,46.0,65.217,2.931,42.8,4.6,stoch_d_overbought^250^150^225^50|adx_lower_threshold^160.0^15.0&mass_crossover1^200^140|smacd_histogram_start_increase_2^160^416^96|roc_crossover0^150|smacd_start_increase^90^252&roc_crossunder0^89|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,19.166,60.12,1.123,8.097,4.516,53.54,7.425,0.389,0.854,26.0,84.615,2.912,44.091,2.6,adx_lower_threshold^160.0^15.0|sma_fast_higher_slow^220^484&mass_crossover1^200^140|smacd_crossover_signal_3^200^360^160|roc_crossover0^150|trix_crossover_signal^60^84&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,19.168,60.124,1.667,6.902,4.175,36.075,8.711,0.456,0.731,41.0,60.976,3.381,43.876,4.1,smi_d_overbought^230^161^207^0.0^SMA|smi_overbought^230^184^0.0^SMA&mass_crossover1^200^140|smacd_start_increase^100^260|roc_crossover0^150|smacd_start_increase^90^252&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.17,60.134,1.407,7.017,4.459,42.741,8.569,0.449,1.185,26.0,76.923,2.451,42.633,2.6,smi_d_overbought^230^161^207^0.0^SMA|smi_overbought^230^184^0.0^SMA&kc_price_crossover_low_2^45.0^18.0^1.9|smacd_start_increase^100^260|smacd_crossover_signal_2^200^360^160|roc_crossover0^150&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,19.171,60.136,1.634,6.32,4.256,36.81,9.514,0.498,0.752,43.0,58.14,3.156,43.044,4.3,stoch_d_overbought^250^150^225^50|adx_lower_threshold^160.0^15.0&mass_crossover1^200^140|smacd_histogram_start_increase_2^160^416^96|roc_crossover0^150|smacd_start_increase^90^252&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.173,60.145,1.548,5.631,4.354,38.854,10.681,0.559,0.895,38.0,50.0,4.629,41.543,3.8,smi_d_overbought^230^161^207^0.0^SMA|smacd_higher_signal^70^112^56&mass_crossover1^200^140|smi_k_crossover_d^250^225^125|roc_crossover0^150|emacd_histogram_start_increase^40^64^48&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,19.176,60.155,1.046,7.946,4.633,57.528,7.571,0.396,0.847,27.0,74.074,5.34,44.66,2.7,stoch_d_overbought^250^150^225^50|sma_fast_higher_slow^220^484&mass_crossover1^200^140|smacd_crossover_signal_3^200^360^160|roc_crossover0^150|trix_crossover_signal^60^84&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.183,60.178,1.201,7.527,4.736,50.122,7.995,0.418,0.977,26.0,65.385,6.302,44.797,2.6,smi_overbought^230^184^0.0^SMA|sma_fast_higher_slow^220^484&mass_crossover1^200^140|smacd_crossover_signal^170^374^204|roc_crossover0^150|trix_crossover_signal^60^84&roc_crossunder0^89|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,19.188,60.197,1.521,6.886,4.252,39.579,8.742,0.458,0.762,41.0,58.537,3.638,42.866,4.1,stoch_d_overbought^250^150^225^50|adx_lower_threshold^160.0^15.0&smacd_crossover_signal^180^324^234|smacd_histogram_start_increase^230^506^299|roc_crossover0^150|smacd_start_increase^90^252&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.19,60.206,1.398,7.652,4.857,43.057,7.868,0.412,0.631,43.0,58.14,4.73,42.783,4.3,stoch_d_overbought^250^150^225^50|sma_fast_higher_slow^220^484&mass_crossover1^200^140|roc_crossover0^150|trix_crossover_signal^60^84|rvi_crossover0^90^SMA&roc_crossunder0^89|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,19.192,60.214,1.407,7.432,4.256,42.798,8.101,0.424,0.785,34.0,61.765,4.895,43.84,3.4,smi_d_overbought^230^161^207^0.0^SMA|smi_overbought^230^184^0.0^SMA&emacd_histogram_start_increase_2^220^396^264|smacd_start_increase^100^260|smacd_crossover_signal_3^200^360^160|roc_crossover0^150&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.194,60.221,1.568,6.786,4.297,38.416,8.875,0.465,0.701,46.0,52.174,4.235,42.991,4.6,stoch_d_overbought^250^150^225^50|smi_overbought^230^184^0.0^SMA&smacd_start_increase^100^260|smacd_histogram_start_increase^230^506^299|roc_crossover0^150|smacd_start_increase^90^252&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.195,60.224,1.244,7.724,4.781,48.426,7.797,0.408,0.658,39.0,66.667,4.019,43.789,3.9,stoch_d_overbought^250^150^225^50|smi_d_overbought^230^161^207^0.0^SMA&smacd_start_increase^100^260|smacd_histogram_start_increase^230^506^299|roc_crossover0^150|trix_crossover_signal^60^84&roc_crossunder0^89|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,19.196,60.227,1.874,6.515,4.262,32.141,9.245,0.484,0.714,47.0,59.574,2.62,43.295,4.7,smi_overbought^230^184^0.0^SMA|adx_lower_threshold^160.0^15.0&mass_crossover1^200^140|bb_price_crossover_low^55.0^3.8999999999999995|roc_crossover0^150|smacd_start_increase^90^252&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.201,60.244,1.47,7.477,4.669,40.982,8.057,0.422,1.218,22.0,77.273,4.13,43.901,2.2,smi_d_overbought^230^161^207^0.0^SMA|smi_overbought^230^184^0.0^SMA&mass_crossover1^200^140|smacd_crossover_signal^170^374^204|roc_crossover0^150|trix_crossover_signal^60^84&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,19.208,60.27,1.666,7.04,4.112,36.181,8.561,0.448,0.737,39.0,61.538,3.403,44.07,3.9,smi_d_overbought^230^161^207^0.0^SMA|smi_overbought^230^184^0.0^SMA&smacd_crossover_signal^170^374^204|smacd_start_increase^100^260|roc_crossover0^150|smacd_start_increase^90^252&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.213,60.289,1.498,6.931,4.466,40.237,8.698,0.455,1.055,29.0,72.414,2.69,42.744,2.9,smi_d_overbought^230^161^207^0.0^SMA|smi_overbought^230^184^0.0^SMA&smacd_start_increase^100^260|smacd_histogram_start_increase^230^506^299|stoch_k_crossover_d_2^150^135^135^20|roc_crossover0^150&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.216,60.3,2.077,5.599,4.169,29.029,10.769,0.564,0.663,59.0,52.542,2.965,42.732,5.9,smi_d_overbought^230^161^207^0.0^SMA|smi_overbought^230^184^0.0^SMA&adx_plus_crossover_minus^110|smacd_start_increase^100^260|roc_crossover0^150|emacd_histogram_start_increase^40^64^48&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.222,60.323,2.077,5.662,4.398,29.041,10.654,0.558,0.656,60.0,55.0,2.541,42.594,6.0,smi_d_overbought^230^161^207^0.0^SMA|smi_overbought^230^184^0.0^SMA&rsi_crossover50^130|smacd_start_increase^100^260|roc_crossover0^150|emacd_histogram_start_increase^40^64^48&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.229,60.346,2.029,6.82,4.462,29.739,8.848,0.463,0.628,49.0,53.061,3.351,43.447,4.9,smi_d_overbought^230^161^207^0.0^SMA|adx_lower_threshold^160.0^15.0&price_crossover_sma^130|smacd_histogram_start_increase^230^506^299|smacd_crossover_signal_3^200^360^160|roc_crossover0^150&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.23,60.349,2.16,5.782,4.287,27.939,10.438,0.546,1.188,34.0,64.706,1.999,41.359,3.4,smi_d_overbought^230^161^207^0.0^SMA|adx_lower_threshold^160.0^15.0&mass_crossover1^200^140|smacd_start_increase^100^260|roc_crossover0^150|smacd_start_increase^90^252&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,19.234,60.363,1.487,7.356,4.715,40.584,8.206,0.43,0.707,39.0,53.846,4.898,43.265,3.9,smi_overbought^230^184^0.0^SMA|sma_fast_higher_slow^220^484&rvi_signal_crossover0^200^180^SMA|price_crossover_sma^130|smacd_histogram_start_increase^230^506^299|roc_crossover0^150&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.238,60.38,1.759,6.383,4.352,34.328,9.46,0.495,0.779,39.0,53.846,3.794,42.231,3.9,smi_d_overbought^230^161^207^0.0^SMA|tsi_higher_signal^80^72^24^SMA&emacd_start_increase^60^96|second_wave_trend_1^8|roc_crossover0^150|emacd_histogram_start_increase^40^64^48&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.24,60.385,1.413,7.088,4.115,42.733,8.519,0.446,0.817,35.0,65.714,3.286,43.935,3.5,smi_d_overbought^230^161^207^0.0^SMA|smi_overbought^230^184^0.0^SMA&trix_crossover_signal^70^63|roc_crossover0^150|second_wave_trend_1^10|smacd_start_increase^90^252&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.248,60.416,1.453,6.733,4.754,41.59,8.974,0.47,0.799,36.0,58.333,4.302,43.93,3.6,adx_lower_threshold^160.0^15.0|sma_fast_higher_slow^220^484&mass_crossover1^200^140|smacd_histogram_start_increase^160^256^192|roc_crossover0^150|trix_crossover_signal^60^84&roc_crossunder0^89|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,19.25,60.421,1.853,5.784,4.122,32.607,10.447,0.547,0.671,53.0,54.717,2.719,41.827,5.3,bb_neutral^10.0^1.5|smi_overbought^230^184^0.0^SMA&emacd_start_increase^60^96|smacd_histogram_start_increase^160^256^192|smacd_start_increase^100^260|roc_crossover0^150&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.264,60.471,1.855,6.813,4.457,32.606,8.876,0.465,0.634,49.0,53.061,3.496,43.47,4.9,smi_d_overbought^230^161^207^0.0^SMA|adx_lower_threshold^160.0^15.0&price_crossover_sma^130|tsi_crossover_signal^220^154^176^SMA|smacd_histogram_start_increase^230^506^299|roc_crossover0^150&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.266,60.481,2.05,5.686,4.41,29.507,10.636,0.557,0.839,48.0,60.417,2.093,41.153,4.8,bb_neutral^10.0^1.5|smi_d_overbought^230^161^207^0.0^SMA&price_crossover_sma^130|emacd_start_increase^55^110|smacd_start_increase^100^260|roc_crossover0^150&trailing_stop^34^3.5|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,19.267,60.483,2.243,6.472,4.423,26.965,9.345,0.489,0.758,39.0,51.282,4.189,42.087,3.9,smi_d_overbought^230^161^207^0.0^SMA|tsi_higher_signal^80^72^24^SMA&stoch_k_crossover_d_2^170^153^119^15|mass_crossover1^200^140|roc_crossover0^140|emacd_histogram_start_increase^40^64^48&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.271,60.497,1.632,6.359,4.277,37.062,9.514,0.498,0.767,42.0,59.524,3.035,43.206,4.2,stoch_d_overbought^250^150^225^50|smi_overbought^230^184^0.0^SMA&mass_crossover1^200^140|smacd_histogram_start_increase_2^160^416^96|roc_crossover0^150|smacd_start_increase^90^252&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.272,60.501,1.437,7.182,4.883,42.111,8.424,0.441,0.798,37.0,54.054,4.207,42.691,3.7,smi_d_overbought^230^161^207^0.0^SMA|smi_overbought^230^184^0.0^SMA&aroon_diff_crossover0^140|smacd_start_increase^100^260|smacd_histogram_start_increase^230^506^299|roc_crossover0^150&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.274,60.51,1.722,6.276,4.352,35.142,9.641,0.505,0.645,52.0,50.0,4.242,43.081,5.2,smi_overbought^230^184^0.0^SMA|adx_lower_threshold^160.0^15.0&smacd_histogram_start_increase^160^256^192|adx_plus_crossover_minus^110|smacd_histogram_start_increase^230^506^299|roc_crossover0^150&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.28,60.531,1.457,7.317,4.213,41.542,8.273,0.433,0.831,31.0,64.516,4.748,43.966,3.1,smi_d_overbought^230^161^207^0.0^SMA|sma_fast_higher_slow^220^484&smacd_start_increase^100^260|smacd_crossover_signal_3^200^360^160|roc_crossover0^150|trix_crossover_signal^60^84&roc_crossunder0^89|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,19.281,60.533,1.516,7.176,4.068,39.924,8.436,0.442,0.777,36.0,63.889,3.359,43.939,3.6,stoch_d_overbought^250^150^225^50|smi_d_overbought^230^161^207^0.0^SMA&smi_k_crossover_d^250^225^125|roc_crossover0^150|trix_crossover_signal^60^84|smacd_start_increase^90^252&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.284,60.545,1.61,6.989,4.171,37.6,8.663,0.453,0.767,39.0,64.103,3.223,43.995,3.9,smi_d_overbought^230^161^207^0.0^SMA|smi_overbought^230^184^0.0^SMA&mass_crossover1^200^140|kc_price_crossover_low^16.0^16.0^3.8999999999999995|roc_crossover0^150|smacd_start_increase^90^252&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.285,60.55,2.011,6.059,4.056,30.109,9.993,0.523,1.183,28.0,64.286,2.545,42.205,2.8,smi_d_overbought^230^161^207^0.0^SMA|tsi_higher_signal^80^72^24^SMA&mass_crossover1^200^140|smacd_start_increase^100^260|smacd_start_increase^90^252|emacd_histogram_start_increase^40^64^48&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,19.287,60.556,1.289,7.685,4.426,46.988,7.88,0.412,0.682,37.0,70.27,3.502,44.285,3.7,stoch_d_overbought^250^150^225^50|smi_d_overbought^230^161^207^0.0^SMA&smacd_crossover_signal^170^374^204|roc_crossover0^150|trix_crossover_signal^60^84|smacd_start_increase^90^252&roc_crossunder0^89|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,19.288,60.558,1.519,6.928,4.272,39.856,8.741,0.458,0.778,40.0,60.0,3.499,43.033,4.0,stoch_d_overbought^250^150^225^50|smi_overbought^230^184^0.0^SMA&smacd_histogram_start_increase^230^506^299|stoch_k_crossover_d_2^150^135^135^20|roc_crossover0^150|smacd_start_increase^90^252&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.289,60.564,1.46,6.438,4.279,41.483,9.407,0.492,0.861,34.0,73.529,2.124,42.316,3.4,smi_d_overbought^230^161^207^0.0^SMA|tsi_higher_signal^80^72^24^SMA&emacd_start_increase^55^110|smacd_start_increase^100^260|roc_crossover0^150|adx_crossover_threshold^50.0^35.0&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,19.292,60.575,2.218,5.784,4.489,27.313,10.472,0.548,0.875,47.0,57.447,2.457,41.806,4.7,smi_d_overbought^230^161^207^0.0^SMA|adx_lower_threshold^160.0^15.0&smacd_crossover_signal^180^324^234|smacd_histogram_start_increase^160^256^192|price_crossover_ema^90|roc_crossover0^150&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.295,60.583,1.883,6.254,4.173,32.182,9.687,0.507,0.684,52.0,59.615,2.308,42.517,5.2,bb_neutral^10.0^1.5|smi_d_overbought^230^161^207^0.0^SMA&emacd_start_increase^60^96|rsi_crossover50^130|smacd_start_increase^100^260|roc_crossover0^150&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.296,60.586,1.557,6.812,4.862,38.9,8.895,0.466,0.935,31.0,64.516,3.623,42.38,3.1,smi_d_overbought^230^161^207^0.0^SMA|tsi_neutral^12^10^25.0^-25.0^SMA&smi_d_crossover0^240^216^216^SMA|roc_crossover0^150|trix_crossover_signal^60^84|smacd_start_increase^90^252&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,19.297,60.591,1.65,7.02,4.836,36.727,8.631,0.452,0.677,41.0,51.22,5.345,43.127,4.1,stoch_d_overbought^250^150^225^50|adx_lower_threshold^160.0^15.0&smacd_histogram_start_increase^160^256^192|smacd_histogram_start_increase^230^506^299|trix_crossover_signal^70^63|roc_crossover0^150&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.299,60.598,1.531,7.405,4.818,39.584,8.184,0.428,0.746,36.0,61.111,3.979,43.351,3.6,smi_overbought^230^184^0.0^SMA|adx_lower_threshold^160.0^15.0&bb_price_crossover_low^55.0^3.8999999999999995|smacd_histogram_start_increase^230^506^299|roc_crossover0^150|trix_crossover_signal^60^84&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.3,60.604,1.417,6.954,4.432,42.758,8.715,0.456,0.896,33.0,60.606,4.495,44.065,3.3,smi_d_overbought^230^161^207^0.0^SMA|adx_lower_threshold^160.0^15.0&mass_crossover1^200^140|smi_k_crossover_d_2^250^225^125^40|roc_crossover0^150|trix_crossover_signal^60^84&roc_crossunder0^89|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,19.305,60.619,1.614,6.551,4.482,37.568,9.253,0.484,0.712,44.0,56.818,3.781,42.784,4.4,stoch_d_overbought^250^150^225^50|adx_lower_threshold^160.0^15.0&mass_crossover1^200^140|smacd_histogram_start_increase_2^160^416^96|smacd_start_increase^100^260|roc_crossover0^150&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.306,60.625,2.113,5.682,4.423,28.688,10.669,0.558,0.689,57.0,56.14,2.557,42.63,5.7,smi_d_overbought^230^161^207^0.0^SMA|smi_overbought^230^184^0.0^SMA&mass_crossover1^200^140|emacd_histogram_start_increase^35^98^35|smacd_histogram_start_increase^230^506^299|roc_crossover0^150&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.307,60.629,1.478,6.637,4.255,41.013,9.136,0.478,0.644,46.0,56.522,3.913,42.75,4.6,stoch_d_overbought^250^150^225^50|adx_lower_threshold^160.0^15.0&smacd_histogram_start_increase^160^256^192|smacd_crossover_signal^170^374^204|smacd_start_increase^100^260|roc_crossover0^150&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,19.31,60.639,1.838,5.905,4.592,32.986,10.269,0.538,0.584,62.0,59.677,2.37,42.777,6.2,smi_d_overbought^230^161^207^0.0^SMA|smi_overbought^230^184^0.0^SMA&mass_crossover1^200^140|roc_crossover0^150|trix_crossover_signal^60^84|emacd_histogram_start_increase^40^64^48&roc_crossunder0^89|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,19.314,60.655,1.539,7.519,4.854,39.422,8.067,0.422,0.844,31.0,54.839,5.904,44.256,3.1,smi_d_overbought^230^161^207^0.0^SMA|sma_fast_higher_slow^220^484&rsi_crossover50^130|price_crossover_sma^130|smacd_histogram_start_increase^230^506^299|trix_crossover_signal^60^84&roc_crossunder0^89|trailing_stop^34^3.5
