开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-02 01:00:00,2026-06-18 18:15:00,19.608,61.287,1.123,8.214,4.609,54.58,7.462,0.391,0.823,27.0,85.185,2.846,44.083,2.7,adx_lower_threshold^160.0^15.0|sma_fast_higher_slow^220^484&mass_crossover1^200^140|smacd_crossover_signal_3^200^360^160|roc_crossover0^150|trix_crossover_signal^60^84&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,24.117,78.036,1.892,7.01,5.424,41.252,11.132,0.583,1.097,34.0,67.647,2.716,42.573,3.4,smi_d_overbought^230^161^207^0.0^SMA|adx_lower_threshold^160.0^15.0&roc_crossover0^140|smi_d_crossover0^240^216^216^SMA|smacd_crossover_signal_3^200^360^160|price_crossover_ema^90&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,23.109,74.199,1.934,7.027,5.14,38.373,10.56,0.553,1.222,27.0,66.667,3.587,42.179,2.7,smi_d_overbought^230^161^207^0.0^SMA|smacd_higher_signal^70^112^56&smacd_start_increase^100^260|smi_k_crossover_d_2^250^225^125^40|smacd_crossover_signal_2^200^360^160|emacd_histogram_start_increase^40^64^48&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,23.025,73.884,1.938,6.964,5.15,38.127,10.61,0.555,1.267,26.0,73.077,3.244,42.195,2.6,smi_d_overbought^230^161^207^0.0^SMA|smacd_higher_signal^70^112^56&mass_crossover1^200^140|emacd_histogram_start_increase_2^210^462^252|smi_k_crossover_d^250^225^125|emacd_histogram_start_increase^40^64^48&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,20.306,63.812,1.454,6.919,5.133,43.89,9.223,0.483,0.745,42.0,50.0,5.452,43.261,4.2,stoch_d_overbought^250^150^225^50|adx_lower_threshold^160.0^15.0&mass_crossover1^200^140|smacd_histogram_start_increase^160^256^192|smacd_histogram_start_increase^230^506^299|roc_crossover0^150&roc_crossunder0^89|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,19.195,59.804,1.244,7.691,4.737,48.088,7.776,0.407,0.655,39.0,66.667,4.019,43.789,3.9,stoch_d_overbought^250^150^225^50|smi_d_overbought^230^161^207^0.0^SMA&smacd_start_increase^100^260|smacd_histogram_start_increase^230^506^299|roc_crossover0^150|trix_crossover_signal^60^84&roc_crossunder0^89|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,20.171,63.321,1.406,7.108,4.562,45.04,8.909,0.466,0.693,46.0,58.696,3.46,43.289,4.6,stoch_d_overbought^250^150^225^50|smi_d_overbought^230^161^207^0.0^SMA&price_crossover_sma^130|smacd_start_increase^100^260|smacd_histogram_start_increase^230^506^299|roc_crossover0^150&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,19.849,62.156,1.485,7.666,4.781,41.843,8.108,0.424,0.736,35.0,62.857,4.775,44.462,3.5,smi_d_overbought^230^161^207^0.0^SMA|sma_fast_higher_slow^220^484&mass_crossover1^200^140|price_crossover_sma^130|smacd_histogram_start_increase^230^506^299|roc_crossover0^150&roc_crossunder0^89|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,23.373,75.199,1.938,7.094,5.229,38.806,10.6,0.555,1.226,27.0,70.37,3.296,42.207,2.7,smi_d_overbought^230^161^207^0.0^SMA|smacd_higher_signal^70^112^56&mass_crossover1^200^140|smacd_start_increase^100^260|smi_k_crossover_d_2^250^225^125^40|emacd_histogram_start_increase^40^64^48&trailing_stop^34^3.0|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,20.696,65.235,1.518,6.975,4.867,42.987,9.353,0.49,0.943,34.0,55.882,5.288,43.269,3.4,stoch_d_overbought^250^150^225^50|smi_overbought^230^184^0.0^SMA&mass_crossover1^200^140|smacd_histogram_start_increase_2^160^416^96|roc_crossover0^150|trix_crossover_signal^60^84&roc_crossunder0^89|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,19.86,62.197,1.464,7.72,4.644,42.489,8.056,0.422,0.701,39.0,71.795,3.279,43.979,3.9,smi_d_overbought^230^161^207^0.0^SMA|smi_overbought^230^184^0.0^SMA&mass_crossover1^200^140|roc_crossover0^150|trix_crossover_signal^60^84|smacd_start_increase^90^252&roc_crossunder0^89|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,19.784,61.921,1.28,7.394,5.103,48.388,8.374,0.438,0.9,33.0,54.545,6.349,43.678,3.3,stoch_d_overbought^250^150^225^50|adx_lower_threshold^160.0^15.0&mass_crossover1^200^140|smacd_histogram_start_increase^230^506^299|roc_crossover0^150|trix_crossover_signal^60^84&roc_crossunder0^89|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18 18:15:00,19.183,59.759,1.201,7.495,4.692,49.773,7.973,0.417,0.972,26.0,65.385,6.302,44.797,2.6,smi_overbought^230^184^0.0^SMA|sma_fast_higher_slow^220^484&mass_crossover1^200^140|smacd_crossover_signal^170^374^204|roc_crossover0^150|trix_crossover_signal^60^84&roc_crossunder0^89|trailing_stop^34^3.5
