total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
8.385,41.615,1.604,161.0,9.117,rsi_neutral^90^65^35|adx_higher_threshold^80.0^5.0&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|bb_price_crossover_high^190.0^1.9|kc_price_crossover_low^20.0^20.0^2.8999999999999995&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
9.58,43.226,1.547,155.0,7.696,adx_higher_threshold^80.0^5.0|stoch_d_neutral^17^14^5^80^20&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|bb_price_crossover_high^190.0^1.9|kc_price_crossover_low^14.0^17.0^2.5&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
9.636,100.0,100.0,9.0,0.688,stoch_d_overbought^30^27^27^50|kdj_k_neutral^17^10^75^25&tsi_crossover_signal^200^180^160^SMA|tsi_crossover_signal^220^154^154^SMA|smacd_crossover_signal_3^210^546^273|smacd_crossover_signal_2^190^380^152&trailing_stop^34^3.5|bb_price_crossunder_high^34^2.5
9.748,42.138,1.608,159.0,9.02,bb_neutral^10.0^2.5|adx_higher_threshold^80.0^5.0&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|bb_price_crossover_high^190.0^1.9|kc_price_crossover_low^20.0^20.0^2.8999999999999995&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
10.139,43.038,1.564,158.0,9.388,rsi_neutral^90^65^35|kdj_d_neutral^20^14^6^80^20&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|bb_price_crossover_high^190.0^1.9|kc_price_crossover_low^20.0^20.0^2.8999999999999995&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
10.283,42.0,1.642,150.0,9.025,tsi_neutral^160^48^20.0^-20.0^EMA|adx_higher_threshold^80.0^5.0&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|bb_price_crossover_high^190.0^1.9|kc_price_crossover_low^20.0^20.0^2.8999999999999995&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
10.612,42.484,1.612,153.0,9.088,rsi_neutral^90^65^35|adx_higher_threshold^80.0^5.0&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|bb_price_crossover_low^35.0^3.4999999999999996|kc_price_crossover_low^20.0^20.0^2.8999999999999995&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
10.627,83.333,8.547,12.0,0.934,stoch_d_overbought^30^27^27^50|stoch_d_neutral^17^14^5^80^20&smacd_crossover_signal_3^210^546^273|smacd_crossover_signal_3^200^520^280|smacd_crossover_signal_2^190^380^152|smacd_crossover_signal^180^360^216&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
10.633,66.667,13.599,12.0,1.107,mass_higher1^16^8|rvi_signal_overbought^60^42^0.0^SMA&tsi_crossover_signal^200^180^160^SMA|smacd_crossover_signal_3^210^546^273|stoch_k_crossover_d^210^189^189|smacd_crossover_signal^180^360^216&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
11.099,42.857,1.593,161.0,8.909,rsi_neutral^90^65^35|bb_neutral^10.0^2.5&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|bb_price_crossover_high^190.0^1.9|kc_price_crossover_low^20.0^20.0^2.8999999999999995&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
11.113,43.21,1.565,162.0,10.194,rsi_neutral^90^65^35|bb_neutral^10.0^2.5&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|bb_price_crossover_high^190.0^1.9|kc_price_crossover_low^14.0^17.0^2.5&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
11.21,42.949,1.591,156.0,9.677,kc_neutral^8.0^8.0^1.7|bb_neutral^10.0^2.5&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|bb_price_crossover_high^190.0^1.9|kc_price_crossover_low^20.0^20.0^2.8999999999999995&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
11.285,43.949,1.542,157.0,7.576,rsi_neutral^90^65^35|stoch_d_neutral^17^14^5^80^20&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|bb_price_crossover_high^190.0^1.9|kc_price_crossover_low^14.0^17.0^2.5&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
11.324,43.312,1.574,157.0,8.991,bb_neutral^10.0^2.5|adx_higher_threshold^80.0^5.0&bb_price_crossover_high_2^160.0^1.9|second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|kc_price_crossover_low^20.0^20.0^2.8999999999999995&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
11.453,86.667,8.515,15.0,0.708,kdj_k_neutral^17^10^75^25|stoch_d_overbought^70^28^63^50&tsi_crossover_signal^200^180^160^SMA|smacd_crossover_signal_3^210^546^273|smacd_crossover_signal_2^190^380^152|aroon_diff_crossover0^210&trailing_stop^34^3.5|bb_price_crossunder_high^34^2.5
11.476,43.137,1.589,153.0,10.355,rsi_neutral^90^65^35|adx_higher_threshold^80.0^5.0&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|bb_price_crossover_low^35.0^3.4999999999999996|kc_price_crossover_low^14.0^17.0^2.5&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
11.502,43.59,1.568,156.0,9.29,kdj_d_neutral^20^14^6^80^20|bb_neutral^10.0^2.5&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|bb_price_crossover_high^190.0^1.9|kc_price_crossover_low^20.0^20.0^2.8999999999999995&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
11.608,76.19,2.453,21.0,0.894,rvi_neutral^17^20.0^-20.0^SMA|rvi_signal_overbought^60^42^0.0^SMA&tsi_crossover_signal^200^180^160^SMA|smacd_crossover_signal_3^200^520^280|stoch_k_crossover_d^210^189^189|aroon_diff_crossover0^210&trailing_stop^34^3.5|bb_price_crossunder_high^34^2.5
11.635,42.763,1.625,152.0,8.914,rsi_neutral^90^65^35|tsi_neutral^160^48^20.0^-20.0^EMA&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|bb_price_crossover_high^190.0^1.9|kc_price_crossover_low^20.0^20.0^2.8999999999999995&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
11.923,42.857,1.611,154.0,9.096,rsi_neutral^90^65^35|adx_higher_threshold^80.0^5.0&smacd_histogram_start_increase_2^220^440^220|second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|kc_price_crossover_low^20.0^20.0^2.8999999999999995&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
11.969,43.421,1.585,152.0,10.159,rsi_neutral^90^65^35|tsi_neutral^160^48^20.0^-20.0^EMA&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|bb_price_crossover_high^190.0^1.9|kc_price_crossover_low^14.0^17.0^2.5&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
12.622,70.588,7.402,17.0,0.896,rvi_signal_overbought^60^42^0.0^SMA|adx_higher_threshold^210.0^5.0&tsi_crossover_signal^200^180^160^SMA|smacd_crossover_signal_3^210^546^273|smacd_crossover_signal_2^190^380^152|aroon_diff_crossover0^210&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
12.627,66.667,8.027,18.0,0.961,rvi_signal_overbought^60^42^0.0^SMA|adx_higher_threshold^210.0^5.0&tsi_crossover_signal^200^180^160^SMA|smacd_crossover_signal_3^210^546^273|smacd_crossover_signal^180^360^216|aroon_diff_crossover0^210&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
12.668,42.384,1.671,151.0,9.14,rsi_neutral^90^65^35|adx_higher_threshold^80.0^5.0&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|kc_price_crossover_low^20.0^20.0^2.8999999999999995|mass_crossover1^230^161&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
12.676,44.025,1.56,159.0,8.881,rsi_neutral^90^65^35|bb_neutral^10.0^2.5&bb_price_crossover_high_2^160.0^1.9|second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|kc_price_crossover_low^20.0^20.0^2.8999999999999995&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
12.689,44.375,1.533,160.0,10.162,rsi_neutral^90^65^35|bb_neutral^10.0^2.5&bb_price_crossover_high_2^160.0^1.9|second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|kc_price_crossover_low^14.0^17.0^2.5&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
