开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-02 01:00:00,2026-06-18,41.442,153.656,2.75,9.628,8.689,55.883,15.96,0.835,0.706,60.0,73.333,1.987,50.404,6.0,kc_neutral^8.0^8.0^1.7|adx_higher_threshold^210.0^5.0&smacd_histogram_start_increase^210^378^273|smacd_histogram_start_increase_2^180^504^126|bb_price_crossover_low^35.0^3.4999999999999996|smacd_crossover_signal^180^360^216&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,41.446,153.679,2.026,9.398,8.699,75.87,16.352,0.856,0.721,67.0,64.179,2.366,50.772,6.7,bb_neutral^12.0^2.0999999999999996|adx_higher_threshold^210.0^5.0&smacd_crossover_signal_3^210^546^273|smacd_histogram_start_increase_2^180^504^126|kc_price_crossover_low^20.0^20.0^2.8999999999999995|mass_crossover1^230^161&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,41.449,153.691,2.958,9.346,8.424,51.959,16.445,0.861,0.687,66.0,65.152,2.152,50.712,6.6,rvi_signal_neutral^50^30^15.0^-15.0^EMA|adx_higher_threshold^210.0^5.0&smacd_histogram_start_increase_2^180^504^126|smacd_crossover_signal_3^200^520^280|mass_crossover1^230^161|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,41.452,153.706,2.875,8.742,8.656,53.455,17.582,0.92,0.749,74.0,60.811,2.386,50.273,7.4,bb_neutral^10.0^2.5|bb_neutral^12.0^2.0999999999999996&smacd_crossover_signal_3^210^546^273|smacd_histogram_start_increase_2^180^504^126|kc_price_crossover_low^20.0^20.0^2.8999999999999995|mass_crossover1^230^161&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,41.454,153.716,3.394,9.636,8.956,45.294,15.953,0.835,0.723,62.0,70.968,1.869,50.247,6.2,kdj_k_neutral^210^189^85^15|adx_higher_threshold^210.0^5.0&smacd_histogram_start_increase_2^220^440^220|smacd_histogram_start_increase_2^180^504^126|bb_price_crossover_low^35.0^3.4999999999999996|mass_crossover1^230^161&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,41.455,153.723,3.428,8.604,8.469,44.839,17.866,0.935,0.715,77.0,59.74,2.243,50.128,7.7,rsi_neutral^90^65^35|bb_neutral^12.0^2.0999999999999996&smacd_histogram_start_increase_2^180^504^126|smacd_crossover_signal_3^200^520^280|mass_crossover1^230^161|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,41.456,153.727,2.673,10.132,9.973,57.521,15.173,0.794,0.739,58.0,70.69,2.042,50.894,5.8,kdj_k_overbought^80^56^50|bb_neutral^12.0^2.0999999999999996&smacd_histogram_start_increase_2^220^440^220|smacd_histogram_start_increase_2^180^504^126|mass_crossover1^230^161|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,41.459,153.739,2.928,9.359,8.868,52.501,16.428,0.86,0.692,65.0,69.231,1.873,49.462,6.5,kc_neutral^8.0^8.0^1.7|adx_higher_threshold^210.0^5.0&smacd_histogram_start_increase^210^378^273|smacd_histogram_start_increase_2^180^504^126|smacd_histogram_start_increase^230^322^299|bb_price_crossover_low^35.0^3.4999999999999996&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,41.461,153.749,3.596,8.823,8.39,42.755,17.425,0.912,0.803,65.0,66.154,2.088,50.579,6.5,mass_higher1^16^8|mass_higher1^18^5&smacd_histogram_start_increase_2^180^504^126|smacd_crossover_signal^180^360^216|kc_price_crossover_low^20.0^20.0^2.8999999999999995|mass_crossover1^230^161&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,41.465,153.77,3.776,8.21,8.132,40.726,18.728,0.98,0.733,80.0,61.25,1.999,49.536,8.0,rvi_signal_neutral^50^30^15.0^-15.0^EMA|bb_neutral^12.0^2.0999999999999996&smacd_histogram_start_increase_2^180^504^126|smacd_histogram_start_increase^230^322^299|kc_price_crossover_low^20.0^20.0^2.8999999999999995|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
