total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-0.967,30.769,2.16,78.0,8.549,rsi_neutral^180^60^40|rsi_neutral^150^60^40&mass_crossover1^130^65|kc_price_crossover_high^30.0^12.0^3.8999999999999995|kc_price_crossover_low^18.0^22.0^3.6999999999999993|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^2.5
-0.828,32.051,2.046,78.0,6.918,rsi_neutral^180^60^40|rsi_neutral^150^60^40&mass_crossover1^130^65|kc_price_crossover_high^30.0^12.0^3.8999999999999995|stoch_k_crossover_d_2^240^120^72^25|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^2.5
-0.47,32.051,2.079,78.0,8.497,rsi_neutral^180^60^40|convexity_higher1^12^SMA&mass_crossover1^130^65|kc_price_crossover_high^30.0^12.0^3.8999999999999995|kc_price_crossover_low^18.0^22.0^3.6999999999999993|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^2.5
-0.33,33.333,1.972,78.0,6.873,rsi_neutral^180^60^40|convexity_higher1^12^SMA&mass_crossover1^130^65|kc_price_crossover_high^30.0^12.0^3.8999999999999995|stoch_k_crossover_d_2^240^120^72^25|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^2.5
-0.133,32.0,2.113,75.0,6.261,convexity_higher1^8^SMA|rsi_neutral^150^60^40&mass_crossover1^130^65|kc_price_crossover_high^30.0^12.0^3.8999999999999995|stoch_k_crossover_d_2^240^120^72^25|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^2.5
-0.03,30.667,2.258,75.0,6.9,rsi_neutral^180^60^40|rsi_neutral^150^60^40&mass_crossover1^130^65|kc_price_crossover_high^30.0^12.0^3.8999999999999995|stoch_k_crossover_d_2^240^120^72^25|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^3.0
0.011,50.0,1.037,2.0,0.643,smacd_histogram_increase^110^198^110|rvi_signal_neutral^100^60^5.0^-5.0^SMA&smi_k_crossover_d_2^240^192^168^45|rvi_signal_crossover0^190^171^SMA|smi_k_crossover_d_2^230^184^207^45|smi_k_crossover_d^230^184^207&trailing_stop^34^2.5|aroon_diff_crossunder0^109
0.364,32.895,2.073,76.0,5.789,rsi_neutral^180^60^40|convexity_higher1^8^SMA&mass_crossover1^130^65|kc_price_crossover_high^30.0^12.0^3.8999999999999995|stoch_k_crossover_d_2^240^120^72^25|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^2.5
0.473,32.468,2.122,77.0,7.319,rsi_neutral^180^60^40|convexity_higher1^8^SMA&mass_crossover1^130^65|kc_price_crossover_high^30.0^12.0^3.8999999999999995|kc_price_crossover_low^18.0^22.0^3.6999999999999993|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^2.5
0.563,32.0,2.176,75.0,6.849,rsi_neutral^180^60^40|convexity_higher1^12^SMA&mass_crossover1^130^65|kc_price_crossover_high^30.0^12.0^3.8999999999999995|stoch_k_crossover_d_2^240^120^72^25|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^3.0
1.553,32.0,2.289,75.0,8.272,rsi_neutral^180^60^40|rsi_neutral^150^60^40&mass_crossover1^130^65|smacd_histogram_start_increase^230^506^299|stoch_k_crossover_d_2^240^120^72^25|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^2.5
1.731,29.577,2.582,71.0,5.924,rsi_neutral^180^60^40|rsi_neutral^150^60^40&tsi_crossover_signal^220^176^198^EMA|mass_crossover1^130^65|stoch_k_crossover_d_2^240^120^72^25|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^3.0
2.075,31.944,2.345,72.0,5.245,rsi_neutral^180^60^40|rsi_neutral^150^60^40&mass_crossover1^130^65|stoch_k_crossover_d_2^240^120^72^25|emacd_crossover_signal^180^360^108|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^2.5
2.193,38.667,1.73,75.0,8.449,convexity_higher1^12^SMA|rsi_neutral^150^60^40&mass_crossover1^130^65|smacd_histogram_start_increase^230^506^299|kc_price_crossover_high^30.0^12.0^3.8999999999999995|sma_fast_crossover_slow_3^150^390&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^2.5
2.259,39.474,1.677,76.0,8.39,rsi_neutral^180^60^40|convexity_higher1^12^SMA&mass_crossover1^130^65|smacd_histogram_start_increase^230^506^299|kc_price_crossover_high^30.0^12.0^3.8999999999999995|sma_fast_crossover_slow_3^150^390&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^2.5
2.294,36.0,1.967,75.0,5.644,convexity_higher1^8^SMA|rsi_neutral^150^60^40&mass_crossover1^130^65|smacd_histogram_start_increase^230^506^299|kc_price_crossover_high^30.0^12.0^3.8999999999999995|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^2.5
2.34,60.0,3.823,10.0,0.776,skew_negative^25^EMA|emacd_histogram_increase^110^198^154&smacd_crossover_signal^220^484^242|stoch_d_crossover50^120^72^108|bb_price_crossover_high^190.0^3.0999999999999996|sma_fast_crossover_slow_3^150^390&trailing_stop^34^3.5|trailing_stop^34^2.5
2.521,38.158,1.803,76.0,6.407,convexity_higher1^12^SMA|convexity_higher1^8^SMA&mass_crossover1^130^65|smacd_histogram_start_increase^230^506^299|kc_price_crossover_high^30.0^12.0^3.8999999999999995|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^2.5
2.563,35.065,2.066,77.0,6.256,rsi_neutral^180^60^40|rsi_neutral^150^60^40&mass_crossover1^130^65|smacd_histogram_start_increase^230^506^299|kc_price_crossover_high^30.0^12.0^3.8999999999999995|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^2.5
2.702,30.0,2.64,70.0,5.471,rsi_neutral^180^60^40|rsi_neutral^150^60^40&mass_crossover1^130^65|stoch_k_crossover_d_2^240^120^72^25|emacd_crossover_signal^140^392^140|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^3.0
2.743,32.877,2.317,73.0,6.594,rsi_neutral^180^60^40|rsi_neutral^150^60^40&mass_crossover1^130^65|kc_price_crossover_high^30.0^12.0^3.8999999999999995|stoch_k_crossover_d_2^240^120^72^25|kc_price_crossover_low^18.0^22.0^3.6999999999999993&roc_crossunder0^59|trailing_stop^34^2.5
2.792,36.842,1.937,76.0,5.181,rsi_neutral^180^60^40|convexity_higher1^8^SMA&mass_crossover1^130^65|smacd_histogram_start_increase^230^506^299|kc_price_crossover_high^30.0^12.0^3.8999999999999995|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^2.5
2.888,33.803,2.244,71.0,3.862,rsi_neutral^180^60^40|rsi_neutral^150^60^40&smacd_crossover_signal^220^484^242|mass_crossover1^130^65|stoch_k_crossover_d_2^240^120^72^25|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^2.5
3.019,30.556,2.626,72.0,8.118,rsi_neutral^180^60^40|rsi_neutral^150^60^40&mass_crossover1^130^65|smacd_histogram_start_increase^230^506^299|stoch_k_crossover_d_2^240^120^72^25|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^3.0
3.106,36.842,1.96,76.0,6.173,convexity_higher1^12^SMA|rsi_neutral^150^60^40&mass_crossover1^130^65|smacd_histogram_start_increase^230^506^299|kc_price_crossover_high^30.0^12.0^3.8999999999999995|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^2.5
3.575,30.435,2.697,69.0,5.4,rsi_neutral^180^60^40|rsi_neutral^150^60^40&mass_crossover1^130^65|stoch_k_crossover_d_2^240^120^72^25|emacd_crossover_signal^180^360^108|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^3.0
3.604,37.662,1.93,77.0,5.716,rsi_neutral^180^60^40|convexity_higher1^12^SMA&mass_crossover1^130^65|smacd_histogram_start_increase^230^506^299|kc_price_crossover_high^30.0^12.0^3.8999999999999995|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^2.5
3.789,85.714,9.225,7.0,0.723,skew_negative^25^EMA|rvi_signal_neutral^100^60^5.0^-5.0^SMA&smacd_crossover_signal^220^484^242|trix_crossover_signal^130^182|rvi_signal_crossover0^190^171^SMA|stoch_d_crossover50^120^72^108&roc_crossunder0^59|trailing_stop^34^2.5
3.823,32.877,2.436,73.0,7.651,rsi_neutral^180^60^40|rsi_neutral^150^60^40&mass_crossover1^130^65|smacd_histogram_start_increase^230^506^299|kc_price_crossover_low^18.0^22.0^3.6999999999999993|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^2.5
3.927,39.726,1.801,73.0,5.723,convexity_higher1^12^SMA|convexity_higher1^8^SMA&mass_crossover1^130^65|smacd_histogram_start_increase^230^506^299|kc_price_crossover_high^30.0^12.0^3.8999999999999995|sma_fast_crossover_slow_3^150^390&aroon_diff_crossunder0^89|trailing_stop^34^2.5
4.081,66.667,6.578,9.0,0.763,skew_negative^25^EMA|emacd_histogram_increase^110^198^154&smacd_crossover_signal^220^484^242|stoch_d_crossover50^120^72^108|emacd_crossover_signal_2^200^480^120|bb_price_crossover_high_2^160.0^3.8999999999999995&trailing_stop^34^2.5|aroon_diff_crossunder0^109
4.358,75.0,10.857,8.0,0.761,skew_negative^25^EMA|rvi_signal_neutral^100^60^5.0^-5.0^SMA&smacd_crossover_signal^220^484^242|ma_atr_long_signal^230.0^276.0^2.8|bb_price_crossover_high^200.0^2.8999999999999995|emacd_crossover_signal_2^200^480^120&trailing_stop^34^2.5|aroon_diff_crossunder0^109
4.398,85.714,5.693,7.0,0.761,skew_negative^25^EMA|smi_d_neutral^170^119^85^30.0^-30.0^SMA&bb_price_crossover_high_2^190.0^3.0999999999999996|tsi_crossover0^230^138^EMA|bb_price_crossover_high_2^160.0^3.8999999999999995|bb_price_crossover_low_2^110.0^1.7&trailing_stop^34^3.0|trailing_stop^34^2.5
4.613,38.356,1.979,73.0,5.406,rsi_neutral^180^60^40|convexity_higher1^8^SMA&mass_crossover1^130^65|smacd_histogram_start_increase^230^506^299|kc_price_crossover_high^30.0^12.0^3.8999999999999995|sma_fast_crossover_slow_3^150^390&aroon_diff_crossunder0^89|trailing_stop^34^2.5
4.642,34.722,2.333,72.0,5.065,rsi_neutral^180^60^40|rsi_neutral^150^60^40&tsi_crossover_signal^220^176^198^EMA|mass_crossover1^130^65|smacd_histogram_start_increase^230^506^299|sma_fast_crossover_slow_3^150^390&roc_crossunder0^59|trailing_stop^34^2.5
4.669,83.333,7.241,6.0,0.784,skew_negative^25^EMA|mass_lower1^230^207&smacd_crossover_signal^220^484^242|rvi_signal_crossover0^190^171^SMA|bb_price_crossover_high_2^160.0^3.8999999999999995|bb_price_crossover_low_2^110.0^1.7&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^2.5
4.669,83.333,7.241,6.0,0.784,skew_negative^25^EMA|mass_lower1^230^207&smacd_crossover_signal^220^484^242|rvi_signal_crossover0^190^171^SMA|bb_price_crossover_high_2^160.0^3.8999999999999995|bb_price_crossover_low_2^110.0^1.7&aroon_diff_crossunder0^89|trailing_stop^34^2.5
4.832,100.0,100.0,5.0,0.716,emacd_histogram_increase^110^198^154|rvi_signal_neutral^100^60^5.0^-5.0^SMA&smacd_crossover_signal^220^484^242|stoch_d_crossover50^120^72^108|adx_crossover_threshold^30.0^45.0|smi_k_crossover_d^230^184^207&trailing_stop^34^2.5|aroon_diff_crossunder0^109
4.912,38.356,1.991,73.0,5.675,convexity_higher1^12^SMA|rsi_neutral^150^60^40&mass_crossover1^130^65|smacd_histogram_start_increase^230^506^299|kc_price_crossover_high^30.0^12.0^3.8999999999999995|sma_fast_crossover_slow_3^150^390&aroon_diff_crossunder0^89|trailing_stop^34^2.5
4.978,39.189,1.928,74.0,5.615,rsi_neutral^180^60^40|convexity_higher1^12^SMA&mass_crossover1^130^65|smacd_histogram_start_increase^230^506^299|kc_price_crossover_high^30.0^12.0^3.8999999999999995|sma_fast_crossover_slow_3^150^390&aroon_diff_crossunder0^89|trailing_stop^34^2.5
5.035,57.143,8.899,7.0,0.756,skew_negative^25^EMA|convexity_higher1^12^SMA&bb_price_crossover_high_2^190.0^3.0999999999999996|emacd_crossover_signal_2^200^480^120|bb_price_crossover_high_2^160.0^3.8999999999999995|bb_price_crossover_low_2^110.0^1.7&trailing_stop^34^3.0|trailing_stop^34^2.5
