total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-1.471,47.312,1.027,93.0,7.677,convexity_higher1^6^SMA|rvi_neutral^40^15.0^-15.0^EMA&smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|smacd_crossover_signal_2^120^336^72|tsi_crossover0^80^24^EMA&trailing_stop^34^2.5|bb_price_crossunder_high^34^2
-1.263,54.348,0.788,92.0,6.822,tsi_neutral^220^176^10.0^-10.0^SMA|convexity_higher1^6^SMA&tsi_crossover0^50^45^EMA|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|smacd_crossover_signal_2^120^336^72&trailing_stop^34^3.0|bb_price_crossunder_high^34^2
-0.337,48.148,1.056,81.0,5.027,convexity_higher1^6^SMA|rvi_neutral^40^15.0^-15.0^EMA&smacd_start_increase^210^294|smacd_crossover_signal_2^120^336^72|mass_crossover1^220^88|ema_fast_crossover_slow^30^72&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.5
-0.054,52.747,0.893,91.0,5.353,convexity_higher1^6^SMA|rvi_neutral^40^15.0^-15.0^EMA&smacd_start_increase^210^294|smacd_crossover_signal_2^120^336^72|mass_crossover1^220^88|tsi_crossover0^80^24^EMA&trailing_stop^34^2.5|bb_price_crossunder_high^34^2
-0.012,51.064,0.958,94.0,6.011,tsi_neutral^220^176^10.0^-10.0^SMA|convexity_higher1^6^SMA&smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|smacd_crossover_signal_2^120^336^72|tsi_crossover0^80^24^EMA&trailing_stop^34^2.5|bb_price_crossunder_high^34^2
0.015,52.688,0.899,93.0,6.073,tsi_neutral^220^176^10.0^-10.0^SMA|convexity_higher1^6^SMA&ema_fast_crossover_slow^35^56|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|smacd_crossover_signal_2^120^336^72&trailing_stop^34^2.5|bb_price_crossunder_high^34^2
0.12,53.191,0.886,94.0,6.359,tsi_neutral^220^176^10.0^-10.0^SMA|convexity_higher1^6^SMA&tsi_crossover0^50^45^EMA|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|smacd_crossover_signal_2^120^336^72&trailing_stop^34^2.5|bb_price_crossunder_high^34^2
0.171,49.315,1.043,73.0,3.238,convexity_higher1^6^SMA|kdj_k_higher_d^70^63^49&smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|smacd_crossover_signal_2^120^336^72|tsi_crossover0^80^24^EMA&trailing_stop^34^2.5|bb_price_crossunder_high^34^2
0.204,47.887,1.108,71.0,3.164,smi_k_higher_d^50^40^35|kdj_k_higher_d^70^63^49&smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|smacd_crossover_signal_2^120^336^72|tsi_crossover0^80^24^EMA&trailing_stop^34^2.5|bb_price_crossunder_high^34^2
0.557,52.174,0.945,92.0,5.816,tsi_neutral^220^176^10.0^-10.0^SMA|convexity_higher1^6^SMA&smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|smacd_crossover_signal_2^120^336^72|ema_fast_crossover_slow^30^72&trailing_stop^34^2.5|bb_price_crossunder_high^34^2
