开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-02 01:00:00,2026-06-18,15.001,45.534,2.044,5.034,4.085,22.275,9.045,0.473,0.849,34.0,70.588,2.026,45.601,3.4,aroon_diff_higher0^70|rvi_neutral^40^15.0^-15.0^EMA&ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|smi_d_crossover0^230^207^207^EMA|ema_fast_crossover_slow^30^72&trailing_stop^34^3.5|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.001,45.534,2.044,5.034,4.085,22.275,9.045,0.473,0.849,34.0,70.588,2.026,45.601,3.4,aroon_diff_higher0^70|rvi_neutral^40^15.0^-15.0^EMA&ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|smi_d_crossover0^230^207^207^EMA|ema_fast_crossover_slow^30^72&trailing_stop^34^3.0|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.003,45.54,1.448,5.045,3.993,31.445,9.027,0.473,0.825,33.0,69.697,2.254,46.0,3.3,kc_neutral^35.0^14.0^2.5|aroon_diff_higher0^70&ema_fast_crossover_slow^35^56|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|ema_fast_crossover_slow^30^72&trailing_stop^34^3.5|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.003,45.54,1.448,5.045,3.993,31.445,9.027,0.473,0.825,33.0,69.697,2.254,46.0,3.3,kc_neutral^35.0^14.0^2.5|aroon_diff_higher0^70&ema_fast_crossover_slow^35^56|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|ema_fast_crossover_slow^30^72&trailing_stop^34^3.0|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.005,45.547,1.328,5.492,3.942,34.292,8.293,0.434,0.773,33.0,78.788,1.797,45.972,3.3,rvi_neutral^23^15.0^-15.0^EMA|aroon_diff_higher0^80&tsi_crossover0^50^45^EMA|smacd_start_increase^210^294|ema_fast_crossover_slow^30^72|adx_crossunder_threshold^190.0^10.0&aroon_diff_crossunder0^59|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.017,45.589,1.573,5.406,3.799,28.982,8.433,0.441,0.844,32.0,75.0,1.964,46.194,3.2,rvi_neutral^23^15.0^-15.0^EMA|aroon_diff_higher0^80&tsi_crossover0^50^45^EMA|smacd_start_increase^210^294|smacd_crossover_signal_3^210^336^168|smi_d_crossover0^230^207^207^EMA&trailing_stop^34^3.5|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.025,45.613,1.448,5.081,3.977,31.502,8.977,0.47,0.795,33.0,69.697,2.257,45.811,3.3,kc_neutral^35.0^14.0^2.5|aroon_diff_higher0^70&ema_fast_crossover_slow^35^56|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|ema_fast_crossover_slow^30^72&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.028,45.626,2.142,5.206,3.845,21.301,8.763,0.459,0.848,36.0,72.222,1.807,46.169,3.6,rvi_neutral^40^15.0^-15.0^EMA|aroon_diff_higher0^80&tsi_crossover0^50^45^EMA|smacd_start_increase^210^294|smacd_crossover_signal_3^210^336^168|smi_d_crossover0^230^207^207^EMA&trailing_stop^34^3.5|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.039,45.663,1.388,5.576,4.0,32.896,8.189,0.429,0.789,32.0,78.125,1.873,46.049,3.2,rvi_neutral^23^15.0^-15.0^EMA|aroon_diff_higher0^80&tsi_crossover0^50^45^EMA|smacd_start_increase^210^294|smi_d_crossover0^230^207^207^EMA|ema_fast_crossover_slow^30^72&aroon_diff_crossunder0^59|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.042,45.672,1.567,5.489,3.95,29.155,8.321,0.436,0.807,32.0,78.125,1.872,46.058,3.2,rvi_neutral^23^15.0^-15.0^EMA|aroon_diff_higher0^80&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|adx_crossunder_threshold^190.0^10.0&trailing_stop^34^3.0|trailing_stop^34^2.5
