开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-02 01:00:00,2026-06-18,15.177,46.132,1.569,5.441,3.841,29.394,8.478,0.444,0.853,32.0,75.0,1.981,46.16,3.2,rvi_neutral^23^15.0^-15.0^EMA|aroon_diff_higher0^80&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|smacd_crossover_signal_3^210^336^168&trailing_stop^34^3.0|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.199,46.207,2.036,4.999,4.166,22.7,9.243,0.484,0.825,38.0,68.421,2.018,45.595,3.8,aroon_diff_higher0^70|rvi_neutral^40^15.0^-15.0^EMA&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|mass_crossover1^220^88&trailing_stop^34^3.5|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.208,46.238,1.559,5.211,4.148,29.653,8.873,0.464,0.78,31.0,74.194,2.661,45.833,3.1,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|ema_fast_crossover_slow^30^72&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.227,46.303,2.044,4.966,4.094,22.654,9.324,0.488,0.819,36.0,69.444,1.943,45.212,3.6,convexity_higher1^6^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|adx_crossunder_threshold^190.0^10.0&trailing_stop^34^3.0|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.244,46.362,1.566,5.166,4.246,29.598,8.975,0.47,0.885,30.0,76.667,2.467,45.862,3.0,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|ema_fast_crossover_slow^30^72|adx_crossunder_threshold^190.0^10.0&trailing_stop^34^3.0|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.248,46.373,2.303,4.682,4.125,20.139,9.904,0.518,0.827,42.0,61.905,2.322,44.457,4.2,convexity_higher1^6^SMA|aroon_diff_higher0^70&ema_fast_crossover_slow^35^56|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|mass_crossover1^220^88&trailing_stop^34^3.5|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.251,46.383,1.855,4.901,4.142,25.011,9.464,0.495,0.835,36.0,69.444,2.336,45.375,3.6,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&ema_fast_crossover_slow^35^56|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|ema_fast_crossover_slow^30^72&trailing_stop^34^3.0|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.252,46.388,2.036,5.102,4.173,22.789,9.092,0.476,0.858,35.0,71.429,1.962,45.705,3.5,aroon_diff_higher0^70|rvi_neutral^40^15.0^-15.0^EMA&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|adx_crossunder_threshold^190.0^10.0&trailing_stop^34^3.5|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.291,46.521,2.629,4.981,3.858,17.697,9.339,0.489,0.874,33.0,72.727,2.141,45.982,3.3,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|smacd_crossover_signal_3^210^336^168&trailing_stop^34^3.5|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.297,46.54,2.035,5.129,4.194,22.868,9.073,0.475,0.843,35.0,71.429,1.976,45.628,3.5,aroon_diff_higher0^70|rvi_neutral^40^15.0^-15.0^EMA&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|ema_fast_crossover_slow^30^72&trailing_stop^34^3.0|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.324,46.634,1.601,5.884,4.441,29.136,7.925,0.415,0.896,32.0,68.75,3.013,45.64,3.2,smacd_increase^80^128|smi_k_higher_d^50^40^35&smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|tsi_crossover0^80^24^EMA|smi_d_crossover0^230^207^207^EMA&aroon_diff_crossunder0^109|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.334,46.667,1.58,5.254,4.159,29.529,8.882,0.465,0.781,31.0,74.194,2.658,45.962,3.1,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|smi_d_crossover0^230^207^207^EMA&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.336,46.675,1.657,5.167,4.306,28.175,9.033,0.473,0.781,34.0,70.588,2.796,45.406,3.4,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|mass_crossover1^220^88&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.395,46.877,2.171,4.857,4.093,21.593,9.652,0.505,0.736,42.0,64.286,2.168,44.72,4.2,convexity_higher1^6^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294&aroon_diff_crossunder0^59|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.415,46.943,1.566,5.236,4.282,29.969,8.965,0.469,0.868,30.0,76.667,2.491,45.898,3.0,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|smi_d_crossover0^230^207^207^EMA|ema_fast_crossover_slow^30^72&trailing_stop^34^3.5|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.417,46.951,1.643,5.151,4.42,28.577,9.114,0.477,0.86,33.0,72.727,2.667,45.384,3.3,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|mass_crossover1^220^88|ema_fast_crossover_slow^30^72&trailing_stop^34^3.5|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.422,46.97,2.036,5.171,4.209,23.075,9.083,0.475,0.844,35.0,71.429,1.98,45.734,3.5,aroon_diff_higher0^70|rvi_neutral^40^15.0^-15.0^EMA&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|smi_d_crossover0^230^207^207^EMA&trailing_stop^34^3.5|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.446,47.051,1.442,5.191,4.122,32.63,9.064,0.474,0.821,34.0,70.588,2.211,46.098,3.4,kc_neutral^35.0^14.0^2.5|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294&trailing_stop^34^3.0|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.46,47.099,2.169,4.801,4.075,21.72,9.809,0.513,0.784,41.0,63.415,2.271,44.828,4.1,convexity_higher1^6^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294&aroon_diff_crossunder0^89|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18,15.468,47.124,1.442,5.228,4.106,32.688,9.014,0.472,0.791,34.0,70.588,2.214,45.918,3.4,kc_neutral^35.0^14.0^2.5|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294&aroon_diff_crossunder0^89|trailing_stop^34^2.5
