total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
4.721,35.882,1.914,170.0,15.069,rsi_neutral^90^70^30|adx_lower_threshold^55.0^35.0&rsi_fast_crossover_slow^30^48|emacd_start_increase^45^90|rsi_crossover50^110|adx_plus_crossover_minus^180&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
4.721,35.882,1.914,170.0,15.069,rsi_neutral^90^70^30|adx_lower_threshold^55.0^35.0&rsi_fast_crossover_slow^30^48|rsi_crossover50^110|emacd_start_increase^50^80|adx_plus_crossover_minus^180&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
5.182,36.257,1.894,171.0,14.592,rsi_neutral^90^70^30|rvi_neutral^29^25.0^-25.0^EMA&rsi_fast_crossover_slow^30^48|emacd_start_increase^45^90|rsi_crossover50^110|price_crossover_sma_2^140&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
5.706,36.471,1.891,170.0,14.526,rvi_neutral^29^25.0^-25.0^EMA|adx_lower_threshold^55.0^35.0&rsi_fast_crossover_slow^30^48|emacd_start_increase^45^90|rsi_crossover50^110|price_crossover_sma_2^140&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
6.434,36.095,1.946,169.0,13.817,rsi_neutral^90^70^30|rvi_neutral^29^25.0^-25.0^EMA&rsi_fast_crossover_slow^30^48|emacd_start_increase^45^90|rsi_crossover50^110|adx_plus_crossover_minus^190&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
7.883,37.87,1.846,169.0,14.256,rsi_neutral^90^70^30|adx_lower_threshold^55.0^35.0&rsi_crossover50^110|adx_plus_crossover_minus^180|rsi_fast_crossover_slow^25^60|price_crossover_sma_2^140&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
8.097,100.0,100.0,6.0,0.57,skew_negative^110^EMA|tsi_higher_signal^70^49^42^SMA&rvi_signal_crossover0^200^100^SMA|stoch_d_crossover50^130^52^117|smacd_crossover_signal^210^504^210|trix_crossover_signal^180^162&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
8.585,100.0,100.0,7.0,0.573,skew_negative^110^EMA|tsi_higher_signal^70^49^42^SMA&kc_price_crossover_low_2^25.0^10.0^2.0999999999999996|trix_crossover_signal^180^162|smacd_crossover_signal_2^190^532^133|stoch_d_crossover50^220^66^66&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
8.752,37.805,1.883,164.0,12.365,kc_neutral^8.0^3.0^1.5|rvi_neutral^29^25.0^-25.0^EMA&emacd_start_increase^45^90|tsi_crossover_signal^210^168^63^SMA|rsi_crossover50^110|adx_plus_crossover_minus^190&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
8.821,30.147,2.675,136.0,13.96,rvi_neutral^29^25.0^-25.0^EMA|adx_lower_threshold^55.0^35.0&rvi_signal_crossover0^200^100^SMA|smacd_histogram_start_increase_2^150^210^120|emacd_start_increase^50^80|price_crossover_sma_2^140&trailing_stop^34^3.0|aroon_diff_crossunder0^109
9.469,38.095,1.875,168.0,13.192,rsi_neutral^90^70^30|adx_lower_threshold^55.0^35.0&rsi_crossover50^110|adx_plus_crossover_minus^190|rsi_fast_crossover_slow^25^60|price_crossover_sma_2^140&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^3.0
9.637,30.657,2.66,137.0,13.885,rvi_neutral^29^25.0^-25.0^EMA|adx_lower_threshold^55.0^35.0&smacd_histogram_start_increase_2^150^210^120|adx_plus_crossover_minus^180|rsi_fast_crossover_slow^25^60|price_crossover_sma_2^140&trailing_stop^34^3.0|aroon_diff_crossunder0^109
10.599,31.387,2.613,137.0,13.632,rvi_neutral^29^25.0^-25.0^EMA|adx_lower_threshold^55.0^35.0&smacd_histogram_start_increase_2^150^210^120|rsi_fast_crossover_slow^30^48|adx_plus_crossover_minus^180|price_crossover_sma_2^140&trailing_stop^34^3.0|aroon_diff_crossunder0^109
