开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-02 01:00:00,2026-06-18,43.498,163.677,3.703,9.674,7.843,44.199,16.919,0.886,0.465,86.0,65.116,1.9,46.7,8.6,kc_neutral^8.0^3.0^1.5|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|rsi_fast_crossover_slow^30^48|tsi_crossover_signal^210^168^63^SMA|kdj_d_crossover50^170^85^85&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,43.5,163.687,3.563,10.021,7.852,45.941,16.334,0.855,0.492,72.0,66.667,2.11,47.156,7.2,kdj_d_overbought^40^36^36^50|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|rsi_crossover50^110|rsi_fast_crossover_slow^25^60|kdj_d_crossover50^200^100^60&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,43.505,163.715,3.455,10.255,8.626,47.384,15.964,0.836,0.526,73.0,68.493,1.869,47.139,7.3,tsi_higher_signal^140^56^56^SMA|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|emacd_start_increase^50^80|adx_plus_crossover_minus^190|rsi_fast_crossover_slow^25^60&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.5
2026-02-02 01:00:00,2026-06-18,43.507,163.721,2.911,9.728,8.107,56.247,16.829,0.881,0.461,89.0,62.921,1.962,46.581,8.9,rsi_neutral^90^70^30|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|rsi_fast_crossover_slow^25^60|trix_crossover_signal^180^162|sma_fast_crossover_slow^110^308&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,43.515,163.764,2.973,10.266,8.286,55.088,15.951,0.835,0.47,78.0,65.385,2.125,47.253,7.8,adx_lower_threshold^170.0^10.0|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|stoch_d_crossover50^130^52^117|rsi_fast_crossover_slow^25^60|smi_k_crossover0^210^63^SMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,43.516,163.769,4.806,10.095,8.165,34.073,16.222,0.849,0.484,77.0,63.636,2.062,47.186,7.7,adx_lower_threshold^170.0^10.0|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|smacd_histogram_start_increase_2^140^252^182|rsi_fast_crossover_slow^25^60|rvi_signal_crossover0^230^92^SMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,43.526,163.817,2.489,10.685,8.323,65.807,15.332,0.803,0.494,70.0,70.0,1.866,47.319,7.0,smacd_higher_signal^70^98^63|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|emacd_start_increase^45^90|rsi_fast_crossover_slow^25^60|price_crossover_sma_2^140&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,43.531,163.84,2.81,10.708,8.314,58.311,15.301,0.801,0.494,66.0,68.182,2.225,47.001,6.6,smi_overbought^60^24^0.0^EMA|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|kdj_d_crossover50^170^85^85|rsi_fast_crossover_slow^25^60|smi_k_crossover0^210^63^SMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,43.533,163.853,3.717,10.283,8.095,44.08,15.935,0.834,0.459,77.0,68.831,1.866,47.146,7.7,kdj_k_neutral^17^8^85^15|stoch_k_higher_d^130^65^91&stoch_k_crossover_d_2^250^225^225^25|smacd_histogram_start_increase_2^150^210^120|rsi_fast_crossover_slow^30^48|kdj_d_crossover50^200^100^60&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,43.535,163.861,2.891,10.144,8.335,56.677,16.154,0.846,0.445,84.0,64.286,1.966,47.545,8.4,adx_lower_threshold^170.0^10.0|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|rsi_fast_crossover_slow^25^60|trix_crossover_signal^180^162|bb_price_crossover_high_2^220.0^2.3&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,43.541,163.891,3.175,9.2,7.344,51.625,17.815,0.932,0.873,47.0,65.957,3.1,48.427,4.7,trix_higher_signal^60.0^24.0|smi_neutral^200^100^35.0^-35.0^SMA&rsi_fast_crossover_slow^30^48|trix_crossover_signal^180^162|rvi_signal_crossover0^230^92^SMA|smi_k_crossover_d^230^138^161&aroon_diff_crossunder0^109|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,43.542,163.898,2.295,11.214,8.681,71.427,14.615,0.765,0.464,60.0,75.0,1.943,48.154,6.0,rvi_neutral^29^25.0^-25.0^EMA|kdj_k_neutral^17^8^85^15&smacd_histogram_start_increase_2^150^210^120|trix_crossover_signal^180^162|bb_price_crossover_high_2^220.0^2.3|smi_k_crossover0^210^63^SMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,43.561,163.99,3.648,9.689,8.101,44.948,16.925,0.886,0.446,92.0,64.13,1.861,46.46,9.2,kc_neutral^8.0^3.0^1.5|stoch_k_higher_d^130^65^91&smi_d_crossover0^80^72^56^EMA|smacd_histogram_start_increase_2^150^210^120|rsi_fast_crossover_slow^25^60|bb_price_crossover_high_2^220.0^2.3&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,43.564,164.005,2.586,10.579,7.981,63.411,15.503,0.811,0.44,70.0,72.857,1.913,47.772,7.0,smacd_increase^140^224|kdj_k_neutral^17^8^85^15&smacd_histogram_start_increase_2^150^210^120|kdj_k_crossover_d^60^18^18|tsi_crossover_signal^210^168^63^SMA|kdj_d_crossover50^170^85^85&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,43.573,164.049,2.682,9.81,7.989,61.161,16.723,0.875,0.467,84.0,64.286,1.992,46.941,8.4,bb_neutral^140.0^2.5|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|kdj_d_crossover50^170^85^85|rsi_fast_crossover_slow^25^60|kdj_d_crossover50^200^100^60&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,43.584,164.104,3.141,10.213,8.159,52.239,16.068,0.841,0.463,78.0,64.103,2.202,47.656,7.8,adx_lower_threshold^170.0^10.0|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|kdj_d_crossover50^170^85^85|rsi_fast_crossover_slow^25^60|rvi_signal_crossover0^230^92^SMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,43.585,164.107,3.893,10.022,8.203,42.158,16.374,0.857,0.465,83.0,66.265,1.862,47.234,8.3,adx_lower_threshold^170.0^10.0|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|emacd_start_increase^45^90|tsi_crossover_signal^210^168^63^SMA|rsi_fast_crossover_slow^25^60&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,43.591,164.137,2.606,10.583,8.129,62.975,15.509,0.812,0.45,70.0,72.857,1.897,47.439,7.0,smacd_increase^140^224|kdj_k_neutral^17^8^85^15&smi_d_crossover0^80^72^56^EMA|smacd_histogram_start_increase_2^150^210^120|kdj_k_crossover_d^60^18^18|tsi_crossover_signal^210^168^63^SMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,43.593,164.15,2.176,10.842,8.586,75.427,15.141,0.792,0.465,68.0,73.529,1.887,48.117,6.8,smacd_higher_signal^70^98^63|stoch_k_higher_d^130^65^91&smi_d_crossover0^80^72^56^EMA|smacd_histogram_start_increase_2^150^210^120|emacd_start_increase^45^90|trix_crossover_signal^180^162&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,43.601,164.186,2.92,10.243,8.262,56.228,16.03,0.839,0.46,79.0,64.557,2.146,47.363,7.9,adx_lower_threshold^170.0^10.0|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|rsi_fast_crossover_slow^25^60|trix_crossover_signal^180^162|smi_k_crossover0^210^63^SMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18,43.602,164.195,3.914,9.622,7.903,41.955,17.064,0.893,0.468,89.0,62.921,1.906,46.638,8.9,kc_neutral^8.0^3.0^1.5|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|rsi_fast_crossover_slow^25^60|sma_fast_crossover_slow^110^308|smi_k_crossover_d^230^138^161&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
