coin_name,inv0,cl_name,cl_canshu,is_run,cl_id,cl_index
ZWmain,15min,stoch_k_higher_d^130^65^91|kdj_d_overbought^70^63^35^50&smacd_histogram_start_increase_2^150^210^120|rsi_fast_crossover_slow^30^48|kdj_d_crossover50^170^85^85|rsi_fast_crossover_slow^25^60&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0,0,1,stoch_k_higher_d^130^65^91|kdj_d_overbought^70^63^35^50&smacd_histogram_start_increase_2^150^210^120|rsi_fast_crossover_slow^30^48|kdj_d_crossover50^170^85^85|rsi_fast_crossover_slow^25^60&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0,stoch_k_higher_d^130^65^91|kdj_d_overbought^70^63^35^50&smacd_histogram_start_increase_2^150^210^120|rsi_fast_crossover_slow^30^48|kdj_d_crossover50^170^85^85|rsi_fast_crossover_slow^25^60&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
ZWmain,15min,ema_fast_higher_slow^35^49|stoch_k_higher_d^130^65^91&stoch_k_crossover_d_2^250^225^225^25|smacd_histogram_start_increase_2^150^210^120|kdj_d_crossover50^170^85^85|rsi_fast_crossover_slow^25^60&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0,0,1,ema_fast_higher_slow^35^49|stoch_k_higher_d^130^65^91&stoch_k_crossover_d_2^250^225^225^25|smacd_histogram_start_increase_2^150^210^120|kdj_d_crossover50^170^85^85|rsi_fast_crossover_slow^25^60&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0,ema_fast_higher_slow^35^49|stoch_k_higher_d^130^65^91&stoch_k_crossover_d_2^250^225^225^25|smacd_histogram_start_increase_2^150^210^120|kdj_d_crossover50^170^85^85|rsi_fast_crossover_slow^25^60&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
ZWmain,15min,smacd_higher_signal^70^98^63|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|emacd_start_increase^45^90|smacd_histogram_start_increase_2^140^252^182|trix_crossover_signal^180^162&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0,0,1,smacd_higher_signal^70^98^63|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|emacd_start_increase^45^90|smacd_histogram_start_increase_2^140^252^182|trix_crossover_signal^180^162&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0,smacd_higher_signal^70^98^63|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|emacd_start_increase^45^90|smacd_histogram_start_increase_2^140^252^182|trix_crossover_signal^180^162&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
ZWmain,15min,smacd_higher_signal^70^98^63|stoch_k_higher_d^130^65^91&smi_d_crossover0^80^72^56^EMA|emacd_start_increase^45^90|smacd_crossover_signal^210^504^210|price_crossover_sma_2^140&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0,0,1,smacd_higher_signal^70^98^63|stoch_k_higher_d^130^65^91&smi_d_crossover0^80^72^56^EMA|emacd_start_increase^45^90|smacd_crossover_signal^210^504^210|price_crossover_sma_2^140&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0,smacd_higher_signal^70^98^63|stoch_k_higher_d^130^65^91&smi_d_crossover0^80^72^56^EMA|emacd_start_increase^45^90|smacd_crossover_signal^210^504^210|price_crossover_sma_2^140&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
ZWmain,15min,smacd_higher_signal^70^98^63|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|emacd_start_increase^45^90|tsi_crossover_signal^230^115^161^SMA|price_crossover_sma_2^140&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0,0,1,smacd_higher_signal^70^98^63|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|emacd_start_increase^45^90|tsi_crossover_signal^230^115^161^SMA|price_crossover_sma_2^140&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0,smacd_higher_signal^70^98^63|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|emacd_start_increase^45^90|tsi_crossover_signal^230^115^161^SMA|price_crossover_sma_2^140&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
ZWmain,15min,stoch_k_higher_d^130^65^91|kdj_d_overbought^70^63^35^50&smi_d_crossover0^80^72^56^EMA|smacd_histogram_start_increase_2^150^210^120|kdj_d_crossover50^170^85^85|rsi_fast_crossover_slow^25^60&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0,0,1,stoch_k_higher_d^130^65^91|kdj_d_overbought^70^63^35^50&smi_d_crossover0^80^72^56^EMA|smacd_histogram_start_increase_2^150^210^120|kdj_d_crossover50^170^85^85|rsi_fast_crossover_slow^25^60&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0,stoch_k_higher_d^130^65^91|kdj_d_overbought^70^63^35^50&smi_d_crossover0^80^72^56^EMA|smacd_histogram_start_increase_2^150^210^120|kdj_d_crossover50^170^85^85|rsi_fast_crossover_slow^25^60&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
ZWmain,15min,ema_fast_higher_slow^35^49|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|kdj_d_crossover50^170^85^85|rsi_fast_crossover_slow^25^60|rvi_signal_crossover0^230^92^SMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0,0,1,ema_fast_higher_slow^35^49|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|kdj_d_crossover50^170^85^85|rsi_fast_crossover_slow^25^60|rvi_signal_crossover0^230^92^SMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0,ema_fast_higher_slow^35^49|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|kdj_d_crossover50^170^85^85|rsi_fast_crossover_slow^25^60|rvi_signal_crossover0^230^92^SMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
ZWmain,15min,kdj_k_neutral^17^8^85^15|adx_lower_threshold^170.0^10.0&smacd_histogram_start_increase_2^150^210^120|kdj_d_crossover50^170^85^85|bb_price_crossover_high_2^220.0^2.3|smi_k_crossover0^210^63^SMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0,0,1,kdj_k_neutral^17^8^85^15|adx_lower_threshold^170.0^10.0&smacd_histogram_start_increase_2^150^210^120|kdj_d_crossover50^170^85^85|bb_price_crossover_high_2^220.0^2.3|smi_k_crossover0^210^63^SMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0,kdj_k_neutral^17^8^85^15|adx_lower_threshold^170.0^10.0&smacd_histogram_start_increase_2^150^210^120|kdj_d_crossover50^170^85^85|bb_price_crossover_high_2^220.0^2.3|smi_k_crossover0^210^63^SMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
ZWmain,15min,kdj_k_neutral^17^8^85^15|stoch_k_higher_d^130^65^91&smi_d_crossover0^80^72^56^EMA|smacd_histogram_start_increase_2^150^210^120|rsi_fast_crossover_slow^30^48|emacd_start_increase^45^90&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0,0,1,kdj_k_neutral^17^8^85^15|stoch_k_higher_d^130^65^91&smi_d_crossover0^80^72^56^EMA|smacd_histogram_start_increase_2^150^210^120|rsi_fast_crossover_slow^30^48|emacd_start_increase^45^90&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0,kdj_k_neutral^17^8^85^15|stoch_k_higher_d^130^65^91&smi_d_crossover0^80^72^56^EMA|smacd_histogram_start_increase_2^150^210^120|rsi_fast_crossover_slow^30^48|emacd_start_increase^45^90&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
ZWmain,15min,smacd_higher_signal^70^98^63|stoch_k_higher_d^130^65^91&smi_d_crossover0^80^72^56^EMA|bb_price_crossover_high^220.0^2.3|emacd_start_increase^45^90|smacd_histogram_start_increase_2^140^252^182&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0,0,1,smacd_higher_signal^70^98^63|stoch_k_higher_d^130^65^91&smi_d_crossover0^80^72^56^EMA|bb_price_crossover_high^220.0^2.3|emacd_start_increase^45^90|smacd_histogram_start_increase_2^140^252^182&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0,smacd_higher_signal^70^98^63|stoch_k_higher_d^130^65^91&smi_d_crossover0^80^72^56^EMA|bb_price_crossover_high^220.0^2.3|emacd_start_increase^45^90|smacd_histogram_start_increase_2^140^252^182&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
