开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-02 01:00:00,2026-06-18 18:15:00,45.744,173.364,2.803,11.789,8.791,61.852,14.705,0.77,0.463,62.0,69.355,2.367,48.146,6.2,stoch_k_higher_d^130^65^91|kdj_d_overbought^70^63^35^50&smacd_histogram_start_increase_2^150^210^120|rsi_fast_crossover_slow^30^48|kdj_d_crossover50^170^85^85|rsi_fast_crossover_slow^25^60&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,45.658,172.933,2.749,11.607,8.833,62.898,14.899,0.78,0.475,65.0,69.231,2.318,48.049,6.5,ema_fast_higher_slow^35^49|stoch_k_higher_d^130^65^91&stoch_k_crossover_d_2^250^225^225^25|smacd_histogram_start_increase_2^150^210^120|kdj_d_crossover50^170^85^85|rsi_fast_crossover_slow^25^60&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,44.87,169.009,2.158,11.26,8.995,78.303,15.01,0.786,0.488,67.0,73.134,1.97,48.312,6.7,smacd_higher_signal^70^98^63|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|emacd_start_increase^45^90|smacd_histogram_start_increase_2^140^252^182|trix_crossover_signal^180^162&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,44.629,167.816,1.696,12.065,8.871,98.952,13.909,0.728,0.489,60.0,80.0,1.924,48.804,6.0,smacd_higher_signal^70^98^63|stoch_k_higher_d^130^65^91&smi_d_crossover0^80^72^56^EMA|emacd_start_increase^45^90|smacd_crossover_signal^210^504^210|price_crossover_sma_2^140&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,44.758,168.455,2.146,11.03,8.974,78.497,15.272,0.799,0.493,69.0,69.565,2.082,47.847,6.9,smacd_higher_signal^70^98^63|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|emacd_start_increase^45^90|tsi_crossover_signal^230^115^161^SMA|price_crossover_sma_2^140&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,45.783,173.557,2.796,11.763,8.853,62.069,14.754,0.772,0.47,62.0,69.355,2.432,47.967,6.2,stoch_k_higher_d^130^65^91|kdj_d_overbought^70^63^35^50&smi_d_crossover0^80^72^56^EMA|smacd_histogram_start_increase_2^150^210^120|kdj_d_crossover50^170^85^85|rsi_fast_crossover_slow^25^60&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,45.659,172.939,2.788,11.527,8.671,62.023,15.003,0.785,0.475,65.0,70.769,2.338,48.276,6.5,ema_fast_higher_slow^35^49|stoch_k_higher_d^130^65^91&smacd_histogram_start_increase_2^150^210^120|kdj_d_crossover50^170^85^85|rsi_fast_crossover_slow^25^60|rvi_signal_crossover0^230^92^SMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,43.637,162.938,2.135,11.508,8.657,76.319,14.158,0.741,0.454,59.0,76.271,1.92,48.426,5.9,kdj_k_neutral^17^8^85^15|adx_lower_threshold^170.0^10.0&smacd_histogram_start_increase_2^150^210^120|kdj_d_crossover50^170^85^85|bb_price_crossover_high_2^220.0^2.3|smi_k_crossover0^210^63^SMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,49.596,193.078,2.966,11.639,9.689,65.093,16.589,0.868,0.47,83.0,68.675,1.914,47.479,8.3,kdj_k_neutral^17^8^85^15|stoch_k_higher_d^130^65^91&smi_d_crossover0^80^72^56^EMA|smacd_histogram_start_increase_2^150^210^120|rsi_fast_crossover_slow^30^48|emacd_start_increase^45^90&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
2026-02-02 01:00:00,2026-06-18 18:15:00,44.717,168.251,2.167,11.447,8.755,77.631,14.698,0.769,0.461,69.0,75.362,2.025,48.644,6.9,smacd_higher_signal^70^98^63|stoch_k_higher_d^130^65^91&smi_d_crossover0^80^72^56^EMA|bb_price_crossover_high^220.0^2.3|emacd_start_increase^45^90|smacd_histogram_start_increase_2^140^252^182&bb_price_crossunder_high^34^2.5|trailing_stop^34^3.0
