param_0,策略名称,开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,2026-03-01+总收益率%,2026-03-01+年化收益率%,2026-03-01+最大回撤%,2026-03-01+sharpe比率,2026-03-01+sortino比率,2026-03-01+calmar比率,2026-03-01+年化波动率%,2026-03-01+日波动率%,2026-03-01+均持天数,2026-03-01+交易次数,2026-03-01+交易胜率%,2026-03-01+盈亏比,2026-03-01+bar胜率%,2026-03-01+总交易成本%,2026-04-01+总收益率%,2026-04-01+年化收益率%,2026-04-01+最大回撤%,2026-04-01+sharpe比率,2026-04-01+sortino比率,2026-04-01+calmar比率,2026-04-01+年化波动率%,2026-04-01+日波动率%,2026-04-01+均持天数,2026-04-01+交易次数,2026-04-01+交易胜率%,2026-04-01+盈亏比,2026-04-01+bar胜率%,2026-04-01+总交易成本%,2026-05-01+总收益率%,2026-05-01+年化收益率%,2026-05-01+最大回撤%,2026-05-01+sharpe比率,2026-05-01+sortino比率,2026-05-01+calmar比率,2026-05-01+年化波动率%,2026-05-01+日波动率%,2026-05-01+均持天数,2026-05-01+交易次数,2026-05-01+交易胜率%,2026-05-01+盈亏比,2026-05-01+bar胜率%,2026-05-01+总交易成本%,2026-06-01+总收益率%,2026-06-01+年化收益率%,2026-06-01+最大回撤%,2026-06-01+sharpe比率,2026-06-01+sortino比率,2026-06-01+calmar比率,2026-06-01+年化波动率%,2026-06-01+日波动率%,2026-06-01+均持天数,2026-06-01+交易次数,2026-06-01+交易胜率%,2026-06-01+盈亏比,2026-06-01+bar胜率%,2026-06-01+总交易成本%,filter_name,filter_params,param_1,param_2,param_3,param_4,param_5
110.0,roc_higher0^110,2026-03-01 23:00:00,2026-06-17 23:45:00,30.31,144.606,44.043,1.521,1.884,3.283,95.075,4.976,0.507,213.0,33.803,2.547,49.831,0.0,-11.742,-285.492,44.043,-2.109,-2.676,-6.482,135.377,7.086,0.455,66.0,34.848,1.67,50.098,0.0,15.664,487.701,19.316,5.549,6.502,25.249,87.887,4.6,0.566,53.0,37.736,2.492,50.621,0.0,6.288,105.085,11.765,1.594,2.192,8.932,65.926,3.451,0.419,74.0,25.676,3.704,48.075,0.0,20.11,5024.786,6.89,85.043,116.675,729.236,59.085,3.093,0.739,23.0,43.478,4.917,50.92,0.0,roc_higher0,[110],,,,,
200.0,roc_higher0^200,2026-03-01 23:00:00,2026-06-17 23:45:00,52.417,315.341,51.092,3.32,4.239,6.172,94.987,4.972,0.761,142.0,42.958,2.146,50.014,0.0,-13.908,-386.788,51.092,-2.862,-3.552,-7.57,135.162,7.075,0.639,47.0,40.426,1.136,51.083,0.0,40.858,6368.433,12.425,72.497,105.754,512.562,87.844,4.598,1.035,29.0,44.828,4.964,50.259,0.0,16.25,489.135,8.805,7.421,9.738,55.551,65.916,3.45,0.633,49.0,48.98,2.082,49.48,0.0,8.083,431.225,12.148,7.291,9.712,35.499,59.142,3.096,0.85,20.0,30.0,4.421,48.662,0.0,roc_higher0,[200],,,,,
40.0,aroon_diff_higher0^40,2026-03-01 23:00:00,2026-06-17 23:45:00,14.054,55.941,35.921,0.589,0.818,1.557,95.007,4.973,0.543,199.0,36.683,1.975,49.181,0.0,12.835,333.899,31.835,2.47,3.896,10.488,135.204,7.077,0.493,61.0,40.984,1.842,49.656,0.0,1.033,13.323,22.527,0.152,0.184,0.591,87.88,4.6,0.492,61.0,34.426,2.038,49.224,0.0,5.494,87.747,17.529,1.331,1.95,5.006,65.931,3.451,0.646,48.0,33.333,2.421,48.439,0.0,-5.154,-194.402,14.882,-3.288,-3.749,-13.063,59.132,3.095,0.531,32.0,34.375,1.583,49.498,0.0,aroon_diff_higher0,[40],,,,,
110.0,aroon_diff_higher0^110,2026-03-01 23:00:00,2026-06-17 23:45:00,75.585,569.944,44.745,5.999,7.797,12.738,95.01,4.973,1.566,69.0,44.928,2.134,50.056,0.0,-7.107,-130.367,44.745,-0.964,-1.224,-2.914,135.241,7.079,1.252,24.0,33.333,1.952,50.098,0.0,44.265,8552.19,10.752,97.359,140.529,795.429,87.841,4.598,1.579,19.0,52.632,2.934,50.776,0.0,5.869,95.765,12.682,1.453,1.974,7.551,65.918,3.45,1.55,20.0,35.0,2.418,48.959,0.0,23.77,9665.704,6.075,163.677,238.688,1591.11,59.054,3.091,1.889,9.0,66.667,2.778,50.585,0.0,aroon_diff_higher0,[110],,,,,
210.0,price_higher_sma^210,2026-03-01 23:00:00,2026-06-17 23:45:00,30.188,143.838,40.373,1.514,1.872,3.563,95.02,4.974,0.761,142.0,20.423,5.547,49.873,0.0,3.178,46.259,40.373,0.342,0.435,1.146,135.243,7.079,0.791,38.0,15.789,7.069,50.935,0.0,19.197,747.668,21.507,8.508,10.026,34.764,87.882,4.6,0.75,40.0,25.0,5.342,50.518,0.0,-7.569,-136.158,15.835,-2.066,-2.69,-8.598,65.919,3.45,0.608,51.0,19.608,3.283,47.763,0.0,14.535,1746.07,11.784,29.541,39.272,148.168,59.106,3.094,1.063,16.0,25.0,7.629,50.418,0.0,price_higher_sma,[210],,,,,
35.0,price_higher_sma^35,2026-03-01 23:00:00,2026-06-17 23:45:00,43.914,242.114,27.537,2.549,3.544,8.792,95.002,4.973,0.19,570.0,21.93,4.317,48.814,0.0,25.036,1411.358,26.852,10.44,16.588,52.561,135.186,7.076,0.188,160.0,21.25,5.051,49.409,0.0,17.115,584.035,16.656,6.646,8.321,35.064,87.871,4.599,0.179,168.0,21.429,4.618,48.395,0.0,-10.463,-222.852,16.534,-3.381,-4.268,-13.479,65.922,3.451,0.208,149.0,22.148,2.989,47.138,0.0,9.771,641.038,7.216,10.839,13.946,88.833,59.143,3.096,0.177,96.0,23.958,4.558,51.171,0.0,price_higher_sma,[35],,,,,
50.0,price_higher_ema^50,2026-03-01 23:00:00,2026-06-17 23:45:00,17.633,73.097,31.12,0.773,1.077,2.349,94.598,4.951,0.202,536.0,19.216,4.837,48.616,0.0,4.675,74.252,28.639,0.549,0.866,2.593,135.16,7.075,0.183,164.0,20.122,4.65,48.917,0.0,8.967,184.389,18.543,2.097,2.578,9.944,87.91,4.601,0.195,154.0,16.234,6.161,48.085,0.0,-4.703,-71.815,18.797,-1.124,-1.555,-3.821,63.897,3.345,0.203,153.0,18.301,4.171,47.086,0.0,8.23,446.888,8.672,7.556,9.551,51.532,59.141,3.096,0.25,68.0,27.941,3.617,51.421,0.0,price_higher_ema,[50],,,,,
14.0,price_higher_ema^14,2026-03-01 23:00:00,2026-06-17 23:45:00,30.323,144.692,37.224,1.527,2.218,3.887,94.755,4.96,0.098,1102.0,26.679,3.067,47.783,0.0,63.87,40360.973,18.74,298.666,507.925,2153.722,135.138,7.073,0.107,280.0,31.786,3.201,49.262,0.0,-3.601,-53.818,17.287,-0.612,-0.763,-3.113,87.866,4.599,0.099,304.0,25.658,2.867,47.878,0.0,-18.592,-645.121,25.518,-9.974,-13.098,-25.281,64.678,3.385,0.093,333.0,25.526,2.307,45.525,0.0,1.349,33.366,11.857,0.564,0.774,2.814,59.132,3.095,0.09,188.0,22.872,3.539,48.746,0.0,price_higher_ema,[14],,,,,
230.0,sma_fast_higher_slow^230^598,2026-03-01 23:00:00,2026-06-17 23:45:00,37.668,194.485,45.484,2.047,2.529,4.276,95.011,4.973,8.311,13.0,53.846,1.898,50.127,0.0,8.314,163.974,38.168,1.213,1.551,4.296,135.211,7.077,5.008,6.0,50.0,1.479,51.526,0.0,11.095,259.867,24.398,2.957,3.217,10.651,87.889,4.6,10.002,3.0,66.667,2.156,50.983,0.0,5.022,78.086,13.157,1.184,1.701,5.935,65.942,3.452,7.751,4.0,50.0,2.442,48.439,0.0,8.927,527.806,11.731,8.928,13.564,44.992,59.12,3.094,5.668,3.0,33.333,3.626,49.08,0.0,sma_fast_higher_slow,[230 598],598,,,,
30.0,sma_fast_higher_slow^30^60,2026-03-01 23:00:00,2026-06-17 23:45:00,60.284,392.325,32.882,4.129,5.355,11.931,95.009,4.973,0.886,122.0,43.443,1.922,49.435,0.0,4.875,78.339,30.904,0.579,0.79,2.535,135.214,7.077,0.751,40.0,32.5,2.517,50.049,0.0,22.618,1096.179,12.669,12.474,14.92,86.526,87.879,4.6,0.909,33.0,54.545,1.412,50.052,0.0,19.749,735.423,15.929,11.155,16.507,46.168,65.926,3.451,0.969,32.0,46.875,2.367,48.283,0.0,4.095,136.827,7.918,2.314,2.756,17.28,59.127,3.095,0.85,20.0,35.0,2.438,49.247,0.0,sma_fast_higher_slow,[30 60],60,,,,
14.0,ema_fast_higher_slow^14^22,2026-03-01 23:00:00,2026-06-17 23:45:00,39.341,206.752,34.957,2.176,3.027,5.914,95.013,4.973,0.491,220.0,31.364,2.742,49.449,0.0,6.971,126.831,32.645,0.938,1.446,3.885,135.221,7.078,0.455,66.0,31.818,2.6,49.656,0.0,28.516,2018.85,18.013,22.975,29.037,112.077,87.873,4.599,0.484,62.0,30.645,3.527,49.327,0.0,-6.206,-103.223,18.846,-1.566,-2.217,-5.477,65.934,3.451,0.477,65.0,29.231,2.188,47.711,0.0,8.073,430.097,6.864,7.277,8.784,62.661,59.104,3.094,0.567,30.0,40.0,2.248,52.09,0.0,ema_fast_higher_slow,[14 22],22,,,,
45.0,ema_fast_higher_slow^45^81,2026-03-01 23:00:00,2026-06-17 23:45:00,61.182,401.708,22.858,4.228,5.417,17.574,95.011,4.973,2.001,54.0,38.889,2.99,49.958,0.0,27.452,1807.236,22.858,13.369,18.014,79.063,135.181,7.076,2.146,14.0,28.571,6.524,50.886,0.0,7.249,134.389,21.913,1.529,1.785,6.133,87.892,4.6,1.579,19.0,31.579,3.01,50.104,0.0,-0.306,-3.664,13.751,-0.056,-0.075,-0.266,65.995,3.454,2.067,15.0,46.667,1.308,48.647,0.0,18.302,3599.263,8.683,60.92,85.212,414.497,59.081,3.092,2.125,8.0,62.5,2.449,50.251,0.0,ema_fast_higher_slow,[45 81],81,,,,
160.0,smacd_increase^160^416,2026-03-01 23:00:00,2026-06-17 23:45:00,35.46,178.834,40.74,1.887,2.644,4.39,94.76,4.96,0.8,135.0,43.704,1.759,49.139,0.0,-9.443,-199.421,40.74,-1.475,-2.147,-4.895,135.206,7.077,0.556,54.0,38.889,1.46,48.524,0.0,41.057,6480.696,13.822,73.774,107.12,468.867,87.845,4.598,1.25,24.0,58.333,2.552,50.311,0.0,2.45,32.99,11.984,0.51,0.694,2.753,64.68,3.386,0.861,36.0,44.444,1.509,49.168,0.0,3.542,111.233,15.494,1.881,2.54,7.179,59.145,3.096,0.708,24.0,37.5,2.026,48.244,0.0,smacd_increase,[160 416],416,,,,
55.0,smacd_increase^55^88,2026-03-01 23:00:00,2026-06-17 23:45:00,138.775,1792.741,26.709,18.878,26.499,67.12,94.967,4.971,0.264,409.0,45.721,1.747,50.056,0.0,2.118,29.005,26.709,0.215,0.33,1.086,135.21,7.077,0.252,119.0,42.857,1.444,49.508,0.0,51.945,16166.543,17.227,184.058,229.334,938.417,87.834,4.597,0.278,108.0,46.296,2.293,50.518,0.0,27.185,1598.443,14.637,24.296,36.668,109.206,65.79,3.444,0.279,111.0,45.045,2.153,49.792,0.0,20.971,5874.213,7.484,99.453,137.851,784.95,59.065,3.092,0.233,73.0,50.685,2.104,50.669,0.0,smacd_increase,[55 88],88,,,,
6.0,emacd_increase^6^11,2026-03-01 23:00:00,2026-06-17 23:45:00,24.662,110.598,27.641,1.232,1.754,4.001,89.767,4.699,0.052,2080.0,34.519,2.006,47.642,0.0,-4.648,-73.712,27.641,-0.599,-0.851,-2.667,123.133,6.445,0.051,588.0,35.544,1.825,48.622,0.0,28.754,2067.07,19.237,23.786,38.364,107.451,86.901,4.549,0.054,555.0,36.396,2.064,47.671,0.0,13.334,336.778,11.857,5.221,7.331,28.404,64.501,3.376,0.054,569.0,34.446,2.138,46.93,0.0,-10.394,-736.861,18.075,-12.472,-16.493,-40.767,59.081,3.092,0.046,370.0,30.541,1.977,47.074,0.0,emacd_increase,[ 6 11],11,,,,
130.0,emacd_increase^130^234,2026-03-01 23:00:00,2026-06-17 23:45:00,45.098,251.722,19.712,2.649,3.741,12.77,95.01,4.973,0.408,265.0,23.019,4.429,49.04,0.0,22.012,1022.331,19.712,7.562,12.109,51.864,135.202,7.077,0.32,94.0,22.34,5.092,49.114,0.0,8.387,166.498,19.089,1.894,2.305,8.722,87.892,4.6,0.448,67.0,17.91,5.591,49.12,0.0,2.107,27.841,13.829,0.422,0.606,2.013,65.917,3.45,0.443,70.0,27.143,2.998,47.971,0.0,7.465,369.577,7.823,6.246,8.214,47.241,59.167,3.097,0.46,37.0,29.73,3.402,50.502,0.0,emacd_increase,[130 234],234,,,,
110.0,smacd_histogram_increase^110^308^154,2026-03-01 23:00:00,2026-06-17 23:45:00,79.623,623.431,35.93,6.568,8.86,17.351,94.923,4.968,0.756,143.0,38.462,2.521,49.28,0.0,-8.2,-160.62,35.93,-1.188,-1.67,-4.47,135.228,7.078,0.601,50.0,24.0,3.176,48.031,0.0,44.805,8954.688,15.233,101.944,122.228,587.832,87.839,4.598,1.111,27.0,51.852,2.779,51.346,0.0,23.638,1117.219,10.814,17.061,28.801,103.314,65.483,3.428,0.62,50.0,42.0,2.716,48.127,0.0,9.301,575.733,9.023,9.737,14.688,63.806,59.131,3.095,0.895,19.0,52.632,1.481,49.916,0.0,smacd_histogram_increase,[110 308 154],308,154,,,
55.0,smacd_histogram_increase^55^99^38,2026-03-01 23:00:00,2026-06-17 23:45:00,268.845,8125.601,25.273,85.764,127.81,321.51,94.744,4.959,0.262,413.0,47.215,1.924,50.212,0.0,88.962,228490.831,25.273,1691.42,2876.055,9040.83,135.088,7.071,0.289,104.0,45.192,2.361,50.246,0.0,63.4,39296.287,11.818,447.287,562.692,3325.1,87.855,4.599,0.297,101.0,54.455,1.742,52.019,0.0,15.68,455.973,15.652,6.963,10.668,29.131,65.49,3.428,0.231,134.0,46.269,1.555,49.272,0.0,3.258,99.133,8.293,1.719,2.348,11.954,57.677,3.019,0.221,77.0,42.857,1.514,48.746,0.0,smacd_histogram_increase,[55 99 38],99,38,,,
170.0,emacd_histogram_increase^170^238^119,2026-03-01 23:00:00,2026-06-17 23:45:00,29.771,141.206,39.716,1.486,2.051,3.555,95.0,4.973,0.35,309.0,24.595,3.72,48.941,0.0,42.968,7605.315,18.406,56.272,92.004,413.204,135.153,7.074,0.313,96.0,31.25,3.919,48.622,0.0,5.628,94.715,31.352,1.078,1.274,3.021,87.887,4.6,0.33,91.0,21.978,4.056,49.224,0.0,-15.677,-455.842,28.671,-6.915,-8.822,-15.899,65.921,3.45,0.337,92.0,19.565,3.068,47.919,0.0,1.919,50.425,13.016,0.853,1.009,3.874,59.138,3.095,0.515,33.0,33.333,2.24,50.669,0.0,emacd_histogram_increase,[170 238 119],238,119,,,
