param_0,entry_name,params,signal_id,总月份数,有效月份数,总信号数量,总信号密度,score,w20_有效信号数,w20_平均收益%,w20_收益标准差%,w20_胜率%,w20_盈亏比,w20_稳定性,w20_收益衰减率%,w20_score,w40_有效信号数,w40_平均收益%,w40_收益标准差%,w40_胜率%,w40_盈亏比,w40_稳定性,w40_收益衰减率%,w40_score,w60_有效信号数,w60_平均收益%,w60_收益标准差%,w60_胜率%,w60_盈亏比,w60_稳定性,w60_收益衰减率%,w60_score,param_1,param_2,param_3
10.0,price_crossover_ema,[10],price_crossover_ema^10,4,4,659,0.093,0.055203479236092395,657,0.109,3.015,51.75,1.06,0.036,-113.58234295415959,0.07657584411276949,657,0.087,3.489,51.75,1.005,0.025,-147.65217391304347,0.06105185726569217,655,-0.007,4.065,51.298,0.945,0.002,-369.6969696969697,-0.007,,,
12.0,price_crossover_ema,[12],price_crossover_ema^12,4,4,607,0.086,0.06544177265379478,605,0.079,2.923,51.736,1.024,0.027,-130.26315789473685,0.05544945945945945,605,0.139,3.538,53.058,0.996,0.039,-76.25698324022346,0.0976822696438666,603,0.06,4.077,52.902,0.927,0.015,-222.4924012158055,0.042061810154525384,,,
18.0,rvi_crossover_signal,[18 13],rvi_crossover_signal^18^13,4,4,767,0.108,0.12594777232007315,765,0.088,2.405,52.549,1.009,0.037,-172.07792207792204,0.06182539708939708,764,0.229,3.623,50.785,1.173,0.063,-131.1627906976744,0.16131321280706598,761,0.331,5.094,51.248,1.169,0.065,-113.79310344827587,0.23320554966627405,13,,
20.0,rvi_crossover_signal,[20 12],rvi_crossover_signal^20^12,4,4,767,0.108,0.13541493835217366,764,0.107,2.443,52.356,1.039,0.044,-159.37499999999997,0.07522805157593122,763,0.236,3.623,50.852,1.176,0.065,-134.87957181088316,0.1662761026773392,760,0.34,5.088,51.316,1.172,0.067,-122.06896551724138,0.23959040880503146,12,,
110.0,price_crossover_sma,[110],price_crossover_sma^110,4,4,131,0.018,0.2074413551235829,130,0.057,2.458,55.385,0.859,0.023,-430.63291139240494,0.039992526444263626,127,0.619,3.215,59.055,1.148,0.193,-73.45013477088949,0.4416425412130637,125,0.389,4.303,59.2,0.874,0.09,-160.87662337662337,0.2747616476876598,,,
80.0,adx_plus_crossover_minus,[80],adx_plus_crossover_minus^80,4,4,115,0.016,0.2598621521383314,114,0.083,2.394,58.772,0.775,0.035,-88.99082568807337,0.05830143274853801,113,0.367,2.868,57.522,1.049,0.128,215.49738219895295,0.483205149930265,113,0.327,3.809,53.097,1.113,0.086,115.15650741350908,0.42874945392491465,,,
170.0,emacd_histogram_start_increase_2,[170 442 102],emacd_histogram_start_increase_2^170^442^102,4,4,133,0.019,0.26479542350718815,133,0.172,2.127,47.368,1.378,0.081,75.49668874172184,0.2254081429243065,133,0.228,3.395,51.128,1.157,0.067,117.72665764546684,0.29839055081001475,133,0.442,3.94,54.135,1.158,0.112,-143.98519432449103,0.31287093401015226,442,102,
20.0,kc_price_crossover_low_2,[20.   8.   1.5],kc_price_crossover_low_2^20.0^8.0^1.5,4,0,1,0.0,0.28168,1,0.452,0.0,100.0,100.0,0.0,-1.0,0.3164,1,0.0,0.0,0.0,100.0,0.0,-1.0,0.0,1,0.882,0.0,100.0,100.0,0.0,-1.0,0.6174,8.0,1.5,
190.0,emacd_histogram_start_increase_2,[190 532 209],emacd_histogram_start_increase_2^190^532^209,4,3,93,0.013,0.30547063365200927,93,0.075,2.265,47.312,1.217,0.033,0.0,0.07524834437086092,93,0.416,3.618,51.613,1.308,0.115,437.81250000000006,0.5470181536760641,93,0.729,4.426,53.763,1.334,0.165,-175.43999999999997,0.518705076818798,532,209,
160.0,price_crossover_sma,[160],price_crossover_sma^160,4,4,111,0.016,0.30583690784785034,111,0.003,2.439,55.856,0.793,0.001,186.3157894736842,0.0039004797047970485,110,0.629,3.166,59.091,1.202,0.199,71.45336225596532,0.8339455243209098,110,0.38,4.019,53.636,1.113,0.095,-39.44020356234096,0.2685150534958945,,,
160.0,price_crossover_sma_2,[160],price_crossover_sma_2^160,4,4,83,0.012,0.3211458556865233,83,0.263,2.633,61.446,0.846,0.1,-31.104432757325323,0.18593890239270794,83,0.855,3.668,61.446,1.191,0.233,-63.90644753476612,0.6124508587786259,83,0.315,4.072,56.627,0.942,0.077,-101.53601694915253,0.22220573428290769,,,
140.0,adx_plus_crossover_minus,[140],adx_plus_crossover_minus^140,4,3,66,0.009,0.3302649994683987,66,0.555,1.954,65.152,1.047,0.284,-22.35,0.39953467246673496,66,0.387,2.54,60.606,0.938,0.152,-111.86161449752883,0.27502749212598426,66,0.339,3.039,57.576,0.968,0.112,-131.20104438642295,0.23994707798617965,,,
60.0,rsi_fast_crossover_slow,[ 60 168],rsi_fast_crossover_slow^60^168,4,4,183,0.026,0.383624044188307,183,0.091,1.768,49.18,1.182,0.051,128.8659793814433,0.11890889705882353,183,0.323,3.529,60.656,0.839,0.092,77.93594306049823,0.4237432332105413,183,0.745,4.312,63.934,0.903,0.173,10.013003901170354,0.9852331284786643,168,,
130.0,mass_crossover1,[130  78],mass_crossover1^130^78,4,0,28,0.004,0.39966658504025876,28,0.496,3.688,60.714,1.062,0.134,-1.0,0.3518695010845987,27,0.488,4.021,59.259,0.996,0.121,-1.0,0.3457457547873663,27,0.842,4.664,70.37,0.716,0.181,-1.0,0.6000405403087479,78,,
70.0,rsi_fast_crossover_slow,[ 70 196],rsi_fast_crossover_slow^70^196,4,4,164,0.023,0.41151538959849177,164,0.049,1.958,46.951,1.207,0.025,-64.77272727272727,0.03438583758937692,164,0.488,3.745,62.805,0.854,0.13,61.79615110477547,0.6426666809078772,163,0.762,4.437,65.644,0.831,0.172,50.06553079947575,1.0076123326572008,196,,
130.0,trix_start_increase,[130],trix_start_increase^130,4,0,24,0.003,0.4119556469047145,24,0.484,2.098,62.5,1.164,0.231,-1.0,0.3466159771210677,24,0.597,2.481,62.5,1.08,0.241,-1.0,0.427955876662636,23,0.77,3.373,56.522,1.349,0.228,-1.0,0.5513044767269493,,,
8.0,second_wave_trend_1,[8],second_wave_trend_1^8,4,4,93,0.013,0.45783142645973185,93,0.442,3.554,53.763,1.408,0.124,219.87740805604204,0.581746122678672,92,0.114,3.198,54.348,0.928,0.036,267.8571428571429,0.14872829268292684,92,0.464,3.293,56.522,1.1,0.141,56.62033650329188,0.6116993865775889,,,
