param_0,策略名称,开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,2026-03-01+总收益率%,2026-03-01+年化收益率%,2026-03-01+最大回撤%,2026-03-01+sharpe比率,2026-03-01+sortino比率,2026-03-01+calmar比率,2026-03-01+年化波动率%,2026-03-01+日波动率%,2026-03-01+均持天数,2026-03-01+交易次数,2026-03-01+交易胜率%,2026-03-01+盈亏比,2026-03-01+bar胜率%,2026-03-01+总交易成本%,2026-04-01+总收益率%,2026-04-01+年化收益率%,2026-04-01+最大回撤%,2026-04-01+sharpe比率,2026-04-01+sortino比率,2026-04-01+calmar比率,2026-04-01+年化波动率%,2026-04-01+日波动率%,2026-04-01+均持天数,2026-04-01+交易次数,2026-04-01+交易胜率%,2026-04-01+盈亏比,2026-04-01+bar胜率%,2026-04-01+总交易成本%,2026-05-01+总收益率%,2026-05-01+年化收益率%,2026-05-01+最大回撤%,2026-05-01+sharpe比率,2026-05-01+sortino比率,2026-05-01+calmar比率,2026-05-01+年化波动率%,2026-05-01+日波动率%,2026-05-01+均持天数,2026-05-01+交易次数,2026-05-01+交易胜率%,2026-05-01+盈亏比,2026-05-01+bar胜率%,2026-05-01+总交易成本%,2026-06-01+总收益率%,2026-06-01+年化收益率%,2026-06-01+最大回撤%,2026-06-01+sharpe比率,2026-06-01+sortino比率,2026-06-01+calmar比率,2026-06-01+年化波动率%,2026-06-01+日波动率%,2026-06-01+均持天数,2026-06-01+交易次数,2026-06-01+交易胜率%,2026-06-01+盈亏比,2026-06-01+bar胜率%,2026-06-01+总交易成本%,filter_name,filter_params,param_1,param_2,param_3,param_4,param_5
18.0,roc_higher0^18,2026-03-01 23:00:00,2026-06-17 23:45:00,18.532,77.611,16.787,2.43,3.585,4.623,31.934,1.672,0.138,782.0,34.655,2.2,48.108,0.0,31.503,2689.699,5.596,59.642,93.592,480.681,45.097,2.36,0.144,209.0,41.148,2.79,48.425,0.0,1.659,22.168,5.077,0.861,1.308,4.366,25.735,1.347,0.141,213.0,36.15,1.883,48.81,0.0,-7.718,-140.056,15.339,-6.444,-9.423,-9.131,21.733,1.138,0.125,248.0,28.629,1.879,47.294,0.0,-3.925,-128.652,6.272,-4.418,-5.612,-20.514,29.123,1.524,0.148,115.0,33.043,1.64,47.659,0.0,roc_higher0,[18],,,,,
16.0,roc_higher0^16,2026-03-01 23:00:00,2026-06-17 23:45:00,28.858,135.52,12.781,4.222,6.212,10.603,32.099,1.68,0.136,796.0,34.045,2.403,48.814,0.0,26.223,1595.247,7.811,35.446,54.722,204.228,45.005,2.356,0.141,213.0,40.376,2.499,49.163,0.0,2.222,30.664,4.943,1.192,1.811,6.204,25.734,1.347,0.141,213.0,31.925,2.319,48.551,0.0,-5.394,-85.672,12.781,-3.902,-5.655,-6.703,21.958,1.149,0.125,248.0,31.048,1.846,48.439,0.0,5.556,219.537,3.747,7.256,9.763,58.585,30.257,1.584,0.136,125.0,33.6,2.643,49.164,0.0,roc_higher0,[16],,,,,
16.0,aroon_diff_higher0^16,2026-03-01 23:00:00,2026-06-17 23:45:00,23.352,103.214,12.061,3.212,4.575,8.557,32.133,1.682,0.227,476.0,37.395,2.064,48.828,0.0,30.42,2422.773,5.665,53.654,81.828,427.679,45.155,2.364,0.24,125.0,45.6,2.479,49.311,0.0,1.742,23.393,6.082,0.909,1.37,3.846,25.732,1.347,0.236,127.0,36.22,1.898,48.81,0.0,-2.859,-39.37,9.032,-1.804,-2.584,-4.359,21.828,1.143,0.225,138.0,34.783,1.677,48.699,0.0,-4.309,-147.531,7.5,-4.88,-5.757,-19.672,30.232,1.582,0.191,89.0,32.584,1.623,48.161,0.0,aroon_diff_higher0,[16],,,,,
25.0,aroon_diff_higher0^25,2026-03-01 23:00:00,2026-06-17 23:45:00,33.188,163.348,9.76,5.084,6.689,16.737,32.13,1.682,0.351,308.0,40.909,2.064,49.35,0.0,18.113,656.322,9.76,14.53,18.176,67.247,45.17,2.364,0.338,89.0,41.573,2.49,50.098,0.0,2.268,31.378,6.238,1.22,1.915,5.03,25.729,1.347,0.33,91.0,43.956,1.425,48.188,0.0,10.292,217.026,4.036,9.933,15.75,53.767,21.849,1.144,0.398,78.0,37.179,2.997,49.688,0.0,-0.033,-0.706,4.642,-0.023,-0.03,-0.152,30.233,1.582,0.321,53.0,37.736,1.67,49.331,0.0,aroon_diff_higher0,[25],,,,,
10.0,price_higher_sma^10,2026-03-01 23:00:00,2026-06-17 23:45:00,12.663,49.607,11.516,1.553,2.252,4.308,31.944,1.672,0.087,1241.0,27.961,2.8,47.811,0.0,16.688,552.56,10.732,12.272,18.591,51.489,45.025,2.357,0.089,337.0,31.751,2.82,47.343,0.0,-4.906,-79.116,10.458,-3.071,-4.528,-7.565,25.758,1.348,0.085,353.0,25.496,2.605,47.205,0.0,-2.153,-28.514,9.523,-1.298,-1.975,-2.994,21.962,1.15,0.09,344.0,26.163,2.676,47.815,0.0,3.77,121.456,5.158,4.169,5.437,23.546,29.133,1.525,0.081,209.0,28.708,2.901,49.582,0.0,price_higher_sma,[10],,,,,
20.0,price_higher_sma^20,2026-03-01 23:00:00,2026-06-17 23:45:00,19.489,82.501,10.736,2.583,3.731,7.685,31.935,1.672,0.132,819.0,25.275,3.439,48.207,0.0,17.843,635.554,10.736,14.115,21.181,59.199,45.028,2.357,0.132,227.0,29.075,3.43,47.539,0.0,-1.009,-12.993,7.704,-0.505,-0.761,-1.687,25.732,1.347,0.131,229.0,23.144,3.245,48.24,0.0,-2.16,-28.625,10.006,-1.305,-1.979,-2.861,21.941,1.148,0.129,240.0,23.333,3.061,48.023,0.0,4.685,167.421,4.288,5.745,7.401,39.047,29.14,1.525,0.135,126.0,26.19,3.655,49.498,0.0,price_higher_sma,[20],,,,,
190.0,price_higher_ema^190,2026-03-01 23:00:00,2026-06-17 23:45:00,13.359,52.753,16.376,1.64,2.098,3.221,32.173,1.684,0.4,270.0,13.704,8.542,49.139,0.0,15.789,494.015,9.618,10.934,13.708,51.361,45.18,2.365,0.567,53.0,16.981,12.534,50.049,0.0,-6.083,-105.18,11.322,-4.082,-5.765,-9.29,25.765,1.349,0.303,99.0,11.111,4.715,48.344,0.0,-3.92,-57.289,7.973,-2.606,-3.669,-7.185,21.982,1.151,0.313,99.0,11.111,5.799,48.491,0.0,8.499,476.842,3.778,15.771,19.496,126.225,30.235,1.583,0.773,22.0,27.273,11.493,49.916,0.0,price_higher_ema,[190],,,,,
20.0,price_higher_ema^20,2026-03-01 23:00:00,2026-06-17 23:45:00,16.135,65.761,11.205,2.059,2.995,5.869,31.936,1.672,0.113,956.0,23.013,3.816,47.741,0.0,13.045,343.84,8.834,7.636,11.543,38.921,45.03,2.357,0.11,273.0,23.81,4.153,47.195,0.0,-1.358,-17.845,6.944,-0.694,-1.072,-2.57,25.73,1.347,0.107,281.0,21.708,3.481,46.894,0.0,-2.248,-29.935,9.425,-1.363,-2.064,-3.176,21.96,1.149,0.115,270.0,22.963,3.11,47.763,0.0,6.536,289.679,3.796,9.946,12.77,76.321,29.126,1.525,0.126,135.0,25.185,4.408,49.916,0.0,price_higher_ema,[20],,,,,
25.0,sma_fast_higher_slow^25^35,2026-03-01 23:00:00,2026-06-17 23:45:00,16.009,65.154,17.588,2.029,2.534,3.704,32.112,1.681,0.443,244.0,44.672,1.523,49.774,0.0,-4.116,-63.262,17.588,-1.401,-1.673,-3.597,45.158,2.364,0.401,75.0,41.333,1.286,50.148,0.0,13.682,376.231,4.186,14.702,23.571,89.873,25.591,1.34,0.448,67.0,53.731,1.812,49.534,0.0,3.461,49.295,5.194,2.247,3.413,9.49,21.939,1.148,0.47,66.0,43.939,1.602,48.595,0.0,2.86,83.26,4.401,2.754,3.178,18.92,30.233,1.582,0.436,39.0,38.462,1.981,51.338,0.0,sma_fast_higher_slow,[25 35],35,,,,
12.0,sma_fast_higher_slow^12^22,2026-03-01 23:00:00,2026-06-17 23:45:00,25.55,115.709,6.902,3.615,5.122,16.765,32.007,1.675,0.302,358.0,41.899,1.782,49.181,0.0,27.301,1779.904,6.902,39.401,60.129,257.891,45.174,2.365,0.297,101.0,44.554,2.463,48.917,0.0,-1.73,-23.215,6.841,-0.901,-1.279,-3.393,25.773,1.349,0.297,101.0,39.604,1.437,48.965,0.0,2.352,31.49,6.395,1.435,2.033,4.924,21.942,1.149,0.323,96.0,41.667,1.584,49.792,0.0,-1.951,-51.468,4.296,-1.767,-2.153,-11.979,29.133,1.525,0.27,63.0,41.27,1.252,48.913,0.0,sma_fast_higher_slow,[12 22],22,,,,
