param_0,entry_name,params,signal_id,总月份数,有效月份数,总信号数量,总信号密度,score,w20_有效信号数,w20_平均收益%,w20_收益标准差%,w20_胜率%,w20_盈亏比,w20_稳定性,w20_收益衰减率%,w20_score,w40_有效信号数,w40_平均收益%,w40_收益标准差%,w40_胜率%,w40_盈亏比,w40_稳定性,w40_收益衰减率%,w40_score,w60_有效信号数,w60_平均收益%,w60_收益标准差%,w60_胜率%,w60_盈亏比,w60_稳定性,w60_收益衰减率%,w60_score,param_1,param_2,param_3
80.0,mass_crossover1,[80 72],mass_crossover1^80^72,4,2,36,0.005,-0.048799999999999996,35,-0.001,0.729,40.0,1.494,0.001,-1.0,-0.001,35,-0.113,1.106,42.857,1.042,0.102,-1.0,-0.113,35,-0.072,1.247,42.857,1.159,0.058,-1.0,-0.072,72,,
90.0,mass_crossover1,[90 27],mass_crossover1^90^27,4,2,45,0.006,-0.030399387978142078,45,0.004,0.915,48.889,1.058,0.004,-1.0,0.0028012240437158466,44,-0.036,1.414,47.727,1.016,0.025,-1.0,-0.036,44,-0.105,1.705,43.182,1.093,0.062,-1.0,-0.105,27,,
100.0,adx_plus_crossover_minus,[100],adx_plus_crossover_minus^100,4,4,75,0.011,-0.023207294444444446,75,0.079,0.9,53.333,1.102,0.088,-167.55646817248459,0.055785411111111106,74,-0.109,1.249,54.054,0.676,0.087,-1877.6470588235295,-0.109,71,-0.092,1.625,52.113,0.785,0.057,0.0,-0.092,,,
230.0,kc_price_crossover_low_2,[230.  276.    3.9],kc_price_crossover_low_2^230.0^276.0^3.8999999999999995,4,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,276.0,3.8999999999999995,
90.0,adx_plus_crossover_minus,[90],adx_plus_crossover_minus^90,4,4,73,0.01,0.0032484150513112896,73,0.106,0.877,52.055,1.284,0.121,-116.95804195804196,0.07509683010262258,72,-0.043,1.254,54.167,0.773,0.034,-521.4953271028039,-0.043,70,-0.107,1.65,52.857,0.745,0.065,0.0,-0.107,,,
20.0,price_crossover_ema,[20],price_crossover_ema^20,4,4,477,0.067,0.02270689650837989,476,0.038,0.895,47.059,1.269,0.042,720.0,0.049609743016759786,476,0.009,1.2,48.319,1.091,0.007,0.0,0.009006749999999999,474,-0.024,1.48,48.523,1.016,0.016,0.0,-0.024,,,
50.0,aroon_diff_crossover0,[50],aroon_diff_crossover0^50,4,4,72,0.01,0.02502460414453377,72,0.027,0.802,54.167,0.941,0.034,-328.3018867924528,0.018963628428927678,71,0.017,1.287,50.704,1.008,0.013,0.0,0.01702245532245532,71,0.052,1.5,50.704,1.069,0.035,0.0,0.05218026666666667,,,
140.0,emacd_histogram_start_increase_2,[140 364  98],emacd_histogram_start_increase_2^140^364^98,4,4,136,0.019,0.027798284324175405,136,0.067,0.856,50.0,1.258,0.078,-134.93150684931504,0.047267091121495325,135,0.016,1.187,45.185,1.258,0.013,-261.2903225806451,0.011215096882898063,135,0.004,1.526,41.481,1.421,0.003,0.0,0.004001048492791612,364,98,
35.0,trix_start_increase,[35],trix_start_increase^35,4,4,96,0.014,0.028487872340425532,96,0.138,0.846,53.125,1.438,0.163,-120.54794520547946,0.09817574468085107,96,-0.016,1.266,46.875,1.095,0.013,-503.3412887828162,-0.016,94,-0.079,1.684,48.936,0.917,0.047,-1784.2105263157894,-0.079,,,
25.0,price_crossover_ema,[25],price_crossover_ema^25,4,4,419,0.059,0.031700321516954046,419,0.037,0.855,46.778,1.287,0.043,455.8441558441559,0.048308152046783626,419,0.028,1.165,48.687,1.123,0.024,906.3829787234042,0.03648748497854078,417,-0.017,1.441,48.681,1.022,0.012,0.0,-0.017,,,
90.0,aroon_diff_crossover0,[90],aroon_diff_crossover0^90,4,3,40,0.006,0.040385251989730434,40,0.109,0.95,52.5,1.24,0.115,1371.4285714285713,0.14332582105263159,40,0.008,1.066,45.0,1.247,0.008,243.75000000000009,0.01040780487804878,39,-0.172,1.35,38.462,1.106,0.127,0.0,-0.172,,,
180.0,emacd_histogram_start_increase_2,[180 432 126],emacd_histogram_start_increase_2^180^432^126,4,4,87,0.012,0.0405771085080148,87,0.073,0.811,45.977,1.542,0.09,292.68292682926835,0.09575421701602958,86,-0.023,1.121,37.209,1.595,0.021,0.0,-0.023,86,-0.002,1.348,39.535,1.524,0.001,0.0,-0.002,432,126,
230.0,trix_start_increase,[230],trix_start_increase^230,4,0,16,0.002,0.04114023226568729,16,-0.057,0.499,43.75,0.97,0.114,-1.0,-0.057,16,0.276,1.258,62.5,1.161,0.219,-1.0,0.1974387281399046,16,0.074,1.577,37.5,1.885,0.047,-1.0,0.05204306911857958,,,
40.0,roc_crossover0,[40],roc_crossover0^40,4,4,238,0.034,0.05917861407249468,237,0.106,0.938,49.789,1.394,0.113,739.8876404494382,0.13935722814498935,237,-0.003,1.31,44.304,1.249,0.002,0.0,-0.003,236,-0.048,1.674,49.153,0.957,0.029,0.0,-0.048,,,
90.0,rvi_crossover_signal,[90 63],rvi_crossover_signal^90^63,4,4,374,0.053,0.06379288743931878,374,0.09,0.894,52.139,1.237,0.101,102.32558139534882,0.11817785234899328,374,0.029,1.265,49.733,1.077,0.023,-188.82352941176467,0.020346537549407115,370,-0.007,1.49,48.649,1.043,0.005,0.0,-0.007,63,,
100.0,rvi_crossover_signal,[100  80],rvi_crossover_signal^100^80,4,4,344,0.049,0.06531553185920147,344,0.077,0.919,50.581,1.251,0.084,7.26643598615917,0.10093870511425462,344,0.059,1.347,49.128,1.169,0.044,-93.68029739776952,0.04148089829250185,341,0.012,1.508,46.921,1.156,0.008,0.0,0.012009549071618037,80,,
45.0,price_crossover_sma_2,[45],price_crossover_sma_2^45,4,4,219,0.031,0.07001499379905801,219,0.019,0.805,49.315,1.096,0.024,157.89473684210526,0.024758298136645963,218,0.106,1.187,46.33,1.47,0.089,282.2878228782288,0.13903056444818868,218,0.061,1.451,46.789,1.272,0.042,1681.132075471698,0.07963337698139215,,,
30.0,roc_crossover0,[30],roc_crossover0^30,4,4,280,0.04,0.07196328527596815,280,0.042,0.939,52.143,1.044,0.045,0.0,0.042187859424920135,280,0.093,1.349,50.714,1.185,0.069,235.63218390804593,0.12173348406226835,277,0.055,1.595,52.347,0.999,0.034,1836.7346938775504,0.07174655172413792,,,
50.0,price_crossover_sma_2,[50],price_crossover_sma_2^50,4,4,224,0.032,0.07513475666990055,224,0.065,0.868,47.768,1.376,0.075,72.55813953488371,0.08513277649769586,223,0.088,1.216,45.74,1.442,0.072,68.05111821086261,0.1152278947368421,222,-0.01,1.461,41.892,1.363,0.007,0.0,-0.01,,,
45.0,price_crossover_sma,[45],price_crossover_sma^45,4,4,291,0.041,0.08192180263937993,291,0.068,0.828,50.515,1.243,0.082,376.51006711409394,0.08912599033816426,291,0.092,1.186,47.766,1.352,0.078,124.52830188679246,0.12052775716694773,289,0.006,1.499,50.173,1.004,0.004,0.0,0.006002401601067378,,,
10.0,supertrend_long_signal,[10.   3.5],supertrend_long_signal^10.0^3.4999999999999996,4,4,67,0.009,0.08334956618464963,67,0.212,0.899,52.239,1.881,0.236,23.75838926174496,0.28209913236929923,66,-0.123,1.3,46.97,0.863,0.095,0.0,-0.123,66,-0.104,1.508,53.03,0.734,0.069,0.0,-0.104,3.4999999999999996,,
30.0,rsi_fast_crossover_slow,[30 48],rsi_fast_crossover_slow^30^48,4,4,361,0.051,0.08679653351912196,361,0.101,0.834,53.463,1.233,0.121,193.16546762589928,0.13289008393285373,361,0.054,1.243,50.139,1.12,0.043,6.25,0.07050497184231697,358,-0.004,1.525,47.486,1.097,0.003,0.0,-0.004,48,,
80.0,kdj_k_crossover_d,[80 72 56],kdj_k_crossover_d^80^72^56,4,3,53,0.007,0.09331427037037036,53,0.055,0.945,50.943,1.136,0.058,-158.8235294117647,0.03872407407407407,52,0.12,1.296,50.0,1.311,0.093,253.33333333333331,0.15744444444444444,52,0.102,1.36,46.154,1.409,0.075,671.8309859154933,0.1335945,72,56,
12.0,supertrend_long_signal,[12.   3.5],supertrend_long_signal^12.0^3.4999999999999996,4,4,66,0.009,0.09599852323008848,66,0.219,0.904,53.03,1.858,0.242,28.57142857142857,0.291597046460177,65,-0.104,1.281,46.154,0.928,0.081,0.0,-0.104,65,-0.093,1.48,50.769,0.815,0.063,0.0,-0.093,3.4999999999999996,,
55.0,emacd_start_increase,[55 99],emacd_start_increase^55^99,4,4,262,0.037,0.09815921533973414,262,0.142,0.887,50.382,1.596,0.16,97.65807962529274,0.18755526493799324,262,0.036,1.261,50.763,1.049,0.029,-93.03797468354429,0.025271942902458364,261,-0.016,1.555,49.425,0.995,0.01,0.0,-0.016,99,,
25.0,rsi_fast_crossover_slow,[25 60],rsi_fast_crossover_slow^25^60,4,4,362,0.051,0.10088458580218466,362,0.11,0.837,53.591,1.258,0.131,220.27972027972024,0.14487933094384708,362,0.072,1.226,50.276,1.16,0.059,75.33039647577094,0.09414969004893964,359,0.001,1.502,47.354,1.113,0.001,0.0,0.0010000665778961385,60,,
60.0,emacd_start_increase,[60 84],emacd_start_increase^60^84,4,4,273,0.039,0.10216642790095014,273,0.133,0.916,50.916,1.503,0.145,68.67469879518072,0.17541044759825328,273,0.06,1.257,50.183,1.134,0.048,-134.1296928327645,0.04220047732696897,271,0.009,1.527,50.554,0.994,0.006,0.0,0.009005304518664046,84,,
240.0,rsi_crossover50,[240],rsi_crossover50^240,4,3,78,0.011,0.11841237497726778,77,0.081,0.65,54.545,1.163,0.125,-121.80451127819548,0.057406569230769235,77,0.238,0.988,57.143,1.431,0.241,-104.46428571428572,0.17061323886639676,77,0.269,1.171,61.039,1.183,0.23,-112.9591836734694,0.19262559350982067,,,
90.0,kdj_k_crossover_d,[90 54 45],kdj_k_crossover_d^90^54^45,4,3,64,0.009,0.12124287167588797,64,0.041,1.096,40.625,1.625,0.037,-324.8780487804878,0.028807363138686128,63,0.169,1.17,49.206,1.551,0.144,235.2380952380952,0.22287344444444449,63,0.152,1.314,47.619,1.491,0.116,578.8944723618092,0.19988578386605782,54,45,
60.0,price_crossover_sma,[60],price_crossover_sma^60,4,4,237,0.033,0.1332228983601711,237,0.118,0.845,50.211,1.505,0.14,405.88235294117646,0.15554215384615386,237,0.126,1.236,49.789,1.331,0.102,331.00000000000006,0.16546980582524273,236,0.029,1.546,47.458,1.167,0.019,0.0,0.029054398447606728,,,
120.0,trix_crossover0,[120],trix_crossover0^120,4,0,12,0.002,0.14122810014872011,12,0.251,0.756,58.333,1.676,0.332,-1.0,0.18153342592592592,12,0.219,0.911,50.0,1.906,0.24,-1.0,0.15698525795828758,12,0.024,1.388,58.333,0.744,0.017,-1.0,0.016829048991354466,,,
240.0,rvi_crossover0,[240 'EMA'],rvi_crossover0^240^EMA,4,4,121,0.017,0.15064353376259745,120,0.012,0.628,39.167,1.634,0.019,309.99999999999994,0.015629808917197455,120,0.201,1.004,47.5,1.935,0.2,56.213017751479285,0.26653120517928286,120,0.237,1.169,50.833,1.696,0.203,285.08946322067595,0.3143463387510693,EMA,,
120.0,mass_crossunder1,[120  84],mass_crossunder1^120^84,4,0,23,0.003,0.15566676224910003,23,0.245,0.925,47.826,2.517,0.265,-1.0,0.1760424324324324,23,0.247,1.313,52.174,1.526,0.188,-1.0,0.17615257425742575,23,0.105,1.547,52.174,1.086,0.068,-1.0,0.07399886877828053,84,,
140.0,mass_crossunder1,[140  70],mass_crossunder1^140^70,4,1,24,0.003,0.15833219856494385,24,0.297,1.035,50.0,2.467,0.287,-1.0,0.2138658260869565,24,0.23,1.114,50.0,1.723,0.206,-1.0,0.16432405745062836,24,0.015,1.523,45.833,1.211,0.01,-1.0,0.010510341431385423,70,,
230.0,rvi_crossover0,[230 'SMA'],rvi_crossover0^230^SMA,4,4,83,0.012,0.1615561748562114,82,0.124,0.981,58.537,1.106,0.126,3338.7096774193574,0.16323759429153925,82,0.128,1.138,54.878,1.143,0.112,0.0,0.12943971880492092,82,0.156,1.16,51.22,1.385,0.134,752.8610354223433,0.20552731034482757,SMA,,
250.0,rsi_crossover50,[250],rsi_crossover50^250,4,3,75,0.011,0.16461464994646852,74,0.13,0.66,55.405,1.431,0.197,-0.7653061224489794,0.10212577303648733,74,0.301,0.989,62.162,1.396,0.304,-45.729729729729726,0.21711260869565216,74,0.336,1.147,67.568,1.04,0.293,-95.85798816568047,0.24208990409764602,,,
110.0,kc_price_crossover_high,[110.   44.    2.9],kc_price_crossover_high^110.0^44.0^2.8999999999999995,4,4,99,0.014,0.16878847892054588,99,0.061,0.826,51.515,1.171,0.074,-94.20289855072465,0.04301533898305084,97,0.168,1.035,56.701,1.151,0.162,213.1403118040089,0.22194504347826088,97,0.303,1.245,56.701,1.372,0.243,234.68899521531102,0.4034864819277109,44.0,2.8999999999999995,
230.0,kdj_k_crossover50,[230 207],kdj_k_crossover50^230^207,4,0,13,0.002,0.17434406175982628,13,0.135,1.338,38.462,2.15,0.101,-1.0,0.09545347533632288,13,0.377,1.186,61.538,1.578,0.318,-1.0,0.2722887268128162,13,0.314,1.422,61.538,1.125,0.221,-1.0,0.22465353023909987,207,,
240.0,kdj_k_crossover50,[240  96],kdj_k_crossover50^240^96,4,0,13,0.002,0.17855065954625762,13,0.124,1.187,46.154,1.634,0.104,-1.0,0.08770675652906487,13,0.318,1.307,46.154,2.252,0.243,-1.0,0.22801597551644986,13,0.456,1.187,53.846,2.409,0.384,-1.0,0.3314624431339511,96,,
120.0,smacd_start_increase,[120 312],smacd_start_increase^120^312,4,4,116,0.016,0.18099211262823972,116,0.116,0.79,53.448,1.348,0.147,82.8828828828829,0.15301427848101265,116,0.146,1.195,56.897,1.065,0.122,123.2,0.19211889539748953,116,0.178,1.447,53.448,1.25,0.123,79.06403940886699,0.23424652384243264,312,,
30.0,emacd_crossover_signal_2,[30 42 24],emacd_crossover_signal_2^30^42^24,4,4,75,0.011,0.18223273175685842,75,0.245,0.889,57.333,1.715,0.276,154.16058394160586,0.32727755905511813,75,0.102,1.256,61.333,0.788,0.081,-36.69064748201439,0.0719798407643312,74,-0.015,1.649,52.703,0.876,0.009,0.0,-0.015,42,24,
30.0,sma_fast_crossover_slow_3,[30 72],sma_fast_crossover_slow_3^30^72,4,4,136,0.019,0.1831277591072166,136,0.108,0.914,49.265,1.447,0.118,509.87124463519314,0.14205899343544856,135,0.2,1.443,49.63,1.486,0.139,423.3870967741935,0.26360360360360363,135,0.126,1.605,46.667,1.397,0.079,492.1875000000001,0.1650859065420561,72,,
220.0,kc_price_crossover_high_2,[220.  220.    2.5],kc_price_crossover_high_2^220.0^220.0^2.5,4,4,88,0.012,0.18840346255817536,88,0.117,0.708,55.682,1.294,0.165,511.85567010309285,0.15461351694915254,87,0.198,1.033,50.575,1.679,0.192,886.4197530864196,0.26233370764762826,87,0.16,1.291,43.678,1.766,0.124,0.0,0.16198295894655307,220.0,2.5,
130.0,emacd_histogram_start_increase,[130 364 104],emacd_histogram_start_increase^130^364^104,4,4,197,0.028,0.19052806402258607,197,0.161,0.785,55.33,1.454,0.205,73.49397590361446,0.2135926496815287,196,0.158,1.275,53.571,1.231,0.124,188.79310344827582,0.20794534901960787,196,0.106,1.517,50.51,1.183,0.07,0.0,0.10674067237969677,364,104,
230.0,second_wave_trend_2,[230],second_wave_trend_2^230,4,3,194,0.027,0.1942616214485149,189,0.117,0.545,50.794,1.766,0.215,-294.95192307692315,0.08365822018348623,189,0.343,0.801,64.021,2.1,0.428,-133.5164835164835,0.2503814357053683,189,0.521,0.868,72.487,2.489,0.6,-111.6165718927701,0.38659040322580646,,,
220.0,second_wave_trend_2,[220],second_wave_trend_2^220,4,3,190,0.027,0.19480544808673625,184,0.107,0.56,48.37,1.802,0.191,-453.3333333333334,0.07633112499999999,184,0.346,0.807,62.5,2.28,0.429,-133.42898134863702,0.2525842874845105,184,0.545,0.911,74.457,2.396,0.598,-107.38406123367852,0.40432299670691546,,,
