param_0,策略名称,开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,2026-03-01+总收益率%,2026-03-01+年化收益率%,2026-03-01+最大回撤%,2026-03-01+sharpe比率,2026-03-01+sortino比率,2026-03-01+calmar比率,2026-03-01+年化波动率%,2026-03-01+日波动率%,2026-03-01+均持天数,2026-03-01+交易次数,2026-03-01+交易胜率%,2026-03-01+盈亏比,2026-03-01+bar胜率%,2026-03-01+总交易成本%,2026-04-01+总收益率%,2026-04-01+年化收益率%,2026-04-01+最大回撤%,2026-04-01+sharpe比率,2026-04-01+sortino比率,2026-04-01+calmar比率,2026-04-01+年化波动率%,2026-04-01+日波动率%,2026-04-01+均持天数,2026-04-01+交易次数,2026-04-01+交易胜率%,2026-04-01+盈亏比,2026-04-01+bar胜率%,2026-04-01+总交易成本%,2026-05-01+总收益率%,2026-05-01+年化收益率%,2026-05-01+最大回撤%,2026-05-01+sharpe比率,2026-05-01+sortino比率,2026-05-01+calmar比率,2026-05-01+年化波动率%,2026-05-01+日波动率%,2026-05-01+均持天数,2026-05-01+交易次数,2026-05-01+交易胜率%,2026-05-01+盈亏比,2026-05-01+bar胜率%,2026-05-01+总交易成本%,2026-06-01+总收益率%,2026-06-01+年化收益率%,2026-06-01+最大回撤%,2026-06-01+sharpe比率,2026-06-01+sortino比率,2026-06-01+calmar比率,2026-06-01+年化波动率%,2026-06-01+日波动率%,2026-06-01+均持天数,2026-06-01+交易次数,2026-06-01+交易胜率%,2026-06-01+盈亏比,2026-06-01+bar胜率%,2026-06-01+总交易成本%,filter_name,filter_params,param_1,param_2,param_3,param_4,param_5
40.0,roc_higher0^40,2026-03-01 23:00:00,2026-06-17 23:45:00,22.27,97.256,14.001,3.414,5.015,6.946,28.485,1.491,0.24,451.0,34.59,2.464,48.517,0.0,2.784,39.615,9.763,1.067,1.571,4.058,37.133,1.944,0.221,136.0,32.353,2.349,49.36,0.0,-5.639,-94.976,8.199,-4.123,-5.481,-11.584,23.038,1.206,0.24,125.0,32.8,1.485,46.636,0.0,12.594,304.338,4.046,12.554,20.061,75.216,24.241,1.269,0.248,125.0,38.4,2.773,48.699,0.0,11.956,1031.742,2.799,38.767,63.164,368.588,26.614,1.393,0.25,68.0,35.294,4.56,49.749,0.0,roc_higher0,[40],,,,,
25.0,roc_higher0^25,2026-03-01 23:00:00,2026-06-17 23:45:00,37.683,194.599,6.733,6.831,10.255,28.903,28.486,1.491,0.171,631.0,36.609,2.429,49.125,0.0,3.359,49.407,6.733,1.331,1.926,7.338,37.112,1.943,0.153,196.0,35.204,2.058,49.557,0.0,9.357,197.029,2.725,8.542,13.577,72.309,23.067,1.207,0.175,171.0,41.52,2.185,48.292,0.0,14.347,385.056,4.082,15.875,25.896,94.325,24.256,1.27,0.19,163.0,34.356,3.286,49.688,0.0,6.517,288.203,5.717,10.815,16.915,50.41,26.649,1.395,0.163,104.0,34.615,2.712,48.746,0.0,roc_higher0,[25],,,,,
50.0,aroon_diff_higher0^50,2026-03-01 23:00:00,2026-06-17 23:45:00,18.35,76.689,15.105,2.691,4.035,5.077,28.503,1.492,0.812,133.0,39.85,2.067,48.291,0.0,9.841,212.933,6.876,5.734,9.112,30.966,37.136,1.944,0.715,42.0,45.238,1.944,49.409,0.0,-9.519,-202.42,11.585,-8.77,-11.402,-17.472,23.082,1.208,0.811,37.0,21.622,1.559,46.17,0.0,8.474,160.664,3.604,6.626,10.093,44.585,24.247,1.269,0.838,37.0,40.541,2.523,48.335,0.0,9.768,640.581,4.306,24.048,38.73,148.759,26.638,1.394,0.85,20.0,55.0,2.363,49.666,0.0,aroon_diff_higher0,[50],,,,,
30.0,aroon_diff_higher0^30,2026-03-01 23:00:00,2026-06-17 23:45:00,33.172,163.236,7.495,5.726,8.507,21.779,28.51,1.492,0.43,251.0,45.02,1.769,49.012,0.0,6.289,109.866,7.495,2.959,4.26,14.658,37.132,1.944,0.406,74.0,39.189,1.999,50.148,0.0,-0.641,-8.086,6.463,-0.35,-0.52,-1.251,23.116,1.21,0.435,69.0,43.478,1.273,46.946,0.0,9.617,194.918,3.673,8.028,12.88,53.068,24.279,1.271,0.419,74.0,40.541,2.243,49.168,0.0,15.008,1916.646,3.775,72.02,115.855,507.744,26.613,1.393,0.46,37.0,67.568,1.527,50.084,0.0,aroon_diff_higher0,[30],,,,,
55.0,price_higher_sma^55,2026-03-01 23:00:00,2026-06-17 23:45:00,30.82,147.855,8.874,5.189,7.675,16.662,28.496,1.492,0.253,427.0,23.653,4.59,48.616,0.0,5.984,102.67,6.427,2.765,4.04,15.974,37.13,1.943,0.235,128.0,23.438,4.134,49.606,0.0,-3.699,-55.593,8.871,-2.41,-3.28,-6.267,23.069,1.208,0.226,133.0,18.797,3.585,46.532,0.0,14.506,393.035,4.293,16.197,26.493,91.556,24.266,1.27,0.274,113.0,24.779,5.823,49.116,0.0,11.926,1025.112,3.342,38.517,63.445,306.771,26.615,1.393,0.304,56.0,33.929,4.895,49.415,0.0,price_higher_sma,[55],,,,,
60.0,price_higher_sma^60,2026-03-01 23:00:00,2026-06-17 23:45:00,38.311,199.158,8.081,6.989,10.383,24.646,28.497,1.492,0.275,393.0,24.682,4.805,48.729,0.0,5.57,93.252,6.767,2.512,3.704,13.78,37.119,1.943,0.238,126.0,23.016,4.205,49.262,0.0,-1.638,-21.859,7.724,-0.947,-1.286,-2.83,23.081,1.208,0.266,113.0,22.124,3.247,47.05,0.0,17.121,543.28,4.397,22.391,36.789,123.554,24.263,1.27,0.313,99.0,24.242,7.161,49.324,0.0,13.712,1480.953,2.924,55.614,92.401,506.403,26.629,1.394,0.293,58.0,34.483,5.983,49.498,0.0,price_higher_sma,[60],,,,,
45.0,price_higher_ema^45,2026-03-01 23:00:00,2026-06-17 23:45:00,23.852,106.011,11.341,3.73,5.485,9.347,28.419,1.488,0.189,573.0,21.815,4.645,48.164,0.0,-0.563,-7.061,11.341,-0.19,-0.278,-0.623,37.13,1.943,0.155,194.0,22.165,3.495,48.77,0.0,0.709,8.983,6.753,0.394,0.562,1.33,22.828,1.195,0.182,165.0,19.394,4.378,46.791,0.0,16.109,480.765,3.236,19.831,32.21,148.588,24.243,1.269,0.256,121.0,25.62,5.94,49.116,0.0,6.507,287.405,4.0,10.841,16.084,71.855,26.512,1.388,0.177,96.0,20.833,5.869,47.742,0.0,price_higher_ema,[45],,,,,
35.0,price_higher_ema^35,2026-03-01 23:00:00,2026-06-17 23:45:00,31.557,152.606,12.137,5.365,7.992,12.573,28.445,1.489,0.168,643.0,24.106,4.226,48.616,0.0,-0.892,-11.4,12.137,-0.307,-0.448,-0.939,37.121,1.943,0.138,218.0,23.394,3.23,49.065,0.0,7.927,153.053,4.183,6.694,10.502,36.59,22.865,1.197,0.173,173.0,24.855,4.378,47.567,0.0,16.237,488.327,3.722,20.142,32.734,131.199,24.245,1.269,0.205,151.0,25.828,5.66,49.532,0.0,5.801,235.858,3.827,8.847,13.005,61.627,26.661,1.395,0.163,104.0,22.115,4.974,47.993,0.0,price_higher_ema,[35],,,,,
6.0,sma_fast_higher_slow^6^11,2026-03-01 23:00:00,2026-06-17 23:45:00,20.438,87.445,10.448,3.069,4.427,8.369,28.497,1.492,0.151,717.0,38.912,1.834,48.913,0.0,4.228,65.418,8.287,1.761,2.588,7.894,37.147,1.944,0.143,210.0,40.952,1.6,48.967,0.0,8.851,180.737,4.277,7.835,11.021,42.262,23.067,1.207,0.15,200.0,41.5,1.887,49.482,0.0,2.034,26.768,7.604,1.105,1.621,3.52,24.224,1.268,0.156,199.0,35.678,1.934,49.011,0.0,4.067,135.458,3.904,5.074,7.504,34.701,26.696,1.397,0.153,111.0,36.937,2.101,47.742,0.0,sma_fast_higher_slow,[ 6 11],11,,,,
16.0,sma_fast_higher_slow^16^29,2026-03-01 23:00:00,2026-06-17 23:45:00,45.541,255.364,7.382,8.962,13.522,34.595,28.494,1.491,0.39,277.0,43.682,2.126,48.969,0.0,7.955,153.522,5.474,4.134,5.995,28.045,37.141,1.944,0.376,80.0,41.25,1.94,49.311,0.0,1.131,14.665,5.676,0.636,0.999,2.584,23.051,1.207,0.362,83.0,39.759,1.624,46.739,0.0,20.267,779.002,2.573,32.133,53.307,302.72,24.243,1.269,0.437,71.0,43.662,3.436,50.26,0.0,10.833,811.382,2.425,30.449,48.075,334.57,26.647,1.395,0.37,46.0,56.522,1.875,49.833,0.0,sma_fast_higher_slow,[16 29],29,,,,
20.0,ema_fast_higher_slow^20^32,2026-03-01 23:00:00,2026-06-17 23:45:00,29.348,138.559,13.213,4.863,7.183,10.486,28.494,1.491,0.706,153.0,36.601,2.789,48.334,0.0,7.451,139.504,7.15,3.76,5.557,19.512,37.104,1.942,0.683,44.0,34.091,2.883,49.065,0.0,-9.189,-191.519,10.06,-8.299,-10.983,-19.037,23.078,1.208,0.546,55.0,23.636,1.677,45.393,0.0,18.666,650.609,2.566,26.832,43.932,253.562,24.247,1.269,0.94,33.0,54.545,3.625,49.636,0.0,11.697,976.82,3.331,36.671,60.038,293.258,26.638,1.394,0.708,24.0,45.833,4.014,49.666,0.0,ema_fast_higher_slow,[20 32],32,,,,
