param_0,entry_name,params,signal_id,总月份数,有效月份数,总信号数量,总信号密度,score,w20_有效信号数,w20_平均收益%,w20_收益标准差%,w20_胜率%,w20_盈亏比,w20_稳定性,w20_收益衰减率%,w20_score,w40_有效信号数,w40_平均收益%,w40_收益标准差%,w40_胜率%,w40_盈亏比,w40_稳定性,w40_收益衰减率%,w40_score,w60_有效信号数,w60_平均收益%,w60_收益标准差%,w60_胜率%,w60_盈亏比,w60_稳定性,w60_收益衰减率%,w60_score,param_1,param_2,param_3
230.0,kc_price_crossover_low_2,[230.  276.    3.9],kc_price_crossover_low_2^230.0^276.0^3.8999999999999995,4,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,276.0,3.8999999999999995,
23.0,rsi_crossover50,[23],rsi_crossover50^23,4,4,286,0.04,0.057631059640709456,286,0.005,0.875,48.951,1.059,0.006,-19.672131147540988,0.003502,285,0.079,1.208,49.474,1.207,0.065,262.3318385650225,0.10337163079470198,284,0.095,1.392,48.944,1.24,0.068,586.046511627907,0.12434285201149428,,,
30.0,price_crossover_ema,[30],price_crossover_ema^30,4,4,349,0.049,0.07696974021423675,349,0.001,0.813,50.143,0.998,0.001,0.0,0.0010001230012300125,348,0.101,1.223,52.011,1.144,0.083,179.79452054794518,0.13238432542927228,347,0.14,1.438,45.245,1.557,0.097,378.38709677419354,0.1837719054242003,,,
40.0,price_crossover_ema,[40],price_crossover_ema^40,4,4,312,0.044,0.08062885083784226,312,-0.01,0.881,49.679,0.982,0.011,-342.8571428571428,-0.01,311,0.11,1.198,51.447,1.192,0.092,75.0,0.14431302170283805,310,0.161,1.419,49.677,1.348,0.113,167.87234042553192,0.21167472163495418,,,
70.0,rsi_crossover50,[70],rsi_crossover50^70,4,4,144,0.02,0.08197105014464803,144,0.11,0.748,51.389,1.428,0.147,93.9297124600639,0.1451029411764706,143,0.046,1.037,47.552,1.238,0.044,1592.3076923076944,0.06006526518804243,143,-0.043,1.496,44.755,1.147,0.029,0.0,-0.043,,,
40.0,second_wave_trend_2,[40],second_wave_trend_2^40,4,4,144,0.02,0.08626690484133297,144,0.034,0.585,49.306,1.189,0.058,1671.4285714285716,0.044456888888888886,144,0.047,0.962,43.75,1.456,0.049,0.0,0.04722962577962578,143,0.189,1.273,52.448,1.351,0.148,3695.9999999999973,0.24934786331500394,,,
6.0,second_wave_trend_2,[6],second_wave_trend_2^6,4,4,179,0.025,0.09953212162516775,179,0.086,0.762,54.749,1.108,0.113,46.012269938650306,0.11306178477690287,179,0.079,1.121,49.162,1.236,0.07,35.61151079136691,0.10342375557537914,179,0.085,1.365,49.721,1.177,0.062,-117.56756756756756,0.05987051282051282,,,
30.0,price_crossover_sma,[30],price_crossover_sma^30,4,4,327,0.046,0.11370813983545001,327,0.031,0.76,50.459,1.091,0.041,6599.999999999997,0.04046438157894737,326,0.125,1.186,53.681,1.134,0.105,340.1486988847583,0.1642126897133221,325,0.168,1.379,50.154,1.358,0.122,397.54601226993873,0.2210607106598985,,,
35.0,price_crossover_sma,[35],price_crossover_sma^35,4,4,284,0.04,0.11737749567333262,284,0.028,0.79,48.592,1.162,0.035,0.0,0.02809924050632911,283,0.141,1.19,52.297,1.237,0.118,220.49180327868854,0.1854718739495798,282,0.181,1.36,47.518,1.549,0.133,214.58333333333334,0.23843156617647063,,,
80.0,second_wave_trend_1,[80],second_wave_trend_1^80,4,3,104,0.015,0.12741912581011589,104,-0.036,0.721,46.154,1.024,0.05,-1325.1121076233183,-0.036,99,0.347,0.979,64.646,1.374,0.354,-180.55555555555551,0.2515094279877426,99,0.483,1.392,59.596,1.697,0.347,-279.4928335170893,0.34983148706896544,,,
