param_0,策略名称,开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,2026-03-01+总收益率%,2026-03-01+年化收益率%,2026-03-01+最大回撤%,2026-03-01+sharpe比率,2026-03-01+sortino比率,2026-03-01+calmar比率,2026-03-01+年化波动率%,2026-03-01+日波动率%,2026-03-01+均持天数,2026-03-01+交易次数,2026-03-01+交易胜率%,2026-03-01+盈亏比,2026-03-01+bar胜率%,2026-03-01+总交易成本%,2026-04-01+总收益率%,2026-04-01+年化收益率%,2026-04-01+最大回撤%,2026-04-01+sharpe比率,2026-04-01+sortino比率,2026-04-01+calmar比率,2026-04-01+年化波动率%,2026-04-01+日波动率%,2026-04-01+均持天数,2026-04-01+交易次数,2026-04-01+交易胜率%,2026-04-01+盈亏比,2026-04-01+bar胜率%,2026-04-01+总交易成本%,2026-05-01+总收益率%,2026-05-01+年化收益率%,2026-05-01+最大回撤%,2026-05-01+sharpe比率,2026-05-01+sortino比率,2026-05-01+calmar比率,2026-05-01+年化波动率%,2026-05-01+日波动率%,2026-05-01+均持天数,2026-05-01+交易次数,2026-05-01+交易胜率%,2026-05-01+盈亏比,2026-05-01+bar胜率%,2026-05-01+总交易成本%,2026-06-01+总收益率%,2026-06-01+年化收益率%,2026-06-01+最大回撤%,2026-06-01+sharpe比率,2026-06-01+sortino比率,2026-06-01+calmar比率,2026-06-01+年化波动率%,2026-06-01+日波动率%,2026-06-01+均持天数,2026-06-01+交易次数,2026-06-01+交易胜率%,2026-06-01+盈亏比,2026-06-01+bar胜率%,2026-06-01+总交易成本%,filter_name,filter_params,param_1,param_2,param_3,param_4,param_5
20.0,roc_higher0^20,2026-03-01 23:00:00,2026-06-17 23:45:00,5.027,18.023,28.842,0.277,0.407,0.625,65.121,3.409,0.144,752.0,31.383,2.296,48.574,0.0,9.292,194.455,22.446,2.165,3.318,8.663,89.83,4.702,0.17,177.0,34.463,2.186,48.13,0.0,-3.034,-43.88,11.38,-0.896,-1.404,-3.856,48.994,2.564,0.138,217.0,28.111,2.473,48.861,0.0,-0.747,-9.163,22.118,-0.175,-0.263,-0.414,52.249,2.735,0.135,230.0,31.739,2.175,48.543,0.0,-0.13,-2.828,9.013,-0.048,-0.067,-0.314,58.937,3.085,0.131,130.0,32.308,2.14,48.913,0.0,roc_higher0,[20],,,,,
18.0,roc_higher0^18,2026-03-01 23:00:00,2026-06-17 23:45:00,60.692,396.573,29.028,6.092,9.027,13.662,65.095,3.407,0.135,802.0,36.534,2.148,49.153,0.0,57.298,24502.809,13.607,272.987,429.172,1800.783,89.758,4.698,0.152,198.0,40.404,2.48,49.409,0.0,9.558,203.749,8.614,4.16,6.393,23.654,48.98,2.564,0.134,224.0,37.946,1.96,49.586,0.0,-4.528,-68.477,21.603,-1.312,-1.909,-3.17,52.194,2.732,0.128,242.0,32.231,2.0,48.959,0.0,-2.494,-69.774,9.685,-1.184,-1.632,-7.204,58.915,3.084,0.121,141.0,35.461,1.737,48.244,0.0,roc_higher0,[18],,,,,
35.0,aroon_diff_higher0^35,2026-03-01 23:00:00,2026-06-17 23:45:00,12.248,47.753,19.893,0.73,0.955,2.4,65.382,3.422,0.478,226.0,38.938,1.765,49.661,0.0,-7.953,-153.471,19.893,-1.707,-2.188,-7.715,89.903,4.706,0.477,63.0,38.095,1.518,49.754,0.0,3.188,46.518,15.386,0.929,1.29,3.023,50.087,2.622,0.462,65.0,36.923,1.926,49.689,0.0,21.098,853.227,12.325,16.332,25.06,69.225,52.242,2.734,0.517,60.0,45.0,1.951,49.844,0.0,-2.456,-68.408,13.104,-1.161,-1.542,-5.22,58.941,3.085,0.415,41.0,34.146,1.816,49.08,0.0,aroon_diff_higher0,[35],,,,,
18.0,aroon_diff_higher0^18,2026-03-01 23:00:00,2026-06-17 23:45:00,55.604,345.426,22.883,5.309,7.856,15.095,65.064,3.406,0.248,435.0,40.46,1.867,49.393,0.0,72.299,74338.102,16.279,827.697,1301.475,4566.634,89.813,4.701,0.273,110.0,50.0,2.134,49.656,0.0,1.783,24.001,9.355,0.489,0.753,2.565,49.058,2.568,0.252,119.0,38.655,1.687,48.861,0.0,-7.923,-145.492,18.386,-2.779,-4.072,-7.913,52.353,2.74,0.235,132.0,36.364,1.55,49.428,0.0,-3.681,-117.409,9.617,-2.021,-2.675,-12.208,58.085,3.04,0.221,77.0,36.364,1.578,49.666,0.0,aroon_diff_higher0,[18],,,,,
18.0,price_higher_sma^18,2026-03-01 23:00:00,2026-06-17 23:45:00,2.471,8.597,28.539,0.131,0.196,0.301,65.386,3.422,0.115,941.0,24.761,3.136,47.755,0.0,20.019,818.731,20.818,9.107,14.288,39.328,89.906,4.706,0.124,242.0,28.926,3.026,47.638,0.0,-5.203,-85.404,12.788,-1.707,-2.681,-6.679,50.028,2.619,0.113,266.0,22.932,3.158,48.24,0.0,-6.471,-109.289,19.467,-2.09,-3.125,-5.614,52.302,2.738,0.114,273.0,22.711,3.15,48.023,0.0,-3.735,-119.874,11.541,-2.034,-2.851,-10.387,58.945,3.085,0.104,163.0,25.767,2.664,46.823,0.0,price_higher_sma,[18],,,,,
6.0,price_higher_sma^6,2026-03-01 23:00:00,2026-06-17 23:45:00,22.994,101.228,25.455,1.552,2.337,3.977,65.244,3.415,0.062,1733.0,32.487,2.218,47.755,0.0,14.463,416.435,22.624,4.63,7.341,18.407,89.945,4.708,0.061,494.0,32.996,2.248,47.49,0.0,6.287,110.032,13.129,2.205,3.482,8.381,49.895,2.612,0.063,474.0,30.802,2.426,48.447,0.0,-7.044,-122.952,17.953,-2.376,-3.639,-6.848,51.749,2.709,0.064,487.0,31.006,2.096,47.294,0.0,8.722,502.839,10.782,8.531,11.978,46.636,58.941,3.085,0.061,281.0,36.655,2.025,47.91,0.0,price_higher_sma,[6],,,,,
18.0,price_higher_ema^18,2026-03-01 23:00:00,2026-06-17 23:45:00,5.881,21.296,29.089,0.326,0.483,0.732,65.39,3.423,0.108,998.0,24.148,3.278,48.136,0.0,21.775,996.124,14.036,11.082,17.177,70.97,89.883,4.705,0.123,244.0,30.738,2.833,48.376,0.0,-6.749,-121.429,14.404,-2.426,-3.799,-8.43,50.044,2.619,0.101,298.0,21.477,3.356,48.033,0.0,-1.652,-21.282,19.198,-0.407,-0.604,-1.109,52.327,2.739,0.111,279.0,22.581,3.411,48.751,0.0,-5.225,-198.683,12.514,-3.37,-4.714,-15.877,58.965,3.086,0.094,180.0,22.778,3.019,46.99,0.0,price_higher_ema,[18],,,,,
20.0,price_higher_ema^20,2026-03-01 23:00:00,2026-06-17 23:45:00,7.361,27.122,29.815,0.415,0.616,0.91,65.4,3.423,0.113,952.0,24.055,3.316,48.178,0.0,26.97,1721.224,12.158,19.14,29.689,141.572,89.926,4.707,0.133,226.0,32.743,2.718,48.72,0.0,-7.783,-148.975,13.63,-2.976,-4.661,-10.93,50.053,2.62,0.104,288.0,20.139,3.575,47.981,0.0,-2.551,-34.535,19.563,-0.661,-0.982,-1.765,52.279,2.736,0.116,267.0,22.097,3.457,48.699,0.0,-5.939,-245.397,13.016,-4.162,-5.834,-18.853,58.957,3.086,0.098,174.0,22.414,3.02,46.823,0.0,price_higher_ema,[20],,,,,
120.0,sma_fast_higher_slow^120^216,2026-03-01 23:00:00,2026-06-17 23:45:00,9.89,37.524,32.255,0.574,0.719,1.163,65.39,3.423,2.573,42.0,38.095,2.073,49.816,0.0,11.391,271.051,17.266,3.014,3.763,15.698,89.918,4.707,2.731,11.0,54.545,1.583,50.295,0.0,-18.711,-706.503,23.603,-14.119,-17.343,-29.933,50.04,2.619,2.143,14.0,21.429,0.977,48.913,0.0,17.582,573.74,10.04,10.978,16.264,57.145,52.265,2.736,3.101,10.0,60.0,1.915,49.532,0.0,3.383,104.384,9.51,1.771,2.178,10.976,58.945,3.085,1.7,10.0,30.0,3.166,51.003,0.0,sma_fast_higher_slow,[120 216],216,,,,
16.0,sma_fast_higher_slow^16^22,2026-03-01 23:00:00,2026-06-17 23:45:00,48.706,282.157,25.659,4.317,6.244,10.997,65.364,3.421,0.262,413.0,42.615,1.677,49.322,0.0,14.652,426.888,25.659,4.75,7.424,16.637,89.871,4.704,0.259,116.0,41.379,1.718,47.884,0.0,-0.659,-8.325,12.727,-0.166,-0.233,-0.654,50.051,2.62,0.27,111.0,40.541,1.487,48.654,0.0,14.32,383.717,13.796,7.342,10.869,27.814,52.265,2.736,0.258,120.0,40.0,2.028,50.052,0.0,14.155,1618.886,6.091,27.473,36.707,265.796,58.926,3.084,0.246,69.0,50.725,1.547,51.589,0.0,sma_fast_higher_slow,[16 22],22,,,,
