param_0,entry_name,params,signal_id,总月份数,有效月份数,总信号数量,总信号密度,score,w20_有效信号数,w20_平均收益%,w20_收益标准差%,w20_胜率%,w20_盈亏比,w20_稳定性,w20_收益衰减率%,w20_score,w40_有效信号数,w40_平均收益%,w40_收益标准差%,w40_胜率%,w40_盈亏比,w40_稳定性,w40_收益衰减率%,w40_score,w60_有效信号数,w60_平均收益%,w60_收益标准差%,w60_胜率%,w60_盈亏比,w60_稳定性,w60_收益衰减率%,w60_score,param_1,param_2,param_3
160.0,rvi_crossover_signal,[160 128],rvi_crossover_signal^160^128,4,4,249,0.035,0.06607872655413795,249,0.131,2.138,52.61,1.078,0.061,-44.60176991150443,0.0922618662301216,246,0.099,2.774,51.626,1.035,0.036,113.90374331550801,0.1291593114635905,246,-0.094,2.913,47.967,0.997,0.032,0.0,-0.094,128,,
230.0,rvi_crossover_signal,[230  92],rvi_crossover_signal^230^92,4,4,263,0.037,0.08169707076133562,263,0.129,2.148,51.711,1.114,0.06,6.0728744939271255,0.16870713687150843,260,0.049,2.795,51.154,1.002,0.018,667.5,0.06381167441860466,260,-0.109,2.958,48.077,0.98,0.037,0.0,-0.109,92,,
80.0,price_crossover_ema,[80],price_crossover_ema^80,4,4,240,0.034,0.0899397455781394,240,0.184,1.724,52.5,1.233,0.107,32.09302325581396,0.24175294663573085,239,0.014,2.336,46.025,1.192,0.006,9.000000000000002,0.018210907534246576,239,-0.182,2.887,44.77,1.047,0.063,0.0,-0.182,,,
70.0,price_crossover_ema,[70],price_crossover_ema^70,4,4,253,0.036,0.09917360106132361,253,0.151,1.7,50.593,1.262,0.089,72.55813953488372,0.19804360588235298,252,0.065,2.447,49.206,1.114,0.027,0.0,0.0651726604004904,252,-0.097,2.917,45.635,1.091,0.033,0.0,-0.097,,,
190.0,rvi_crossover0,[190 'EMA'],rvi_crossover0^190^EMA,4,4,152,0.021,0.1160958419508438,152,0.093,1.456,51.974,1.095,0.064,221.17647058823528,0.12167223214285715,151,0.093,2.162,49.669,1.136,0.043,-98.4076433121019,0.0653800323774283,150,0.252,2.431,52.0,1.209,0.104,-99.49874686716792,0.17822858083093374,EMA,,
40.0,rsi_crossover50,[40],rsi_crossover50^40,4,4,240,0.034,0.1200446291876989,240,0.209,1.701,52.917,1.27,0.123,25.96537949400799,0.2750383480305702,239,0.052,2.32,46.862,1.207,0.022,20.769230769230766,0.0677515172413793,239,-0.189,2.901,44.77,1.042,0.065,0.0,-0.189,,,
110.0,emacd_start_increase,[110 198],emacd_start_increase^110^198,4,4,176,0.025,0.20219344110219767,176,0.181,1.886,56.25,1.008,0.096,10.227272727272728,0.2375581813361612,174,0.17,2.576,52.874,1.064,0.066,213.06818181818187,0.2224584627329193,174,0.064,2.893,50.0,1.061,0.022,366.94214876033055,0.08338405807120637,198,,
130.0,emacd_start_increase,[130 182],emacd_start_increase^130^182,4,4,167,0.024,0.20277287504003505,167,0.275,1.855,53.293,1.296,0.148,16.24874623871615,0.36279986522911056,165,0.098,2.449,52.727,0.995,0.04,417.6923076923076,0.12790980808493266,165,-0.085,2.802,49.697,0.935,0.03,0.0,-0.085,182,,
35.0,trix_start_increase,[35],trix_start_increase^35,4,4,89,0.013,0.2029752203162637,89,0.251,2.38,52.809,1.2,0.105,3.7567084078711983,0.329741231092437,88,0.027,3.042,55.682,0.815,0.009,-120.49861495844874,0.018916775147928996,88,0.23,3.226,59.091,0.83,0.071,-55.57337610264636,0.16214786112833232,,,
220.0,roc_crossover0,[220],roc_crossover0^220,4,4,101,0.014,0.20622979834740135,101,0.28,1.786,50.495,1.456,0.157,-181.89581554227155,0.19907278835386338,100,0.49,2.556,57.0,1.241,0.192,-103.14606741573033,0.3495755086071987,100,0.013,3.148,44.0,1.288,0.004,-724.0384615384618,0.009103757941550189,,,
