param_0,策略名称,开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,2026-03-01+总收益率%,2026-03-01+年化收益率%,2026-03-01+最大回撤%,2026-03-01+sharpe比率,2026-03-01+sortino比率,2026-03-01+calmar比率,2026-03-01+年化波动率%,2026-03-01+日波动率%,2026-03-01+均持天数,2026-03-01+交易次数,2026-03-01+交易胜率%,2026-03-01+盈亏比,2026-03-01+bar胜率%,2026-03-01+总交易成本%,2026-04-01+总收益率%,2026-04-01+年化收益率%,2026-04-01+最大回撤%,2026-04-01+sharpe比率,2026-04-01+sortino比率,2026-04-01+calmar比率,2026-04-01+年化波动率%,2026-04-01+日波动率%,2026-04-01+均持天数,2026-04-01+交易次数,2026-04-01+交易胜率%,2026-04-01+盈亏比,2026-04-01+bar胜率%,2026-04-01+总交易成本%,2026-05-01+总收益率%,2026-05-01+年化收益率%,2026-05-01+最大回撤%,2026-05-01+sharpe比率,2026-05-01+sortino比率,2026-05-01+calmar比率,2026-05-01+年化波动率%,2026-05-01+日波动率%,2026-05-01+均持天数,2026-05-01+交易次数,2026-05-01+交易胜率%,2026-05-01+盈亏比,2026-05-01+bar胜率%,2026-05-01+总交易成本%,2026-06-01+总收益率%,2026-06-01+年化收益率%,2026-06-01+最大回撤%,2026-06-01+sharpe比率,2026-06-01+sortino比率,2026-06-01+calmar比率,2026-06-01+年化波动率%,2026-06-01+日波动率%,2026-06-01+均持天数,2026-06-01+交易次数,2026-06-01+交易胜率%,2026-06-01+盈亏比,2026-06-01+bar胜率%,2026-06-01+总交易成本%,filter_name,filter_params,param_1,param_2,param_3,param_4,param_5
90.0,roc_higher0^90,2026-03-02 01:00:00,2026-06-17 18:15:00,8.543,32.017,11.92,1.451,1.674,2.686,22.072,1.155,0.429,251.0,27.888,3.17,39.548,0.0,-2.006,-27.626,7.659,-1.114,-1.112,-3.607,24.795,1.298,0.496,60.0,25.0,2.642,40.205,0.0,-4.114,-63.958,6.739,-3.621,-4.862,-9.491,17.662,0.924,0.313,95.0,25.263,1.978,36.955,0.0,5.701,102.105,3.789,4.516,5.251,26.945,22.608,1.183,0.405,71.0,35.211,2.894,41.127,0.0,8.573,499.717,3.136,20.239,29.189,159.346,24.691,1.292,0.599,28.0,28.571,11.088,40.087,0.0,roc_higher0,[90],,,,,
140.0,roc_higher0^140,2026-03-02 01:00:00,2026-06-17 18:15:00,17.609,73.253,6.675,3.273,3.845,10.974,22.38,1.171,0.822,131.0,33.588,3.574,39.585,0.0,-0.013,-0.163,6.675,-0.007,-0.007,-0.024,24.642,1.29,0.929,32.0,40.625,1.491,40.589,0.0,4.352,68.61,2.626,3.577,5.341,26.132,19.179,1.004,0.562,53.0,26.415,5.078,37.357,0.0,8.827,192.56,3.609,8.511,10.194,53.35,22.624,1.184,1.151,25.0,60.0,3.61,41.056,0.0,2.901,86.398,6.598,3.492,4.731,13.094,24.741,1.295,0.699,24.0,16.667,8.026,39.112,0.0,roc_higher0,[140],,,,,
160.0,aroon_diff_higher0^160,2026-03-02 01:00:00,2026-06-17 18:15:00,8.498,31.835,11.224,1.42,1.674,2.836,22.424,1.174,3.715,29.0,44.828,1.937,39.603,0.0,-5.542,-93.952,11.224,-3.795,-3.886,-8.371,24.759,1.296,2.478,12.0,41.667,0.511,39.245,0.0,8.058,158.706,2.3,8.293,12.505,68.989,19.138,1.002,4.963,6.0,66.667,6.131,38.833,0.0,0.924,12.38,6.348,0.546,0.652,1.95,22.678,1.187,2.878,10.0,50.0,1.253,40.141,0.0,5.08,194.232,4.62,7.851,10.531,42.044,24.74,1.295,4.195,4.0,50.0,5.256,40.52,0.0,aroon_diff_higher0,[160],,,,,
45.0,aroon_diff_higher0^45,2026-03-02 01:00:00,2026-06-17 18:15:00,10.576,40.584,8.869,1.812,1.995,4.576,22.404,1.173,0.786,137.0,39.416,1.913,39.881,0.0,8.802,181.82,5.078,7.348,7.449,35.804,24.745,1.295,0.804,37.0,43.243,2.378,41.485,0.0,-1.637,-22.039,7.191,-1.154,-1.288,-3.065,19.106,1.0,0.745,40.0,42.5,1.185,37.29,0.0,6.338,118.132,4.499,5.208,5.888,26.26,22.682,1.187,0.778,37.0,40.541,2.294,41.761,0.0,-3.047,-92.271,7.139,-3.738,-4.659,-12.925,24.686,1.292,0.645,26.0,30.769,1.647,38.353,0.0,aroon_diff_higher0,[45],,,,,
230.0,price_higher_sma^230,2026-03-02 01:00:00,2026-06-17 18:15:00,13.867,55.273,9.826,2.466,2.903,5.625,22.412,1.173,0.921,117.0,19.658,7.084,39.678,0.0,-3.621,-54.783,8.652,-2.21,-2.229,-6.332,24.791,1.298,0.646,46.0,19.565,2.597,39.821,0.0,2.559,36.325,4.539,1.902,2.752,8.003,19.1,1.0,0.827,36.0,19.444,6.495,38.229,0.0,9.419,213.412,4.02,9.423,11.199,53.089,22.648,1.185,2.878,10.0,60.0,8.323,41.338,0.0,5.036,191.563,4.602,7.751,10.962,41.628,24.713,1.294,0.599,28.0,10.714,20.73,39.112,0.0,price_higher_sma,[230],,,,,
220.0,price_higher_sma^220,2026-03-02 01:00:00,2026-06-17 18:15:00,17.101,70.733,8.204,3.154,3.719,8.622,22.43,1.174,0.988,109.0,22.936,6.599,39.807,0.0,-1.602,-21.556,6.999,-0.869,-0.875,-3.08,24.794,1.298,0.826,36.0,22.222,2.815,40.205,0.0,2.168,30.098,4.548,1.573,2.273,6.617,19.133,1.001,0.764,39.0,23.077,4.853,38.095,0.0,9.288,208.692,4.729,9.211,10.996,44.13,22.657,1.186,1.799,16.0,43.75,7.735,41.197,0.0,6.111,263.923,3.659,10.673,15.173,72.133,24.729,1.294,0.839,20.0,15.0,17.98,39.653,0.0,price_higher_sma,[220],,,,,
220.0,price_higher_ema^220,2026-03-02 01:00:00,2026-06-17 18:15:00,13.063,51.59,8.925,2.303,2.697,5.78,22.398,1.172,0.723,149.0,20.134,6.107,39.696,0.0,0.403,5.07,5.91,0.205,0.206,0.858,24.754,1.296,0.708,42.0,23.81,3.46,40.397,0.0,4.942,80.684,2.705,4.221,6.316,29.831,19.117,1.001,0.827,36.0,22.222,7.824,38.364,0.0,7.279,143.932,5.334,6.355,7.42,26.985,22.65,1.186,0.846,34.0,29.412,6.29,41.197,0.0,-0.207,-4.614,8.925,-0.187,-0.257,-0.517,24.692,1.292,0.419,40.0,10.0,8.858,38.245,0.0,price_higher_ema,[220],,,,,
230.0,price_higher_ema^230,2026-03-02 01:00:00,2026-06-17 18:15:00,17.069,70.575,7.457,3.149,3.7,9.464,22.412,1.173,0.775,139.0,21.583,6.372,39.863,0.0,0.52,6.58,5.959,0.266,0.266,1.104,24.766,1.296,0.646,46.0,26.087,3.094,40.717,0.0,5.578,94.599,2.512,4.946,7.377,37.652,19.125,1.001,0.993,30.0,26.667,7.689,38.498,0.0,8.533,182.683,5.585,8.062,9.582,32.708,22.66,1.186,0.899,32.0,28.125,7.879,41.197,0.0,1.401,35.404,7.457,1.432,1.977,4.748,24.726,1.294,0.493,34.0,11.765,9.158,38.462,0.0,price_higher_ema,[230],,,,,
60.0,sma_fast_higher_slow^60^84,2026-03-02 01:00:00,2026-06-17 18:15:00,6.79,24.931,18.934,1.131,1.316,1.317,22.034,1.153,1.437,75.0,54.667,1.016,39.993,0.0,-8.962,-186.963,13.21,-7.559,-7.825,-14.153,24.733,1.295,1.352,22.0,36.364,0.8,39.117,0.0,-4.828,-78.3,8.51,-4.456,-5.609,-9.201,17.572,0.92,1.295,23.0,43.478,0.7,38.028,0.0,12.895,366.118,3.659,16.23,19.321,100.07,22.558,1.181,1.693,17.0,82.353,2.966,41.901,0.0,8.463,486.618,2.359,19.692,27.922,206.303,24.712,1.293,1.049,16.0,62.5,2.127,41.603,0.0,sma_fast_higher_slow,[60 84],84,,,,
220.0,sma_fast_higher_slow^220^484,2026-03-02 01:00:00,2026-06-17 18:15:00,12.141,47.444,11.343,2.116,2.659,4.183,22.422,1.174,10.774,10.0,60.0,1.801,39.622,0.0,1.66,22.41,5.885,0.905,0.939,3.808,24.771,1.297,4.956,6.0,50.0,1.696,40.397,0.0,6.263,110.663,3.844,5.78,8.69,28.79,19.146,1.002,14.89,2.0,100.0,100.0,38.632,0.0,-1.904,-27.049,11.343,-1.193,-1.785,-2.385,22.664,1.186,7.195,4.0,25.0,2.135,39.225,0.0,5.578,226.09,3.516,9.14,12.239,64.3,24.736,1.295,16.779,1.0,100.0,100.0,40.412,0.0,sma_fast_higher_slow,[220 484],484,,,,
