param_0,entry_name,params,signal_id,总月份数,有效月份数,总信号数量,总信号密度,score,w20_有效信号数,w20_平均收益%,w20_收益标准差%,w20_胜率%,w20_盈亏比,w20_稳定性,w20_收益衰减率%,w20_score,w40_有效信号数,w40_平均收益%,w40_收益标准差%,w40_胜率%,w40_盈亏比,w40_稳定性,w40_收益衰减率%,w40_score,w60_有效信号数,w60_平均收益%,w60_收益标准差%,w60_胜率%,w60_盈亏比,w60_稳定性,w60_收益衰减率%,w60_score,param_1,param_2,param_3
14.0,supertrend_long_signal,[14.   2.9],supertrend_long_signal^14.0^2.8999999999999995,4,4,68,0.013,-0.03912783505154639,68,0.04,0.776,55.882,0.905,0.052,-340.0,0.028144329896907218,67,-0.092,0.892,52.239,0.695,0.103,-1727.9999999999998,-0.092,67,-0.128,1.163,52.239,0.691,0.11,-3981.4285714285716,-0.128,2.8999999999999995,,
16.0,supertrend_long_signal,[16.   2.9],supertrend_long_signal^16.0^2.8999999999999995,4,4,69,0.013,-0.02912165143603133,68,0.053,0.766,55.882,0.951,0.069,-299.99999999999994,0.037356697127937336,67,-0.088,0.894,50.746,0.744,0.098,-1590.184049079755,-0.088,67,-0.107,1.152,52.239,0.719,0.093,-1948.951048951049,-0.107,2.8999999999999995,,
110.0,adx_plus_crossover_minus,[110],adx_plus_crossover_minus^110,4,3,83,0.015,0.0052246084033613464,83,0.035,0.625,56.627,0.899,0.056,-4466.666666666691,0.0246372,83,0.058,0.952,54.217,0.992,0.061,0.0,0.058353361344537814,83,-0.123,1.115,48.193,0.815,0.11,0.0,-0.123,,,
35.0,adx_plus_crossover_minus,[35],adx_plus_crossover_minus^35,4,4,137,0.025,0.01375447661152387,137,0.017,0.701,47.445,1.183,0.024,-243.17180616740092,0.011928858773181169,137,0.031,1.058,51.095,1.034,0.029,-196.6216216216216,0.02176358223062382,136,0.009,1.166,52.941,0.906,0.008,-239.79591836734687,0.006304862778730704,,,
210.0,rvi_crossover0,[210 'SMA'],rvi_crossover0^210^SMA,4,2,75,0.014,0.018563313951055052,74,0.018,0.742,51.351,1.008,0.024,-1.0,0.012630566037735847,73,0.01,0.994,47.945,1.111,0.01,-1.0,0.007007042253521127,72,0.072,1.101,52.778,1.05,0.065,-1.0,0.050729591280653956,SMA,,
60.0,price_crossover_ema,[60],price_crossover_ema^60,4,4,162,0.03,0.02406001700526764,162,0.019,0.675,53.086,0.949,0.028,-354.79452054794524,0.013337437037037035,161,0.061,0.884,54.658,0.987,0.069,-277.5401069518716,0.04299464932126696,159,0.032,1.111,51.572,1.012,0.029,-317.64705882352945,0.022464518451845182,,,
90.0,price_crossover_ema,[90],price_crossover_ema^90,4,4,135,0.025,0.025400323347800007,135,-0.021,0.793,53.333,0.812,0.026,0.0,-0.021,134,0.084,0.987,55.224,1.012,0.085,-140.52044609665427,0.05930042553191489,132,0.128,1.206,53.03,1.158,0.106,-182.08092485549133,0.0905509784411277,,,
180.0,rsi_crossover50,[180],rsi_crossover50^180,4,2,41,0.008,0.027916616303295096,41,0.026,0.724,48.78,1.145,0.036,-1.0,0.018265359116022097,39,0.025,1.18,53.846,0.901,0.021,-1.0,0.017537076271186443,39,0.096,1.558,53.846,0.981,0.062,-1.0,0.06761406931964056,,,
190.0,rvi_crossover_signal,[190  76],rvi_crossover_signal^190^76,4,4,200,0.037,0.04138985337727403,200,0.056,0.687,51.0,1.185,0.082,-92.3076923076923,0.03951953420669578,198,0.071,0.941,51.01,1.17,0.075,-86.3013698630137,0.05007499468650371,195,0.047,1.121,52.308,1.019,0.042,-207.06521739130432,0.03303793933987511,76,,
210.0,rvi_crossover_signal,[210  84],rvi_crossover_signal^210^84,4,4,170,0.032,0.043768140015974476,170,0.059,0.754,45.882,1.461,0.078,-121.29380053908356,0.041623169761273206,168,0.095,0.941,50.0,1.297,0.101,-105.08474576271185,0.0671713602550478,166,0.02,1.088,50.602,1.022,0.018,-354.81727574750835,0.014025735294117648,84,,
60.0,emacd_start_increase,[60 96],emacd_start_increase^60^96,4,4,203,0.038,0.04505710607006899,203,0.113,0.72,53.202,1.353,0.157,-67.87072243346007,0.08034143055555555,202,0.027,0.934,49.01,1.121,0.029,-236.22047244094492,0.018954635974304065,201,-0.004,1.189,51.244,0.944,0.003,-382.5,-0.004,96,,
35.0,emacd_histogram_start_increase,[35 98 35],emacd_histogram_start_increase^35^98^35,4,4,307,0.057,0.045115129730864706,302,0.072,0.693,50.993,1.278,0.104,-108.76132930513593,0.05092363636363635,299,0.071,0.962,49.833,1.217,0.074,-190.01919385796546,0.05006680873180872,297,0.033,1.149,55.219,0.871,0.029,-254.78615071283096,0.02316634464751958,98,35,
40.0,emacd_histogram_start_increase,[40 64 48],emacd_histogram_start_increase^40^64^48,4,4,287,0.053,0.045495442526403765,284,0.08,0.7,52.113,1.255,0.114,-77.50759878419453,0.05663999999999999,281,0.064,0.985,49.822,1.192,0.065,-195.65217391304353,0.04509108629441624,280,0.026,1.166,55.714,0.84,0.022,-245.3389830508475,0.01824058319039451,64,48,
25.0,rsi_fast_crossover_slow,[25 50],rsi_fast_crossover_slow^25^50,4,4,274,0.051,0.04883507478877882,273,0.052,0.658,50.183,1.22,0.079,-31.84357541899441,0.03668765957446808,272,0.082,0.973,51.838,1.166,0.084,-88.27751196172248,0.057883741007194234,271,0.093,1.141,52.399,1.122,0.082,-151.35135135135138,0.06563061349693251,50,,
55.0,emacd_start_increase,[ 55 110],emacd_start_increase^55^110,4,4,201,0.037,0.05311698823386762,201,0.121,0.713,52.736,1.427,0.17,-72.32142857142857,0.08613740532959326,200,0.041,0.951,50.0,1.12,0.043,-193.94904458598728,0.028823732912723447,199,0.01,1.201,51.759,0.953,0.008,-327.2727272727273,0.007005828476269775,110,,
130.0,rsi_crossover50,[130],rsi_crossover50^130,4,3,57,0.011,0.057339107225871114,57,0.081,0.783,59.649,0.895,0.103,-65.93406593406593,0.05728655172413792,56,0.085,1.126,51.786,1.109,0.075,0.0,0.08564165186500888,55,0.015,1.349,50.909,0.989,0.011,0.0,0.015016679021497404,,,
30.0,rsi_fast_crossover_slow,[30 42],rsi_fast_crossover_slow^30^42,4,4,262,0.049,0.05868178918195045,261,0.073,0.657,51.724,1.245,0.111,-31.578947368421044,0.05166777777777777,260,0.089,0.952,52.692,1.153,0.093,-96.98275862068965,0.06288242647058823,259,0.099,1.114,52.896,1.12,0.089,-151.05189340813462,0.06991586175942548,42,,
140.0,roc_crossover0,[140],roc_crossover0^140,4,4,65,0.012,0.060582623656473406,65,0.064,0.728,52.308,1.135,0.088,-200.7393715341959,0.04519384615384615,65,0.033,0.906,47.692,1.198,0.036,-274.91467576791814,0.023184139072847682,65,0.118,1.033,53.846,1.132,0.114,31.502423263327948,0.15515229428848015,,,
130.0,trix_start_increase,[130],trix_start_increase^130,4,0,22,0.004,0.06461645041928925,22,0.077,0.777,54.545,1.12,0.099,-1.0,0.05443414414414413,22,0.105,1.004,54.545,1.115,0.105,-1.0,0.07426867529880478,22,0.107,1.155,40.909,1.812,0.093,-1.0,0.07559387878787878,,,
140.0,trix_start_increase,[140],trix_start_increase^140,4,0,19,0.004,0.0668013658661216,19,0.211,0.665,63.158,1.359,0.317,-1.0,0.15238642105263156,19,0.02,1.03,47.368,1.166,0.019,-1.0,0.014027184466019417,19,-0.068,1.349,42.105,1.216,0.05,-1.0,-0.068,,,
90.0,rvi_crossover0,[90 'SMA'],rvi_crossover0^90^SMA,4,4,102,0.019,0.0846574459528636,102,0.065,0.669,47.059,1.446,0.097,2325.0000000000005,0.08532100149476832,101,0.133,0.949,51.485,1.346,0.14,219.5364238410596,0.17532315068493148,100,-0.053,1.153,46.0,1.043,0.046,0.0,-0.053,SMA,,
150.0,roc_crossover0,[150],roc_crossover0^150,4,3,64,0.012,0.09467070003636474,64,0.038,0.534,48.438,1.269,0.071,-170.9302325581395,0.02678928838951311,64,0.126,0.753,53.125,1.325,0.167,4.390243902439024,0.1665408764940239,64,0.119,0.985,57.812,0.975,0.121,1.89873417721519,0.15656896446700508,,,
130.0,price_crossover_sma,[130],price_crossover_sma^130,4,4,101,0.019,0.09485424231955639,101,0.096,0.744,53.465,1.239,0.129,-19.489559164733183,0.06806709677419355,100,0.146,1.045,53.0,1.272,0.14,36.206896551724135,0.19245175119617225,99,0.022,1.311,50.505,1.022,0.017,-109.45945945945948,0.015425842868039661,,,
