param_0,策略名称,开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,2026-03-01+总收益率%,2026-03-01+年化收益率%,2026-03-01+最大回撤%,2026-03-01+sharpe比率,2026-03-01+sortino比率,2026-03-01+calmar比率,2026-03-01+年化波动率%,2026-03-01+日波动率%,2026-03-01+均持天数,2026-03-01+交易次数,2026-03-01+交易胜率%,2026-03-01+盈亏比,2026-03-01+bar胜率%,2026-03-01+总交易成本%,2026-04-01+总收益率%,2026-04-01+年化收益率%,2026-04-01+最大回撤%,2026-04-01+sharpe比率,2026-04-01+sortino比率,2026-04-01+calmar比率,2026-04-01+年化波动率%,2026-04-01+日波动率%,2026-04-01+均持天数,2026-04-01+交易次数,2026-04-01+交易胜率%,2026-04-01+盈亏比,2026-04-01+bar胜率%,2026-04-01+总交易成本%,2026-05-01+总收益率%,2026-05-01+年化收益率%,2026-05-01+最大回撤%,2026-05-01+sharpe比率,2026-05-01+sortino比率,2026-05-01+calmar比率,2026-05-01+年化波动率%,2026-05-01+日波动率%,2026-05-01+均持天数,2026-05-01+交易次数,2026-05-01+交易胜率%,2026-05-01+盈亏比,2026-05-01+bar胜率%,2026-05-01+总交易成本%,2026-06-01+总收益率%,2026-06-01+年化收益率%,2026-06-01+最大回撤%,2026-06-01+sharpe比率,2026-06-01+sortino比率,2026-06-01+calmar比率,2026-06-01+年化波动率%,2026-06-01+日波动率%,2026-06-01+均持天数,2026-06-01+交易次数,2026-06-01+交易胜率%,2026-06-01+盈亏比,2026-06-01+bar胜率%,2026-06-01+总交易成本%,filter_name,filter_params,param_1,param_2,param_3,param_4,param_5
80.0,roc_higher0^80,2026-03-02 01:00:00,2026-06-17 18:15:00,3.534,12.488,20.276,0.42,0.525,0.616,29.744,1.557,0.426,253.0,31.225,2.405,47.554,0.0,-2.278,-31.875,12.668,-0.809,-1.09,-2.516,39.423,2.063,0.32,93.0,29.032,2.283,47.439,0.0,-4.079,-63.293,10.632,-2.354,-2.367,-5.953,26.887,1.407,0.473,63.0,23.81,2.45,47.284,0.0,8.616,185.46,4.309,8.036,11.785,43.042,23.079,1.208,0.417,69.0,40.58,3.072,49.296,0.0,1.504,38.415,5.879,1.425,2.169,6.534,26.967,1.412,0.559,30.0,33.333,2.352,45.395,0.0,roc_higher0,[80],,,,,
70.0,roc_higher0^70,2026-03-02 01:00:00,2026-06-17 18:15:00,8.401,31.434,14.71,1.066,1.494,2.137,29.48,1.543,0.418,258.0,31.008,2.59,47.443,0.0,-9.87,-217.729,13.872,-5.569,-7.542,-15.695,39.093,2.046,0.268,111.0,28.829,1.612,46.607,0.0,9.011,188.096,5.591,7.061,11.439,33.642,26.64,1.394,0.473,63.0,36.508,3.091,47.82,0.0,3.133,47.928,5.929,2.117,2.907,8.084,22.643,1.185,0.464,62.0,29.032,3.061,48.944,0.0,6.927,329.942,4.481,12.219,19.572,73.63,27.001,1.413,0.699,24.0,37.5,3.374,45.829,0.0,roc_higher0,[70],,,,,
220.0,aroon_diff_higher0^220,2026-03-02 01:00:00,2026-06-17 18:15:00,4.245,15.129,13.917,0.508,0.615,1.087,29.769,1.558,3.591,30.0,46.667,1.393,48.629,0.0,7.51,143.354,8.979,3.633,4.645,15.965,39.463,2.066,3.304,9.0,66.667,1.633,50.0,0.0,-5.051,-83.003,11.913,-3.086,-3.124,-6.968,26.895,1.408,2.707,11.0,27.273,1.651,47.552,0.0,-3.953,-63.568,10.364,-2.751,-3.601,-6.134,23.108,1.21,3.198,9.0,33.333,1.122,47.535,0.0,6.16,267.576,5.252,9.922,14.66,50.95,26.968,1.412,4.195,4.0,75.0,1.388,49.621,0.0,aroon_diff_higher0,[220],,,,,
80.0,aroon_diff_higher0^80,2026-03-02 01:00:00,2026-06-17 18:15:00,25.771,117.482,7.328,3.952,5.609,16.032,29.726,1.556,1.796,60.0,43.333,2.298,47.813,0.0,5.949,103.347,7.328,2.618,3.617,14.103,39.472,2.066,1.416,21.0,42.857,2.101,47.759,0.0,8.155,161.568,4.772,6.008,9.455,33.855,26.892,1.408,1.985,15.0,46.667,2.53,48.223,0.0,6.974,135.283,6.405,5.908,8.374,21.123,22.897,1.198,1.919,15.0,53.333,1.838,49.296,0.0,2.442,69.13,5.69,2.561,3.957,12.15,26.99,1.413,1.398,12.0,33.333,2.607,44.854,0.0,aroon_diff_higher0,[80],,,,,
18.0,price_higher_sma^18,2026-03-02 01:00:00,2026-06-17 18:15:00,-4.142,-14.741,17.726,-0.498,-0.71,-0.832,29.626,1.551,0.15,719.0,23.366,3.197,46.386,0.0,-10.718,-249.202,15.632,-6.373,-8.558,-15.942,39.105,2.047,0.149,200.0,23.0,2.616,46.863,0.0,9.163,193.089,4.363,7.189,13.323,44.26,26.857,1.406,0.144,207.0,23.188,4.544,46.479,0.0,-4.275,-70.113,8.763,-3.038,-4.449,-8.001,23.079,1.208,0.143,201.0,23.881,2.684,46.408,0.0,2.855,84.604,6.652,3.135,4.536,12.719,26.985,1.412,0.148,113.0,24.779,3.629,45.504,0.0,price_higher_sma,[18],,,,,
6.0,price_higher_sma^6,2026-03-02 01:00:00,2026-06-17 18:15:00,3.456,12.201,16.597,0.412,0.616,0.735,29.588,1.549,0.084,1287.0,30.925,2.301,47.146,0.0,-14.049,-402.54,14.638,-10.194,-15.526,-27.499,39.489,2.067,0.072,412.0,28.883,1.953,45.391,0.0,8.158,161.653,5.793,6.099,10.362,27.907,26.504,1.387,0.09,332.0,31.325,2.699,47.351,0.0,1.13,15.332,7.002,0.672,0.986,2.19,22.82,1.194,0.085,339.0,29.204,2.523,48.169,0.0,10.279,742.077,3.444,27.841,40.49,215.492,26.654,1.395,0.081,207.0,37.681,2.429,48.321,0.0,price_higher_sma,[6],,,,,
6.0,price_higher_ema^6,2026-03-02 01:00:00,2026-06-17 18:15:00,-6.416,-23.457,18.34,-0.793,-1.156,-1.279,29.569,1.548,0.084,1281.0,28.025,2.483,46.59,0.0,-14.256,-413.898,15.464,-10.519,-15.167,-26.766,39.349,2.06,0.076,392.0,25.51,2.276,45.583,0.0,3.333,49.503,6.381,1.84,3.017,7.758,26.902,1.408,0.086,346.0,26.59,3.035,46.613,0.0,-1.573,-21.912,6.969,-0.963,-1.409,-3.144,22.746,1.191,0.086,335.0,28.06,2.458,47.394,0.0,7.541,387.125,4.307,14.712,22.569,89.882,26.313,1.377,0.08,211.0,35.071,2.549,47.129,0.0,price_higher_ema,[6],,,,,
120.0,price_higher_ema^120,2026-03-02 01:00:00,2026-06-17 18:15:00,-0.381,-1.298,21.621,-0.044,-0.058,-0.06,29.691,1.554,0.464,232.0,19.397,4.252,47.776,0.0,-15.642,-495.904,21.541,-12.598,-15.581,-23.022,39.365,2.06,0.313,95.0,12.632,3.283,46.671,0.0,5.885,101.634,7.375,3.806,6.096,13.78,26.705,1.398,0.444,67.0,19.403,6.393,47.217,0.0,7.424,148.139,3.911,6.416,8.902,37.881,23.091,1.209,0.669,43.0,32.558,4.7,50.0,0.0,3.659,118.699,3.927,4.402,6.644,30.226,26.967,1.412,0.559,30.0,30.0,3.643,47.021,0.0,price_higher_ema,[120],,,,,
60.0,sma_fast_higher_slow^60^96,2026-03-02 01:00:00,2026-06-17 18:15:00,9.196,34.728,17.514,1.165,1.438,1.983,29.8,1.56,1.796,60.0,40.0,1.915,48.221,0.0,-0.464,-5.845,9.326,-0.148,-0.198,-0.627,39.557,2.07,1.352,22.0,40.909,1.453,47.631,0.0,-1.257,-16.553,10.739,-0.615,-0.613,-1.541,26.897,1.408,1.861,16.0,31.25,2.017,48.156,0.0,10.075,238.125,4.979,10.316,14.596,47.824,23.084,1.208,2.214,13.0,69.231,1.738,50.141,0.0,0.716,16.817,5.868,0.623,0.918,2.866,26.997,1.413,1.398,12.0,33.333,2.159,46.262,0.0,sma_fast_higher_slow,[60 96],96,,,,
50.0,sma_fast_higher_slow^50^80,2026-03-02 01:00:00,2026-06-17 18:15:00,27.863,129.985,6.992,4.485,6.151,18.592,28.98,1.517,1.496,72.0,48.611,1.945,48.666,0.0,10.053,224.302,5.644,5.672,7.874,39.743,39.548,2.07,1.101,27.0,48.148,2.088,49.168,0.0,8.429,169.816,4.973,7.247,9.8,34.149,23.432,1.226,1.861,16.0,62.5,1.533,49.095,0.0,3.646,57.534,6.383,2.489,3.319,9.013,23.117,1.21,1.799,16.0,50.0,1.54,49.718,0.0,3.443,109.014,5.579,4.041,6.383,19.541,26.98,1.412,1.049,16.0,43.75,1.85,45.395,0.0,sma_fast_higher_slow,[50 80],80,,,,
