param_0,entry_name,params,signal_id,总月份数,有效月份数,总信号数量,总信号密度,score,w20_有效信号数,w20_平均收益%,w20_收益标准差%,w20_胜率%,w20_盈亏比,w20_稳定性,w20_收益衰减率%,w20_score,w40_有效信号数,w40_平均收益%,w40_收益标准差%,w40_胜率%,w40_盈亏比,w40_稳定性,w40_收益衰减率%,w40_score,w60_有效信号数,w60_平均收益%,w60_收益标准差%,w60_胜率%,w60_盈亏比,w60_稳定性,w60_收益衰减率%,w60_score,param_1,param_2,param_3
8.0,rsi_crossover50,[8],rsi_crossover50^8,4,4,422,0.078,0.05527111237939787,422,0.061,0.938,58.768,0.843,0.065,-132.29166666666666,0.04297768656716418,421,0.065,1.28,53.682,0.987,0.051,-252.0710059171597,0.0457310546875,419,0.142,1.543,58.711,0.896,0.092,-197.4545454545455,0.10031476344782889,,,
120.0,price_crossover_ema,[120],price_crossover_ema^120,4,4,115,0.021,0.06518249034088623,115,0.031,0.955,54.783,0.894,0.032,-1026.4705882352946,0.021770439790575916,114,0.156,1.121,56.14,1.104,0.139,-283.93881453154876,0.11071964317573595,114,0.149,1.404,55.263,1.05,0.106,-273.19884726224785,0.10540688746438746,,,
60.0,rsi_crossover50,[60],rsi_crossover50^60,4,4,116,0.021,0.07117208807679881,116,0.038,0.958,56.034,0.866,0.04,-875.5102040816331,0.026705511482254692,115,0.171,1.132,56.522,1.118,0.151,-241.00185528756958,0.1215081890459364,115,0.151,1.407,54.783,1.072,0.107,-253.60824742268036,0.10683437810945273,,,
12.0,price_crossover_ema,[12],price_crossover_ema^12,4,4,469,0.087,0.07444897790174423,469,0.084,0.955,59.275,0.883,0.088,-78.59154929577464,0.05931719371727749,468,0.104,1.292,55.983,0.974,0.08,-164.83516483516482,0.07338600619195046,465,0.161,1.547,59.14,0.908,0.104,-167.84565916398714,0.11387289592760179,,,
20.0,adx_plus_crossover_minus,[20],adx_plus_crossover_minus^20,4,4,169,0.031,0.08845972402797483,169,0.043,0.864,55.03,0.929,0.05,-181.76943699731905,0.030249803240740735,168,0.214,1.264,60.714,1.013,0.169,-85.48387096774192,0.15233617088607593,168,0.195,1.594,55.357,1.107,0.122,-118.06755695208169,0.1381698557089084,,,
8.0,adx_plus_crossover_minus,[8],adx_plus_crossover_minus^8,4,4,342,0.063,0.09494941578526539,342,0.075,0.931,56.14,0.974,0.081,-83.23170731707317,0.05292293233082706,341,0.181,1.273,58.651,1.029,0.142,-127.05099778270512,0.12850146897093478,340,0.211,1.568,58.824,1.006,0.135,-149.27953890489917,0.14968754464285713,,,
220.0,emacd_start_increase,[220 616],emacd_start_increase^220^616,4,3,71,0.013,0.1161675988163881,71,0.1,1.003,59.155,0.894,0.1,-372.5490196078431,0.07069790628115652,70,0.215,1.096,62.857,0.977,0.196,-163.519313304721,0.15345232664233577,70,0.244,1.338,62.857,0.922,0.182,-110.86956521739128,0.17391473841554556,616,,
110.0,rvi_crossover_signal,[110  77],rvi_crossover_signal^110^77,4,4,229,0.042,0.12122712931331486,229,0.122,0.97,58.079,1.013,0.126,-71.27071823204419,0.0864741030927835,227,0.185,1.293,56.388,1.11,0.143,-179.68253968253967,0.1313528615622583,227,0.271,1.596,55.066,1.264,0.17,-180.39940828402368,0.19292109649122807,77,,
60.0,rsi_fast_crossover_slow,[ 60 156],rsi_fast_crossover_slow^60^156,4,4,154,0.029,0.12265634317952068,154,0.053,0.885,50.0,1.183,0.06,-189.18918918918922,0.037322180790960446,152,0.134,1.148,55.263,1.109,0.117,25.190839694656486,0.1762333449477352,152,0.194,1.428,58.553,1.013,0.136,8.381839348079161,0.25562624649859944,156,,
230.0,rsi_fast_crossover_slow,[230 598],rsi_fast_crossover_slow^230^598,4,3,51,0.009,0.12950268542185306,51,0.132,1.216,60.784,0.854,0.109,-431.1418685121107,0.09340302631578948,51,0.116,1.334,66.667,0.613,0.087,-463.2283464566929,0.08190608695652173,51,0.406,1.661,66.667,0.873,0.244,-292.3302598491199,0.29114673088500903,598,,
