param_0,策略名称,开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,2026-03-01+总收益率%,2026-03-01+年化收益率%,2026-03-01+最大回撤%,2026-03-01+sharpe比率,2026-03-01+sortino比率,2026-03-01+calmar比率,2026-03-01+年化波动率%,2026-03-01+日波动率%,2026-03-01+均持天数,2026-03-01+交易次数,2026-03-01+交易胜率%,2026-03-01+盈亏比,2026-03-01+bar胜率%,2026-03-01+总交易成本%,2026-04-01+总收益率%,2026-04-01+年化收益率%,2026-04-01+最大回撤%,2026-04-01+sharpe比率,2026-04-01+sortino比率,2026-04-01+calmar比率,2026-04-01+年化波动率%,2026-04-01+日波动率%,2026-04-01+均持天数,2026-04-01+交易次数,2026-04-01+交易胜率%,2026-04-01+盈亏比,2026-04-01+bar胜率%,2026-04-01+总交易成本%,2026-05-01+总收益率%,2026-05-01+年化收益率%,2026-05-01+最大回撤%,2026-05-01+sharpe比率,2026-05-01+sortino比率,2026-05-01+calmar比率,2026-05-01+年化波动率%,2026-05-01+日波动率%,2026-05-01+均持天数,2026-05-01+交易次数,2026-05-01+交易胜率%,2026-05-01+盈亏比,2026-05-01+bar胜率%,2026-05-01+总交易成本%,2026-06-01+总收益率%,2026-06-01+年化收益率%,2026-06-01+最大回撤%,2026-06-01+sharpe比率,2026-06-01+sortino比率,2026-06-01+calmar比率,2026-06-01+年化波动率%,2026-06-01+日波动率%,2026-06-01+均持天数,2026-06-01+交易次数,2026-06-01+交易胜率%,2026-06-01+盈亏比,2026-06-01+bar胜率%,2026-06-01+总交易成本%,filter_name,filter_params,param_1,param_2,param_3,param_4,param_5
130.0,roc_higher0^130,2026-03-02 01:00:00,2026-06-17 18:15:00,6.564,24.039,13.463,1.084,1.26,1.786,22.167,1.16,0.544,198.0,31.313,2.611,43.723,0.0,8.012,157.686,3.581,6.53,8.228,44.036,24.148,1.264,0.826,36.0,47.222,2.588,46.415,0.0,8.64,176.306,3.887,8.645,11.559,45.363,20.393,1.067,0.677,44.0,34.091,4.311,44.661,0.0,-11.3,-289.11,13.068,-12.268,-11.913,-22.124,23.567,1.234,0.355,81.0,24.691,1.106,41.127,0.0,2.315,64.598,6.521,3.13,4.263,9.906,20.639,1.08,0.419,40.0,27.5,3.497,41.54,0.0,roc_higher0,[130],,,,,
35.0,roc_higher0^35,2026-03-02 01:00:00,2026-06-17 18:15:00,9.53,36.132,9.543,1.629,1.952,3.786,22.184,1.161,0.252,427.0,28.103,2.993,43.204,0.0,8.366,168.264,3.446,6.975,9.081,48.835,24.123,1.263,0.261,114.0,31.579,3.449,45.711,0.0,9.11,191.326,4.235,9.342,12.53,45.179,20.479,1.072,0.276,108.0,33.333,3.495,44.459,0.0,-5.887,-106.669,8.356,-4.524,-4.596,-12.765,23.579,1.234,0.223,129.0,28.682,1.808,41.831,0.0,-1.635,-42.374,7.31,-2.05,-2.728,-5.797,20.671,1.082,0.212,79.0,15.19,4.849,38.937,0.0,roc_higher0,[35],,,,,
160.0,aroon_diff_higher0^160,2026-03-02 01:00:00,2026-06-17 18:15:00,8.92,33.579,10.691,1.515,1.763,3.141,22.171,1.16,3.475,31.0,35.484,2.664,43.853,0.0,2.775,39.957,6.194,1.655,1.96,6.451,24.136,1.263,2.974,10.0,30.0,3.557,45.967,0.0,4.931,80.461,4.985,3.941,5.195,16.142,20.415,1.069,3.309,9.0,44.444,3.34,44.459,0.0,-6.86,-132.115,10.691,-5.597,-5.745,-12.357,23.603,1.235,2.878,10.0,10.0,2.83,41.197,0.0,8.579,500.38,2.925,24.272,33.469,171.093,20.615,1.079,3.356,5.0,60.0,4.58,43.492,0.0,aroon_diff_higher0,[160],,,,,
90.0,aroon_diff_higher0^90,2026-03-02 01:00:00,2026-06-17 18:15:00,10.437,39.989,7.448,1.803,2.151,5.369,22.174,1.161,1.858,58.0,36.207,2.432,43.705,0.0,4.007,62.015,7.378,2.566,3.293,8.405,24.171,1.265,2.124,14.0,50.0,1.627,45.006,0.0,1.93,26.415,5.931,1.293,1.716,4.453,20.428,1.069,1.489,20.0,40.0,1.807,44.258,0.0,-2.168,-31.283,6.663,-1.327,-1.348,-4.695,23.58,1.234,1.515,19.0,21.053,3.01,42.113,0.0,6.41,286.91,2.718,13.908,19.145,105.573,20.629,1.08,2.097,8.0,50.0,3.819,42.95,0.0,aroon_diff_higher0,[90],,,,,
40.0,price_higher_sma^40,2026-03-02 01:00:00,2026-06-17 18:15:00,5.439,19.659,10.579,0.884,1.063,1.858,22.234,1.164,0.261,413.0,21.065,4.133,43.241,0.0,7.979,156.724,3.967,6.496,8.512,39.509,24.128,1.263,0.281,106.0,23.585,5.009,45.262,0.0,5.351,89.529,7.005,4.352,5.943,12.781,20.572,1.077,0.286,104.0,22.115,4.818,44.258,0.0,-6.211,-114.852,8.105,-4.855,-4.913,-14.171,23.656,1.238,0.23,125.0,20.0,2.791,42.113,0.0,-1.239,-30.759,6.331,-1.486,-1.961,-4.859,20.706,1.084,0.207,81.0,18.519,3.94,39.805,0.0,price_higher_sma,[40],,,,,
45.0,price_higher_sma^45,2026-03-02 01:00:00,2026-06-17 18:15:00,9.984,38.052,9.568,1.715,2.068,3.977,22.192,1.162,0.292,369.0,20.867,4.508,43.519,0.0,8.848,183.293,3.568,7.62,10.021,51.366,24.055,1.259,0.292,102.0,25.49,4.778,45.391,0.0,6.083,106.307,6.272,5.175,7.118,16.951,20.544,1.075,0.317,94.0,23.404,4.731,44.594,0.0,-5.469,-96.559,7.294,-4.086,-4.136,-13.238,23.632,1.237,0.269,107.0,18.692,3.142,42.465,0.0,0.694,16.244,5.46,0.786,1.047,2.975,20.67,1.082,0.243,69.0,14.493,6.393,40.13,0.0,price_higher_sma,[45],,,,,
140.0,price_higher_ema^140,2026-03-02 01:00:00,2026-06-17 18:15:00,6.902,25.375,8.862,1.145,1.369,2.863,22.16,1.16,0.501,215.0,17.209,5.797,43.371,0.0,5.815,100.203,5.476,4.157,5.395,18.298,24.104,1.262,0.551,54.0,22.222,6.069,44.814,0.0,6.686,121.158,4.511,5.933,7.863,26.859,20.421,1.069,0.465,64.0,18.75,8.16,44.795,0.0,-6.438,-120.75,8.862,-5.116,-5.181,-13.626,23.604,1.235,0.488,59.0,16.949,2.814,41.62,0.0,1.145,28.145,6.408,1.365,1.893,4.392,20.618,1.079,0.409,41.0,9.756,10.758,41.215,0.0,price_higher_ema,[140],,,,,
130.0,price_higher_ema^130,2026-03-02 01:00:00,2026-06-17 18:15:00,9.698,36.842,8.474,1.662,2.006,4.347,22.163,1.16,0.475,227.0,16.74,6.401,43.278,0.0,6.235,110.185,5.566,4.57,5.979,19.795,24.11,1.262,0.513,58.0,20.69,6.782,44.622,0.0,7.688,148.025,4.17,7.248,9.726,35.498,20.424,1.069,0.465,64.0,18.75,8.915,44.862,0.0,-5.385,-94.58,8.474,-4.006,-4.099,-11.161,23.61,1.236,0.457,63.0,15.873,3.302,41.549,0.0,1.279,31.895,6.284,1.547,2.147,5.076,20.615,1.079,0.373,45.0,11.111,9.517,40.998,0.0,price_higher_ema,[130],,,,,
55.0,sma_fast_higher_slow^55^99,2026-03-02 01:00:00,2026-06-17 18:15:00,12.059,47.076,8.357,2.122,2.581,5.633,22.186,1.161,1.738,62.0,40.323,2.223,43.334,0.0,4.923,80.442,5.809,3.327,4.61,13.847,24.178,1.266,1.859,16.0,43.75,2.287,44.686,0.0,0.921,11.903,6.002,0.582,0.763,1.983,20.459,1.071,1.654,18.0,33.333,2.305,44.258,0.0,-4.457,-73.92,6.188,-3.135,-3.228,-11.945,23.578,1.234,1.515,19.0,21.053,2.08,40.423,0.0,10.689,813.042,1.439,39.458,53.98,565.146,20.605,1.079,1.398,12.0,66.667,5.86,43.926,0.0,sma_fast_higher_slow,[55 99],99,,,,
70.0,sma_fast_higher_slow^70^98,2026-03-02 01:00:00,2026-06-17 18:15:00,22.119,96.814,6.131,4.366,5.374,15.791,22.174,1.161,1.561,69.0,52.174,1.853,44.02,0.0,7.91,154.706,4.473,6.404,8.56,34.59,24.157,1.264,1.416,21.0,61.905,1.439,45.391,0.0,2.065,28.497,4.994,1.396,1.819,5.706,20.42,1.069,1.654,18.0,44.444,1.676,45.131,0.0,0.496,6.482,5.182,0.275,0.297,1.251,23.61,1.236,1.515,19.0,36.842,1.919,41.549,0.0,10.257,738.436,1.476,35.848,49.947,500.126,20.599,1.078,1.198,14.0,71.429,3.322,43.601,0.0,sma_fast_higher_slow,[70 98],98,,,,
