param_0,entry_name,params,signal_id,总月份数,有效月份数,总信号数量,总信号密度,score,w20_有效信号数,w20_平均收益%,w20_收益标准差%,w20_胜率%,w20_盈亏比,w20_稳定性,w20_收益衰减率%,w20_score,w40_有效信号数,w40_平均收益%,w40_收益标准差%,w40_胜率%,w40_盈亏比,w40_稳定性,w40_收益衰减率%,w40_score,w60_有效信号数,w60_平均收益%,w60_收益标准差%,w60_胜率%,w60_盈亏比,w60_稳定性,w60_收益衰减率%,w60_score,param_1,param_2,param_3
130.0,rsi_crossover50,[130],rsi_crossover50^130,4,3,104,0.019,-0.0781,103,-0.082,0.788,41.748,1.06,0.104,0.0,-0.082,103,-0.065,1.143,41.748,1.204,0.057,0.0,-0.065,103,-0.088,1.352,34.951,1.577,0.065,0.0,-0.088,,,
8.0,rsi_crossover50,[8],rsi_crossover50^8,4,4,390,0.072,-0.049300000000000004,389,-0.047,0.732,48.329,0.895,0.064,0.0,-0.047,386,-0.068,1.022,44.041,1.069,0.067,-4300.0,-0.068,384,-0.027,1.185,42.969,1.25,0.023,-614.4104803493449,-0.027,,,
8.0,price_crossover_ema,[8],price_crossover_ema^8,4,4,547,0.101,-0.045200000000000004,546,-0.033,0.714,48.168,0.945,0.046,0.0,-0.033,542,-0.067,1.015,44.28,1.057,0.066,0.0,-0.067,538,-0.043,1.214,42.751,1.221,0.035,-815.5688622754491,-0.043,,,
70.0,second_wave_trend_1,[70],second_wave_trend_1^70,4,1,33,0.006,-0.036118678815489746,29,0.14,0.878,51.724,1.349,0.159,-1.0,0.09956264236902052,29,-0.029,0.806,41.379,1.281,0.036,-1.0,-0.029,29,-0.386,0.747,20.69,0.93,0.517,-1.0,-0.386,,,
6.0,price_crossover_ema,[6],price_crossover_ema^6,4,4,631,0.117,-0.035300000000000005,629,-0.021,0.727,48.649,0.972,0.029,-1934.4827586206898,-0.021,625,-0.05,1.017,45.12,1.067,0.049,-3677.7777777777787,-0.05,620,-0.049,1.219,43.871,1.152,0.04,-826.7857142857142,-0.049,,,
14.0,price_crossover_sma,[14],price_crossover_sma^14,4,4,391,0.073,-0.0346,389,-0.032,0.704,47.558,0.97,0.045,-1403.076923076923,-0.032,387,-0.046,1.006,43.669,1.141,0.046,-1069.7674418604652,-0.046,384,-0.024,1.207,42.188,1.3,0.02,-577.2563176895308,-0.024,,,
6.0,price_crossover_sma,[6],price_crossover_sma^6,4,4,647,0.12,-0.0311,646,-0.018,0.724,47.988,1.009,0.025,-2285.7142857142862,-0.018,643,-0.049,1.014,46.034,1.032,0.048,-4226.08695652174,-0.049,640,-0.037,1.24,43.594,1.197,0.03,-714.516129032258,-0.037,,,
18.0,second_wave_trend_2,[18],second_wave_trend_2^18,4,4,155,0.029,-0.015219448324022344,155,0.025,0.716,49.032,1.139,0.035,-816.9230769230769,0.017561103351955307,152,-0.076,1.316,40.132,1.282,0.058,0.0,-0.076,150,-0.006,1.39,42.0,1.364,0.004,0.0,-0.006,,,
200.0,adx_plus_crossover_minus,[200],adx_plus_crossover_minus^200,4,3,56,0.01,-0.014889526898092708,56,-0.072,0.773,42.857,1.011,0.093,0.0,-0.072,56,0.042,1.07,51.786,1.039,0.039,-332.2147651006711,0.02951540186915888,56,0.087,1.397,41.071,1.684,0.062,-214.35185185185182,0.06127926270579812,,,
16.0,rsi_fast_crossover_slow,[16 32],rsi_fast_crossover_slow^16^32,4,4,326,0.06,0.008489112061056308,326,0.005,0.65,50.307,1.009,0.008,-569.5652173913046,0.0035026923076923082,324,0.03,1.07,49.691,1.092,0.028,-380.1724137931035,0.021058878504672893,324,0.003,1.231,45.062,1.227,0.002,-499.54128440366964,0.0021005117790414292,32,,
10.0,second_wave_trend_2,[10],second_wave_trend_2^10,4,4,168,0.031,0.010022348304743174,168,0.018,0.631,51.19,1.033,0.029,-635.1562500000001,0.01263594294770206,167,-0.02,1.137,44.91,1.172,0.018,-2682.8571428571413,-0.02,163,0.069,1.502,50.307,1.11,0.046,-717.5342465753425,0.048521884154460716,,,
190.0,adx_plus_crossover_minus,[190],adx_plus_crossover_minus^190,4,4,60,0.011,0.012131847862450498,60,-0.059,0.794,40.0,1.214,0.074,0.0,-0.059,60,0.089,1.147,53.333,1.081,0.078,-103.7735849056604,0.06278340889276374,60,0.161,1.413,40.0,2.027,0.114,-117.39130434782608,0.11398412597310686,,,
220.0,price_crossover_sma_2,[220],price_crossover_sma_2^220,4,3,70,0.013,0.019898200330416692,70,0.018,0.59,50.0,1.081,0.031,1480.0,0.023471389830508477,70,-0.0,0.774,48.571,1.059,0.0,-1293.3333333333333,-0.0,70,0.058,1.108,47.143,1.289,0.052,-247.94520547945203,0.040812527075812274,,,
210.0,price_crossover_sma_2,[210],price_crossover_sma_2^210,4,3,57,0.011,0.024163364197530884,57,0.098,0.648,52.632,1.323,0.151,222.88732394366195,0.12932672839506176,57,-0.053,0.786,49.123,0.868,0.067,0.0,-0.053,57,-0.123,1.103,36.842,1.27,0.112,0.0,-0.123,,,
55.0,rvi_crossover_signal,[55 33],rvi_crossover_signal^55^33,4,4,331,0.061,0.030070661754639513,331,0.014,0.648,47.432,1.174,0.022,-356.55737704918033,0.00982117283950617,329,0.079,1.02,47.416,1.367,0.077,-133.71428571428572,0.05572830392156863,328,0.06,1.212,47.561,1.255,0.05,-159.87460815047024,0.042207920792079204,33,,
45.0,rvi_crossover_signal,[45 41],rvi_crossover_signal^45^41,4,4,322,0.06,0.032249942410029264,322,0.021,0.655,48.447,1.159,0.032,-298.0519480519481,0.014747129770992365,320,0.079,1.027,47.188,1.379,0.077,-142.93628808864264,0.055725384615384614,319,0.058,1.215,47.962,1.23,0.048,-144.26751592356686,0.04079381069958848,41,,
25.0,emacd_start_increase,[25 55],emacd_start_increase^25^55,4,4,345,0.064,0.03648737874892412,345,0.03,0.721,49.565,1.144,0.042,-317.9347826086957,0.0210873786407767,342,0.086,1.04,48.83,1.307,0.083,-126.35869565217392,0.060697807692307676,342,0.055,1.233,45.906,1.326,0.045,-233.7313432835821,0.03867173560421735,55,,
130.0,supertrend_long_signal,[130.    2.9],supertrend_long_signal^130.0^2.8999999999999995,4,4,70,0.013,0.04354214496731293,70,0.079,0.672,52.857,1.258,0.118,0.9404388714733543,0.10247914287580234,70,0.01,0.816,47.143,1.156,0.012,-385.71428571428584,0.0070085784313725485,70,-0.049,1.048,45.714,1.048,0.047,-3387.500000000001,-0.049,2.8999999999999995,,
30.0,emacd_start_increase,[30 72],emacd_start_increase^30^72,4,4,265,0.049,0.04460884608087999,265,0.042,0.641,51.698,1.121,0.066,-137.7272727272727,0.02959263650546022,263,0.112,1.052,51.711,1.248,0.106,-98.83720930232558,0.07923467680608365,262,0.043,1.17,46.183,1.283,0.037,-243.69973190348526,0.030210623931623926,72,,
90.0,supertrend_long_signal,[90.   3.1],supertrend_long_signal^90.0^3.0999999999999996,4,4,62,0.011,0.057170700246592515,62,0.08,0.68,50.0,1.414,0.118,11.073825503355703,0.10522352941176472,62,0.019,0.869,46.774,1.204,0.022,-308.40000000000003,0.013329079401611047,62,0.004,1.058,48.387,1.078,0.004,-405.6122448979592,0.0028010586011342153,3.0999999999999996,,
240.0,rvi_crossover0,[240 'SMA'],rvi_crossover0^240^SMA,4,4,50,0.009,0.05819971280127617,48,0.093,0.653,47.917,1.732,0.142,-134.70483005366725,0.06602715160796324,48,0.115,0.827,60.417,0.96,0.139,-168.62527716186256,0.08161940749697703,47,0.005,1.112,42.553,1.368,0.004,-255.6213017751479,0.003501573741007194,SMA,,
160.0,rvi_crossover0,[160 'EMA'],rvi_crossover0^160^EMA,4,4,102,0.019,0.058874456233030344,99,0.075,0.788,47.475,1.46,0.095,262.2754491017964,0.09842798223350255,99,0.04,1.032,45.455,1.33,0.039,11.39240506329114,0.052201550387596905,99,-0.03,1.225,37.374,1.571,0.024,0.0,-0.03,EMA,,
10.0,second_wave_trend_1,[10],second_wave_trend_1^10,4,3,63,0.012,0.06021746386217908,63,0.059,0.746,57.143,0.93,0.079,-302.6431718061674,0.041626635388739945,63,0.078,1.205,41.27,1.697,0.065,-469.2513368983957,0.05495342738589211,62,0.162,1.543,54.839,1.078,0.105,-362.0111731843576,0.11459058976020739,,,
230.0,rsi_fast_crossover_slow,[230 506],rsi_fast_crossover_slow^230^506,4,3,79,0.015,0.06276872149757144,79,0.041,0.928,41.772,1.573,0.044,24.358974358974358,0.053535484913793105,79,0.083,1.086,45.57,1.463,0.076,34.55497382198953,0.10872465009208104,79,0.013,1.226,34.177,1.983,0.011,365.51724137931035,0.016917920065252855,506,,
10.0,kc_price_crossover_low,[10.   6.   2.1],kc_price_crossover_low^10.0^6.0^2.0999999999999996,4,2,31,0.006,0.12841477950355595,31,0.217,0.573,61.29,1.604,0.379,-1.0,0.15765258289703313,31,0.114,0.733,54.839,1.23,0.156,-1.0,0.08104109140518417,31,0.177,0.884,45.161,2.074,0.2,-1.0,0.12638080316742079,6.0,2.0999999999999996,
220.0,roc_crossover0,[220],roc_crossover0^220,4,4,91,0.017,0.14373781907944239,91,0.067,0.758,56.044,0.983,0.088,462.6666666666667,0.08786988126649078,91,0.116,0.916,53.846,1.154,0.127,313.6708860759494,0.15270969432314413,91,0.204,1.139,49.451,1.585,0.179,267.9216867469879,0.26994985074626865,,,
90.0,mass_crossunder1,[90 81],mass_crossunder1^90^81,4,4,50,0.009,0.14669304842714284,50,0.163,0.559,56.0,1.721,0.292,122.5433526011561,0.2180788372093023,50,0.087,1.079,46.0,1.448,0.081,-107.08446866485014,0.061391037998146415,50,0.136,1.319,42.0,1.817,0.103,-128.80613362541072,0.09618159211523881,81,,
18.0,kc_price_crossover_low,[18.  22.   3.7],kc_price_crossover_low^18.0^22.0^3.6999999999999993,4,0,16,0.003,0.15901657420710652,16,0.225,0.631,62.5,1.435,0.357,-1.0,0.16311608557844692,16,0.292,0.764,68.75,1.135,0.382,-1.0,0.21221214659685864,16,0.097,0.613,50.0,1.448,0.158,-1.0,0.06897443719412723,22.0,3.6999999999999993,
100.0,mass_crossunder1,[100  70],mass_crossunder1^100^70,4,3,49,0.009,0.16850771394516803,49,0.184,0.573,63.265,1.399,0.321,107.88643533123027,0.24688111692844678,49,0.113,1.103,44.898,1.603,0.102,-93.45372460496615,0.07991036264732547,49,0.149,1.328,44.898,1.653,0.112,-114.22018348623853,0.10547023343373493,70,,
140.0,sma_fast_crossover_slow_3,[140 392],sma_fast_crossover_slow_3^140^392,4,0,18,0.003,0.17359185192497337,18,0.269,1.083,44.444,2.926,0.248,-1.0,0.1929770729455217,18,0.243,1.292,44.444,2.136,0.188,-1.0,0.1732992492260062,17,0.177,1.315,35.294,2.629,0.135,-1.0,0.12556770342205323,392,,
150.0,sma_fast_crossover_slow_3,[150 390],sma_fast_crossover_slow_3^150^390,4,0,20,0.004,0.18173033998323052,20,0.223,0.971,45.0,2.464,0.23,-1.0,0.1596849948506694,20,0.269,1.24,55.0,1.438,0.217,-1.0,0.19238489516129034,19,0.308,1.262,52.632,1.634,0.244,-1.0,0.22086187004754354,390,,
230.0,emacd_histogram_start_increase,[230 644 230],emacd_histogram_start_increase^230^644^230,4,4,75,0.014,0.18947388062028148,75,0.094,0.902,52.0,1.27,0.104,-66.77265500794913,0.06648572062084257,75,0.196,1.124,53.333,1.409,0.174,38.53904282115869,0.25924313167259794,75,0.295,1.287,61.333,1.183,0.229,60.95829636202308,0.392290404040404,644,230,
140.0,mass_crossover1,[140  42],mass_crossover1^140^42,4,3,44,0.008,0.19806134119630747,44,0.105,0.54,50.0,1.727,0.194,20.503597122302157,0.13915416666666666,44,0.2,0.718,61.364,1.349,0.279,70.29520295202954,0.2672423398328691,44,0.336,1.243,56.818,1.651,0.27,-33.760683760683754,0.24155777956556715,42,,
130.0,mass_crossover1,[130  65],mass_crossover1^130^65,4,2,37,0.007,0.205231644255635,37,0.201,0.59,54.054,2.091,0.341,-1.0,0.14549333898305084,37,0.323,0.712,70.27,1.456,0.454,-1.0,0.23635706460674158,37,0.425,1.217,67.568,1.306,0.349,-1.0,0.30788927691043544,65,,
110.0,smacd_histogram_start_increase_2,[110 154  99],smacd_histogram_start_increase_2^110^154^99,4,4,79,0.015,0.21022298589632749,79,0.131,0.766,53.165,1.452,0.171,4.183266932270916,0.1732124412532637,79,0.188,1.117,49.367,1.624,0.168,19.70802919708029,0.24851344673231873,78,0.186,1.28,48.718,1.557,0.145,14.332784184514002,0.24531365625,154,99,
220.0,emacd_histogram_start_increase,[220 572 264],emacd_histogram_start_increase^220^572^264,4,4,78,0.014,0.22931054758484534,78,0.121,0.889,55.128,1.23,0.136,-58.753709198813056,0.0858528346456693,78,0.209,1.091,53.846,1.46,0.192,39.71631205673759,0.2769048854262145,78,0.386,1.312,61.538,1.432,0.294,51.832460732984295,0.5165633231707317,572,264,
230.0,roc_crossover0,[230],roc_crossover0^230,4,3,79,0.015,0.22943155807081844,79,0.168,0.761,63.291,1.02,0.221,141.8543046357616,0.2232214454664915,79,0.163,0.95,55.696,1.209,0.172,46.95340501792115,0.21553575789473683,79,0.201,1.167,51.899,1.445,0.172,193.08323563892145,0.26580053984575835,,,
200.0,smacd_start_increase,[200 560],smacd_start_increase^200^560,4,3,55,0.01,0.25241121437015657,55,0.236,0.609,63.636,1.538,0.388,-23.57142857142857,0.17160183908045973,55,0.384,0.874,70.909,1.224,0.439,-4.506858262573481,0.2806099771167048,55,0.562,1.18,60.0,2.251,0.476,-13.125845737483086,0.4121365084745763,560,,
